Title,Link,Abstract,ab_content,highlights,hi_content
Spatiotemporal Analysis of Vegetation Health and Moisture Dynamics in Rehabilitated Mining Quarries Using Satellite Imagery,https://link.springer.com/article/10.1007/s40710-025-00781-3,Abstract,"This study evaluates the effectiveness of Normalized Difference Vegetation Index (NDVI) and Normalized Difference Moisture Index (NDMI) for monitoring vegetation health and soil moisture dynamics in rehabilitated mining quarries. The research focuses on developing an integrated framework of processing and analyzing these indices using remote sensing data and employing machine learning techniques to address challenges such as missing or defected pixels. Sentinel-2 Level-2Â A imagery, known for its high spatial and temporal resolution, was employed to calculate these indices. To address potentially missing or affected pixels in such works a Self-Organizing Map (SOM) machine learning technique was utilized for data interpolation, ensuring accuracy and continuity. Cross-validation techniques were applied to validate the performance of SOM, yielding low Mean Absolute Error (MAE) values for NDVI and NDMI, indicating minimal bias in the interpolated data. Results demonstrate significant improvements in vegetation health and moisture retention in rehabilitated areas, though inconsistencies remain compared to natural sites. The combined use of NDVI and NDMI provided complementary insights, highlighting areas requiring further intervention. This methodology offers a solid framework for monitoring rehabilitation progress and guiding future restoration efforts, not only in rehabilitated mining quarries but also in other rehabilitated urban and industrial sites.",Highlights,"
              
              Sentinel-2 data monitored vegetation recovery in rehabilitated mining quarries.
              NDVI and NDMI indices assessed vegetation health and soil moisture dynamics.
              Self-Organizing Maps addressed missing pixels with accurate data interpolation.
              Results revealed inconsistencies between rehabilitated and natural reference areas.
              Study provides a robust framework for monitoring post-mining rehabilitation efforts.
            "
"Enhanced Vulnerability Assessment of the Almyros Aquifer: Integrating DRASTIC-LU, Canter-LU, and AHP for Nitrate Pollution Risk",https://link.springer.com/article/10.1007/s40710-025-00786-y,Abstract,"The Almyros groundwater system in Magnesia, Greece, is experiencing significant nitrate contamination, exacerbated by intensive agricultural activities, particularly in rural and coastal zones. This study aims to identify nitrate-vulnerable areas by applying and comparing three vulnerability assessment models: DRASTIC, Canter, and modified models incorporating land use factors alongside the Analytic Hierarchy Process (AHP). The analysis spans three timeframes 1992â€?997, 2004â€?009, and 2010â€?015 to capture temporal changes in nitrate vulnerability. Results show that coastal zones consistently exhibit high nitrate vulnerability across all models and study periods. Approximately 40% of the aquifer area is classified as high-risk, with average risk values ranging from 17 to 20%. To validate the models, Pearson correlation analysis was conducted by comparing observed nitrate concentrations with the vulnerability indices. The correlation coefficients ranged from 0.38 to 0.70, with the DRASTIC-LU-AHP Average index demonstrating the strongest correlation and the Canter-LU index showing the weakest. Based on these findings, the DRASTIC-LU-AHP Average index is concluded to be the most reliable method for assessing nitrate contamination risk in the Almyros aquifer. This study highlights the value of integrating land use data and AHP to enhance the accuracy of nitrate vulnerability assessments.",Highlights,"
              
              This study emphasizes the importance of refining DRASTIC and Canter methods to enhance accuracy in assessing nitrate contamination vulnerability in porous aquifers.
              Vulnerability maps reveal that 40% of the coastline and southeastern aquifer areas have high nitrate susceptibility, validated by data from 74 wells.
              The findings underscore the dynamic nature of vulnerability influenced by land use changes, highlighting the need for ongoing monitoring to ensure groundwater quality and sustainability.
            "
Behaviour and Fate of Anthropogenic Gadolinium in Groundwater: Insights from Batch Experiments and Measured Concentrations in the BesÃ²s River Delta (NE Spain),https://link.springer.com/article/10.1007/s40710-025-00784-0,Abstract,"Urban aquifers are a potential alternative, with which to cover the rising demand for freshwater. However, they are commonly polluted by a wide range of anthropogenic substances, including rare earth elements (REEs). In this context, it is essential to investigate the presence and behaviour of these pollutants, in order to safely use urban groundwater. An example of these contaminants is Gadolinium, which can reach the environment after it has been used for medical purposes. Gadolinium anomalies were detected in hydraulically connected surface and subsurface water bodies in Barcelona, northeast Spain. A striking factor in this study, is that Gadolinium pollution in groundwater was less frequent and more attenuated than in surface water, suggesting that Gadolinium attenuation may be prevalent in the subsurface. Batch experiments were conducted and modelled to ascertain processes affecting Gadolinium in the sampled aquifers. Experimental results have (i) demonstrated that the concentration of dissolved Gadolinium decreased 90% in 24 days, and (ii) suggested that sorption plays a key role in Gadolinium attenuation. The modelling of the experiments provides essential parameters, with which to predict the behaviour of Gadolinium. Our results have significant implications for understanding the evolution of anthropogenic Gadolinium in aquifers in general, which is of paramount importance for determining where groundwater can be safely used after its natural or artificial infiltration.",Highlights,"
              
              Anthropogenic gadolinium (GdANT) has been detected in urban water bodies.
              The distribution of GdANT suggests that its concentration decreases in aquifers.
              Batch experiments are developed and modelled to ascertain processes affecting GdANT.
              Experiments reveal that sorption may affect the concentration of GdANT in aquifers.
            "
Environmental Flow Assessment in Greeceâ€™s Major Rivers Using LISFLOOD Large-scale Model and Hydrology-based Methods,https://link.springer.com/article/10.1007/s40710-025-00785-z,Abstract,"Assessing the environmental or ecological flow (EF) of rivers constitutes a crucial endeavor in safeguarding them against increased overexploitation, climate change impacts, and the proliferation of dams along their courses. However, the frequent lack of observation data jeopardizes the accurate and reliable assessment of riversâ€?minimum streamflow requirements. The research implements a methodological framework to estimate EF in partially gauged basins by forcing the Tennant, Tessman and the Global Environmental Flow Calculator EF methods with river discharges generated by the LISFLOOD large scale hydrological model over a 31-year period (1992â€?022). The outputs which correspond to nine major rivers in Greece, many of which are transboundary ones, are compared to the environmental flow estimates derived from the Greek legislation model. The findings indicate that the Greek legislation produces low EFs on an intermonthly timescale, often aligning with the EFs from other methods during the dry season, suggesting the need for a revision of the current legislation. The Tennant method tends to yield relatively low EFs in the dry period, whereas the Tessman and Global Environmental Flow Calculator methods produce EF curves that closely mimic the natural streamflow curve of each river. The methodological framework presented here is adaptable to any hydrosystem, offering a valuable base for enhanced EF assessment in the future.",Highlights,"
              
              The methodology focuses on assessing environmental flow (EF) in ungauged rivers.
              Three EF models are coupled with the LISFLOOD large-scale hydrological model.
              Results show strong performance of the framework across nine rivers in Greece.
              EF policy may be revised to include an ensemble of methods for water management.
            "
Adaptation of Lemna Minor To Stress Induced by Biodegradable and Conventional Microplastics,https://link.springer.com/article/10.1007/s40710-025-00783-1,Abstract,"Microplastics, widespread contaminants of the environment, are raising growing ecological concerns. To address this, efforts are being made to replace conventional plastics with biodegradable alternatives, designed to break down more easily in the environment. However, the degradation of these alternatives relies on specific conditions, such as temperature, pH, humidity, and the presence of microorganisms, which are not always met in natural ecosystems. As a result, biodegradable plastics can fragment and generate microplastics. So far, only a few studies have been conducted on the effect of biodegradable microplastics on freshwater plants and have included only short-term exposure.

Therefore, in this study, we investigated the long-term effects (for 12 weeks) of poly-3-hydroxybutyrate (P3HB) and polyethylene terephthalate (PET) particlesâ€?â€?3Â Î¼m in concentration 100Â mg/L on the growth, root length, photosynthetic pigment concentration, total antioxidant capacity, electron transport system and concentration of carbohydrates and proteins in fronds of freshwater plant Lemna minor.

Most of the monitored parameters were not statistically significantly affected throughout the experiment. However, both types of microplastics induced significant root elongation, which may be related to nutrient depletion, similarly to what has been observed in short-term experiments. The effect was more pronounced with P3HB, and plant growth adaptation took longer than with PET.

These results suggest that biodegradable microplastics may pose more severe stress to aquatic plants than conventional plastics and influence nutrient cycling and plant-microbe interactions. These findings highlight the need for long-term, plant-based ecotoxicological assessments when evaluating the environmental safety of biodegradable plastic materials.",Highlights,"
              
              Neither P3HB nor PET microplastics affected the measured molecular markers in 12 weeks.
              Both P3HB and PET microplastics induced root elongation caused by nutrient loss.
              P3HB microplastics had a more pronounced effect on root elongation compared to PET.
              Lemna minor shows resilience and adaptability to chronic microplastic exposure.
            "
"Understanding Nutrient Loading in a Hydrologically Sensitive Coastal Watershed. The Peace River Watershed, Florida, USA",https://link.springer.com/article/10.1007/s40710-025-00782-2,Abstract,"Nutrient pollution from anthropogenic activities threatens freshwater and estuarine ecosystems, exemplified by the Peace River Watershed (PRW) in Florida, where excess nutrients fuel harmful algal blooms (HABs) in Charlotte Harbor. This study utilized the Watershed Assessment Model (WAM) to analyze nutrient loading and identify source areas within the PRW, which is crucial for effective mitigation. WAM integrated land use, soil, rainfall, and wastewater data to create unique cells. Daily flows and loads were simulated using field-scale sub-models tailored to Florida conditions, routed through the river network, then calibrated and validated against observed data. Results showed an annual discharge of 1.9 cubic kilometers of water, 2,370 tons of total nitrogen (TN), and 1,025 tons of total phosphorus (TP) into Charlotte Harbor. Spatially, annual TN and TP offsite loads ranged from near zero to 116 and 38Â kg/ha, respectively. Elevated TN levels were observed in urban areas with septic systems and agricultural lands lacking best management practices (BMPs). High TP loads were associated with phosphate mining and intensive agricultural areas. Groundwater nitrate was elevated in urban areas with septic systems. The TN: TP ratio at the outlet showed nitrogen limitation, although 33% of the source area was P-limited. Nitrogen reduction was attributed to attenuation processes during transport. Therefore, controlling HABs in the harbor requires targeted TN reduction in hotspot areas. This study established a water quality baseline, identified critical source areas, and will help in devising mitigation strategies in the PRW and similar coastal watersheds.",Highlights,"
              
              The WAM model simulated spatial nutrient loadings to identify source areas in the PRW, a coastal watershed in Florida.
              Urban areas with septic systems showed elevated total nitrogen levels in the groundwater.
              Phosphate mining lands generated elevated TP loads.
              Agriculture showed elevated levels of both TN and TP, particularly in areas lacking BMPs.
              While the PRW outlet (Charlotte Harbor) is primarily N-limited, 33% of the watershed source area exhibits P limitation.
            "
Key Properties of Drinking Water Treatment Residuals for their Effective Reuse as Phosphate Adsorbents,https://link.springer.com/article/10.1007/s40710-025-00780-4,Abstract,"Drinking Water Treatment Residuals (DWTR) are the sludge by-products produced in the drinking water treatment plants, representing a significant amount of the operational costs. Since the DWTR properties depend on the treatment system and the raw water characteristics, it is crucial to understand the key parameters to streamline the decision-making process regarding DWTR reuse. This study aimed to assess the key parameters of DWTR as an adsorbent material of phosphate (\(\:\text{P}{\text{O}}_{\text{4}}^{\text{3-}}\)).

To this end, seven different DWTR were subjected to physical and chemical characterization. Adsorption tests were carried out under neutral pH. Following a comprehensive analysis of the correlation between the quantitative properties and the adsorption capacity, a reliable predictor has been determined. This predictor will inform the construction of a model that will accurately predict the adsorption capacity.

The characterization showed differences among the DWTR, supporting the influence of the DWTR properties. Six of the DWTR were able to adsorb \(\:\text{P}{\text{O}}_{\text{4}}^{\text{3-}}\), with adsorption capacities ranging between 6.7 and 44.1Â mg/g. Contrary to expectations, the aluminium content was not the key parameter for the adsorption process. Instead, the crucial factor was the pH at the point of zero charge (pHPZC). Based on this relationship, a statistical model was built, using pHPZC as a predictor of adsorption capacity (p-valueâ€?â€?.0001, R2â€?â€?.735).

The use of pHPZC as a predictor of the \(\:\text{P}{\text{O}}_{\text{4}}^{\text{3-}}\) adsorption capacity of DWTR enables the reduction of the number and the costs of analytical determinations and streamlines the decision-making process for stakeholders regarding DWTR reuse.",Highlights,"
              
              Seven Drinking Water Treatment Residuals (DWTR) were fully characterized.
              Phosphate removal is not dependent on aluminium content.
              The pH at the point of zero charge (pHPZC) is a key parameter in phosphate adsorption.
              Water utilities can use pHPZC to assess the adsorption capacity of DWTR.
              The model predicts 73.5% of phosphate adsorption capacity onto DWTR.
            "
Removal of Antibiotic Resistant Bacteria and Genes by Conventional and Nature-Based Municipal Wastewater Treatment Systems,https://link.springer.com/article/10.1007/s40710-025-00779-x,Abstract,"The presence of antibiotic-resistant (AR) E. coli, antibiotic resistance genes (ARGs), and intI1 was investigated in different treatment stages, comparing a conventional activated sludge wastewater treatment plant (WWTP) with a nature-based system in a decentralised area comprising upflow anaerobic sludge blanket reactors (UASBs), constructed wetlands (CWs), and an ultraviolet (UV) disinfection unit. Furthermore, the efficacy of UV irradiation and chlorination in the removal of AR E. coli, ARGs and intI1 from the effluent of CWs and the secondary treated effluent of the conventional WWTP was investigated. The study found that the natural system decreased AR E. coli by 3.7â€?.1 log and ARGs by 0.80â€?.3 log. In contrast, the conventional WWTP reduced AR E. coli by 2.5â€?.8 log and ARGs by 1.9â€?.2 log. CWs enhance ARB removal through longer hydraulic retention times, plantâ€“microbe interactions, and diverse ecological processes, offering advantages over conventional WWTPs. UV treatment with doses of 70Â mJ/cm2 and 100Â mJ/cm2 effectively removed AR E. coli but increased their percentage, indicating higher resistance to UV. However, these UV doses were ineffective in removing ARGs. Chlorination at doses of 35â€?0Â mg Clâ‚?LÂ·min effectively inactivated antibiotic-resistant bacteria (ARB) in wastewater. However, inadequate doses increased the prevalence of antibiotic-resistant strains and facilitated horizontal gene transfer via natural transformation. A high chlorine dose of 220Â mg Clâ‚?LÂ·min was insufficient to remove ARGs from secondary treated and CW effluents. These results highlight the persistence of ARGs despite aggressive chlorination and high UV disinfection doses, emphasizing the need for complementary or advanced treatment methods.",Highlights,"
              
              UV treatment (70Â mJ/cm2 and 100Â mJ/cm2) poorly removes antibiotic resistance genes (ARGs).
              Aggressive chlorination is needed to remove ARGs compared to antibiotic-resistant bacteria (ARB).
              Insufficient chlorination can raise ARB prevalence via natural transformation.
              CWs enhance ARB removal via physical, chemical, and biological pathways.
            "
Efficient Diclofenac Removal Using Melamine-PMDA Porous Material: Unveiling Adsorption Mechanisms Via XPS and Theoretical Studies,https://link.springer.com/article/10.1007/s40710-025-00778-y,Abstract,"Diclofenac (DCF) contamination in water is a critical global issue, requiring efficient and sustainable removal methods. In this study, a green polyimide adsorbent (PI-M-PMDA) was synthesized via a microwave-assisted ionothermal method, achieving a Langmuir adsorption capacity of 1896 mg gâˆ’â€?. Based on the adsorption process studies, followed by the pseudo-second-order kinetic, Langmuir isotherm model, and the thermodynamic results, it was evidenced that a controlled interaction was driven by physicochemical forces. Detailed adsorption mechanism insights from Fourier-transform infrared spectroscopy (FTIR), X-ray photoelectron spectroscopy (XPS), and theoretical calculations confirmed that nitrogen, oxygen, and chlorine atoms in DCF played a crucial role in adsorption. These atoms formed strong hydrogen bonds and Ï€-Ï€ interactions with N-groups, O-groups, and benzene rings in PI-M-PMDA, significantly enhancing adsorption efficiency. Furthermore, PI-M-PMDA demonstrated remarkable stability, maintaining high adsorption capacity over five cycles, though structural amorphization was observed in the final cycle. Its outstanding performance in real wastewater applications highlights its practical applicability for DCF removal. This study establishes PI-M-PMDA as a green and high-performance adsorbent that offers an advanced solution to pharmaceutical pollution in water.",Highlights,"â—?PI-M-PMDA was successfully synthesized using a green ionothermal method.

â—?The maximum adsorption capacity of diclofenac by PI M-PMDA was 1896 mg gâˆ’â€?.

â—?The adsorption occurred via van der Waals regions interaction, hydrogen bonds, and halogen bonds.

â—?The PI-M-PMDA was regenerable for multiple cycles using ethanol as eluent."
"Adsorption of Aminophenol from Aqueous Solution Using KOH Pretreated Biochar Derived from Orange Peel Pyrolysis: Optimization, Kinetics, and Isotherm study",https://link.springer.com/article/10.1007/s40710-025-00775-1,Abstract,"Biochar derived from waste biomass can remove fine concentrations of phenolic compounds from aqueous media. In this study, orange peel was pretreated with potassium hydroxide (KOH) followed by a low-temperature pyrolysis. The main aim was to investigate the effectiveness of orange peel biochar using batch and column adsorption of aminophenol from water. A novel KOH pre-treatment followed by a low-temperature pyrolysis process was used to produce orange peel biochar with enhanced properties for aminophenol adsorption from an aqueous solution. The adsorbent was characterized for its physicochemical and surface properties before and after adsorption to provide mechanistic insights into biochar role in the aminophenol adsorption process. The optimum adsorption conditions were pH 7, adsorbent dosage of 15Â mg and contact time of 105Â min for a 50Â mg/L aminophenol concentration. Under these conditions, the adsorption efficiency and capacity were estimated at 89.12% and 59.36Â mg/g, respectively. Notably, multipoint Brunauerâ€“Emmettâ€“Teller (BET) surface area, Barret-Joyner-Halenda (BJH) pore volume, and pore diameter of the biochar were found to be 403.05 m2/g, 0.099 cm3/g, and 3.83Â nm, respectively, decreasing to 298.6 m2/g, 0.054 cm3/g, and 3.80Â nm, respectively, after aminophenol adsorption. Langmuir model best fitted the experimental data with a minimum error margin of 39.42 and a correlation coefficient of 0.99. The non-linear kinetic data were estimated to be best fitted by the pseudo-second-order model (R2â€?â€?.99, RMSEâ€?â€?.72, and Ï‡2â€?â€?.13). This study demonstrates that a low-temperature pretreated biochar is an efficient adsorbent for the removal of aminophenol from aqueous solutions.",Highlights,"
              
              â€¢Â Biochar adsorbent wasÂ prepared via low-temp pyrolysis of KOH-treated orange peel.
              â€¢Â The integrated process improved biochar surface area and functional groups.
              â€¢Â Biochar removed 89% aminophenol, with 59 mg/g capacity at best conditions.
              â€¢Â The adsorption follows Langmuir isotherm and pseudo-second-order kinetics.
              â€¢Â Adsorbent wasÂ recycled 5 times with ~80% efficiency and minimal performance loss.
            "
