"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"A study on an optimal analytical and an accurate algorithmic landing techniques","2025","Advances in Space Research","10.1016/j.asr.2025.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011061425&doi=10.1016%2Fj.asr.2025.07.017&partnerID=40&md5=a7d573f9e67daeb946ea05e0648a2699","Landing trajectory optimization is a fundamental challenge in aerospace engineering, traditionally approached by optimal control problem formulation. In practice, for Earth landing, the vehicle is subject to strongly non-linear perturbations, such as drag, wind, and gravity. Indirect control methods cannot deal with these problems, leading to large errors, while direct methods require high computation times when perturbations are not continuous. Thus, in this work, we propose a hybrid algorithm to approximate the solution of nonlinear optimization problems, based on the iteration of the indirect control analytical solution of the non-autonomous linear problem. The algorithm's performance has been studied for the problem of landing rockets on the Earth's surface and compared with a standard boundary value problem solver. The results show that the proposed algorithm tolerates strong discontinuous perturbations, with very small landing error and computation time. © 2025 Elsevier B.V., All rights reserved.","Drag; Gravity; Indirect Optimal Control; Optimal Landing; Strong Perturbations; Trajectory Optimization; Boundary Value Problems; Landing; Nonlinear Programming; Optimal Control Systems; Problem Solving; Rockets; Algorithmics; Computation Time; Indirect Optimal Control; Landing Trajectory; Optimal Control Problem; Optimal Controls; Optimal Landing; Problem Formulation; Strong Perturbations; Trajectory Optimization; Gravitation"
"Observations and statistical studies of orbit-driven plasma waves in low earth orbit at very low frequencies","2025","Advances in Space Research","10.1016/j.asr.2025.07.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011043174&doi=10.1016%2Fj.asr.2025.07.013&partnerID=40&md5=2633bfd9569826752d1e208897b984dc","The number of resident space objects (RSOs), including debris and inactive satellites, is rapidly increasing, posing a growing threat to operational spacecraft. Additionally, many of these RSOs are too small to be reliably tracked by current radars. A novel solution to this problem is to use the disturbances in the plasma environment to track these objects. Over the last decade, theoretical, numerical, laboratory, and observational efforts have studied the generation and propagation of these disturbances. This study investigates these disturbances statistically using 5 months of Very Low Frequency (VLF) Electric (E) field data collected by the Arase satellite. This represents the first large-scale statistical observational study of RSO-generated waves. Specifically, we use E field power between 1 and 20 kHz from the Onboard Frequency Analyzer, which is part of the Plasma Wave Experiment (PWE) onboard the Arase satellite. We analyze this dataset by comparing the power between an “experiment” population of measurements taken where Arase was in a situation where RSO-generated waves would be observed, and a “control” population where Arase was in a situation where no RSO-generated waves would be observed. For robust comparisons, the two populations should have similar distributions of latitude, longitude, altitude, and time. However, rigidly enforcing this matching results in very small sample sizes. We therefore use three different approaches to this balancing. Our strongest results have a p-value of 1.3e-5, indicating that there is a less than 1 in 77,000 chance that the experiment and control populations are drawn from the same parent population. We take this as strong statistical evidence of RSO-generated waves. These encouraging results bolster the feasibility of using these waves as part of a future detection, identification, and tracking system. © 2025 Elsevier B.V., All rights reserved.","Plasma Wave; Space Debris; Vlf; Orbits; Population Statistics; Small Satellites; Space Applications; Space Debris; Space Flight; Space-based Radar; Tracking (position); Wave Plasma Interactions; 'current; E-field; Earth Orbits; Inactive Satellites; Novel Solutions; Operational Spacecraft; Plasma Environments; Space Objects; Statistical Study; Very Low Frequency; Plasma Waves"
"A comprehensive study of geomagnetic and TEC disturbances in relation to M ⩾ 5.0 earthquakes","2025","Advances in Space Research","10.1016/j.asr.2025.06.076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010965904&doi=10.1016%2Fj.asr.2025.06.076&partnerID=40&md5=45ec978324fae440d0571ab7c916925a","Previous studies have demonstrated the interaction between multiple layers of the Earth and seismic activity, specifically the lithosphere - atmosphere – ionosphere (LAI) coupling, which is the focus of the present study. Anomalies in LAI parameters, such as variations in geomagnetic field and total electron content (TEC) before seismic activity, have been regarded as earthquake precursors by previous researchers. However, earlier studies used only single parameters and had a limited number of case studies. This study aimed to investigate pre-earthquake anomalies using a dual-parameter approach. Geomagnetic field and TEC variations were used to investigate the relationship between the Earth's layers and earthquakes. Utilising global geomagnetic data and TEC data, a comprehensive analysis was conducted on the variations of geomagnetic and TEC data for the 60 days preceding and five (5) days following the occurrences of the 694 earthquakes with magnitudes greater than and equal to 5.0 (M ⩾ 5.0) in the Japan region in 2011. Following the exclusion of days with geomagnetic storms, referred to as disturbed days, this investigation focused solely on undisturbed days. This study explored and compared geomagnetic and ionospheric disturbances during these undisturbed days preceding the earthquakes. Both geomagnetic and TEC precursors were significantly found in moderate and shallow earthquakes. It was revealed that, preceding the studied earthquake events, anomalous behaviours were evident in both geomagnetic and TEC variations, and these behaviours persisted even on undisturbed days. The study also observed that anomalous TEC parameters occurred within the same time frame as the geomagnetic anomalies, and they were found to be detected a month before the earthquakes. The occurrence rate of the geomagnetic precursors was higher of 65 %, than that of the TEC precursors of 11 %. These observations suggest that the preparation process for earthquakes could impact the ground and upper atmosphere, as described by the LAI coupling mechanism. © 2025 Elsevier B.V., All rights reserved.","Diurnal Variation Ratio (dvr); Earthquake Precursor; Geomagnetic Diurnal Variations; Supermag Database; Total Electron Content (tec); Geomagnetism; Ionosphere; Ionospheric Measurement; Magnetosphere; Diurnal Variation; Diurnal Variation Ratio; Earthquake Precursors; Geomagnetic Diurnal Variation; Geomagnetics; Seismic Activity; Supermag Database; Total Electron Content; Earthquakes"
"Mapping of small scale surface water in Denmark – using deep learning, fusing high resolution geo data and Sentinel-1 SAR","2025","Advances in Space Research","10.1016/j.asr.2025.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010936850&doi=10.1016%2Fj.asr.2025.07.007&partnerID=40&md5=c0a6c19945117b109d78342daf948d4a","Accurate assessment of the freshwater budget – and, as a proxy, its extent – is crucial as climate change and human activities intensify. Similarly, mapping flood extent is essential as flood severity increases. Satellite earth observation data such as synthetic aperture radar and optical imagery play a vital role in surface water and flood mapping on global and regional scales. Their high temporal and spatial resolution enables precise and fast surface water mapping. Deep learning approaches combining synthetic aperture radar with digital terrain model information have recently gained increasing popularity. Surface water masks for model training are usually derived from optical multispectral imagery, using spectral indices such as the Normalised Difference Water Index. Mapping surface water on small spatial scales is traditionally difficult. With the 10 meter resolution of Sentinel-1 & 2, small areas lack information, especially considering synthetic aperture radar's intrinsic noise. Denmark publicly provides high spatial resolution geodata, which we want to utilise to improve small-scale surface water mapping performance. We investigate how high temporal resolution Sentinel–1 synthetic aperture radar data can be combined with the high spatial resolution Danish digital terrain model. Additionally, we show how authoritative governmental data on water bodies can be used and combined to form a surface water mask for model training. We show that models trained with our novel approach outperform a model trained with a Sentinel–2 water index derived mask with regards to minimum detectable surface water surface area. We quantify permanent small scale surface water mapping performance on several sites around Randers and for small scale floods on three manually mapped sites of the October 2023 Baltic Sea flood, with one site validated by a drone image. Lastly, we discuss the observed drawbacks of our newly deployed high–resolution national dataset based surface water mask, subsequently calling for a Danish flood dataset. © 2025 Elsevier B.V., All rights reserved.","Denmark; Small Scale; Surface Water Mapping; Climate Change; Deep Learning; Floods; Image Resolution; Photomapping; Radar Imaging; Satellite Imagery; Space-based Radar; Surface Waters; Synthetic Aperture Radar; Tracking Radar; Denmark; Digital Terrain Model; Geo-data; High Resolution; High Spatial Resolution; High Temporal Resolution; Sentinel-1; Small Scale; Surface Water Mapping; Water Mapping; Budget Control"
"ICESat-2 for evaluating space-borne and national digital elevation models across forest and non-forest landscapes in Kastamonu, Türkiye","2025","Advances in Space Research","10.1016/j.asr.2025.07.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010929632&doi=10.1016%2Fj.asr.2025.07.004&partnerID=40&md5=91eaec95a2a62836d61e4b9fcde5004e","Technological advancements have revolutionized the production of Global digital elevation models (DEMs). Today, there is an ever-increasing availability of global DEMs for scientific applications. The 12 m TanDEM-X, 30 m TanDEM-X Edited, 30 m Copernicus, and 30 m FABDEM global DEMs, along with the 5 m Turkish national DEM were compared in this study. While the global DEMs result from interferometric synthetic aperture radar, the Turkish DEM is produced by stereo-photogrammetry. The assessment was conducted in forested and non-forested settings. The validation was done using the Ice, Cloud and Land Elevation Satellite-2 (ICESat-2) LiDAR. Generally, FABDEM emerged as the most reliable DEM, achieving the best performance in three settings (whole area RMSE: 2.93 m; forest RMSE: 3.98 m; >70 % canopy closure RMSE: 4.31 m). In contrast, the Turkish national DEM outperformed the other DEMs in two settings (non-forest RMSE: 1.54 m; <70 % canopy closure RMSE: 2.83 m). Global DEMs with improved accuracies may soon replace authoritative national DEMs for various applications. © 2025 Elsevier B.V., All rights reserved.","Copernicus; Fabdem; Forest Cover; Icesat-2; Tandem-x; Turkish National Dem; Digital Elevation Model; Digital Instruments; Geomorphology; Ice; Photogrammetry; Space-based Radar; Surveying; Copernicu; Fabdem; Forest Cover; Ice Clouds; Ice, Cloud And Land Elevation Satellite-2; Land Elevation Satellites; Tandem-x; Turkish National Digital Elevation Model; Turkishs; Forestry"
"Satellite observations of global radio frequency noise and strong interference events at 500 km altitude: basic characteristics and geographical distribution","2025","Advances in Space Research","10.1016/j.asr.2025.06.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010910729&doi=10.1016%2Fj.asr.2025.06.045&partnerID=40&md5=3ac412235db2131599dc7547608d12cf","This study presents a comprehensive analysis of Radio Frequency (RF) noise and strong interference events (SIEs) across the time, frequency, and time–frequency domains. The data was collected by the SY15 satellite's Wideband ElectroMagnetic Pulse Detector (WEMPD), which orbits at an altitude of 500 km and within a frequency band of 25 to 75 MHz. The RF noise measurements were acquired during September 26–28, 2023, while the SIEs dataset covers the period from September 2022 to February 2024. The research involved segmenting the globe into 72 distinct regions to examine the geographical distribution of RF noise. The analysis revealed significant regional disparities in noise levels, with notably higher averages observed in the Middle East and India. A particularly ‘quieter’ band was identified within the 35 to 58 MHz range, where the global average noise power spectral density(PSD) in log representation falls below −140 dB re 1 V2/(m2·Hz) (abbreviated as dB hereafter), suggesting its potential for preferential use in detection payloads. The SIEs are mainly powerful radar signals and abnormal discharges. The powerful radar signals come from human activities on the ground, and the PSD in log representation is in the range of −120 to −100 dB, corresponding to the frequency bands of 45 to 48 and 51 to 54 MHz. In addition to the interaction between charged particles and spacecraft dielectric, a significant majority—approximately 95 %—of abnormal discharges are likely to come from the interference of powerful radar signals to spacecraft. The research findings serve dual purposes: informing the selection of payload operation thresholds and payload design, while also laying the groundwork for algorithms that recognize and categorize space RF events. © 2025 Elsevier B.V., All rights reserved.","Detection In Space; Radio Frequency Noise; Strong Interference Events; Acoustic Noise Measurement; Charged Particles; Electric Discharges; Electromagnetic Pulse; Frequency Bands; Frequency Domain Analysis; Geographical Regions; Orbits; Radio Waves; Space Flight; Space-based Radar; Spurious Signal Noise; Basic Characteristics; Comprehensive Analysis; Detection In Space; Noise Interference; Radar Signals; Radio Frequency Noise; Satellite Observations; Strong Interference; Strong Interference Event; Time Frequency; Geographical Distribution"
"Capability of lunar regolith with hydrogenous materials as shielding material against GCR and SPE on the surface of Moon studied using OLTARIS","2025","Advances in Space Research","10.1016/j.asr.2025.06.059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010899067&doi=10.1016%2Fj.asr.2025.06.059&partnerID=40&md5=a1b851d6974911173a5c956bf4a492f6","Apart from Earth, the Moon is the most frequently observed celestial body and the most probable place of habitation beyond our mother planet. One of the significant challenges for habitation is the radiation resulting from the combination of Galactic Cosmic Rays (GCR) and Solar Particle Events (SPEs) experienced on the Moon's surface. Unlike on Earth, there is no protection for a potential habitation zone on the Moon because of its weak magnetic field and extremely thin atmosphere. Incorporating lunar regolith into habitation shielding on the Moon is a promising approach for providing sufficient shielding while reducing the work involved in bringing building materials to the Moon. The interior wall of the regolith-built habitat could be covered in materials rich in hydrogen, which offer complementary radiation protection when being used together with lunar regolith while simultaneously protecting the interior of the housing from the slightly unsafe lunar regolith. In this publication, we compare several hydrogen-rich materials (polystyrene, polypropylene, Kevlar, Mylar, and Lithium hydride) for this application using OLTARIS simulations of effective dose equivalents inside a simulated habitation model. We find that among the hydrogen-rich materials used together with lunar regolith, lithium hydride for GCR and polypropylene for SPE yield the best shielding properties. Additionally, we investigate the thickness of the lunar regolith necessary to provide shielding against GCR. We also examine the differences in GCR shielding depending on the characteristics of the regolith in different regions of the Moon. © 2025 Elsevier B.V., All rights reserved.","Gcr; Lunar Habitation; Lunar Regolith; Oltaris; Radiation Shielding; Spe; Cosmic Rays; Cosmology; Earth Atmosphere; Hydrides; Hydrogen; Lithium Compounds; Lunar Surface Analysis; Magnetic Materials; Celestial Bodies; Cosmic-ray Particles; Galactic Cosmic Rays; Hydrogenous Materials; Lithium Hydrides; Lunar Habitation; Lunar Regolith; Oltaris; Shielding Materials; Solar Particle Events; Radiation Shielding"
"Convolutional neural network design and evaluation for real-time multivariate time series fault detection in spacecraft attitude sensors","2025","Advances in Space Research","10.1016/j.asr.2025.06.068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010891185&doi=10.1016%2Fj.asr.2025.06.068&partnerID=40&md5=07c6bb8b2d958dc0c97c3788a7aeb753","Traditional anomaly detection techniques onboard satellites are based on reliable, yet limited, thresholding mechanisms which are designed to monitor univariate signals and trigger recovery actions according to specific European Cooperation for Space Standardization (ECSS) standards. However, Artificial Intelligence-based Fault Detection, Isolation and Recovery (FDIR) solutions have recently raised with the prospect to overcome the limitations of these standard methods, expanding the range of detectable failures and improving response times. This paper presents a novel approach to detecting stuck values within the Accelerometer and Inertial Measurement Unit of a drone-like spacecraft for the exploration of Small Solar System Bodies (SSSB), leveraging a multi-channel Convolutional Neural Network (CNN) to perform multi-target classification and independently detect faults in the sensors. Significant attention has been dedicated to ensuring the compatibility of the algorithm within the onboard FDIR system, representing a step forward to the in-orbit validation of a technology that remains experimental until its robustness is thoroughly proven. An integration methodology is proposed to enable the network to effectively detect anomalies and trigger recovery actions at the system level. The detection performances and the capability of the algorithm in reaction triggering are evaluated employing a set of custom-defined detection and system metrics, showing the outstanding performances of the algorithm in performing its FDIR task. © 2025 Elsevier B.V., All rights reserved.","Aerospace; Convolutional Neural Network; Evaluation; Pus-based Fdir; Time Series; Anomaly Detection; Computer System Recovery; Convolution; Convolutional Neural Networks; Fault Detection; Orbits; Recovery; Target Drones; Aerospace; Convolutional Neural Network; Design And Evaluations; Evaluation; Fault Detection Isolation And Recoveries; Network Evaluation; Neural Network Designs; Pus-based Fault Detection, Isolation And Recovery; Recovery Actions; Times Series; Time Series"
"Corrigendum to “Spatio-temporal characteristics of ionospheric irregularities in low latitude regions during the peak of solar cycle 25” [Adv. Space Res. 76(1) (2025) 254–268, (S0273117725004168), (10.1016/j.asr.2025.04.062)]","2025","Advances in Space Research","10.1016/j.asr.2025.07.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010886251&doi=10.1016%2Fj.asr.2025.07.010&partnerID=40&md5=57dcde3e12661ff815e72813ac491189","The authors regret that the following was omitted from the acknowledgment section: This research project is also financially supported by National Research Council of Thailand (NRCT) under grant N41A640235. The authors would like to apologise for any inconvenience caused. © 2025 Elsevier B.V., All rights reserved.",""
"A CCD/CMOS telescope digital twin for Space Situational Awareness","2025","Advances in Space Research","10.1016/j.asr.2025.06.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010343755&doi=10.1016%2Fj.asr.2025.06.053&partnerID=40&md5=b32c2b3e521d91b38c840173bea62327","Space Situational Awareness (SSA) is the process of gaining and maintaining knowledge of space objects and their operational state. Much of the data that powers SSA activities is collected as images taken by optical sensors. Ground-based image acquisition is a dynamic process that is dependent on the object being imaged, as well as time-varying atmospheric and celestial conditions, and the geographic and optical properties of the optics and its sensor. In this work, we develop a digital twin model of image acquisition focusing on high photometric accuracy for optical ground stations using charge-coupled device (CCD) or complementary metal–oxide–semiconductor (CMOS) sensors. This work provides a high-fidelity photometric model for space objects and background stars and an approach to combine these signals into high-quality synthetic images. Simulated images produced with our model are compared and validated against observations from the Purdue Optical Ground Station (POGS) and the Zimmerwald Multiple Applications Instrument telescope (ZimMAIN). The presented model may be applied to design surveys for operational telescopes or to generate synthetic image datasets for training machine learning models for detecting and tracking space objects. © 2025 Elsevier B.V., All rights reserved.","Image Synthesis; Photometry; Space Debris; Space Situational Awareness; Charge Coupled Devices; Digital Twin; Image Acquisition; Learning Systems; Machine Learning; Optical Data Processing; Optical Properties; Space Debris; Space Optics; Telescopes; Complementary Metal Oxide Semiconductors; Coupled Devices; Images Synthesis; Operational State; Optical Ground Station; Optical-; Photometrics; Power Spaces; Space Objects; Space Situational Awareness; Photometry"
