"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"A Boy With Headache and Left Eye Swelling","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.06.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119292389&doi=10.1016%2Fj.annemergmed.2021.06.021&partnerID=40&md5=c65e95c0973dedc38a4d6a0d0478fc39","[No abstract available]","Adolescent; Case Report; Clinical Article; Emergency Ward; Eye Injury; Eye Swelling; Headache; Human; Intraocular Pressure; Male; Nuclear Magnetic Resonance; Ophthalmology; Point Of Care Ultrasound; Retina; Short Survey; Visual Acuity; Diagnostic Imaging; Edema; Emergency Treatment; Eye; Nuclear Magnetic Resonance Imaging; Adolescent; Edema; Emergency Treatment; Eye; Headache; Humans; Intraocular Pressure; Magnetic Resonance Imaging; Male; Visual Acuity"
"Ketamine Should be the Preferred Agent for Rapid Sequence Intubation","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.07.118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119284330&doi=10.1016%2Fj.annemergmed.2021.07.118&partnerID=40&md5=c407166f5c553627199e368c4ab5fea6","[No abstract available]","Etomidate; Hydrocortisone; Ketamine; Ketamine; Sympathomimetics; Catecholamine; Etomidate; Hydrocortisone; Ketamine; Adrenergic Receptor Stimulating Agent; Acutely Ill Patient; Adrenal Disease; Analgesia; Bronchodilatation; Difficult Intubation; Drug Fatality; Emergency Medicine; General Condition Improvement; Hemodynamics; Human; Hypotension; Note; Patient Acuity; Randomized Controlled Trial (topic); Rapid Sequence Induction; Risk Factor; Sedation; Septic Shock; Hospital Emergency Service; Procedures; Respiration Control; Airway Management; Emergency Service, Hospital; Humans; Ketamine; Rapid Sequence Induction And Intubation; Sympathomimetics"
"Man With Stingray Envenomation","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.06.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119278285&doi=10.1016%2Fj.annemergmed.2021.06.022&partnerID=40&md5=fb9cb6fd15181ab9d0dd3f0ad1b092a4","[No abstract available]","Tetanus Toxoid; Fish Venom; Anti-bacterial Agents; Fish Venoms; Antibiotic Agent; Hot Water; Tetanus Toxoid; Antiinfective Agent; Fish Venom; Abdominal Pain; Aged; Artery Reconstruction; Blood Vessel Injury; Case Report; Clinical Article; Colles Fracture; Decontamination; Dizziness; Drowsiness; Echography; Emergency Ward; Envenomation; Fish Sting; Fishing; Foreign Body; Hospital Discharge; Hospitalization; Human; Joint Swelling; Lethargy; Male; Pain; Pain Intensity; Penetrating Trauma; Point Of Care Ultrasound; Radial Artery; Short Survey; Soft Tissue; Tetanus; Tetanus Prophylaxis; Videorecording; Water Immersion; Wrist; Animal; Bites And Stings; Complication; Drug Therapy; Emergency Treatment; Heat; Immersion; Treatment Outcome; Aged; Animals; Anti-bacterial Agents; Bites And Stings; Emergency Treatment; Fish Venoms; Foreign Bodies; Hot Temperature; Humans; Immersion; Male; Radial Artery; Skates, Fish; Treatment Outcome; Wounds, Penetrating"
"Man with Right Upper Quadrant Abdominal Pain","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.06.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119274414&doi=10.1016%2Fj.annemergmed.2021.06.026&partnerID=40&md5=94929c6a2fdca1c0727854ada6348afd","[No abstract available]","Abdominal Tenderness; Adult; Ambulatory Surgery; Case Report; Cholecystectomy; Clinical Article; Emergency Medicine; Emergency Physician; Gallbladder; Gallstone; Human; Leukocyte Count; Male; Point Of Care Testing; Point Of Care Ultrasound; Short Survey; Upper Abdominal Pain; Vomiting; Abdominal Pain; Cholelithiasis; Diagnostic Imaging; Emergency Treatment; X-ray Computed Tomography; Abdominal Pain; Adult; Cholelithiasis; Emergency Treatment; Gallbladder; Humans; Male; Tomography, X-ray Computed"
"A Boy With Hematemesis","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.06.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119270961&doi=10.1016%2Fj.annemergmed.2021.06.010&partnerID=40&md5=c46c0d32d12dab349c3352053c130cb3","[No abstract available]","Case Report; Child; Clinical Article; Computer Assisted Tomography; Contrast Enhancement; Emergency Ward; Gastroscopy; Glomus Tumor; Hematemesis; Histopathology; Human; Human Tissue; Male; School Child; Short Survey; Stomach Antrum; Stomach Surgery; Stomach Tumor; Diagnostic Imaging; Emergency Treatment; Gastrointestinal Endoscopy; Pathology; Stomach; Treatment Outcome; X-ray Computed Tomography; Child; Emergency Treatment; Endoscopy, Gastrointestinal; Gastroscopy; Glomus Tumor; Hematemesis; Humans; Stomach; Stomach Neoplasms; Tomography, X-ray Computed; Treatment Outcome"
"Man with sudden visual loss","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.06.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119263016&doi=10.1016%2Fj.annemergmed.2021.06.023&partnerID=40&md5=1c7e64d599cd6fd66d9a22c4f3268137","[No abstract available]","Alpha Adrenergic Receptor Stimulating Agent; Dabigatran; Afferent Pupillary Defect; Aged; Artery Blood Flow; Artery Occlusion; Brain Infarction; Case Report; Central Retina Artery Occlusion; Cherry Red Spot; Clinical Article; Color Doppler Flowmetry; Disease Severity; Drug Megadose; Echooculography; Emergency Ward; Eye Fundus; Eye Pain; Follow Up; Human; Infrared Oculography; Male; Nuclear Magnetic Resonance Imaging; Pain Intensity; Point Of Care Ultrasound; Pulsed Doppler Ultrasonography; Short Survey; Visual Acuity; Visual Impairment; Atrial Fibrillation; Blindness; Complication; Diagnostic Imaging; Eye; Hypertension; Point Of Care Testing; Retina Artery; Vascularization; Aged; Atrial Fibrillation; Blindness; Eye; Humans; Hypertension; Male; Point-of-care Testing; Retinal Artery; Ultrasonography, Doppler, Pulsed; Visual Acuity"
"What Happens When You Die in the Emergency Room","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119256215&doi=10.1016%2Fj.annemergmed.2021.04.018&partnerID=40&md5=191ac9414c6990244d7e9fae74943dbd","[No abstract available]","Editorial; Emergency Care; Emergency Health Service; Emergency Patient; Emergency Surgery; Emergency Treatment; Emergency Ward; Human; Sudden Death; Death; Hospital Emergency Service; Treatment Outcome; Death; Emergency Medical Services; Emergency Service, Hospital; Humans; Treatment Outcome"
"Woman with acute abdominal pain","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.06.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119254119&doi=10.1016%2Fj.annemergmed.2021.06.024&partnerID=40&md5=e2b9478bfdf56a82885c454ee152985a","[No abstract available]","Adnexa Disease; Adult; Case Report; Clinical Article; Color Doppler Flowmetry; Emergency Care; Emergency Ward; Enucleation; Female; Human; Laparoscopic Surgery; Lower Abdominal Pain; Ovary Blood Flow; Ovary Cyst; Ovary Torsion; Ovary Tumor; Physical Examination; Short Survey; Transvaginal Echography; Vascular Pedicle; Abdominal Pain; Acute Abdomen; Diagnostic Imaging; Diarrhea; Emergency Treatment; Fever; Laparoscopy; Nausea; Ovary; Pathology; Procedures; Uterus Bleeding; Abdomen, Acute; Abdominal Pain; Adult; Diarrhea; Emergency Treatment; Female; Fever; Humans; Laparoscopy; Nausea; Ovarian Cysts; Ovary; Ultrasonography, Doppler, Color; Uterine Hemorrhage"
"Man with Motorcycle Injury","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.07.110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119252155&doi=10.1016%2Fj.annemergmed.2021.07.110&partnerID=40&md5=49e9f10f5c19b84ec095c7b8a6ad5e22","[No abstract available]","Cefazolin; Tetanus Toxoid; Cefazolin; Tetanus Toxoid; Cefazolin; Tetanus Toxoid; Adult; Blunt Trauma; Case Report; Clinical Article; Closed Reduction (procedure); Computer Assisted Tomography; Emergency Health Service; Hernia; Human; Laceration; Male; Perineum Injury; Rupture; Scrotal Pain; Sedation; Short Survey; Testis Injury; Tetanus Prophylaxis; Traffic Accident; Tunica Vaginalis; Injury; Intravenous Drug Administration; Motorcycle; Scrotum; Testis; Tetanus; Accidents, Traffic; Administration, Intravenous; Adult; Cefazolin; Humans; Male; Motorcycles; Scrotum; Testis; Tetanus; Tetanus Toxoid"
"Accidental Ocular Rocuronium Exposure","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.09.426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119206372&doi=10.1016%2Fj.annemergmed.2021.09.426&partnerID=40&md5=4a5f4baddbd2ab5005a3b509b5c43af7","[No abstract available]","Rocuronium; Androstanols; Neuromuscular Nondepolarizing Agents; Rocuronium; Rocuronium; Androstane Derivative; Neuromuscular Blocking Agent; Accidental Injury; Adult; Blurred Vision; Case Report; Clinical Article; Drug Exposure; Emergency Ward; Eye Injury; Eye Lavage; Eyelid Disease; Face Disorder; Female; Hospital Discharge; Human; Letter; Muscle Weakness; Physical Examination; Poison Center; Return To Work; Eye; Occupational Accident; Accidents, Occupational; Adult; Androstanols; Eye; Female; Humans; Neuromuscular Nondepolarizing Agents; Rocuronium"
"Stylet, No?: December 2021 Annals of Emergency Medicine Journal Club","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.10.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119191545&doi=10.1016%2Fj.annemergmed.2021.10.006&partnerID=40&md5=8fc8e59fa0742f77218ec2b4c7c915da","[No abstract available]","Article; Clinician; Emergency Medicine; Emergency Ward; Feedback System; Human; Intensive Care Unit; Medical Student; Practice Guideline"
"E-Cigarette–Associated Seizure Reports to Food and Drug Administration Lack Medical Information","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119184501&doi=10.1016%2Fj.annemergmed.2021.08.001&partnerID=40&md5=368d65cdb054a574db9604c775071cd8","[No abstract available]","Nicotine; Nicotine; Emergency Ward; Food And Drug Administration; Health Care Personnel; Human; Letter; Medical Documentation; Medical Information; Safety; Seizure; Vaping; Adverse Event; Electronic Cigarette; United States; Electronic Nicotine Delivery Systems; Humans; Seizures; United States Food And Drug Administration; Vaping"
"The Influence of Serial ECG on the Test Characteristics of the Sgarbossa Criteria in Ventricular Paced Rhythms","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.08.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119176736&doi=10.1016%2Fj.annemergmed.2021.08.018&partnerID=40&md5=63685561a9f0ef777d62089a4e612b8d","[No abstract available]","Acute Coronary Syndrome; Cardiovascular Parameters; Diagnostic Accuracy; Diagnostic Test Accuracy Study; Diagnostic Value; Electrocardiogram; Electrocardiography; False Positive Result; Heart Infarction; Heart Rhythm; Heart Ventricle Pacing; Human; Letter; Occlusion; Practice Guideline; Sgarbossa Criteria; Thorax Pain; Diagnostic Imaging; Heart Bundle Branch Block; Heart Ventricle; Bundle-branch Block; Electrocardiography; Heart Ventricles; Humans"
"Etomidate Should be the Default Agent for Rapid Sequence Intubation in the Emergency Department","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.05.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119172813&doi=10.1016%2Fj.annemergmed.2021.05.018&partnerID=40&md5=5902f340832cba06127d2bde9d92cf96","[No abstract available]","Etomidate; Heart Muscle Depressant Factor; Ketamine; Analgesics; Anesthetics, Intravenous; Etomidate; Hypnotics And Sedatives; Ketamine; Etomidate; Heart Muscle Depressant Factor; Ketamine; Analgesic Agent; Hypnotic Sedative Agent; Intravenous Anesthetic Agent; Analgesic Activity; Anesthesia Induction; Catecholamine Release; Drug Choice; Drug Mechanism; Emergency Ward; Heart Left Ventricle Contractility; Heart Left Ventricle Relaxation; Hemodynamics; Human; Hydrocortisone Blood Level; Mortality; Note; Randomized Controlled Trial (topic); Rapid Sequence Induction; Respiration Control; Sedation; Treatment Outcome; Emergency Treatment; Endotracheal Intubation; Hospital Emergency Service; Procedures; Analgesics; Anesthetics, Intravenous; Emergency Service, Hospital; Emergency Treatment; Etomidate; Humans; Hypnotics And Sedatives; Intubation, Intratracheal; Ketamine; Rapid Sequence Induction And Intubation"
"An Ethical, Legal, and Structural Framework for Law Enforcement in the Emergency Department","2021","Annals of Emergency Medicine","10.1016/j.annemergmed.2021.08.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118359032&doi=10.1016%2Fj.annemergmed.2021.08.009&partnerID=40&md5=ae15ecb324136596020c62f6fb52d6ef","[No abstract available]","Conceptual Framework; Editorial; Emergency Physician; Emergency Ward; Hospital Policy; Human; Human Rights; Law Enforcement; Medical Care; Medical Ethics; Medical Personnel; Patient Right; Police; Hospital Emergency Service; Morality; Emergency Service, Hospital; Humans; Law Enforcement; Morals; Police"
