"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"The influence of material gradation parallel to two unequal mode-III cracks in functionally graded materials via strain gradient elasticity theory","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202064862&doi=10.1016%2Fj.apm.2024.115647&partnerID=40&md5=3e2623ca8a26d521d1e83ca55f54b2b2","In this article, the strain gradient elasticity (SGE) theory is used to investigate the mechanical behaviour of a functionally graded material (FGM) weakened by two unequal collinear mode-III cracks. The SGE theory uses two material characteristic lengths, ℓ and ℓ′, to account for volumetric and surface strain-gradient factors, respectively. The directions of both cracks coincide with the material gradation, which is oriented parallel to the x-axis. The numerical outcomes of the problem are obtained by constructing the system of equations using the hyper-singular integral-differential equation technique. The influence of the material gradation parameter on various fracture parameters, including the stress intensity factor (SIF), strain and crack surface displacement (CSD), is numerically shown. In addition, different loads are considered while analysing CSD profiles in connection to the gradation parameter β. Furthermore, the effect of inter-crack distance on CSD profiles is comprehensively explored, showing information between crack geometry and material gradation. © 2024 Elsevier B.V., All rights reserved.","Collinear Cracks; Crack Surface Displacement; Functionally Graded Material; Strain Gradient Theory; Stress Intensity Factor; Choquet Integral; Crack Propagation; Stress Intensity Factors; Collinear Cracks; Crack Surface Displacement; Crack Surfaces; Functionally Graded; Graded Materials; Material Gradation; Strain Gradient Elasticity Theories; Strain Gradient Theory; Stress-intensity Factors; Surface Displacement; Integral Equations"
"Anisotropic parameters and bulk waves propagation in arbitrarily-anisotropic materials","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201774279&doi=10.1016%2Fj.apm.2024.115640&partnerID=40&md5=a30cfa48204f9078526a07852469876b","To reflect the anisotropic degree of materials and to further reveal its relevance with the elastic wave propagation in materials, the Thomsen's parameters were proposed for transversely-isotropic materials with weakly anisotropy and were generalized to materials with lower symmetries. This paper derives the complete 21 anisotropic parameters of arbitrarily-anisotropic (triclinic) materials to reflect their anisotropic degree by virtue of the Christoffel equation, as the propagation of generally coupled bulk waves is considered. First, the derivation is conducted analytically on basis of the coordinate transformations to the propagation direction of general bulk waves and to the stiffness matrix of arbitrarily-anisotropic materials involved in the Christoffel equation, but does not require the concrete expanded expression of the Christoffel equation. Then, the influences of any anisotropic parameters on the anisotropy characteristics on arbitrary planes and on the dispersion characteristics along any directions of bulk waves are investigated in detail, which are reflected by the variations of the slowness/phase velocity curves and the comprehensive dispersion curves, respectively. Finally, the influential rules are illustrated and summarized with combination of numerical examples about two typical exemplified anisotropic materials. It is found that the 21 anisotropic parameters for triclinic materials, which can actually be utilized to describe the anisotropic degree for all materials, are divided into five groups according to their influential patterns on the anisotropy characteristics of bulk waves. Furthermore, the dispersion characteristics of each bulk wave mode along specific direction are affected by three anisotropic parameters. © 2024 Elsevier B.V., All rights reserved.","A. Anisotropic Parameters; B. Arbitrarily-anisotropic Materials; C. Bulk Waves; D. Slowness Curves; E. Phase Velocity Curves; F. Dispersion Curves; Anisotropic Media; Anisotropy; Dispersion (waves); Dispersions; Phase Velocity; Stiffness Matrix; A Anisotropic Parameter; Anisotropic Material; B Arbitrarily-anisotropic Material; Bulk Waves; C Bulk Wave; D Slowness Curve; Dispersion Curves; E Phase Velocity Curve; F Dispersion Curve; Slowness Curves; Velocity Curves; Elastic Waves"
"Modelling of electromechanical coupling dynamics for high-speed EHT system used in HEV and characteristics analysis","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.07.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201720855&doi=10.1016%2Fj.apm.2024.07.021&partnerID=40&md5=fc28aadd5553bfed1662208ebb2c15c2","As the development of hybrid electric vehicle (HEV) to high-speed, heavy-load, the electromechanical coupling vibration becomes the bottleneck in high-speed electromechanical hybrid transmission (EHT) system. To explore the dynamics characteristics and optimization direction for high-speed EHT system, an electromechanical coupling dynamics model under multi-source excitations is established with lumped-distributed parameter method and verified with experiment data. The dynamics model shows higher accuracy in both time and frequency domain analysis. On this basis, firstly, the comparison between lumped-shaft and distributed-shaft model is studied under time and frequency domain. Comparing with the lumped-shaft model, the distributed-shaft model shows higher accuracy, and can better reflect the coupling vibration of multi-stage planetary gears (PGs). Secondly, the inherent vibration model is derived, and the effect of electromechanical coupling and high-speed working conditions on inherent vibration characteristics are studied. Thirdly, a new method called ‘machine-electricity-magnet coupling interface’ is proposed to reveal the coupling vibration phenomenon. In addition, the signal of stator current and electromagnetic torque includes the frequency of PGs, which is a basis on the fault diagnosis and state monitor of EHT system. Last but not the least, the vibration acceleration of EHT system is analysed under variable speed and load working conditions. Rotation speed and gear meshing force is found as the main influencing factor of series EHT system, and the specific optimization direction is also given. © 2024 Elsevier B.V., All rights reserved.","Coupling Interface; Electromechanical Coupling Dynamics; Electromechanical Hybrid Transmission System (eht); Hybrid Electric Vehicle (hev); Multi-source Excitations; Ehv Power Transmission; Electric Fault Location; Gear Transmissions; Hybrid Vehicles; Lumped Parameter Networks; Machine Vibrations; Magnetic Couplings; Magnetic Levitation Vehicles; Stators; Variable Speed Transmissions; Vibration Analysis; Coupling Dynamics; Coupling Interfaces; Coupling Vibration; Electromechanical Coupling Dynamic; Electromechanical Hybrid Transmission System; High Speed; Hybrid Electric Vehicle; Hybrid Transmissions; Multi-source Excitations; Transmission Systems; Epicyclic Gears"
"Adaptive sliding mode control with disturbance estimation for hydraulic actuator systems and application to rock drilling jumbo","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201705181&doi=10.1016%2Fj.apm.2024.115637&partnerID=40&md5=c493594bc5f60493ccecafc9dd0372fe","For achieving high-performance control of hydraulic actuator systems, an adaptive sliding mode control with disturbance estimation algorithm is proposed and successfully applied to the hydraulic actuator systems of rock drilling jumbo. A switching extended state observer for hydraulic actuator systems is proposed, which combines the advantages of the linear extended state observer and the nonlinear extended state observer to estimate system disturbances more efficiently. The designed parameter adaptive law provides adaptivity to the system parameters, while the disturbance estimation algorithm can online estimate the unknown disturbances, such integration can enhance the adaptability and robustness of the sliding mode control algorithm. Rigorous simulation tests and practical application experiments are conducted to evaluate the performance of the proposed controller. The reliability of the designed parameter adaptive law and switching extended state observer is validated in detail in simulation studies. In the application experiments of rock drill jumbo, the results indicate the proposed controller is superior to sliding mode control with disturbance estimation and PID control. The average error of the developed controller is reduced by 58 %, 54 %, and 56 % compared to the sliding mode control with disturbance estimation controller, and 82 %, 78 %, and 79 % compared to the PID controller in tracking the low-frequency, high-frequency, and superimposed sinusoidal signals, respectively. Moreover, both the convergence of the uncertain parameters and the estimation of the unknown disturbances in the experiments are satisfactory. These experimental results adequately demonstrate the practical application value of the proposed controller. © 2024 Elsevier B.V., All rights reserved.","Adaptive Sliding Mode Control; Disturbance Estimation; Hydraulic Actuator Systems; Rock Drilling Jumbo; Switching Extended State Observer; Adaptive Control Systems; Frequency Estimation; Hydraulic Control Equipment; Proportional Control Systems; Robustness (control Systems); State Estimation; Three Term Control Systems; Time Difference Of Arrival; Two Term Control Systems; Actuator System; Adaptive Sliding Mode Control; Disturbance Estimation; Estimation Algorithm; Extended State Observer; Hydraulic Actuator System; Parameter Adaptive Laws; Rock Drilling Jumbo; Switching Extended State Observer; Unknown Disturbance; Rock Drills"
"Analytical approach for lateral dynamic responses of offshore wind turbines supported by cement-soil composite steel pipe pile embedded in gassy marine sediment layer","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201703585&doi=10.1016%2Fj.apm.2024.115641&partnerID=40&md5=7c4dbfffd8732b407f834eda2e04d26f","This study aims to clarify and gain an insight into the lateral dynamic response of offshore wind turbines (OWTs) supported by cement-soil composite steel (CCS) pipe pile embedded in gassy marine sediment layer by developing an analytical approach. In the proposed approach, the CCS pipe pile-supported OWT system is divided into three parts including the tower part, the seawater-immersed steel pipe pile part, and the embedded CCS pipe pile part. The lateral dynamic behaviours of the CCS pipe pile-supported OWT system have been determined and then validated by solving the analytical solution of lateral displacement for the above three parts. Numerical discussions are finally conducted to analysis the influence of some physical parameters on the lateral displacement and the first-order natural frequency of the CCS pipe pile-supported OWT system. The main findings can be summarized as: (i) the offshore deep cement-soil mixing (ODCM) pile is an effective reinforcement method to reduce the lateral vibration of conventional steel pipe pile-supported OWTs; (ii) the increase in tower height and seawater layer thickness will have a serious negative impact on the lateral dynamic response of CCS pipe pile-supported OWTs; (iii) the increase in gas saturation of gassy marine soil will lead to a negative influence on the maximum lateral displacement of CCS pipe pile-supported OWTs. © 2024 Elsevier B.V., All rights reserved.","Cement-soil Composite Steel Pipe Pile; First-order Natural Frequency; Gassy Marine Soil; Maximum Lateral Displacement; Offshore Wind Turbine; Offshore Pipelines; Piles; Seawater; Soil Cement; Steel Analysis; Underwater Soils; Vibration Analysis; Cement Soil; Cement-soil Composite Steel Pipe Pile; Composite Steel; First Order Natural Frequency; Gassy Marine Soil; Lateral Displacements; Marine Soils; Maximum Lateral Displacement; Offshore Winds; Steel Pipe Pile; Offshore Wind Turbines"
"A nonlinear vibration isolator with an essentially nonlinear converter","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201686860&doi=10.1016%2Fj.apm.2024.115648&partnerID=40&md5=9d4417e1fd29d36c1e8c762c34df1bfc","This paper introduces nonlinearity into bilinear springs and proposes an efficient asymmetrical nonlinear frequency converter (NC) that has a non-reciprocal transmission, which cascades a nonlinear spring and a rope. To solve the vibration equations of both NC and the conventional NES, the Runge-Kutta method is utilized. A comparison is conducted between the amplitude attenuation rates of the NC and the conventional NES. The rate of energy dissipation is indicated by analyzing the remaining energy. According to numerical analysis results, NC has a better performance in suppressing vibration than the conventional NES within a certain range. The energy dissipation rate is higher under a wide initial condition. In addition, NC can cause energy to shift from low-frequency regions to high-frequency regions with wide frequency bands. NC has a broader frequency range and a wider range of applications. This research offers a new approach and strategy for exploring effective devices for damping vibrations. © 2024 Elsevier B.V., All rights reserved.","Bilinear Spring; Nonlinear Converter; Nonlinear Energy Sink; Vibration Suppression; Runge Kutta Methods; Bilinear Spring; Non-linear Springs; Non-linear Vibrations; Nonlinear Converter; Nonlinear Energy Sink; Nonlinear Frequency Converters; Reciprocal Transmissions; Vibration Equations; Vibration Isolators; Vibration Suppression; Nonlinear Simulations"
"Mathematical modelling for strata deformation caused by rectangular pipe jacking construction in composite layered ground","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201668975&doi=10.1016%2Fj.apm.2024.115649&partnerID=40&md5=d0b042de4ac2e685c85195701860a1d3","In this study, analytical solutions of vertical deformation of ground surface and horizontal displacement of strata are derived combining the Mindlin solution and the mirror method due to rectangular pipe jacking tunneling in composite strata, which considers the combined effect of five factors of additional excavation pressure, friction of rectangular pipe jacking and soils, segment-soil friction, grouting filling and strata loss, respectively. The theoretical calculation results were verified against the measured data in two project cases. Moreover, effect factors of rectangular jacking pipe cross-sectional dimensions, embedment of tunnel axial depth, elasticity modulus on the interlayer and the Poisson's ratio of the interlayer on strata deformation is investigated. The results imply that the theoretical calculation values obtained using this method are more closely correlated with the observed values compared to those computed using the single stratum model. The primary cause of terrene upheaval in front of the working surface is the increased excavation pressure on the working face and the horizontal displacement of the deep soils and the surface subsidence behind the excavation face is resulting from the soil loss as the main influencing factor. The varying cross-section size of pipe jacking is able to impact on the vertical deformation of the soil, but it has a limited impact on the lateral displacement of the strata. The affection of the buried depth of the tunnel axis on strata deformation is more notable in the rectangular pipe jacking construction. As the axial tunnel depth growth, the ground surface maximum subsidence value gradually decreases, while the crest value of horizontal distortion mildly increases. When the rise of the interlayered modulus of elasticity, the maximum earth surface subsidence enlarged gradually while the subsidence trough slight diminution. Moreover, the greatest horizontal displacement exhibits a relatively minor fluctuation, but there is a trend of upward movement in the position. The influence of Poisson's ratio of the interlayer on the strata deformation is comparatively weak. © 2024 Elsevier B.V., All rights reserved.","Composite Layered Ground; Mindlin Solution; Rectangular Pipe Jacking; Strata Deformation; Tunneling; Jacks; Tunneling (excavation); Composite Layered Ground; Horizontal Displacements; Layered Ground; Mindlin Solution; Pipe Jacking; Rectangular Pipe Jacking; Rectangular Pipes; Strata Deformations; Tunneling; Vertical Deformation; Poisson Ratio"
"HLFEMP: A coupled MPM-FEM method under a hybrid updated and total Lagrangian framework","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.115644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201587158&doi=10.1016%2Fj.apm.2024.115644&partnerID=40&md5=09652bac8bb85f99fecfea94da3af898","Coupling the Material Point Method (MPM) with the Finite Element Method (FEM) provides a powerful approach for addressing problems characterized by the coexistence of large and small deformations. The majority of existing MPM-FEM methods, which operate within the updated Lagrangian framework, introduce inherent issues, such as cell-crossing noise and numerical fracture, compromising the overall accuracy of the coupled method. This paper presents a coupled MPM-FEM method under a hybrid updated and total Lagrangian framework (HLFEMP). Within the HLFEMP, updated Lagrangian FEM is employed to handle small deformations, while total Lagrangian MPM is adopted to model large deformations. A particle-to-surface contact algorithm with auxiliary thickness layer is utilized to couple both methods. Notably, by imposing the weak form of total Lagrangian MPM in the undeformed configuration, HLFEMP is rendered free from cell-crossing noise and numerical fracture, resulting in better computational stability. The performance of HLFEMP in terms of energy behavior, accuracy, efficiency and stability under large elastic and elasto-plastic deformations are investigated through a series of numerical simulations. © 2024 Elsevier B.V., All rights reserved.","Large Deformation; Material Point Method; Mpm-fem Coupling; Total-lagrangian; Updated-lagrangian; Convergence Of Numerical Methods; Interpolation; Element Method; Lagrangian Frameworks; Larger Deformations; Material Point Method-finite Element Method Coupling; Material Point Methods; Overall Accuracies; Small Deformations; Total Lagrangian; Updated Lagrangian; Lagrange Multipliers"
"Meta-analysis of RNA-seq studies with an adaptive weight and truncation p-value combination test","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.07.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201510063&doi=10.1016%2Fj.apm.2024.07.018&partnerID=40&md5=6d6f32ba05b13ef42fb17dfb91a6929e","For RNA-seq studies, an important task is to identify genes that are differentially expressed between groups. Nevertheless, the identification of differentially expressed (DE) genes from a single study can be challenging as the small number of samples and the high sensitivity of data perturbations. Combining p-values from multiple RNA-seq studies can increase the statistical power and the accuracy in detecting DE genes. In this paper, we propose a weight and truncation p-value combination test for meta-analyzing RNA-seq studies. We show that with proper weight and truncation parameters, our new test has a higher statistical power over the existing tests, when the genes are weakly expressed in most studies and the sample size is unbalanced. We then present simulations and apply to two real data analysis. Finally, we provide some practical guidance for our new test and some existing p-value combination tests. © 2024 Elsevier B.V., All rights reserved.","Meta-analysis; Multiple Studies; P-value Combination; Rna-seq Studies; Statistical Power; Adaptive Weights; High Sensitivity; Identification Of Differentially Expressed Genes; Meta-analysis; Multiple Study; Number Of Samples; P-value Combination; P-values; Rna-seq Study; Statistical Power"
"Numerical fatigue damage analysis and mathematical modeling of articular cartilage under cyclic load via hyperelasticity theory","2024","Applied Mathematical Modelling","10.1016/j.apm.2024.07.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201500447&doi=10.1016%2Fj.apm.2024.07.020&partnerID=40&md5=93fdea29f18b0cc4c6f426529cb08b2b","The paper presents the modeling of damage to articular cartilage under cyclic daily loads using a curved beam model and hyper-elasticity theory. Mainly, articular cartilage (AC) is a kind of very important biological tissue that has the fundamental role of withstanding applied mechanical loads and providing smooth movement of joints. The existence of mechanical loads, however, has a huge influence on the behavior and the entire healthiness of AC. These loads, over time, can cause injury through fatigue-type damage because of frequent stresses. The basic aim of this study is to mainly offer a detailed mathematical model measuring the damage caused in AC under the action of mechanical forces incorporating different variants like age, body mass index, metabolic activity, functionally graded, porosity and prestresses. The structural energies including potential energy according to the neoHookean model as well as kinetic energy and external work are achieved through the use of strain-displacement and stress-strain relations. Then, the nonlinear governing equations of the articular cartilage are derived using Hamilton's principle. Furthermore, the mathematical model has been implemented numerically through the differential quadrature method (DQM). A qualitative correspondence between the numerical predictions and experimental data has led us to conclude that this model has the potential to serve as a valuable tool for physicians and therapists. The results of this research indicate that among the factors affecting the increase of damage in cartilage, the most important factor is the body mass index, followed by a person's age, hormonal conditions, and cartilage thickness with a negative effect. The probability of damage for an athlete is about 33 percent higher than a normal person, and for a weightlifter (heavy sports) it is about 140 percent higher than a normal person. © 2024 Elsevier B.V., All rights reserved.","Articular Cartilage; Damage Analysis; Differential Quadrature Numerical Method; Hyperelastic Model; Cartilage; Curved Beams And Girders; Cyclic Loads; Differentiation (calculus); Fatigue Damage; Joints (anatomy); Kinetics; Nonlinear Equations; Strain Energy; Articular Cartilages; Body Mass; Damage Analysis; Differential Quadrature; Differential Quadrature Numerical Method; Energy; Fatigue Damage Analysis; Hyperelastic Models; Mass Index; Mechanical Loads; Kinetic Energy"
