"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Studying human neural function in vivo at the cellular level: Chasing chimeras?","2022","Cell","10.1016/j.cell.2022.11.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144638578&doi=10.1016%2Fj.cell.2022.11.020&partnerID=40&md5=59e253b36c48102717f048470cfaa8c6","Despite its importance to understanding human brain (dys)function, it has remained challenging to study human neurons in vivo. Recent approaches, using transplantation of human cortical neurons into the rodent brain, offer new prospects for the study of human neural function and disease in vivo, from molecular to circuit levels. © 2023 Elsevier B.V., All rights reserved.","Brain Cell; Brain Dysfunction; Cell Population; Chimera; Ex Vivo Study; Human; In Vitro Study; In Vivo Study; Metabolic Fingerprinting; Nerve Cell; Neurobiology; Nonhuman; Note; Organoid; Rodent; Transcriptomics; Transplantation; Xenotransplantation; Brain; Physiology; Stem Cell; Brain; Humans; Neurons; Stem Cells"
"Relatlimab and nivolumab in the treatment of melanoma","2022","Cell","10.1016/j.cell.2022.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144638404&doi=10.1016%2Fj.cell.2022.12.003&partnerID=40&md5=05579237510287aa161ab039f35c9a12","Combined LAG-3 and PD-1 blockade is an emerging strategy for the treatment of melanoma. Tawbi et al. and Amaria et al. report in The New England Journal of Medicine and Nature respectively on two clinical trials evaluating relatlimab and nivolumab as front-line treatment for metastatic, and resectable, high-risk, node-positive melanoma. © 2023 Elsevier B.V., All rights reserved.","Ipilimumab; Nivolumab; Relatlimab; Antibodies, Monoclonal, Humanized; Ipilimumab; Nivolumab; Relatlimab; Cytotoxic T Lymphocyte Antigen 4; Immunoglobulin G4; Ipilimumab; Ligand; Nivolumab; Programmed Death 1 Ligand 1; Relatlimab; Monoclonal Antibody; Brain Metastasis; Cancer Risk; Cancer Staging; Cd4+ T Lymphocyte; Cd8+ T Lymphocyte; Controlled Study; Disease Exacerbation; Double Blind Procedure; Hazard Ratio; Human; Immune Evasion; Melanoma; Monotherapy; Note; Overall Survival; Phase 2 Clinical Trial; Phase 3 Clinical Trial; Progression Free Survival; Randomized Controlled Trial; Recurrence Free Survival; T Lymphocyte; Treatment Failure; Treatment Response; Tumor Associated Leukocyte; Tumor Cell; Pathology; Antibodies, Monoclonal, Humanized; Humans; Ipilimumab; Melanoma; Nivolumab"
"Chimeric efferocytic receptors improve apoptotic cell clearance and alleviate inflammation","2022","Cell","10.1016/j.cell.2022.11.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144637725&doi=10.1016%2Fj.cell.2022.11.029&partnerID=40&md5=21adab835182dde4f8b3f4c9bbd585df","Our bodies turn over billions of cells daily via apoptosis and are in turn cleared by phagocytes via the process of “efferocytosis.” Defects in efferocytosis are now linked to various inflammatory diseases. Here, we designed a strategy to boost efferocytosis, denoted “chimeric receptor for efferocytosis” (CHEF). We fused a specific signaling domain within the cytoplasmic adapter protein ELMO1 to the extracellular phosphatidylserine recognition domains of the efferocytic receptors BAI1 or TIM4, generating BELMO and TELMO, respectively. CHEF-expressing phagocytes display a striking increase in efferocytosis. In mouse models of inflammation, BELMO expression attenuates colitis, hepatotoxicity, and nephrotoxicity. In mechanistic studies, BELMO increases ER-resident enzymes and chaperones to overcome protein-folding-associated toxicity, which was further validated in a model of ER-stress-induced renal ischemia-reperfusion injury. Finally, TELMO introduction after onset of kidney injury significantly reduced fibrosis. Collectively, these data advance a concept of chimeric efferocytic receptors to boost efferocytosis and dampen inflammation. © 2023 Elsevier B.V., All rights reserved.","Acute Kidney Injury; Apoptosis; Bai1; Chef; Chimeric Receptor; Efferocytosis; Elmo1; Inflammatory Diseases; Tim4; Ketamine; Xylazine; Carrier Protein; Adaptor Proteins, Signal Transducing; Carrier Proteins; Elmo1 Protein, Mouse; Adaptor Protein; Bai1 Receptor; Belmo Receptor; Cell Enzyme; Chaperone; Chimeric Efferocytic Receptor; Cytoplasm Protein; Efferocytic Receptor; Elmo1 Protein; Ketamine; Phosphatidylserine; Receptor; Telmo Receptor; Tim4 Receptor; Unclassified Drug; Xylazine; Carrier Protein; Elmo1 Protein, Mouse; Signal Transducing Adaptor Protein; Animal Cell; Animal Experiment; Animal Model; Animal Tissue; Apoptosis; Article; Chimeric Receptors For Efferocytosis; Chronic Inflammation; Colitis; Controlled Study; Disease Model; Efferocytosis; Embryo; Endoplasmic Reticulum Stress; Human; Human Cell; In Vivo Study; Kidney Fibrosis; Liver Toxicity; Male; Mouse; Nephrotoxicity; Nonhuman; Pathogenesis; Phagocyte; Protein Degradation; Protein Domain; Protein Expression; Protein Folding; Protein Function; Protein Misfolding; Renal Ischemia Reperfusion Injury; Signal Transduction; Tissue Injury; Validation Process; Animal; Inflammation; Macrophage; Metabolism; Phagocytosis; Adaptor Proteins, Signal Transducing; Animals; Apoptosis; Carrier Proteins; Inflammation; Macrophages; Mice; Phagocytes; Phagocytosis"
"Structural basis for the assembly of the type V CRISPR-associated transposon complex","2022","Cell","10.1016/j.cell.2022.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144636304&doi=10.1016%2Fj.cell.2022.11.009&partnerID=40&md5=257dcc4272a3ae1f2e885e16dc05f1f4","CRISPR-Cas systems have been co-opted by Tn7-like transposable elements to direct RNA-guided transposition. Type V-K CRISPR-associated transposons rely on the concerted activities of the pseudonuclease Cas12k, the AAA+ ATPase TnsC, the Zn-finger protein TniQ, and the transposase TnsB. Here we present a cryo-electron microscopic structure of a target DNA-bound Cas12k-transposon recruitment complex comprised of RNA-guided Cas12k, TniQ, a polymeric TnsC filament and, unexpectedly, the ribosomal protein S15. Complex assembly, mediated by a network of interactions involving the guide RNA, TniQ, and S15, results in R-loop completion. TniQ contacts two TnsC protomers at the Cas12k-proximal filament end, likely nucleating its polymerization. Transposition activity assays corroborate our structural findings, implying that S15 is a bona fide component of the type V crRNA-guided transposon machinery. Altogether, our work uncovers key mechanistic aspects underpinning RNA-mediated assembly of CRISPR-associated transposons to guide their development as programmable tools for site-specific insertion of large DNA payloads. © 2023 Elsevier B.V., All rights reserved.","Cas12k; Cast; Crispr; Crispr-associated Transposons; Crispr-cas System; S15; Tniq; Tnsb; Tnsc; Transposon; Crispr Associated Endonuclease Cas9; Dna; Esterase; Rna; Bacterial Proteins; Crispr-associated Proteins; Dna Transposable Elements; Dna-binding Proteins; Rna; Transposases; Crispr Associated Endonuclease Cas9; Crispr Associated Transposon Recruitment Complex V; Dna; Pseudonuclease Cas12k; Ribosomal Protein S15; Tniq Protein; Tnsc Filament Protein; Unclassified Drug; Bacterial Protein; Crispr Associated Protein; Dna Binding Protein; Rna; Transposase; Actin Filament; Article; Cryoelectron Microscopy; Dna Transposition; Enzyme Structure; Gene Insertion; Genetic Engineering; Nonhuman; Polymerization; Protein Assembly; Protein Protein Interaction; Regulatory Mechanism; Crispr Cas System; Genetics; Metabolism; Transposon; Bacterial Proteins; Crispr-associated Proteins; Crispr-cas Systems; Dna Transposable Elements; Dna-binding Proteins; Transposases"
"Cerebrospinal fluid immune dysregulation during healthy brain aging and cognitive impairment","2022","Cell","10.1016/j.cell.2022.11.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144635840&doi=10.1016%2Fj.cell.2022.11.019&partnerID=40&md5=9919945141dc129b29bee00b2d3abaa2","Cerebrospinal fluid (CSF) contains a tightly regulated immune system. However, knowledge is lacking about how CSF immunity is altered with aging or neurodegenerative disease. Here, we performed single-cell RNA sequencing on CSF from 45 cognitively normal subjects ranging from 54 to 82 years old. We uncovered an upregulation of lipid transport genes in monocytes with age. We then compared this cohort with 14 cognitively impaired subjects. In cognitively impaired subjects, downregulation of lipid transport genes in monocytes occurred concomitantly with altered cytokine signaling to CD8 T cells. Clonal CD8 T effector memory cells upregulated C-X-C motif chemokine receptor 6 (CXCR6) in cognitively impaired subjects. The CXCR6 ligand, C-X-C motif chemokine ligand 16 (CXCL16), was elevated in the CSF of cognitively impaired subjects, suggesting CXCL16-CXCR6 signaling as a mechanism for antigen-specific T cell entry into the brain. Cumulatively, these results reveal cerebrospinal fluid immune dysregulation during healthy brain aging and cognitive impairment. © 2023 Elsevier B.V., All rights reserved.","Adaptive Immunity; Aging; Alzheimer's Disease; Cerebrospinal Fluid; Cognitive Impairment; T Cells; Lipid; Biomarkers; Ligands; Lipids; Amyloid Beta Protein[1-40]; Amyloid Beta Protein[1-42]; Chemokine Receptor Cxcr6; Cxcl16 Chemokine; Tau Protein; Biological Marker; Ligand; Lipid; Adult; Aged; Aging; Article; Cd8+ T Lymphocyte; Cerebrospinal Fluid; Cerebrospinal Fluid Level; Clinical Article; Clonal Evolution; Cognitive Defect; Controlled Study; Female; Genetic Risk; Human; Human Cell; Immune Dysregulation; Lipid Transport; Lymphocyte Migration; Male; Monocyte; Montreal Cognitive Assessment; Nerve Degeneration; Protein Analysis; Signal Transduction; Single Cell Rna Seq; Upregulation; Very Elderly; Alzheimer Disease; Brain; Degenerative Disease; Middle Aged; Aged; Aged, 80 And Over; Aging; Alzheimer Disease; Biomarkers; Brain; Cognitive Dysfunction; Humans; Ligands; Lipids; Middle Aged; Neurodegenerative Diseases"
"A brainstem integrator for self-location memory and positional homeostasis in zebrafish","2022","Cell","10.1016/j.cell.2022.11.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144590331&doi=10.1016%2Fj.cell.2022.11.022&partnerID=40&md5=6e564c23db9de2ae62dd5a487efb291c","To track and control self-location, animals integrate their movements through space. Representations of self-location are observed in the mammalian hippocampal formation, but it is unknown if positional representations exist in more ancient brain regions, how they arise from integrated self-motion, and by what pathways they control locomotion. Here, in a head-fixed, fictive-swimming, virtual-reality preparation, we exposed larval zebrafish to a variety of involuntary displacements. They tracked these displacements and, many seconds later, moved toward their earlier location through corrective swimming (“positional homeostasis”). Whole-brain functional imaging revealed a network in the medulla that stores a memory of location and induces an error signal in the inferior olive to drive future corrective swimming. Optogenetically manipulating medullary integrator cells evoked displacement-memory behavior. Ablating them, or downstream olivary neurons, abolished displacement corrections. These results reveal a multiregional hindbrain circuit in vertebrates that integrates self-motion and stores self-location to control locomotor behavior. © 2022 Elsevier B.V., All rights reserved.","Brainstem; Cerebellum; Hippocampus; Inferior Olive; Memory; Motor Control; Navigation; Neural Circuits; Neuroscience; Path Integration; Zebrafish; Animal Experiment; Article; Brain Stem; Cerebellum; Hippocampus; Homeostasis; Inferior Olivary Nucleus; Locomotion; Medulla Oblongata; Memory; Motion; Motor Control; Nerve Cell; Neuroimaging; Neuroscience; Nonhuman; Rhombencephalon; Swimming; Vertebrate; Virtual Reality; Zebra Fish; Animal; Brain; Mammal; Physiology; Animals; Brain; Homeostasis; Mammals; Neurons; Rhombencephalon; Swimming; Zebrafish"
"IFT-A structure reveals carriages for membrane protein transport into cilia","2022","Cell","10.1016/j.cell.2022.11.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144466350&doi=10.1016%2Fj.cell.2022.11.010&partnerID=40&md5=0e85013ac0c70715b02e0c92158efe96","Intraflagellar transport (IFT) trains are massive molecular machines that traffic proteins between cilia and the cell body. Each IFT train is a dynamic polymer of two large complexes (IFT-A and -B) and motor proteins, posing a formidable challenge to mechanistic understanding. Here, we reconstituted the complete human IFT-A complex and obtained its structure using cryo-EM. Combined with AlphaFold prediction and genome-editing studies, our results illuminate how IFT-A polymerizes, interacts with IFT-B, and uses an array of β-propeller and TPR domains to create “carriages” of the IFT train that engage TULP adaptor proteins. We show that IFT-A⋅TULP carriages are essential for cilia localization of diverse membrane proteins, as well as ICK—the key kinase regulating IFT train turnaround. These data establish a structural link between IFT-A's distinct functions, provide a blueprint for IFT-A in the train, and shed light on how IFT evolved from a proto-coatomer ancestor. © 2023 Elsevier B.V., All rights reserved.","Alphafold; Cilia; Copi; Cryo-em; G-protein Coupled Receptor; Intraflagellar Transport; Membrane Protein; Microtubule; Motor Protein; Tulp3; Phosphotransferase; Dynein Adenosine Triphosphatase; Dyneins; Kinesins; Membrane Proteins; Adaptor Protein; Ick Protein; Intraflagellar Transport A; Intraflagellar Transport B; Membrane Protein; Phosphotransferase; Tulp Protein; Unclassified Drug; Dynein Adenosine Triphosphatase; Animal Cell; Article; Cilium; Controlled Study; Cryoelectron Microscopy; Gene Editing; Nonhuman; Prediction; Protein Domain; Protein Folding; Protein Localization; Protein Polymerization; Protein Protein Interaction; Protein Structure; Protein Transport; Flagellum; Human; Metabolism; Transport At The Cellular Level; Biological Transport; Cilia; Dyneins; Flagella; Humans; Kinesins; Membrane Proteins; Protein Transport"
"Mechanism of IFT-A polymerization into trains for ciliary transport","2022","Cell","10.1016/j.cell.2022.11.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144402626&doi=10.1016%2Fj.cell.2022.11.033&partnerID=40&md5=af1103813348e0cb48214d10c11c519c","Intraflagellar transport (IFT) is the highly conserved process by which proteins are transported along ciliary microtubules by a train-like polymeric assembly of IFT-A and IFT-B complexes. IFT-A is sandwiched between IFT-B and the ciliary membrane, consistent with its putative role in transporting transmembrane and membrane-associated cargoes. Here, we have used single-particle analysis electron cryomicroscopy (cryo-EM) to determine structures of native IFT-A complexes. We show that subcomplex rearrangements enable IFT-A to polymerize laterally on anterograde IFT trains, revealing a cooperative assembly mechanism. Surprisingly, we discover that binding of IFT-A to IFT-B shields the preferred lipid-binding interface from the ciliary membrane but orients an interconnected network of β-propeller domains with the capacity to accommodate diverse cargoes toward the ciliary membrane. This work provides a mechanistic basis for understanding IFT-train assembly and cargo interactions. © 2023 Elsevier B.V., All rights reserved.","Cilia; Cryo-em; Cryo-et; Flagella; Intraflagellar Transport; Lipid Binding; Microtubule; Molecular Transport; Vesicle; Carrier Protein; Protein; Proteins; Carrier Protein; Intraflagellar Transport Complex A; Intraflagellar Transport Complex B; Unclassified Drug; Protein; Article; Binding Affinity; Binding Site; Ciliopathy; Cilium; Complex Formation; Cryoelectron Microscopy; Flagellum; Human; Human Cell; In Situ Hybridization; In Vitro Study; Leishmania Tarentolae; Liposome Membrane; Membrane Microdomain; Molecular Dynamics; Molecular Interaction; Mucociliary Transport; Nonhuman; Polymerization; Protein Binding; Protein Interaction; Protein Structure; Signal Transduction; Structure Activity Relation; Structure Analysis; Metabolism; Microtubule; Protein Transport; Transport At The Cellular Level; Biological Transport; Cilia; Flagella; Microtubules; Polymerization; Protein Transport; Proteins"
"Antibody effector functions are associated with protection from respiratory syncytial virus","2022","Cell","10.1016/j.cell.2022.11.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144393356&doi=10.1016%2Fj.cell.2022.11.012&partnerID=40&md5=00d64b796649bb75587a1fde032cf653","Respiratory syncytial virus (RSV) infection is a major cause of severe lower respiratory tract infection and death in young infants and the elderly. With no effective prophylactic treatment available, current vaccine candidates aim to elicit neutralizing antibodies. However, binding and neutralization have poorly predicted protection in the past, and accumulating data across epidemiologic cohorts and animal models collectively point to a role for additional antibody Fc-effector functions. To begin to define the humoral correlates of immunity against RSV, here we profiled an adenovirus 26 RSV-preF vaccine-induced humoral immune response in a group of healthy adults that were ultimately challenged with RSV. Protection from infection was linked to opsonophagocytic functions, driven by IgA and differentially glycosylated RSV-specific IgG profiles, marking a functional humoral immune signature of protection against RSV. Furthermore, Fc-modified monoclonal antibodies able to selectively recruit effector functions demonstrated significant antiviral control in a murine model of RSV. © 2023 Elsevier B.V., All rights reserved.","Ad26; Antibodies; Fc Effector Functions; Fc Glycosylation; Human Challenge Study; Iga; Mabs; Rsv; Vaccination; Immunoglobulin G; Antibodies, Neutralizing; Antibodies, Viral; Immunoglobulin Fc Fragments; Immunoglobulin G; Viral Fusion Proteins; Adenovirus 26 Vaccine; Adenovirus Vaccine; Antivirus Agent; Fc Receptor; Immunoglobulin A; Immunoglobulin G; Monoclonal Antibody; Respiratory Syncytial Virus Antibody; Respiratory Syncytial Virus Monoclonal Antibody; Unclassified Drug; Immunoglobulin Fc Fragment; Neutralizing Antibody; Virus Antibody; Virus Fusion Protein; Adenoviridae; Adenovirus 26; Adult; Animal Experiment; Article; Controlled Study; Double Blind Procedure; Female; Glycosylation; Human; Human Experiment; Human Respiratory Syncytial Virus; Humoral Immunity; In Vivo Study; Male; Murine Model; Nonhuman; Normal Human; Phase 2 Clinical Trial; Protein Function; Respiratory Syncytial Virus Infection; Vaccination; Animal; Mouse; Animals; Antibodies, Neutralizing; Antibodies, Viral; Immunoglobulin Fc Fragments; Immunoglobulin G; Mice; Respiratory Syncytial Virus Infections; Respiratory Syncytial Virus, Human; Viral Fusion Proteins"
"Engineered cell entry links receptor biology with single-cell genomics","2022","Cell","10.1016/j.cell.2022.11.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144392068&doi=10.1016%2Fj.cell.2022.11.016&partnerID=40&md5=1e0d2947948a652129fe01abe88a3783","Cells communicate with each other via receptor-ligand interactions. Here, we describe lentiviral-mediated cell entry by engineered receptor-ligand interaction (ENTER) to display ligand proteins, deliver payloads, and record receptor specificity. We optimize ENTER to decode interactions between T cell receptor (TCR)-MHC peptides, antibody-antigen, and other receptor-ligand pairs. A viral presentation strategy allows ENTER to capture interactions between B cell receptor and any antigen. We engineer ENTER to deliver genetic payloads to antigen-specific T or B cells to selectively modulate cellular behavior in mixed populations. Single-cell readout of ENTER by RNA sequencing (ENTER-seq) enables multiplexed enumeration of antigen specificities, TCR clonality, cell type, and states of individual T cells. ENTER-seq of CMV-seropositive patient blood samples reveals the viral epitopes that drive effector memory T cell differentiation and inter-clonal vs. intra-clonal phenotypic diversity targeting the same epitope. ENTER technology enables systematic discovery of receptor specificity, linkage to cell fates, and antigen-specific cargo delivery. © 2023 Elsevier B.V., All rights reserved.","Antigen Specificity; B Cell Receptor; Ligand-receptor Pairs; Single-cell Multiomics; T Cell Receptor; Targeted Cargo Delivery; Viral Display; Virus-like Particle; Epitopes; Ligands; Peptides; Receptors, Antigen, T-cell; Epitope; Green Fluorescent Protein; Ligand; Lymphocyte Antigen Receptor; Peptide; Animal Cell; Antigen Specificity; Article; B Lymphocyte; Cell Communication; Cell Differentiation; Cell Engineering; Cell Expansion; Cell Specificity; Clonal Variation; Controlled Study; Engineered Receptor Ligand Interaction; Flow Cytometry; Human; Human Cell; Lymphocyte Depletion; Molecular Imaging; Nonhuman; Protein Interaction; Receptor Binding; Rna Sequencing; Single Cell Analysis; T Lymphocyte; Virus Cell Interaction; Biology; Metabolism; Virus Entry; Biology; Epitopes; Humans; Ligands; Peptides; Receptors, Antigen, T-cell; Virus Internalization"
