"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Matrix crystallinity and nanofiller compatibility optimization of polyarylether nitrile nanocomposite films for enhanced high-temperature energy storage","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012766276&doi=10.1016%2Fj.cej.2025.166848&partnerID=40&md5=06e37e143420e0da6897617c9250c630","The rising demand for reliable dielectric materials capable of withstanding prolonged high-temperature operation in next-generation power electronics necessitates innovative material solutions. This study reports a groundbreaking dielectric nanocomposite developed through the in-situ polymerization of polyimide (PI) on barium titanate nanoparticles, forming core–shell structured barium titanate@polyimide (BT@PI) nanohybrids. This approach enhances the nanoparticle-matrix compatibility within the polyarylether nitrile (PEN) composite and modulates the polymer's aggregation morphology. Non-isothermal crystallization analysis revealed a morphological transition from two-dimensional to three-dimensional crystal growth mechanisms upon filler incorporation, with the activation energy rising to 162.51 kJ/mol. Via a comprehensive optimization strategy encompassing interface engineering, crystal structure regulation, and performance integration, these nanocomposites achieve enhanced energy storage characteristics. At ambient temperature, the composite with a low loading of 1 vol% BT@PI exhibits a 73.53 % increase in energy storage density compared to pristine PEN, while maintaining a charge-discharge efficiency exceeding 90 %. Remarkably, even at 150 °C, benefiting from the improved aggregation state structure of the polymer composite, it demonstrates an impressive energy storage density of 2.25 J/cm3 with efficiency remaining above 85 %, while simultaneously delivering a remarkably high charge density of 2.59 J/cm3. These findings demonstrate the effectiveness of combining interface engineering and crystallization control strategies, thereby establishing the potential of this composite for high-temperature dielectric applications in advanced power electronic systems. © 2025 Elsevier B.V., All rights reserved.","Core-shell Nanoparticles; Crystallization Modulation; Energy Storage; High-temperature Dielectrics; Interface Engineering; Polyarylether Nitrile; Activation Analysis; Activation Energy; Agglomeration; Crystal Structure; Dielectric Materials; High Temperature Applications; High Temperature Engineering; High Temperature Operations; Interfaces (materials); Morphology; Nanocomposite Films; Nanocomposites; Nanoparticles; Polymer Matrix Composites; Storage (materials); Core-shell Nanoparticles; Crystallization Modulation; Energy; Energy Storage Density; High-temperature Dielectric; Highest Temperature; Interface Engineering; Matrix Crystallinity; Polyarylether Nitrile; Polyarylethers; Energy Storage"
"Effects of different organic macromolecules on the heteroaggregation behavior between nanoplastics and goethite","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012634457&doi=10.1016%2Fj.cej.2025.166690&partnerID=40&md5=8e7e760d81b641626c80383a83564877","The environmental fate of nanoplastics (NPs) is largely influenced by their heteroaggregation with mineral colloids, a process that is further complicated by the widespread presence of organic macromolecules (OMs) in aqueous systems. This study investigated the differential regulatory mechanisms of four representative types of OMs (humic acid (HA), fulvic acid (FA), sodium alginate (SA), and bovine serum albumin (BSA)) on polystyrene nanoplastics (PSNPs)-goethite heteroaggregation. It was shown that OMs significantly inhibited the heteroaggregation of PSNPs with goethite. This inhibition was attributed to the increased electrostatic repulsion, the introduction of greater physical obstruction, as well as competition over available sites for surface attachment. The inhibiting effect followed the order SA > HA > FA > BSA, which was associated with macromolecular properties and charge density characteristics. Notably, while HA/FA-mediated interactions aligned with classical Derjaguin-Landau-Verwey-Overbeek (DLVO) predictions, SA/BSA systems deviated from DLVO theory calculations, indicating that additional interactions also contributed to the heteroaggregation. The 3D-EEMs and FTIR-2D-COS analyses elucidated the key functional groups and the sequential interactions of various OMs within the PSNP-goethite heteroaggregation process. Overall, the findings advanced mechanistic understanding of NPs-mineral-OMs ternary interactions, providing valuable insights into NPs transport mechanisms and environmental fate in complex aqueous environment. © 2025 Elsevier B.V., All rights reserved.","Dlvo Theory; Goethite; Heteroaggregation; Nanoplastics; Organic Macromolecules; Body Fluids; Macromolecules; Sols; Bovine Serum Albumins; Derjaguin-landau-verwey-overbeek Theories; Environmental Fate; Fulvic Acids; Goethite; Heteroaggregation; Humic Acid; Mineral Colloids; Nanoplastics; Organic Macromolecules; Sodium Alginate"
"Enhancement mechanism of electrokinetic remediation of a Cu- and Pb-contaminated loess by constructing a multi-electrode configuration","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012633545&doi=10.1016%2Fj.cej.2025.166880&partnerID=40&md5=40697f7f57c88b448e8d8d92d57e9a93","The strong adsorption capacity of loess plays a dominant role in limiting the electrokinetic (EK) remediation process. Modified electrokinetic remediation technologies are increasingly being considered for heavy metal contaminated loess, such as the combined use of graphene oxide-alginate composite hydrogel (GOCH) electrode and EK remediation. However, a comprehensive understanding of the complex interplay of multi-physical fields in the modified EK system with GOCH electrodes remains lacking. Therefore, advanced knowledge in multi-physical field coupling in Cu- and Pb-contaminated loess will be crucial to the practical application of these techniques. This study aimed to validate a two-dimensional numerical model by reproducing the physical properties, electrochemical properties, and adsorption properties of the GOCH electrode and comparing them with experimental results. Additionally, the contributions of diffusion, electromigration, electroosmotic flow, adsorption, and chemical reactions on the distribution of heavy metals were investigated based on the validated model. Furthermore, the simulation assessed the impact of a multi-electrode configuration on electric current density, pH, and the remaining concentration of Cu and Pb, as well as its role in improving removal efficiency. The results show that 45.83 % of Cu and 95.81 % of Pb were retained in the loess through adsorption. The implementation of a non-uniform electric field to increase the current density had a notable effect on enhancing the removal efficiency. In addition, for optimal performance, positioning the secondary electrodes in a cross configuration is recommended. This proposed intensification strategy underscores the potential for improving EK removal efficiency and advancing its large-scale application in the remediation of contaminated sites. © 2025 Elsevier B.V., All rights reserved.","Comsol Multiphysics; Electrokinetic Remediation; Graphene Oxide-alginate Composite Hydrogel Electrode (goch); Multi-electrode Configuration; Numerical Simulation; Adsorption; Alginate; Contamination; Current Density; Efficiency; Electrochemical Electrodes; Electrodynamics; Electrohydrodynamics; Electromagnetic Fields; Electromagnetic Waves; Electromigration; Electroosmosis; Graphene; Heavy Metals; Hydrogels; Remediation; Composite Hydrogels; Comsol Multiphysic; Electrode Configurations; Electrokinetic Remediation; Graphene Oxide-alginate Composite Hydrogel Electrode; Graphene Oxides; Multi-electrode; Multi-electrode Configuration; Multi-physics; Removal Efficiencies; Numerical Models"
"Double-confined Fe[sbnd]Co nanoalloys as efficient and stable catalyst for selective hydrogenation of nitroarenes","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012629040&doi=10.1016%2Fj.cej.2025.166787&partnerID=40&md5=e49343f1f4ef320bc2ef10af16c7a30d","Supported Co-based catalysts have shown great potential to replace noble-metal catalysts in the selective hydrogenation of substituted nitroarenes, while their tendency to deactivate during hydrogenation remains a major challenge. Here we report a facile method for constructing graphite/SiO<inf>2</inf> double-confined Fe[sbnd]Co nanoalloys, which catalyze hydrogenation of halogenated nitroarenes to halogenated anilines with high yields (> 98 %) under mild conditions. The unique double-confined structure provides effective protection for the alloy core from leaching and oxidation, leading to exceptional stability and recyclability that is unachievable by other supported or confined Co-based catalysts. Additionally, a harmonious amphiphilic environment is created to enhance the mass transport capability and to inhibit deactivation during catalytic process. Density functional theory (DFT) calculations reveal that the electron-enriched graphite-layers serve as effective active sites for selective hydrogenation via a distinct mechanism, thereby improving the hydrogenation efficiency. This design concept and synthesis approach are expected to advance the development of more efficient and stable earth-abundant metal-based catalyst for selective hydrogenation catalysis. © 2025 Elsevier B.V., All rights reserved.","Confined Structure; Fe-co Nanoalloys; Graphitic Carbon; Halogenated Nitroarenes; Selective Hydrogenation; Aniline; Binary Alloys; Catalyst Deactivation; Catalyst Supports; Catalytic Oxidation; Design For Testability; Graphite; Halogenation; Hydrogenation; Iron Alloys; Co-based Catalysts; Confined Structures; Efficient Catalysts; Fe-co Nanoalloy; Graphitic Carbons; Halogenated Nitroarene; Nano-alloys; Nitroarenes; Selective Hydrogenation; Stable Catalysts; Cobalt Alloys; Density Functional Theory"
"Organic intercalation-induced interlayer engineering of V2CTx MXene for high-performance zinc-ion batteries","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012627474&doi=10.1016%2Fj.cej.2025.166812&partnerID=40&md5=16594291599ce24b895683f253eac7e4","Vanadium-based materials are widely explored as cathodes for aqueous zinc ion batteries (AZIBs) due to their open interlayer structure and good electrochemical properties. V<inf>2</inf>CT<inf>x</inf> MXene stands out for its tunable interlayer spacing, rich redox properties, and high electrical conductivity. However, the strong electrostatic interactions between the negatively charged interlayers of V<inf>2</inf>CT<inf>x</inf> MXene and Zn2+ ions hinder ion diffusion and reaction kinetics, while the multilayered structure is susceptible to interlayer collapse and material dissolution during cycling. Herein, a V<inf>2</inf>CT<inf>x</inf>-TBAI<inf>3</inf> composite cathode was rationally created via the intercalation of tetrabutylammonium triiodide (TBAI<inf>3</inf>) into V<inf>2</inf>CT<inf>x</inf> MXene. The organic molecule intercalation significantly expands the interlayer spacing, which not only stabilizes the layered framework but also alleviates the electrostatic attraction between V<inf>2</inf>CT<inf>x</inf> MXene and Zn2+ ions. Density functional theory calculations and experimental results demonstrate that TBA+ cations interact strongly with surface oxygen atoms on V<inf>2</inf>CT<inf>x</inf> MXene via electrostatic interactions, leading to localized charge redistribution. This interaction significantly enhances the d-p orbital hybridization between V 3d and O 2p orbitals, thereby reducing both the Zn2+ ions adsorption energy and migration barrier. As a result, the V<inf>2</inf>CT<inf>x</inf>-TBAI<inf>3</inf> cathode has a nearly 100 % capacity retention after 9500 cycles, exhibiting good electrochemical performance. Furthermore, the assembled pouch cells demonstrate excellent electrochemical performance and outstanding practical application capabilities. This work provides new insights into the interlayer engineering of MXene-based cathode materials and demonstrates a promising strategy for developing high-performance AZIBs. © 2025 Elsevier B.V., All rights reserved.","Interlayer Engineering; Orbital Hybridization; V2ctx Mxene; Zinc-ion Batteries; Cathodes; Composite Films; Electrostatics; Intercalation; Ions; Reaction Kinetics; Vanadium; Vanadium Compounds; Zinc; Zinc Compounds; Electrochemical Performance; Interlayer Engineering; Interlayer Spacings; Ion Batteries; Orbital Hybridization; Performance; V2ctx Mxene; Zinc Ions; Zinc-ion Battery; Zn 2+; Density Functional Theory"
"Hydroxyl radical-exclusive Z-scheme photocatalyst for fast and complete disinfection of antibiotic-resistant bacteria-contaminated water","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012625232&doi=10.1016%2Fj.cej.2025.166363&partnerID=40&md5=207509a95e38f92a15138876fa892b33","Metal oxide-based photocatalysts generating reactive oxygen species are promising alternative antimicrobial reagents with antibacterial effects. Herein, we report the efficient sterilization of antibiotic-resistant bacteria (ARB) by photocatalysts exclusively producing a hydroxyl radical (•OH). The exclusive generation of •OH is manifested from the formation of a Z-scheme heterojunction between p-type (i.e., Cu<inf>2</inf>O nanoparticles, Cu<inf>2</inf>O NPs) and n-type (i.e., WO<inf>3</inf> nanowires, WO<inf>3</inf> NWs) metal oxides through the interfacial coupling of sp-sp2 conjugated carbon nanosheets (i.e., aminated graphdiyne, NH<inf>2</inf>GDY). NH<inf>2</inf>GDY prevents the oxidative corrosion of Cu<inf>2</inf>O NPs and forms a stable heterojunction with high redox potentials to exclusively generate •OH. This heterojunction photocatalyst of Cu<inf>2</inf>O-NH<inf>2</inf>GDY-WO<inf>3</inf> (CGW) reveals fast and complete antibacterial effects on Escherichia coli and Staphylococcus aureus to achieve nearly 100% at 2 × 106 CFU/mL within 3 and 2 min, respectively, under indoor light of low power density (1.3 mW/cm2), even within 1 min under the solar light. CGW can disrupt bacterial cell walls and degrade the released DNA strands, preventing the emergence of radical-resistant bacteria. CGW maintains excellent antibacterial efficacy against ARB for over 10 recycling experiments. Therefore, the sufficient generation of •OH by efficient junctions of metal oxide-based photocatalysts leads to fast and complete purification of bacteria-contaminated water without ARB production. © 2025 Elsevier B.V., All rights reserved.","Arb-contaminated Water; Complete Antibacterial; Graphdiyne; Hydroxyl Radical; Metal Oxide; Recyclable Photocatalyst; Amination; Antibiotics; Copper Corrosion; Disinfection; Escherichia Coli; Heterojunctions; Metal Nanoparticles; Microbial Corrosion; Photocatalysts; Staphylococcus Aureus; Tungsten Compounds; Antibacterials; Antibiotic-resistant Bacteria; Antibiotic-resistant Bacteria-contaminated Water; Complete Antibacterial; Contaminated Water; Graphdiyne; Hydroxyl Radicals; Metal-oxide; Recyclable Photocatalyst; Recyclables; Copper Oxides; Redox Reactions"
"High-temperature-induced material softening formed in Ni-W-P-SiC composite coating and its wear reduction mechanism","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012621664&doi=10.1016%2Fj.cej.2025.166760&partnerID=40&md5=709712963e617d065ae38cda7b427905","Electroless plating, recognized for its environmental friendliness and operational simplicity, shows great potential in various metal surface treatment applications. However, conventional nickel coatings encounter durability challenges under high contact pressures, and oxygen penetration at high temperatures. The Ni-W-P-SiC coating via electroless plating was developed in this work, which exhibited a low coefficient of friction (0.2) and retained over 50 % of its original thickness in high-load wear tests. The incorporation of W and SiC significantly improved both wear resistance and oxidation resistance. Even at high temperatures, where a wavy tribolayer formed on the surface, the Ni-W-P-SiC coating maintained superior performance. This is attributed to two key mechanisms: The formation of the Ni₃P phase increased the hardness; Its smooth surface structure effectively inhibited crack propagation. Based on the above characteristics, the composite coatings are ideally suited for metal parts operating in high-temperature and high-load environments, thereby expanding the industrial applications of electroless plating. © 2025 Elsevier B.V., All rights reserved.","Coefficient Of Friction; High Temperature; Ni-w-p-sic Composite Coating; Residual Thickness; Electroless Plating; Friction; High Temperature Applications; Nickel Coatings; Nickel Compounds; Phosphorus Compounds; Silicon Compounds; Surface Treatment; Tribology; Wear Of Materials; Wear Resistance; Coefficient Of Frictions; Composites Coating; Electroless; High Load; Highest Temperature; Material Softening; Ni-w-p-sic Composite Coating; Residual Thickness; Sic Coatings; Temperature-induced; Composite Coatings"
"Chiral-driven synergistic electrolyte engineering for ultrastable aqueous zinc-ion batteries","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012617463&doi=10.1016%2Fj.cej.2025.166777&partnerID=40&md5=cf711c41db88cb1a977028883c46f525","Electrolyte additive engineering is crucial for advancing aqueous zinc-ion batteries (AZIBs), yet stereochemical effects remain underexplored. This study systematically investigates the impact of L- and D-configured amino acids as electrolyte additives, uncovering unprecedented chiral-dependent effects on Zn2+ solvation and anode interfacial chemistry. Taking valine (Val) as a model additive, we reveal that L-Val forms a dual‑oxygen-coordinated solvation sheath with Zn2+, effectively reducing H<inf>2</inf>O activity and suppressing side reactions. In contrast, D-Val forms a mono‑oxygen-coordinated complex with limited solvation structure modification. Mechanistic insights show that L-Val preferentially adsorbs onto the Zn anode via its amino (−NH<inf>2</inf>) functional group, while outward carboxyl (-COOH) groups self-assemble into a protective layer. This architecture promotes dendrite-free Zn deposition and reversibility, achieving symmetric cell cycling stability of 5200 h (vs. 3600 h for D-Val), Zn||Cu cell Coulombic efficiency of 99.7 % over 1500 cycles, and pouch cell capacity retention of 93.2 % after 1100 cycles. These findings highlight chiral molecular engineering as a transformative strategy for electrolyte design, offering generalizable principles applicable to multivalent-ion battery systems. © 2025 Elsevier B.V., All rights reserved.","Amino Acids; Aqueous Zinc-ion Batteries; Chiral Configuration; Electrolyte Additive Engineering; Zinc Anode; Additives; Anodes; Complexation; Coordination Reactions; Ions; Oxygen; Solvation; Stereochemistry; Zinc; Zinc Compounds; Zinc Deposits; Amino-acids; Aqueous Zinc-ion Battery; Chiral Configuration; Electrolyte Additive Engineering; Electrolyte Additives; Ion Batteries; L-valine; Zinc Anodes; Zinc Ions; Zn 2+; Amino Acids"
"Breaking activity-transport limits in photocatalysis: 3D cyanide-rich hydrogel membranes via radical polymerization for solar-powered wastewater purification","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012615125&doi=10.1016%2Fj.cej.2025.166682&partnerID=40&md5=5f3ee7e5416f8af772908d3bf019199f","The solar-driven degradation of organic pollutants in practical wastewater treatment is constrained not only by the intrinsic activity of photocatalysts but also by the absence of optimized catalytic systems. In this study, we devised a bifunctional K and I co-doped cyano-modified polymeric carbon nitride catalyst, which can act as a photoinitiator to enable in-situ radicals polymerization, forming a three-dimensional hydrogel photocatalytic membrane (KCN gel) under simulated sunlight. The recyclable KCN gel exhibited excellent photocatalytic performance, with the activated peroxymonosulfate (PMS) degrading organic pollutants at a rate of up to 0.438 min−1, which was 18 times higher than that of the system without PMS. Theoretical calculation reveals strong van der Waals interactions between PMS and the KCN gel, with cyanide groups identified as the key active sites for methylene blue oxidation, facilitating the generation of diverse reactive species. The KCN gel displays broad applicability, effectively abating the organic contaminant across wide concentration ranges (0.1–5.0 ppm) in simulated natural waterways, offering a promising solution for sustainable wastewater treatment. © 2025 Elsevier B.V., All rights reserved.","Bifunctional Catalyst; Hydrogel Photocatalytic System; In-situ Radicals Polymerization; Pms Activation; Atom Transfer Radical Polymerization; Catalyst Activity; Dyes; Organic Pollutants; Photocatalysts; Photocatalytic Activity; Purification; Reclamation; Wastewater Treatment; Bifunctional Catalysts; Breakings; Hydrogel Membrane; Hydrogel Photocatalytic System; In-situ Radical Polymerization; Organics; Peroxymonosulfate; Peroxymonosulfate Activations; Photocatalytic Systems; Solar-powered; Hydrogels; Van Der Waals Forces"
"Crystal phase engineering for polymorphic CoSe2 hollow nanoboxes with enhanced oxidase-like activity: Application in ratiometric electrochemical aptasensor for bisphenol A detection","2025","Chemical Engineering Journal","10.1016/j.cej.2025.166856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012613537&doi=10.1016%2Fj.cej.2025.166856&partnerID=40&md5=bea6ee3212f2ac2ec0354c1e1ed57e9b","Bisphenol A (BPA), a hazardous endocrine disruptor, requires sensitive detection methods due to its widespread environmental presence and associated health risks. Herein, phase-mixed CoSe<inf>2</inf> hollow nanoboxes (m-CoSe<inf>2</inf> HNBs) with cubic and orthorhombic phases were synthesized through crystal phase engineering, which exhibited superior oxidase-like activity compared to cubic phase CoSe<inf>2</inf> hollow nanoboxes (c-CoSe<inf>2</inf> HNBs). Mechanistic investigations revealed that the enhanced oxidase-like activity of m-CoSe<inf>2</inf> HNBs stems from increased generation of reactive oxygen species (superoxide anion and singlet oxygen) and accelerated electron transfer. Utilizing the exceptional oxidase-like activity of m-CoSe<inf>2</inf> HNBs, a ratiometric electrochemical aptasensor was proposed for the determination of BPA. The ratio between the oxidation current of BPA and the electrochemical signal generated from m-CoSe<inf>2</inf> HNBs with the oxidase-like activity catalyzed oxidation of 3,3′,5,5′-tetramethylbenzidine (TMB) was employed as a quantitative metric for BPA detection. By leveraging two independent signals, this strategy can effectively avoid interference from procedural inconsistencies and environmental fluctuations, enabling self-calibration and improving the reliability of results. Moreover, unlike electrochemical aptasensors based on peroxidase mimics, this approach eliminates the need for H<inf>2</inf>O<inf>2</inf>, thereby enhancing the stability of the aptasensor. The constructed ratiometric electrochemical aptasensor exhibited a wide linear range of 0.050–15 μM, with a detection limit as low as 20 nM. It was applied to monitor BPA in real samples, yielding comparable results to those obtained using HPLC. This study offers an avenue for designing excellent oxidase mimics and determining environmental pollutants. © 2025 Elsevier B.V., All rights reserved.","Bisphenol A; Crystal Phase Engineering; Oxidase-like Activity; Phase-mixed Cose2 Hollow Nanoboxes; Ratiometric Electrochemical Aptasensor; Chemical Detection; Chromium Compounds; Cobalt Compounds; Electron Transitions; Endocrine Disrupters; Error Detection; Niobium Compounds; Oxygen; Selenium Compounds; Sulfur Compounds; Bisphenol A; Bisphenols-a; Crystal Phase Engineering; Crystal Phasis; Electrochemical Aptasensor; Nanoboxes; Oxidase-like Activity; Phase-mixed Cose2 Hollow Nanobox; Ratiometric; Ratiometric Electrochemical Aptasensor; Health Risks"
