"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Experimental assessment of Fully-Uncoupled Multi-Directional specimens for mode I delamination tests","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097709062&doi=10.1016%2Fj.compscitech.2020.108421&partnerID=40&md5=4fa1766f7ad46d1536101530ca32d6a7","This paper proposes an experimental study whose goal is to validate the concept of Fully-Uncoupled Multi-Directional (FUMD) specimens for delamination tests. In order to reduce the likelihood of delamination jump, a glass/epoxy UD-fabric composite was used to fabricate double cantilever beam specimens. Mode I tests were performed with standard UD specimens and with FUMD specimens having the following delamination interfaces: 0 °//0 °, 0°// 15°, 0 °//30 °, 0 °//45 ° and −45 °//45 °. Delamination fronts after the tests were observed by means of ultrasonic C-scans. By comparison with the UD specimens, it is shown that FUMD sequences are able to promote a fairly symmetric and flat delamination front. Analysis of the rotations of such specimens during the test confirms that they do exhibit an uncoupled mechanical behaviour. Critical energy release rate is found to be dependent on interface plies mismatch angle, but not on global stiffness of the specimens. © 2020 Elsevier B.V., All rights reserved.","Damage Tolerance; Delamination; Fracture Toughness; Interface; Laminate; Composite Materials; Engineering; Critical Energy Release Rate; Double Cantilever Beam; Experimental Assessment; Fabric Composites; Glass/epoxy; Global Stiffness; Mechanical Behaviour; Ultrasonic C-scan; Cantilever Beams"
"Control of silver nanowire-elastomer nanocomposite networks through elaborate direct printing for ultrathin and stretchable strain sensors","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091952047&doi=10.1016%2Fj.compscitech.2020.108471&partnerID=40&md5=f08426300a2a74a50d1c40e73916878a","Control of film's properties is the most important for providing of customized electronic devices. In particular, when the nanocomposite networks are applied to the films for needs of various applications, the quality of film is considered as one of the most potent factors. Here, we propose a viable and facile method of controlling the silver nanowire (Ag NW)-elastomer nanocomposite networks through elaborate direct printing for implementing sandwich-structured ultrathin and stretchable strain sensors. According to the different Ag NW network densities controlled by various blade coating parameters, surface morphological characteristics, optical transmittance, and current–voltage performance were investigated. In order to exhibit the importance of network density control to electronic devices, we fabricated two stretchable strain sensors with different sensitivities (ΔR/R<inf>0</inf>: 6.31, 0.70 at 10% strain) using low density (LD) and high density (HD) Ag NWs networks for detecting small and large movements, respectively. Under repeated stretching fatigue tests (1000 cycles), LD and HD Ag NW sensors show stable sensing operation with electromechanical durability and frequency-responsive features. A simple application for wrist motion detection with a fast response speed and stable operation is demonstrated. These results provide a new route towards next-generation skin electronics. © 2020 Elsevier B.V., All rights reserved.","Direct Printing; Human Motion Detection; Nanocomposite; Network Density; Stretchable Strain Sensor; Durability; Elastomers; Electric Resistance Measurement; Electronic Equipment; Fatigue Testing; Nanocomposite Films; Nanocomposites; Silver Nanowires; Thermoelectric Equipment; Blade Coatings; Direct Printing; Electronic Device; Morphological Characteristic; Network Density; Network Density Control; Stable Operation; Strain Sensors; Silver"
"An enriched cohesive law using plane-part of interfacial strains to model intra/inter laminar coupling in laminated composites","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091923092&doi=10.1016%2Fj.compscitech.2020.108460&partnerID=40&md5=bacf8ca9c7d35117c101efddfd440b09","Proper modeling of the interplay between transverse cracks and delamination is crucial in accurately simulating degradation in laminated composites. However, up to now, there is no computationally friendly model to account for this intra/inter laminar coupling. In this paper, a new hybrid cohesive law has been proposed in which the damage could be activated by both out-of-plane separation and in-plane strains of the interlaminar interface. By doing so, the in-plane strain can be used to estimate the damage state of the adjacent plies to the interface, so the response of the cohesive element is modified accordingly. This provides an efficient framework to account for the effect of intralaminar transverse cracks onto the delamination resistance. Through the authors’ earlier work, the influence of intralaminar damage on interlaminar properties is twofold: harmful (through transverse crack-induced delamination) or beneficial (transverse crack-induced bridging). Both coupling effects are embedded in the hybrid cohesive elements. The modeling parameters are calibrated using rigorous experimental data. The simulation results demonstrate the potential of the pragmatic cohesive element proposed in this paper. © 2020 Elsevier B.V., All rights reserved.","Damage Mechanics; Delamination; Fibre Bridging; Transverse Cracking; Interface States; Laminating; Strain; Cohesive Element; Delamination Resistance; In-plane Strains; Interfacial Strain; Interlaminar Interface; Interlaminar Properties; Model Parameters; Transverse Crack; Laminated Composites"
"Full on-line preparation of polymer composites reinforced with aligned carbon nanotubes","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091908971&doi=10.1016%2Fj.compscitech.2020.108472&partnerID=40&md5=29a72a15cb26b45f929b28dd3490ef81","Carbon nanotubes (CNTs) reinforced composite materials have been widely studied, but the long-standing technical issues with poor dispersion, low CNT content, and low CNT alignment remain to be solved. In this study, a CNT/polymer composite material is prepared by continuously winding a highly aligned CNT assembly with the polymer resin introduced and cured on-line. CNTs are mixed with the resin at the molecular level, and their alignment is maintained. Effects of critical experimental parameters such as winding rate, curing temperature, and curing time are studied. Under optimal conditions, the composite material with a high CNT content of 65 wt% exhibits a high tensile strength of 751 MPa and elongation at break of 6%. All the preparation processes are completed in air and on line without any post off-line processing as involved in previous conventional techniques. Therefore, this study provides a new strategy for manufacturing cost-effective composite materials in large scale and structural components of different sizes for wide applications. © 2020 Elsevier B.V., All rights reserved.","Alignment; Carbon Nanotube; Mechanical Property; On-line Preparation; Polymer Composite; Alignment; Carbon Nanotubes; Cost Effectiveness; Curing; Manufacture; Reinforced Plastics; Resins; Tensile Strength; Winding; Aligned Carbon Nanotubes; Conventional Techniques; Experimental Parameters; High-tensile Strength; Off-line Processing; Preparation Process; Reinforced Composite Materials; Structural Component; Reinforcement"
"Carbon black distribution in natural rubber/butadiene rubber blend composites: Distribution driven by morphology","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091798691&doi=10.1016%2Fj.compscitech.2020.108484&partnerID=40&md5=763763b88fe09d373dec272655321206","Rubber-rubber blends [RRB's] of natural rubber [NR] and butadiene rubber [BR] filled with carbon black [CB] were compounded on a two-roll mixing mill. Partition of CB in RRB's is a challenging problem in the rubber industry. Therefore, the present study aims to quantify CB's partitioning in NR/BR RRB's at different blending ratios using relative damping height measurements from the dynamic mechanical analysis [DMA]. To support the findings from the DMA, structural and morphological analyses were carried out using solid state nuclear magnetic resonance [Solid State NMR] and transmission electron microscope [TEM] respectively. Constrained regions in neat (unfilled) NR/BR RRB's were analysed for the first time by dynamic mechanical analysis and this was ascribed to the entanglements between NR and BR chains at the interface. The tanδ<inf>max</inf> analysis confirmed the presence of 80% of CB partitioned towards BR phase in 70/30 NR/BR blends. For 50/50 NR/BR blends, 6.4% of CB is partitioned towards BR phase and 38% of CB was partitioned towards BR phase in 30/70 NR/BR blends. This indicated preferential migration of CB to one of the phases based on rubber blend composition. Solid State NMR studies were in agreement with DMA analysis. TEM images of CB filled rubber blends represent a near to homogenous state of dispersion, where in the identification of individual rubber phases becomes more difficult at the nanometre scale. The CB networking and its migration to the dispersed phase was evident from the TEM analysis. © 2020 Elsevier B.V., All rights reserved.","A; C; Carbon Black; D; Distribution; Dynamic Mechanical Thermal Analysis; Rubber; Rubber Blends; Transmission Electron Microscopy; Carbon Black; Dynamics; Light Polarization; Morphology; Nuclear Magnetic Resonance; Nuclear Magnetic Resonance Spectroscopy; Rubber; Rubber Compounding; Rubber Industry; Transmission Electron Microscopy; Blending Ratio; Butadiene Rubber; Dispersed Phase; Height Measurement; Identification Of Individuals; Morphological Analysis; Solid State Nmr; Solid-state Nuclear Magnetic Resonance; Filled Polymers"
"Graphene morphology effect on the gas barrier, mechanical and thermal properties of thermoplastic polyurethane","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091676529&doi=10.1016%2Fj.compscitech.2020.108461&partnerID=40&md5=8188a788197dce004edcf42d4d4576da","In this study, we investigated the effect of the morphology of few-layer (FLG) and multi-layer (MLG) graphene flakes on the gas barrier properties of thermoplastic polyurethane (TPU) films. Composite films of TPU filled with FLG and MLG at different concentrations are prepared by solution blending-casting and hot-pressing, achieving an in-plane alignment of the fillers and, consequently, improving the gas barrier properties. Specifically, the hot-pressed TPU composites loaded with 4 wt% of the MLG with a lateral size distribution of 0.1–25.0 μm demonstrates a reduction of ~81% in the gas permeability compared to the pristine TPU. Additionally, the thermal conductivity of the TPU composite (loaded with 4 wt% of MLG) is enhanced ~3 times and the Young modulus increases more than 5 times compared to the pristine TPU. © 2020 Elsevier B.V., All rights reserved.","Composites; Gas Barrier; Graphene; Polyurethane; Thermal Conductivity; Blending; Composite Films; Gas Permeability; Graphene; Hot Pressing; Morphology; Polyurethanes; Reinforced Plastics; Thermal Conductivity; Gas Barrier Properties; In-plane Alignment; Lateral Sizes; Mechanical And Thermal Properties; Morphology Effect; Solution Blending; Thermoplastic Polyurethanes; Young Modulus; Gas Permeable Membranes"
"3D printing of carbon black/polypropylene composites with excellent microwave absorption performance","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091676469&doi=10.1016%2Fj.compscitech.2020.108479&partnerID=40&md5=cd4213caae5c2486188040d3337d74a3","3D printing in virtue of strong designability has incomparable advantages in material composition and structural design. In this work, carbon black/polypropylene composite with various contents of carbon black (CB) were successfully prepared by fused deposition modeling. When the CB content is 10%, uniformly dispersion of particles in the matrix with little agglomeration, and the corresponding composite exhibits the excellent microwave absorption and broad effective bandwidth. The maximum reflection loss value reached −39.15 dB at 15.08 GHz, and the corresponding effective bandwidth is 5.63 GHz (12.37–18 GHz) with a thickness of 2.1 mm. At the same time, when the thickness is 2.8 mm, the maximum reflection value is up to −62.6 dB at 10.64 GHz with an effective bandwidth of 4.56 GHz (8.88–13.44 GHz). The composite containing 10 wt% CB has conductive loss, polarization loss, and suitable impedance matching, resulting in superior microwave absorption. 3D printing technology provides a more efficient method for the preparation of microwave absorbing materials. © 2020 Elsevier B.V., All rights reserved.","3d Printing; Dielectric; Microwave Absorption; Polypropylene; Bandwidth; Fused Deposition Modeling; Microwaves; Structural Design; Designability; Effective Bandwidth; Material Compositions; Microwave Absorbing Materials; Microwave Absorption; Polarization Loss; Reflection Loss; Superior Microwave; Carbon Black"
"Ductile keratin/deacetylated chitin composites with nanoparticle-induced formation of ordered and entangled structures","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091673623&doi=10.1016%2Fj.compscitech.2020.108462&partnerID=40&md5=8a99324890b812bcc2238ab4595ccf19","Highly ductile and wet-durable bio-composites from keratin reinforced by chitin-nanoparticles with engineered deacetylation have been developed. Though featuring good biodegradability and biocompatibility, poultry-feather-extracted keratin-based composites usually suffered from poor ductility and moisture stabilities because of poor interfacial properties, limited recovery of ordered protein structures and crosslinkages. In this work, chitin-nanoparticles with engineered deacetylation were used to reinforce keratin. Via engineered deacetylation, chitin-nanoparticles not only improved interfacial interactions but also formed crosslinkages with keratin. As a result, ordered keratin structures with high degree of entanglement in composites were substantially formed without addition of any coupling agents. Furthermore, engineered deacetylation for chitin could adjust the wet performance of composites via control of hydrophilicity of matrix and reinforcements. Via control of regularity and hydrophilicity of molecules by chitin-nanoparticles, mechanical properties and wet performance of keratin-based composites can be substantially improved. Reinforced keratin composites had a 230%, 260%, 540% increase in breaking strain, breaking stress and ductility, respectively as well as 94% weight retention after immersed in water for 1 week. © 2020 Elsevier B.V., All rights reserved.","Bio Composites; Mechanical Properties; Nano Particles; Particle-reinforced Composites; Acetylation; Biocompatibility; Biodegradability; Chitin; Coupling Agents; Ductility; Hydrophilicity; Keratin; Nanoparticles; Breaking Strain; Breaking Stress; Degree Of Entanglement; Interfacial Interaction; Interfacial Property; Moisture Stability; Poultry Feathers; Protein Structures; Reinforcement"
"A molecular dynamics study of the mechanical and electrical properties of Polydimethylsiloxane-Ni conductive nanocomposites","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091667073&doi=10.1016%2Fj.compscitech.2020.108463&partnerID=40&md5=e095c047557e750bb8d449a798cd8bb2","Molecular dynamics was applied to develop a novel PDMS and PDMS-Ni nanocomposite model. First, the PDMS model was validated in terms of the elastic and compressive moduli using available experimental data. The model was then used as a benchmark to add Ni nanoparticles and create a PDMS-Ni conductive nanocomposite model. This model was studied under uniaxial tensile and compressive loading conditions for different Ni filler ratios and mean particle diameters. The electrical resistivity of the model was then obtained as a function of pressure and the compressive stresses. The PDMS-Ni MD model was validated via the literature and shown to successfully predict electrical resistivity variations versus compressive stresses. The results show that as the Ni filler ratio increased from 3:1 to 6:1, the drop in initial electrical resistivity of the composites occurred much faster and at lower stresses. Furthermore, as the mean Ni particle diameter size was increased from 1 nm to 5 nm, the electrical conductivity of the PDMS-Ni improved at different filler ratios. The developed PDMS-Ni MD model can be used to study the electrical and mechanical behaviors of such materials in biosensor applications. It can further be used to study the effects of adding other fillers to PDMS matrix. © 2020 Elsevier B.V., All rights reserved.","Modeling; Molecular Dynamics; Nanofillers; Pdms-ni Conductive Composites; Compressive Stress; Electric Conductivity; Fillers; Microchannels; Molecular Dynamics; Nanocomposites; Particle Size; Biosensor Applications; Compressive Moduli; Electrical Conductivity; Function Of Pressure; Mean Particle Diameter; Mechanical And Electrical Properties; Mechanical Behavior; Ni Nanoparticles; Silicones"
"Nanofiber-based wearable energy harvesters in different body motions","2020","Composites Science and Technology","10.1016/j.compscitech.2020.108478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091666734&doi=10.1016%2Fj.compscitech.2020.108478&partnerID=40&md5=f07e51e3b37e874f973edf3269589054","In this study, flexible energy harvesters based on lead zirconate titanate (PZT)/shape memory polyurethane (SMPU) nanofibers were prepared and made wearable for energy harvesting from human body movements while ensuring flexibility. The results obtained showed that there is a relationship between the piezoelectric and energy harvesting properties of the proposed PZT/SMPU energy harvesters, and the alignment degrees and motion modes. The 0°-aligned energy harvester—wherein nanofibers are parallel to the longitudinal direction—showed higher piezoelectric properties and induced higher output voltages because of the bending motion compared to nanofibers aligned randomly-, at 90°-, and at 45°-. Practical tests showed that flexible energy harvesters can efficiently convert mechanical energy into electricity when subject to different body motions such as bending, twisting, and applied pressure. The maximum output voltages generated by energy harvesters with 0°- and 45°-aligned nanofibers were 537 and 55 mV when they were subjected to finger bending and wrist twisting motions, respectively; this represents an increase of at least 28% compared to that of other samples. Therefore, these findings provide insights and strategies related to the optimal arrangement of nanofibers in wearable energy harvesters and improvement in their energy harvesting efficiency with respect to different body part motions. © 2020 Elsevier B.V., All rights reserved.","A. Flexible Composites; A. Nano Composites; A. Smart Materials; B. Electrical Properties; E. Electro-spinning; Bending Tests; Lead Zirconate Titanate; Nanofibers; Piezoelectricity; Wearable Technology; Aligned Nanofibers; Energy Harvester; Higher Output Voltages; Human Body Movement; Longitudinal Direction; Mechanical Energies; Optimal Arrangement; Piezoelectric Property; Energy Harvesting"
