"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Modulating the electrode–electrolyte interphases for high–energy lithium–metal batteries","2025","Energy Storage Materials","10.1016/j.ensm.2025.104514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012634174&doi=10.1016%2Fj.ensm.2025.104514&partnerID=40&md5=51617d88a4c38e5cef019e012748d919","Pairing high-loading Ni-rich layered oxide cathodes with Li-metal anodes offers a promising strategy toward high-energy Li-metal batteries. However, structural instability and surface reactivity of both electrodes induce parasitic reactions with the electrolyte solution, particularly under high charging rate conditions, leading to rapid capacity degradation. Herein, a dual-additive-incorporated carbonate-based electrolyte solution is developed for the stable cycling of Li-metal batteries, featuring a high-loading Li[Ni<inf>0.9</inf>Co<inf>0.05</inf>Mn<inf>0.05</inf>]O<inf>2</inf> cathode under lean electrolyte and high charging rate conditions. The individual and combined effects of lithium difluorophosphate (LiDFP) and lithium nitrate (LiNO<inf>3</inf>) are systematically investigated to elucidate their influence on the cycling behavior of Li-metal batteries. The synergistic effect of LiDFP and LiNO<inf>3</inf> modulates the electrolyte–electrode interphase (EEI) layer to be robust and conductive, suppressing dendritic Li growth and structural degradation of the cathode. This study also highlights the importance of suppressing the crossover effect for Ni-rich cathode-based Li-metal batteries. The Li||Li[Ni<inf>0.9</inf>Co<inf>0.05</inf>Mn<inf>0.05</inf>]O<inf>2</inf> Li-metal full cell with a areal capacity of 4.6 mAh cm–2 and lean electrolyte condition delivers a high discharge capacity of 230.0 mAh g–1 at 0.1 C, maintains stable cycling over 200 cycles with a cycle retention of 85.4 %, and exhibits an average Coulombic efficiency of 99.87 % at high rate conditions. © 2025 Elsevier B.V., All rights reserved.","Additive; Electrode–electrolyte Interphase; Electrolyte Solution; Lithium Metal Batteries; Ni-rich Cathode; Anodes; Binary Alloys; Cathodes; Charging (batteries); Cobalt Compounds; Electric Discharges; Electrolytes; Lithium Compounds; Lithium-ion Batteries; Nickel Oxide; Stability; Surface Reactions; Condition; Electrode–electrolyte Interphase; Electrolyte Solutions; Energy; High Charging Rates; High Loadings; Li Metal; Lithium Metal Battery; Lithium Metals; Ni-rich Cathode; Additives"
"High-performance all-solid-state lithium battery enabled by coating an ultrathin NASICON-type buffer layer on Ni-rich cathode","2025","Energy Storage Materials","10.1016/j.ensm.2025.104515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012626349&doi=10.1016%2Fj.ensm.2025.104515&partnerID=40&md5=e5446e3b1fca719410a8f0e8f2a0bf4f","All-solid-state lithium batteries (ASSLBs) composed of sulfide solid-state electrolytes and high-performance cathodes are promising candidates for next-generation energy storage systems. However, the instability at the cathode-electrolyte interface remains a critical challenge. In this work, we develop a high-energy-density ASSLB, enhanced by the formation of an ultrathin (∼1 nm) LiTi<inf>2</inf>(PO<inf>4</inf>)<inf>3</inf> (LTPO) buffer layer on the surface of LiNi<inf>0.88</inf>Co<inf>0.09</inf>Mn<inf>0.03</inf>O<inf>2</inf> (Ni88) cathode via atomic layer deposition (ALD) process. This uniform LTPO coating is first applied on a solid-state battery cathode. Through calculations we prove its excellent ionic conductivity and interfacial compatibility with both the cathode and sulfide electrolyte. The LTPO not only accelerates charge transfer but also mitigates interfacial degradation and structural instability of the Ni88. Using Li<inf>6</inf>PS<inf>5</inf>Cl as the electrolyte, ASSLB based on LTPO[sbnd]Ni88 exhibits excellent rate performance (68.5 mAh g–1 at 3C) and cycling stability (88 % of the initial capacity maintained after 400 cycles at 0.5C). Even with an increased areal loading of 29.4 mg cm–2, the cell delivers an areal capacity of 5.5 mAh cm–2 and maintains 84 % capacity retention after 300 cycles. These advancements highlight the potential of LTPO-coated ASSLBs for large-scale, high-energy-density applications. © 2025 Elsevier B.V., All rights reserved.","All-solid-state Lithium Batteries; Atomic Layer Deposition; Cathode Interfaces; Ultrathin Buffer Layer; Binary Alloys; Buffer Layers; Cathodes; Charge Transfer; Charging (batteries); Chlorine Compounds; Coatings; Interface States; Lithium Compounds; Lithium-ion Batteries; Nickel Compounds; Phase Interfaces; Phosphorus Compounds; Polonium Compounds; Solid Electrolytes; Solid State Devices; Solid-state Batteries; Sulfur Compounds; All-solid-state Lithium Battery; Atomic-layer Deposition; Cathodes Interface; Energy; Higher Energy Density; Nasicon Type; Performance; Solid-state Electrolyte; Ultra-thin; Ultrathin Buffer Layer; Atomic Layer Deposition"
"Functional additives for AlCl3/EMIC ionic liquid electrolyte of rechargeable aluminum batteries: advancements and challenges","2025","Energy Storage Materials","10.1016/j.ensm.2025.104475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012607564&doi=10.1016%2Fj.ensm.2025.104475&partnerID=40&md5=51c411252641a3f0bc25144e5954a2da","Rechargeable aluminum batteries (RABs) have emerged as a promising next-generation technology for large-scale energy storage, owing to their instrinsic electrode stability, superior safety, and low cost. The AlCl₃/1-ethyl-3-methylimidazolium chloride (EMIC) ionic liquid (IL) electrolyte plays a crucial role in the performance of RABs. However, AlCl<inf>3</inf>/EMIC suffers from high viscosity, moisture sensitivity, and corrosivity, which significantly limit its large-scale application and further development in RABs. Functional additives represent a facile and effective strategy for addressing these challenges. In this review, we explore a wide range of functional additives introduced into AlCl₃/EMIC to optimize its electrochemical performance. The discussion specifically focuses on the effects of functional additives in RABs, such as promoting ion diffusion, mitigating moisture sensitivity, suppressing dendrite growth and promoting compatibility with electrode that critically impact the lifespan of RABs. In the end, we provide perspectives on electrolyte additives to drive advancements in state-of-the-art RABs, aiming to bridge the gap between laboratory research and practical applications. © 2025 Elsevier B.V., All rights reserved.","Additives; Alcl3/emic; Ionic Liquid Electrolyte; Rechargeable Aluminum Batteries; Aluminum; Aluminum Chloride; Electrodes; Electrolytes; Ionic Liquids; Moisture; Secondary Batteries; Alcl 3; Alcl3/ethyl-3-methylimidazolia Chloride; Energy; Functional Additives; Generation Technologies; Ionic Liquid Electrolytes; Large-scales; Methylimidazolium Chloride; Moisture Sensitivity; Rechargeable Aluminum Battery; Additives"
"Rechargeable organic coating as an artificial solid electrolyte interphase enabling high-capacity and fast-charging graphite anodes","2025","Energy Storage Materials","10.1016/j.ensm.2025.104518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012583115&doi=10.1016%2Fj.ensm.2025.104518&partnerID=40&md5=4a0c38822ffa227a9da8822bb37fda42","Graphite, as the most successful commercial anode material for lithium-ion batteries (LIBs), offers notable advantages such as a low operating potential (0.1 V vs. Li+/Li) and exceptional electrochemical reversibility. Unfortunately, the low specific capacity (372 mAh g−1) and the semi-infinite diffusion-controlled Li+ intercalation mechanism result in limited energy density and poor fast-charging performance, thereby constraining the rate capability of full batteries. Herein, a hybrid anode of graphite@muconic acid (Gra@MCA) is reported, in which the MCA functions as a rechargeable artificial solid electrolyte interphase (SEI) layer. This nanocrystalline MCA coating layer offers exceptionally high specific capacity and capacitive contribution, ensuring high-rate Li-ion storage, isotropic Li⁺ transport, and ordered and efficient Li+ intercalation into graphite without inducing polarization, particularly under high-power conditions. This makes Gra@MCA a highly promising candidate for next-generation LIB anodes. As such, the Gra@MCA electrode delivers a high reversible capacity of 766.2 mAh g−1 at 0.1 C (1 C = 380 mA g−1) and impressive rate capability of 187.9 mAh g−1 at 20 C with a capacity retention of 49.7 %. Modulating the electrode-electrolyte interface and enhancing reaction kinetics through a rechargeable organic artificial SEI layer provides a universal strategy for designing composite anodes with outstanding electrochemical performance. © 2025 Elsevier B.V., All rights reserved.","Artificial Solid Electrolyte Interphase; Capacitive Li-ion Storage; Fast-charging Graphite; Interfacial Kinetics; Rechargeable Muconic Acid Coating; Fast Charging (batteries); Graphite; Ions; Lithium Compounds; Lithium-ion Batteries; Organic Coatings; Reaction Kinetics; Seebeck Effect; Solid Electrolytes; Solid-state Batteries; Artificial Solid Electrolyte Interphase; Capacitive Li-ion Storage; Fast Charging; Fast-charging Graphite; Interfacial Kinetic; Li +; Li Ion Storage; Muconic Acid; Rechargeable Muconic Acid Coating; Solid Electrolyte Interphase; Anodes; Nanocrystals"
"Inorganic and organic hybrid additives synergistically drive dual interface regulation to achieve highly stable aqueous zinc-ion batteries","2025","Energy Storage Materials","10.1016/j.ensm.2025.104523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012580920&doi=10.1016%2Fj.ensm.2025.104523&partnerID=40&md5=10f99e36c7fb26ae0c0c6a5b7860a227","Aqueous zinc-ion batteries (AZIBs) are promising for their high safety, low cost, and eco-friendliness. However, dendrite, hydrogen evolution reaction, and interface instability still limit their application. This study proposes a hybrid additive strategy of organic chitosan (CTS) and inorganic InCl<inf>3</inf> synergistically. Theoretical calculations show that the CTS-rich hydroxyl and amino groups regulate the double electronic layer structure and hydrogen bond network between H<inf>2</inf>O molecules, thereby affecting the solvation structure and deposition behavior of Zn2+ and promoting its uniform deposition on specific crystal planes; Meanwhile, the introduction of In3+ further facilitates a more disordered water structure, improves the ionic conductivity of the electrolyte, and forms an In protective layer on the Zn surface through a replacement reaction, further stabilizing the electrode/electrolyte interface. Experiments show that the Zn||Zn symmetric battery has a cycle of 2900 h at 0.5 mA cm−2, 0.5 mAh cm−2, and impressive coulombic efficiency of 99.50 % in the Zn||Cu battery. The Zn||V<inf>2</inf>O<inf>5</inf> full cell shows 96 % capacity retention after 600 cycles at 3 A g−1, and 69 % after 2500 cycles at 5 A g−1, respectively. This hybrid additive strategy provides new ideas and an experimental basis for the promotion of AZIBs in practical applications. © 2025 Elsevier B.V., All rights reserved.","Aqueous Zinc-ion Batteries; Hybrid Additive; Interface; Synergistic Effect; Additives; Crystal Structure; Deposition; Hydrogen Bonds; Ions; Phase Interfaces; Surface Reactions; Zinc; Zinc Compounds; Aqueous Zinc-ion Battery; High Safety; Highly Stables; Hybrid Additive; Inorganic Hybrids; Ion Batteries; Low-costs; Organic Hybrids; Synergistic Effect; Zinc Ions; Substitution Reactions"
"Emerging biomass functional materials for stable zinc anode","2025","Energy Storage Materials","10.1016/j.ensm.2025.104521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012580806&doi=10.1016%2Fj.ensm.2025.104521&partnerID=40&md5=e0922484f51eff053856eece82d35b76","Rechargeable aqueous Zn-ion batteries have garnered significant attention in recent years as promising energy storage systems due to their low cost, high specific capacity, and inherent safety. However, the practical application of Zn anodes faces numerous challenges, including Zn dendrite formation and side reactions such as hydrogen evolution, corrosion, and passivation. Biomass materials, characterized by diverse molecular architectures, rich surface chemistries, and environmental benignity, demonstrate tremendous potential for protecting Zn anodes. In this review, we systematically categorize and summarize relevant literatures on biomass-based materials for Zn anode protection to provide a comprehensive understanding of recent advancements. First, we elucidate the unique advantages of biomass materials and critically analyze their specific applications in Zn anode protection, covering anode modification, electrolyte engineering, and separator optimization. Furthermore, we identify persistent challenges in implementing biomass materials for Zn anode protection and propose future research directions, aiming to establish a strategic framework for subsequent studies in this field. © 2025 Elsevier B.V., All rights reserved.","Anode Modification; Biomass; Electrolyte Engineering; Separator Optimization; Zn Anode; Anode Materials; Anodes; Electrolytes; Functional Materials; Passivation; Separators; Strategic Materials; Surface Chemistry; Zinc; Zinc Compounds; Anode Modification; Anode Protections; Biomass Materials; Electrolyte Engineering; Functionals; Optimisations; Separator Optimization; Zinc Anodes; Zn Anode; Zn Ions; Biomass"
"Quinone-pyrazine organic cathode with intramolecular hydrogen bonds enabling high-charging and wide-temperature aqueous zinc batteries","2025","Energy Storage Materials","10.1016/j.ensm.2025.104517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012486279&doi=10.1016%2Fj.ensm.2025.104517&partnerID=40&md5=789c70c2f4405a941d3c541d613d71b3","Organic electrode materials (OEMs) have garnered significant attention for cathode applications in aqueous zinc batteries (AZBs), whereas many quinone cathodes still suffer from limited stability and slow reaction kinetics. Herein, the quinone-pyrazine organic featured with hydrogen-bonded small molecule, designed by the incomplete conjugation architecture (DAPBQ), is firstly showcased. The partially conjugated architecture upholds the autonomy of redox reactions among active moieties, fostering the cycling life of organic electrode. Simultaneously, the formation of intramolecular hydrogen bonds (C = O···N[sbnd]H) contributes to charge transportation by efficiently reducing DAPBQ solubility. Benefiting from these structures, this DAPBQ electrode demonstrates high capacity (204 mAh g-1 at 0.2 A g-1), satisfactory rate performance (114.2 mAh g-1 at 30 A g-1), superlong life (a high-capacity retention of 88.0% after 10,000 cycles). Even with a high active material loading of 10 mg cm-2, the Zn//DAPBQ battery also exhibits good rate capability and high redox reversibility. Remarkably, this battery demonstrates exceptional versatility, operating reliably across an extreme temperature range of -60 to 80 °C. Moreover, the co-insertion (Zn2+ and H+) insertion charge storage mechanism is investigated by a series of physical characterizations. © 2025 Elsevier B.V., All rights reserved.","Aqueous Zinc Batteries; Intramolecular Hydrogen Bonds; Partially Conjugated Architecture; Small Organic Electrode; Wide-temperature; Architecture; Cathode Materials; Cathodes; Charging (batteries); Quinone; Reaction Kinetics; Redox Reactions; Secondary Batteries; Zinc; Aqueous Zinc Battery; High Capacity; High-capacity; Intramolecular Hydrogen Bond; Organic Cathodes; Organic Electrodes; Partially Conjugated Architecture; Pyrazines; Small Organic Electrode; Wide-temperature; Hydrogen Bonds"
"Enabling low-temperature charging of Si-C anodes in high-voltage li-ion batteries by electrolyte enhancement","2025","Energy Storage Materials","10.1016/j.ensm.2025.104509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012478264&doi=10.1016%2Fj.ensm.2025.104509&partnerID=40&md5=74c2afa258d0f6b490c8fb01270095d8","Facing with the predicament of plummeting battery energy density under low temperatures, enabling high-capacity Si-C anodes and high-voltage cathodes operated across the wide temperature range is an effective solution. However, low-temperature charging and advanced electrodes impose stringent demands on the Li+ transport and interphase stability. We propose a bifunctional electrolyte to integrate rapid Li+ transfer and dual-interface protection which mitigates the huge volume expansion of Si-C anodes and electrolyte oxidation as well as metal ion dissolution on high voltage cathodes. Fast low-temperature kinetics and stable dual-interphases synergistically enable 4.6 V Si-C||NCM622 full cells to achieve charge-discharge from −60 °C to 50 °C, retaining 80.2% capacity at -30 °C after 100 cycles and 67% after 300 cycles at 50 °C. Even at -60 °C, the cell could be charged and retains 22.1% capacity. Notably, a practical 2.2 Ah pouch cell with NCM811 and a high loading of 6 mAh/cm² can deliver high energy densities of 254, 186, and 65Wh/kg at 30 °C, -30 °C, and -60 °C, along with high capacity retention of 88.7% after 250 cycles. Our work demonstrates that electrolyte-centric engineering is pivotal for unlocking the full potential of high-energy-density electrode systems in extreme environments, offering a blueprint for next-generation wide-temperature-range batteries. © 2025 Elsevier B.V., All rights reserved.","High Voltage Cathode; Silicon-carbon Anode; Solid Electrolyte Interphase; Weak Solvation Environment; Wide-temperature Li-ion Battery; Anodes; Cathodes; Charging (batteries); High Temperature Engineering; Lithium Compounds; Metal Ions; Silicon Batteries; Silicon Compounds; Solid Electrolytes; Solid-state Batteries; Temperature; Carbon Anodes; High Capacity; High-voltage Cathodes; Ion Batteries; Lows-temperatures; Silicon Carbon; Silicon-carbon Anode; Solid Electrolyte Interphase; Weak Solvation Environment; Wide-temperature Li-ion Battery; Lithium-ion Batteries"
"Unlocking high-performance gel electrolytes through microphase separation for flexible zinc-air batteries","2025","Energy Storage Materials","10.1016/j.ensm.2025.104504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012458973&doi=10.1016%2Fj.ensm.2025.104504&partnerID=40&md5=b7c4c0949ba5067b22be047ad16da87e","Gel polymer electrolytes (GPEs) are crucial components of flexible zinc-air batteries (FZABs). Conventional GPEs face an inherent trade-off between accelerating ion migration and enhancing mechanical properties, making it challenging to decouple flexible ion transport from rigid structural support. Herein, a design strategy is proposed to regulate the microphase separation structure of GPEs using cellulose nanofibers (CNFs), enabling structural-functional partitioning between polymer-rich and solvent-rich domains. Consequently, GPEs with a microphase separation structure (non-alkaline: MPS-CNFs; alkaline: MPS-CNFs-KOH) achieve both high ionic conductivity (MPS-CNFs: 30.95 mS/cm; MPS-CNFs-KOH: 318.21 mS/cm) and excellent static and dynamic mechanical performance (MPS-CNFs or MPS-CNFs-KOH: hysteresis ≤6.11 %, elastic recovery ≥97 %). Furthermore, these GPEs demonstrate strong environmental adaptability, electrode compatibility, and effective suppression of side reactions, collectively contributing to the superior electrochemical performance of FZABs. Notably, FZABs employing MPS-CNFs-KOH maintain operational stability across a wide temperature range (−40 to 80 °C), underscoring their robustness in extreme conditions. Overall, the CNF-regulated microphase separation strategy offers a compelling solution to the long-standing mechanical–electrochemical trade-off in GPEs, providing a promising design framework for the development of next-generation high-performance FZABs. © 2025 Elsevier B.V., All rights reserved.","Cellulose Nanofibers; Flexible Zn-air Batteries; Gel Polymer Electrolytes; Microphase Separation; Cellulose; Electrochemical Electrodes; Nanofibers; Potassium Hydroxide; Solid Electrolytes; Zinc; Zinc Compounds; Alkalines; Cellulose Nanofibers; Flexible Zn-air Battery; Gel Polymer Electrolytes; Mechanical; Micro-phase; Microphase Separation Structures; Performance; Trade Off; Zinc-air Battery; Economic And Social Effects; Microphase Separation; Air; Commerce; Potassium Hydroxide; Separation; Zinc Compounds"
"A review of strategies for promoting rapid dissociation of lithium salts from multiple perspectives for solid state electrolytes","2025","Energy Storage Materials","10.1016/j.ensm.2025.104513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012428387&doi=10.1016%2Fj.ensm.2025.104513&partnerID=40&md5=a52a03d37aba9e21d97a70aef352a323","Solid-state lithium metal batteries are considered as one of the pivotal solutions for next-generation energy storage technology due to high energy density and inherent safety. However, the performance limitations of these batteries based on using solid state electrolytes primarily arise from the ion transport confinements of solid electrolytes and the insufficient dissociation efficiencies of lithium salts. The review provides a systematic elaboration of the ion transport mechanisms and lithium salt dissociation regulation strategies in solid state electrolytes, elucidating the critical impacts of material design and interface engineering on battery performances. Firstly, the mechanisms of lithium-ion transport in solid state electrolytes and the necessary improvements in each system are highly summarized. Secondly, the classification and performance evaluation of lithium salts in batteries are presented in detail. By analyzing the roles of lithium salts in the batteries, the importance of enhancing lithium salt dissociation also is emphasized. The review mainly proposes five innovative strategies to increase the lithium migration number: Strengthening interactions with lithium ions; Interacting with lithium salt anions; Weakening the coordination effect between lithium salt cations and anions; Utilizing the polarization effect of high dielectric materials; and Leveraging recombination effects. Finally, the detailed researches of high-performance batteries with high lithium-ion conductivity are comprehensively summarized. All in all, this review aims to establish a theoretical foundation and provide guidance for the practical application of high-safety and high-energy-density solid-state lithium batteries. © 2025 Elsevier B.V., All rights reserved.","Excellent Electrochemical Performances; High Safety; Lithium-ion Transport; Solid State Electrolyte; Battery Management Systems; Dielectric Materials; Dissociation; Interface States; Interfaces (materials); Lithium; Lithium-ion Batteries; Negative Ions; Safety Engineering; Solid-state Batteries; Electrochemical Performance; Excellent Electrochemical Performance; High Safety; Higher Energy Density; Lithium Metals; Lithium Salt Dissociation; Lithium Salts; Lithium-ion Transport; Multiple Perspectives; Solid-state Electrolyte; Solid Electrolytes"
