"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"“Dragon man” prompts rethinking of Middle Pleistocene hominin systematics in Asia","2023","Innovation","10.1016/j.xinn.2023.100527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176099342&doi=10.1016%2Fj.xinn.2023.100527&partnerID=40&md5=439b6455a86e96a4e428de9fd48ad3aa","[No abstract available]",""
"Air pollution may increase the sleep apnea severity: A nationwide analysis of smart device-based monitoring","2023","Innovation","10.1016/j.xinn.2023.100528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175636224&doi=10.1016%2Fj.xinn.2023.100528&partnerID=40&md5=aefb099ac0d5cce4dd0dec9cdfd3fdff","Obstructive sleep apnea (OSA) can lead to sleep deprivation, accidents, and cardiovascular diseases. However, research on the short-term effects of air pollutants on OSA severity is limited and inconsistent. We conducted a novel case time series analysis using a nationwide dataset among Huawei smart device users to assess the association between air pollution and OSA severity in a population at moderate-to-severe risk of OSA. Fixed-effects regression models were used to assess the associations between air pollution and the risk of OSA exacerbation, apnea-hypopnea index (AHI), and oxygen saturation. A total of 51,842 participants who were at moderate-to-severe risk of OSA (mean age [SD]: 45.4 [11.0], 95.5% male) were included, with 6,232,056 person-days of monitoring. The associations of fine particulate matter, nitrogen dioxide, carbon monoxide, and sulfur dioxide with OSA severity could occur during the sleep period, and last for 2 days. An increase of 1 interquartile range in the moving average concentrations of air pollution during the sleep period and the 2 previous days was associated with a 1.14%–4.31% increase in the risk of OSA exacerbation, an increase in AHI by 0.05–0.17 events/h, and a decrease in oxygen saturation (%) by 0.003–0.014. The exposure-response curves were almost linear. The associations between air pollutants and OSA were consistently stronger in participants aged 45 years or older. By virtue of the smart device-based technology, this large-scale, nationwide, longitudinal study provides compelling evidence that short-term exposure to air pollution may worsen sleep apnea. Our findings highlight the significance of ongoing efforts to improve air quality in mitigating OSA severity and the relevant disease burden in an aging era. © 2023 Elsevier B.V., All rights reserved.","Nitrogen Oxides; Oxygen; Regression Analysis; Risk Assessment; Sleep Research; Sulfur Dioxide; Time Series Analysis; Air Pollutants; Apnea-hypopnea Indices; Cardiovascular Disease; Obstructive Sleep Apnea; Oxygen Saturation; Short-term Effects; Sleep Apnea; Sleep Deprivation; Smart Devices; Time-series Analysis; Carbon Monoxide"
"Topological transverse thermoelectrics: A new way forward?","2023","Innovation","10.1016/j.xinn.2023.100530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175614762&doi=10.1016%2Fj.xinn.2023.100530&partnerID=40&md5=e9495c9190b716b0944bb2b62f0c7387","[No abstract available]",""
"Impacts of slope climbing of urban expansion on global sustainable development","2023","Innovation","10.1016/j.xinn.2023.100529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175480365&doi=10.1016%2Fj.xinn.2023.100529&partnerID=40&md5=3899c454caa8c693e562ae579c0fde97","[No abstract available]",""
"Artificial intelligence for science—bridging data to wisdom","2023","Innovation","10.1016/j.xinn.2023.100525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175467150&doi=10.1016%2Fj.xinn.2023.100525&partnerID=40&md5=7bdcd1147b178e88e7a559b3c69b457f","[No abstract available]",""
"Harnessing “little mighty” cockroaches: Pest management and beneficial utilization","2023","Innovation","10.1016/j.xinn.2023.100531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175449764&doi=10.1016%2Fj.xinn.2023.100531&partnerID=40&md5=570d525000d26ccb488d9de429823a3e","[No abstract available]",""
"ChatGPT for scientific paper writing—promises and perils","2023","Innovation","10.1016/j.xinn.2023.100524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175432646&doi=10.1016%2Fj.xinn.2023.100524&partnerID=40&md5=11932f7e36da7b69636302454fc2ef18","[No abstract available]",""
"Penetrating remote sensing: Next-generation remote sensing for transparent earth","2023","Innovation","10.1016/j.xinn.2023.100519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174700993&doi=10.1016%2Fj.xinn.2023.100519&partnerID=40&md5=5377462d0856177db561a136227aa428","[No abstract available]",""
"Large-scale generative simulation artificial intelligence: The next hotspot","2023","Innovation","10.1016/j.xinn.2023.100516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174684833&doi=10.1016%2Fj.xinn.2023.100516&partnerID=40&md5=0cb384bd6914df3030d8bebc50ad3527","[No abstract available]",""
"Two-step phase manipulation by tailoring chemical bonds results in high-performance GeSe thermoelectrics","2023","Innovation","10.1016/j.xinn.2023.100522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174447013&doi=10.1016%2Fj.xinn.2023.100522&partnerID=40&md5=98d508573c150a5c7ee8dd45eadaf5f2","In thermoelectrics, phase engineering serves a crucial function in determining the power factor by affecting the band degeneracy. However, for low-symmetry compounds, the mainstream one-step phase manipulation strategy, depending solely on the valley or orbital degeneracy, is inadequate to attain a high density-of-states effective mass and exceptional zT. Here, we employ a distinctive two-step phase manipulation strategy through stepwise tailoring chemical bonds in GeSe. Initially, we amplify the valley degeneracy via CdTe alloying, which elevates the crystal symmetry from a covalently bonded orthorhombic to a metavalently bonded rhombohedral phase by significantly suppressing the Peierls distortion. Subsequently, we incorporate Pb to trigger the convergence of multivalence bands and further enhance the density-of-states effective mass by moderately restraining the Peierls distortion. Additionally, the atypical metavalent bonding in rhombohedral GeSe enables a high Ge vacancy concentration and a small band effective mass, leading to increased carrier concentration and mobility. This weak chemical bond along with strong lattice anharmonicity also reduces lattice thermal conductivity. Consequently, this unique property ensemble contributes to an outstanding zT of 0.9 at 773 K for Ge<inf>0.80</inf>Pb<inf>0.20</inf>Se(CdTe)<inf>0.25</inf>. This work underscores the pivotal role of the two-step phase manipulation by stepwise tailoring of chemical bonds in improving the thermoelectric performance of p-bonded chalcogenides. © 2023 Elsevier B.V., All rights reserved.","Bond Strength (chemical); Carrier Mobility; Crystal Symmetry; Ii-vi Semiconductors; Inorganic Compounds; Iv-vi Semiconductors; Thermoelectricity; Crucial Functions; Densities Of State; Effective Mass; Manipulation Strategy; Orbital Degeneracy; Peierls Distortion; Performance; Phase Manipulations; Power Factors; Thermoelectric; Carrier Concentration"
