"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"“Sexual activity for me is something else. It's the same as always: Sex aside and our love for each other.” Changes in sexual activity in dementia from the view of spouse-carers'","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177036096&doi=10.1016%2Fj.jaging.2023.101193&partnerID=40&md5=49085ecca42cbc75f62a02cd73484498","The study aimed to explore the impact of Alzheimer's disease (AD) on spouse-carer's lives and the ways it affects their marital relationship and sexual activity. Data were obtained from qualitative interviews conducted with 11 spouse-carers of people with AD. Using interpretative phenomenological analysis (IPA), three themes emerged: psychological and emotional impact, social impact, and sexual impact. Some spouse-carers reported stress, poor emotional well-being, frustration, doubts about how to deal with the situation, sadness, loneliness, perception of losing connection with the partner, and feelings of companionship disappearing. Meanwhile, other spouse-carers reported closer relations and greater affection for their care-recipients after the diagnosis. Changes in sexual activity were attributed to aging and/or the effects of the illness. Gender influenced the perception of changes in the marital relationship but not in sexual activity. Participants reported conflicting perspectives towards the importance of sexual activity in the marital relationship and the replacement of sexual intercourse with other modes of expressing affection. We believe that understanding the specificities of marital relationships of couples in whom one spouse was diagnosed with AD would be helpful for developing coping strategies for persons living with dementia and their spouses. © 2023 Elsevier B.V., All rights reserved.","Alzheimer's Disease, Qualitative Interview; Marital Relationship; Sexual Activity; Spouse-carer; Alzheimer Disease; Caregiver; Human; Love; Psychology; Sexual Behavior; Spouse; Alzheimer Disease; Caregivers; Humans; Love; Sexual Behavior; Spouses"
"Personal benefits of older adults engaging in a participatory action research (PAR) project","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176086064&doi=10.1016%2Fj.jaging.2023.101192&partnerID=40&md5=77f77168ac5e67e2a0e921a16fabd4ce","Participatory action research (PAR) is the process of conducting research with people rather than for them and is perceived as an empowering activity for older adults who participate in it. However, there is little evidence that outlines and explains the reasons why older adults engage in PAR. Thus, the aim of this study was to better understand the personal benefits for older adults participating in PAR. We based our study on the experiences of four older adults who volunteered for CareComLabs, a Swiss-based PAR project, for more than two years. A constructivist grounded theory design was used to explore the benefits of participating in CareComLabs by conducting in-depth, semi-structured interviews. The analysis yielded four categories of personal benefits of participating in CareComLabs: (a) enriching relationships; (b) broadening horizons for older age; (c) keeping in touch with one's profession; and (d) interacting in a nurturing community. Our findings may have implications for policies and frameworks focused on the identification of the potential of participatory action research as a community resource. © 2023 Elsevier B.V., All rights reserved.","Aging In Place; Co-researchers; Older Age; Participatory Action Research; Social Participation; Aged; Article; Case Report; Clinical Article; Community Resource; Female; Grounded Theory; Human; Independent Living; Male; Occupation; Participatory Action Research; Semi Structured Interview; Social Participation; Touch; Health Services Research; Participatory Research; Aged; Community-based Participatory Research; Health Services Research; Humans"
"“We never lived together either”: Couples' housing (re-) arrangements in later life","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175543703&doi=10.1016%2Fj.jaging.2023.101190&partnerID=40&md5=d44db1359c07fb6d1c3ea28d245c6e8e","Social gerontology mainly addresses couples' housing arrangements in later life by focusing on partner's care, related adaptations in place, and changing role expectations within the couple relationship. Thereby, the resulting image does not fully represent today's diversity of couples' housing arrangements. This article considers housing arrangement and relationship orientation of older couples as entangled in social practice, providing a broader perspective on the diversity and dynamics of couples living arrangements in later life. In a qualitative study, we conducted joint in-depth interviews with ten couples from Germany aged 58 to 88 years. Couples talked about their shared biography and living together today. Data were merged with fieldnotes on housing constellations and analyzed following the documentary method. Couples co-constitute living together by using space in different ways. We found three relationship orientations of couples corresponding to practices of couples' housing arrangements: balancing physical and emotional presence by negotiating shared space, exploring presence by having a third common place, and reducing presence by separate housing. These orientation types which are linked with spatial (re-) arrangements reveal positioning to housing preferences in past relationships and point to societal concepts of coupledom as regards housing in later life. Space gives options for both being apart from and feeling close to the partner, partially at the same time. Diversity and dynamics of housing arrangements correspond to diversified and altering relationship orientations in later life. Considering couples' housing arrangements in later life as mutually constitutive broadens the options to examine the meaning of space in aging together. Moreover, this perspective can be combined with a critical approach towards stereotypical (hetero-) normative biases in research. © 2023 Elsevier B.V., All rights reserved.","Aging; Cohabitation; Couples; Housing Arrangements; Later Life; Spatial Environment; Adult; Aged; Aging; Article; Cohabitation; Germany; Housing; Human; Human Experiment; Interview; Literature; Negotiation; Qualitative Research; Family Structure; Psychology; Aging; Family Characteristics; Housing; Humans"
"“What's your accent, where are you from?”: Language and belonging among older immigrants","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175328190&doi=10.1016%2Fj.jaging.2023.101189&partnerID=40&md5=0b6a30a9eb47e8fa4fc3b2eea609f975","Researchers have identified immigration and marginalization as two processes that impact older immigrants' experience of aging in the U.S. Our paper draws on 42 interviews with a diverse group of older American immigrants to center issues of language, accent, and Othering. We argue that the importance of language extends beyond communication for older immigrants, as English proficiency and accent are important boundaries determining inclusion and recognition as an American. Accents are a racialized characteristic that can prompt microaggressions and exclusion. We identified a racial pattern in reported reactions to accents among the participants in our study. White immigrants generally described positive appraisals of their accent, and typically had a choice whether to emphasize their national origins. While white immigrants were viewed as “Acceptable Outsiders,” many immigrants of color described microaggressions, ridicule, and discrimination related to their accented speech. We contend that these experiences of Othering can have a profound impact on sense of belonging, as many of the older immigrants of color in our study expressed a persistent sense of exclusion and even alienation. We advance the concept of “aging off center” to describe how repeated experiences of Othering and exclusion shape aging experiences for immigrants of color who are long-term residents of the United States. © 2023 Elsevier B.V., All rights reserved.","Accent; Aging; Language; Marginalization; Older Immigrants; Adult; Aging; Alienation; Article; English Proficiency; Female; Human; Human Experiment; Immigrant; Interview; Language; Male; Microaggression; Resident; Speech; United States; Interpersonal Communication; Migrant; Recognition; Speech Perception; Communication; Emigrants And Immigrants; Humans; Language; Recognition, Psychology; Speech Perception"
"Life-course transitions and exclusion from social relations in the lives of older men and women","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174707982&doi=10.1016%2Fj.jaging.2023.101188&partnerID=40&md5=7537b1dd62f4fb0c09afee84d36ae77e","There is increasing interest across European contexts in promoting active social lives in older age, and counteracting pathways and outcomes related to social isolation and loneliness for men and women in later life. This is evidenced within national and European level policy, including the 2021 Green Paper on Ageing and its concern with understanding how risks can accrue for European ageing populations in the relational sphere. Research indicates that life-course transitions can function as a source of these risks, leading to a range of potentially exclusionary impacts for the social relations of older men and women. Findings presented in this paper are drawn from the qualitative component of a larger European mixed-methods study on exclusion from social relations (GENPATH: A life course perspective on the GENdered PATHways of social exclusion in later life, and its consequences for health and well-being). We use data from 119 in-depth interviews from four jurisdictions: Austria, Czechia, Ireland and Spain. This research employed an approach that focused on capturing lived experienced insights related to relational change across the life course, the implications of these changes for multifaceted forms of exclusion from social relations and the role of gender in patterning these changes and implications. We focused on transitions that commonly emerged across those jurisdictions for older people: onset of ill-health, bereavement, retirement and relocation. We found that these transitions translate into multidimensional experiences of exclusion from social relations in the lives of older men and women by constraining their social networks, support networks, social opportunities and intimate relationships. © 2023 Elsevier B.V., All rights reserved.","Bereavement; Exclusion; Ill-health; Older Adults; Relocation; Social Relations; Aged; Aging; Female; Human; Life Event; Loneliness; Male; Qualitative Research; Social Isolation; Aged; Aging; Female; Humans; Life Change Events; Loneliness; Male; Qualitative Research; Social Isolation"
"Inessential objects: Cherished possessions in late life in Indian fiction","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174155790&doi=10.1016%2Fj.jaging.2023.101184&partnerID=40&md5=10dd878443858eef1c76f4cffcdf4083","Through close readings of three Indian short stories, this essay seeks to show how cherished possessions, such as a bed, a blanket and books, are not stable repositories of past memories but a means of materializing intergenerational relations within the family in the lived present and, perhaps even more interestingly, catalysts for new and hitherto unforeseen possibilities of self-discovery and connections with the world beyond. Part of the apparatus of self-care that older people can summon in the moment to supplement their selfhood, objects as presented in these stories appear to exceed their limited understanding as passive recipients of externally imposed meaning, with their complex and unstable signification finally shown to emerge through their mutually transformative entanglement with people. © 2023 Elsevier B.V., All rights reserved.","Agential Objects; Attachment; Extended Selfhood; Intergenerational Relations; Material Culture; Meaning-making; Renunciation; Adult; Article; Catalyst; Human; Human Relation; Meaning-making; Memory; Self Care; Aged; Psychological Adjustment; Questionnaire; Adaptation, Psychological; Aged; Humans; Intergenerational Relations; Self Care; Surveys And Questionnaires"
"A phenomenological, intersectional understanding of coping with ageism and racism among older adults","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173783876&doi=10.1016%2Fj.jaging.2023.101186&partnerID=40&md5=d22656d5f6a1345a1b12fe57240b0515","The aim of this qualitative, phenomenological study was to understand how older adults cope with experiences of ageism and racism through an intersectional lens. Twenty adults 60+ residing in the U.S. Mountain West who identified as Black, Hispanic/Latino(a), Asian-American/Pacific Islander, Indigenous, or White participated individually in a one-hour, semi-structured interview. A team of five coders engaged in an inductive coding process through independent coding followed by critical discussion. Peer debriefing enhanced credibility. Nine themes were organized by three umbrella categories: Coping with ageism: 1) distancing via self-determination/defying stereotypes, 2) distancing by helping others; Coping with racism: 3) resistance, 4) exhaustion; Coping with both ageism and racism: 5) increased awareness through aging, 6) healthy lifestyle, 7) education, 8) acceptance/ ‘let it go’, and 9) avoidance. Novel findings include how older adults may cope with ageism and racism via increased awareness through aging and with ageism specifically by helping peer older adults, although instances of internalized ageism were noted and discussed. The themes exemplify problem-focused (e.g., helping others) and emotion-focused (acceptance), as well as individual (e.g., self-determination) and collective (e.g., resistance) coping strategies. This study can serve as a resource for practitioners in applying a more nuanced understanding of the ways older adults cope with ageism and racism in later life. © 2023 Elsevier B.V., All rights reserved.","Ageism; Coping; Intersectionality; Older Adults; Phenomenology; Racism; Aged; Ageism; Aging; Human; Psychological Adjustment; Qualitative Research; Racism; Adaptation, Psychological; Aged; Ageism; Aging; Humans; Qualitative Research; Racism"
"“Stop acting like a child – you're immature”: The reversed ageism of practicing self-injury as adult women and the reclaiming of our bodies","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173651491&doi=10.1016%2Fj.jaging.2023.101187&partnerID=40&md5=f286f9f9151849d0bd3ab3f6a1e88d36","The practice of self-injury is considered deviant and pathological, and the stereotype of a self-injuring individual is a young, white, middle-class woman. By using an autoethnographic approach, I elucidate how four women and I, aged 35–51, with experiences of self-injury in adulthood, use, internalize, and speak through dominant discourses of self-injury. The practice of self-injury is an embodied one, and self-injury is stereotypically associated with immature, irresponsible, and emotionally unstable young women. As adult women who self-injure, we use and speak through this representation, which, to some extent, affects our self-image and identity as we are often “misrecognized” as full partners in everyday social interaction or when we represent our professions. Still, we resist the idea of self-injury as stemming from immaturity, and we work to reclaim our bodies and agency from the medicalized, ageist assumptions of the practice of self-injury. By doing this, we can also rewrite and transform the meaning of this practice. Our self-inflicted wounds or scars do not define who we are nor our level of maturity, intelligence, and attractiveness. Thus, we acknowledge that we have the right to our own bodies and what we do to that body. © 2023 Elsevier B.V., All rights reserved.","Adult Women; Ageism; Autoethnography; Gender; Self-injury; Social Stigma; The Body; Ageism; Automutilation; Female; Human; Self Concept; Stereotyping; Ageism; Female; Humans; Self Concept; Self-injurious Behavior; Stereotyping"
"Distributed age(ing): Features of a material gerontology","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173023339&doi=10.1016%2Fj.jaging.2023.101185&partnerID=40&md5=7071e061a15f24323909615a28d6eb0c","In this paper, I develop features of a material gerontology which are summarised in the concept of “distributed age(ing);” that is, age(ing) that is distributed across and co-constituted through meanings, roles, and identities, as well as human and non-human forms of materiality, their productive dimensions and their relations to each other. The starting point is the critique of the human-centredness of gerontological approaches and, thus, the lack of a systematic conceptual consideration of non-human forms of materiality and agency in the context of age(ing). To overcome this problem, I propose the following shifts in perspective that are inspired by actor-network theory: from human-centredness to the recognition and consideration of the material diversity of age(ing); from the critique of subject/object dualism to the symmetrisation of materialities; from the seemingly given ontology of the ageing body to the re-ontologisation of age(ing); from the critique of intentional and causal determinants to embodiment and relationality; from linearity and chronology to the plural temporalities of age(ing). I will explain these features in more detail by using breathing as an example. I will show that the concept of distributed age(ing) allows for both the generation of new insights on age(ing) by asking how, where and when age(ing) takes place and reflection on presumptions, determinants and reductions of approaches belonging to social and cultural gerontology. © 2023 Elsevier B.V., All rights reserved.","Actor-network Theory; Breathing; Distributed Age(ing); Material Gerontology; Aging; Article; Breathing; Chronology; Gerontology; Human; Ontology; Theoretical Study; Geriatrics; Aging; Geriatrics; Humans"
"Dementia as a material for co-creative art making: Towards feminist posthumanist caring","2023","Journal of Aging Studies","10.1016/j.jaging.2023.101169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172671819&doi=10.1016%2Fj.jaging.2023.101169&partnerID=40&md5=5a428fa25d1ffc23db0ac8d833dfe14e","This article generates new understandings of dementia through feminist posthumanist and performative engagements with co-creative artmaking practices during a six-month study in a residential care home in Norway. Dementia emerges within multisensorial entanglements of more-than-human materials in three different artmaking sessions, which first materialized in the form of collective photographs and vignettes and culminated in a final exhibition, Gleaming Moments, in the care home. Drawing on these photographs, vignettes, and the author's engagement as a research artist in the sessions, this analysis examined how dementia was enacted as a spark of inspiration, felted warm seat pads, and a friendly more-than-human touch, that is, a touch of human and nonhuman art materials. These findings suggest new ontologies of dementia within multisensorial artmaking practices, in which dementia functions as a material for co-creative artmaking rather than a disease. These findings disrupt dominant biomedical ontologies of Alzheimer's disease and other dementias, as well as humanist person-centered practices in dementia care, which have concretized an individual, rather than relational, focus on dementia. In contrast, this study explores dementia as a phenomenon within the entanglements of human and nonhuman intra-active agencies. By highlighting the significance of these agencies (i.e., sponge holder-painting, wool-felting, choir-singing, chick-making) for different worlds-making with dementia, this study provides an entry point for imagining feminist posthumanist caring. Thus, dementia becomes a matter in life that is not to be managed and defeated to achieve successful aging, but to be interrogated and embraced. © 2023 Elsevier B.V., All rights reserved.","Aging; Co-creative Artmaking Practices; Dementia; Feminist Posthumanist Caring; More-than-human Art Materials; Multisensorial Entangled Intra-actions; Alzheimer Disease; Art; Dementia; Feminism; Human; Humanism; Alzheimer Disease; Art; Dementia; Feminism; Humanism; Humans"
