"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Debt and debt tax benefit: Evidence from Indonesia debt-to-equity cap reform","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206162103&doi=10.1016%2Fj.jeconbus.2024.106217&partnerID=40&md5=aa169c2a732c5513ce2fc9c883c22407","This study scrutinizes the effects of Indonesia's 2016 debt-to-equity cap reform (thin capitalization rule) on capital structure, highlighting the role of debt tax benefits. The reform curtails debt tax benefits and furnishes a quasi-experimental setting, allowing a comparison between firms affected by the reform and those unaffected. Focusing on private firms and employing an entropy balancing weighted difference-in-difference approach, we elucidate that the reform results in a substantial 9.7 percentage point reduction in the debt ratio and a 5.3 percentage point increase in the stock ratio. Additionally, utilizing a pseudo tax cut reform framework combined with an isolated impact of the zero marginal debt tax benefit, we identify an implied tax elasticity of debt around 0.88, contributing to the observed decline in the debt ratio. Notably, smaller firms exhibit a more pronounced response, and the stock ratio undergoes a significant metamorphosis, suggesting the need for nuanced policy adjustments. Overall, the study underscores the profound influence of debt tax benefits in shaping corporate financing decisions. © 2024 Elsevier B.V., All rights reserved.","Capital Structure; Debt; Debt Tax Benefit; Debt To Equity; Difference-in-difference; Entropy Balancing; Tax Elasticity Of Debt; Thin Capitalization Rule"
"Trading frictions and the Post-earnings-announcement drift","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204451557&doi=10.1016%2Fj.jeconbus.2024.106216&partnerID=40&md5=181f501fc9751b2f6a3a4c277693f4f2","We use laboratory experiments to analyze how the existence of trading frictions (a transaction fee and bans on short selling and margin buying) affects the occurrence and strength of the post-earnings-announcement drift. We find less trading activity and higher asset prices in the presence of frictions. While the initial price reaction to earnings announcements is weaker, the strength of the PEAD is not materially affected. Trading strategies aimed at exploiting the PEAD are less profitable in the presence of frictions. © 2024 Elsevier B.V., All rights reserved.","Experimental Asset Markets; Post-earnings-announcement Drift; Trading Frictions"
"Inflation targeting and output stabilization in an estimated monetary model","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203800483&doi=10.1016%2Fj.jeconbus.2024.106209&partnerID=40&md5=a7c55d3a4fa8f612cc39e762ae3fa2ed","This paper studies determinacy conditions in a monetary model with an interest rate rule. In addition to the inflation rate as an argument of the policy rule, we introduce a second argument: output, a case empirically relevant but overlooked in the existing literature on monetary models with flexible prices. Firstly, we estimate a model with money in utility and the production function. We find that an aggressive response to inflation does not necessarily guarantee determinacy anymore. Secondly, we compare monetary policy in the pre-Volcker era and the post-Volcker era. We find that, after the appointment of Paul Volcker, the Federal Reserve started to respond more aggressively to inflation and less aggressively to output. Indeterminacy is pervasive: the equilibrium is indeterminate in both sub-samples. Thirdly, we estimate the impulse response functions. We find that monetary shocks, sunspot inflation shocks, and productivity shocks have long-lasting effects on inflation, output, and interest rates. © 2024 Elsevier B.V., All rights reserved.","Indeterminacy; Monetary Model; Money In Production; Money In Utility; Taylor Principle"
"Panic herding: Analysts' COVID-19 experiences and the interpretation of earnings news","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199811915&doi=10.1016%2Fj.jeconbus.2024.106206&partnerID=40&md5=9d48c35db35c9b1e7cd1970e4b71070a","This paper examines how local experiences of the COVID-19 pandemic affect sell- side analysts’ interpretation of earnings news. By exploiting the variation in the intensity and timing of local outbreaks, I show that analysts who are more exposed to the virus tend to herd more closely with the consensus forecast. However, I find no evidence of increases in forecast pessimism. The data are consistent with the intensity of exposure to the pandemic having a first-order effect on analysts’ risk attitudes, rather than on the bias of their stated expectations. © 2024 Elsevier B.V., All rights reserved.","Analysts; Covid-19; Earnings News; Forecast Boldness"
"Banking sustainability in a large emerging economy: Focus on Brazilian banks","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199768890&doi=10.1016%2Fj.jeconbus.2024.106207&partnerID=40&md5=ca331ad90b893643dddee0be69e4c405","This study investigates the exposure of Brazilian banks to sectors with a higher sensitivity to climate-related risks. For this purpose, by aligning the novel Sectoral Environmental Risk Index with the International Finance Corporation's methodology, this research empirically analyzes more than 90 % of Brazilian banks’ credit data. The main objective is to determine whether Brazilian banks expand their portfolios toward environmentally friendly sectors. Based on the findings, there is a positive association between growth credit and portfolios in such sectors, with a persistent effect over time. The results also provide valuable insights for policymakers and stakeholders aiming to foster sustainable finance practices by challenging the access to credit for polluting economic sectors. © 2024 Elsevier B.V., All rights reserved.","Banking Sustainability; Climate Change; Credit"
"Blockholder voting power and investment decisions: Evidence from cross-border deals in Latin America","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199765102&doi=10.1016%2Fj.jeconbus.2024.106205&partnerID=40&md5=bfc88068737a7e7447cfc7fc7f52056f","This paper examines the relationship between blockholder coalitions and the probability of completing a cross-border merger and acquisition. Using different power indices based on Shapley-Shubik values for cooperative games for a sample of acquirers' firms from Latin America, our findings indicate an inverted-U-shaped relationship between the voting power of the largest blockholder and the likelihood of completing a cross-border deal. This relationship is strengthened by the number of active blockholders and the participation of institutional investors within coalitions among the top four blockholders, particularly pension fund administrators. Consequently, we observe that colluding blockholders in acquirer firms are more inclined to pursue risky cross-border acquisitions, but only when they possess relatively low levels of voting rights. Additionally, the study highlights a positive moderating effect of cross-border deals with coalition agreements on the long-term value performance of acquiring firms, suggesting that coalition agreements promote overseas acquisitions that enhance value. © 2024 Elsevier B.V., All rights reserved.","Blockholders Coalitions; Cross-border Deals; Institutional Ownership; Latin America; Power Indices"
"The effects of types of banks on financial access and income inequality in a heterogeneous sample: A quantile regression analysis","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196515352&doi=10.1016%2Fj.jeconbus.2024.106197&partnerID=40&md5=69ab77fb42868417c0170523d36c864e","Over time, a substantial amount of theoretical and empirical economic literature has been devoted to examining the relationship between financial access (a relevant component of financial development) and the distribution of income, with mixed findings. We propose a quantile regression approach to study the importance of financial access on income inequality and the effects of cooperative and commercial banking in shaping the relationship. We use data from 57 developed and developing countries from 2004 to 2019. Financial access has been demonstrated to lessen income inequality and the reduction is greater as income inequality increases. When commercial banks are considered instead of their counterparty, the magnitude of the reduction is greater. On the other hand, cooperative banks and credit unions appear to decrease income inequality in low-income countries as they strive for inclusive financial access. This study might provide new insights for policy makers, as they should facilitate access to capital for the most disadvantaged. This would lead to both a greater development of entrepreneurial skills and a better quality of human capital, as they could acquire a higher level of education. © 2024 Elsevier B.V., All rights reserved.","Cooperative And Commercial Banks; Financial Access; Income Inequality; Quantile Regression"
"ECB communication sentiments: How do they relate to the economic environment and financial markets?","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196103023&doi=10.1016%2Fj.jeconbus.2024.106198&partnerID=40&md5=c9c04233a2cb55b0e91721a0999f98c2","In this paper we examine multiple dimensions of ECB monetary policy communication by identifying its sentiment and relation with the economic environment and financial markets. We quantify communication sentiment using transcripts from official ECB communication events – press conferences, accounts and Executive Board speeches – as well as media reactions that highlight the key messages of those events. Importantly, we create distinctive lexicons for both of those communication types. We find that the overall trends in the sentiment indices for the analysed communication events closely resemble the movements of monetary policy stance as well as inflation dynamics in the euro area, both before and after the COVID-19 shock period. The communication tone generally shifts in advance of actual monetary policy actions. Using regression analysis, we find some expected, statistically significant effects of press conference sentiment on bank stock prices (information-type shock) and identify the impact of Executive Board speeches on euro area risk-free rates. Fragmentation issues among euro area member states do not seem to be negatively affected by the sentiments of the ECB's communication. Still, policy makers should be aware that the tone of their communication events is likely to affect particular financial markets. These results are confirmed by various robustness checks. © 2024 Elsevier B.V., All rights reserved.","Communication; Ecb; Financial Markets; Fiscal Costs; Monetary Policy; Sentiment Analysis"
"Stock returns, industry concentration and firm expenditure decisions","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193784922&doi=10.1016%2Fj.jeconbus.2024.106195&partnerID=40&md5=754800290a92e181825b6a34272ff95c","We build on agency and strategy literature to investigate and explain whether and how changes in stock returns are related to critical managerial expenditure decisions by firms that are consistent and supportive of the firm's strategy in different industry concentrations. Unlike previous work, our study considers the impact of an extended list of managerial expenditure decisions in the different industry concentration settings. Our research employs a rich panel of firms listed on the UK London Stock Exchange. We find strong support for our postulations. Key managerial expenditure decisions we considered, leverage, inventories turnover, R&D intensity, SGA and fixed asset additions have a differential impact depending on the industry concentration. Our findings add to our understanding of the effect of managerial agency and its integration to strategy on firm stock returns. Managerial expenditure decisions are both constrained by the competitive context as well as strategic logic – both of which impact stock returns. Our study helps managers to prioritize consequential expenditure decisions in different competitive contexts – a key resource for not only weathering crisis periods but optimizing returns to shareholders. © 2024 Elsevier B.V., All rights reserved.","Firm Value; Fixed Asset Additions; Industry Concentration; Inventories; Leverage; R&d; Sga"
"The effects of economic uncertainty and economic policy uncertainty on banks’ loan loss provision in Brazil","2024","Journal of Economics and Business","10.1016/j.jeconbus.2024.106185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190495277&doi=10.1016%2Fj.jeconbus.2024.106185&partnerID=40&md5=e5680632ad96f53586b298b8d6e23cfa","This paper investigates the effects of economic uncertainty and economic policy uncertainty on banks’ loan loss provision in Brazil, and it seeks to identify which uncertainties have the greatest impact on loan loss provisions. Regarding uncertainties, it is possible to proxy economic uncertainty and economic policy uncertainty through disagreements among professional forecasters and through news-based proxies. Thus, as a novelty, disagreements among professional forecasters are used to proxy both economic and economic policy uncertainties, and for checking robustness, news-based proxies are employed. The disagreements in expectations are divided into two groups: the first focuses on uncertainties related to economic policy instruments (i.e., monetary policy interest rate and primary surplus), and the second on uncertainties related to economic outcomes (i.e., inflation, exchange rate, GDP growth, and public debt). Regarding the news-based proxies of economic policy uncertainty and economic uncertainty, two indicators were employed: the first is the Economic Policy Uncertainty index, and the second is the index of economic uncertainty unrelated to economic policy that we calculate. Based on dynamic panel data analysis for 125 Brazilian banks, the findings suggest uncertainties in economic outcomes have greater influence on banking provisions than uncertainties in economic policy. The study validates the results using news-based indexes and a subsample representing the post-global financial crisis period. © 2024 Elsevier B.V., All rights reserved.","Credit Risk; Disagreement In Expectations; Economic Policy Uncertainty; Economic Uncertainty; Provisions"
