"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Insights into the December 2023 Issue of the Journal of Endodontics","2023","Journal of Endodontics","10.1016/j.joen.2023.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176127339&doi=10.1016%2Fj.joen.2023.11.001&partnerID=40&md5=8fba8806a6d1ea848d3b1f76d5afc4ef","[No abstract available]",""
"Finite Element Analysis of Fracture Resistance of Mandibular Molars with Different Access Cavity Designs","2023","Journal of Endodontics","10.1016/j.joen.2023.09.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175193212&doi=10.1016%2Fj.joen.2023.09.014&partnerID=40&md5=df64b31f048d1ef46a82a28283338974","Introduction: This study aimed to assess the fracture resistance of mandibular first molars after preparation with 3 different access cavity designs and 2 rotary systems using finite element analysis. Methods: Six 3-dimensionally printed mandibular first molars simulating natural teeth received traditional, conservative, and ultraconservative (truss) access cavity preparations. The root canals in each group were instrumented with either XP-Endo Shaper (FKG Dentaire, La Chaux-de-Fonds, Switzerland) or TruNatomy (Dentsply Sirona, Ballaigues, Switzerland) rotary files. The models were individually digitized, and micro–computed tomographic scans were transferred to Mimics software (Materialise NV, Leuven, Belgium) to create a geometric model of the tooth. The designed model was exported to 3-matic software (Materialise NV), and STL files were transferred to Geomagic Design X (3D Systems, Rock Hill, SC). Point cloud data were used for surfacing and transferred to ANSYS software (Ansys, Canonsburg, PA). A 200-N superficial force was applied vertically to the buccal cusps and central fossa, and the maximum and minimum equivalent von Mises stress values were calculated and reported. Results: The traditional and ultraconservative access cavity designs yielded the highest and the lowest von Mises stress values, respectively. In the ultraconservative cavity design, the stress values in pericervical dentin were lower in canal preparation with TruNatomy compared with XP-Endo Shaper. In the traditional and conservative cavity designs, stress was lower in the first 2 mm from the cementoenamel junction in the XP-Endo Shaper group and in the next 3 mm in the TruNatomy group. Conclusions: Stress was lower in the ultraconservative and conservative cavity designs compared with the traditional design. Also, root canal preparation with TruNatomy yielded lower stress values in general compared with XP-Endo Shaper. © 2023 Elsevier B.V., All rights reserved.","Conservative Access Cavity; Finite Element Analysis; Fracture Resistance; Maximum Von Mises Stress; Dental Pulp Cavity; Diagnostic Imaging; Finite Element Analysis; Micro-computed Tomography; Molar Tooth; Procedures; Root Canal Preparation; Dental Pulp Cavity; Finite Element Analysis; Molar; Root Canal Preparation; X-ray Microtomography"
"Comparison of Curvature Severity Between Sagittal and Coronal Planes of Mesiobuccal Canals in Permanent Maxillary First Molars Using Multiple Complexity-risk Criteria: A CBCT Cross-sectional Study of a Brazilian Subpopulation","2023","Journal of Endodontics","10.1016/j.joen.2023.09.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175001711&doi=10.1016%2Fj.joen.2023.09.015&partnerID=40&md5=8fae047ddf6359ff16663761602cde5b","Introduction: This study aimed to compare the curvature severity of mesio-buccal (MB) canals between sagittal and coronal planes using cone-beam computed tomography. Methods: In a Brazilian subpopulation, untreated MB1 (n = 141) and MB2 (n = 72) with single curvatures in sagittal and coronal planes were measured to determine their angle and radius (r), plus the prevalence of S-shaped canals was recorded. Curvature severity was defined according to the American Association of Endodontists Case Difficulty Assessment form (AAE) and EndoApp (EA), as well as their modified versions that consider angle and radii (AAE-r, EA-r). Data were converted into mean angle and r, percentage of canals >30°, AAE, EA, AAE-r and EA-r categories. The influence of r on case severity was assessed. Statistical analysis was performed using t-tests and chi-squared tests. The level of significance was set as P ≤ .05. Results: For single curvatures, significantly higher mean degrees (SD) angles were found in the sagittal views in both canals (MB1 sagittal: 35 [11]; MB1 coronal: 13 [13]; MB2 sagittal: 29 [14]; MB2 coronal: 22 [15] [P < .05]). A greater percentage of angles >30° (MB1: 56.7% vs 6.4%; MB2: 44.4% vs 22.2%) in sagittal planes compared to coronal planes was also found. Conversely, a higher prevalence of S-shaped canals (MB1: 33.3% vs 7.1% MB2: 31.9% vs 15.3%) was observed in coronal planes. Significant differences between AAE and AAE-r were present with greater case severity when radii were considered (P < .05). Conclusions: Sagittal planes were associated with more severe single curvatures, while coronal planes had a greater prevalence of S-shaped canals. © 2023 Elsevier B.V., All rights reserved.","Angle; Case Complexity; Cone Beam Computed Tomography; Cross-sectional Study; Mesiobuccal Canals; Radius; Article; Cone Beam Computed Tomography; Cross-sectional Study; Endodontist; Human; Major Clinical Study; Maxillary First Molar; Prevalence; Brazil; Dental Pulp Cavity; Diagnostic Imaging; Molar Tooth; Procedures; Cone-beam Computed Tomography; Cross-sectional Studies; Dental Pulp Cavity; Molar; Spiral Cone-beam Computed Tomography"
"Tissue Stabilization, Bacterial Adhesion, and Stem Cell Viability in Trans-cinnamaldehyde-conditioned Dentin","2023","Journal of Endodontics","10.1016/j.joen.2023.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174827044&doi=10.1016%2Fj.joen.2023.09.011&partnerID=40&md5=87a1d6a9572a964c5f21cc5cb34263fa","Introduction: This laboratory study aimed to evaluate the effect of trans-cinnamaldehyde (TC) conditioning on dentin tissue stabilization, bacterial adhesion, and stem cell toxicity. Methods: Dentin beams (n = 204) from extracted human molars were demineralized in phosphoric acid and treated with TC (2.5, 5, and 7.5%), 50% ethanol-water mixture (vehicle control) or 2.5% glutaraldehyde (GA) (positive control) for 30 minutes. Demineralized but untreated specimens served as the negative control. After treatment, collagen crosslinking was characterized by measuring the elastic modulus (E<inf>r</inf>) and hardness (n = 5). Biodegradation resistance was examined by determining the loss of dry mass (n = 8), hydroxyproline release (n = 4) and scanning electron microscopy (n = 2), after exposure to bacterial collagenase. Inhibition of bacterial adhesion was investigated by colony counting assay (n = 12) and scanning electron microscopy (n = 2). Viability of stem cells of the apical papilla on TC-conditioned dentin was determined using the Cell Counting Kit-8 assay (n = 8). Data were statistically analyzed using one-way analysis of variance (ANOVA) test followed by Dunnett's multiple comparisons at a significance level of 5%. Results: TC-conditioned dentin showed a concentration-dependent increase in E<inf>r</inf> and hardness. The E<inf>r</inf> and hardness of 5% and 7.5% TC-conditioned dentin were significantly greater than that of the negative control and vehicle control groups (P < .05). There was no significant difference in the biodegradation resistance between GA and 5% TC-conditioned dentin (P > .05). TC-conditioned dentin showed a well-preserved collagen fibril network with clear cross-banding, comparable to GA-conditioned dentin. All concentrations of TC inhibited bacterial adhesion on dentin, significantly greater than the negative control (P < .05). There was no reduction in viability of stem cells of the apical papilla viability on TC-conditioned dentin compared to the negative control (P > .05). Conclusions: TC conditioning stabilized the dentin and protected it from enzymatic degradation. TC prevented bacterial adhesion on the dentin but maintained stem cell viability. © 2023 Elsevier B.V., All rights reserved.","Collagen; Cross Linking; Dentin; Enterococcus Faecalis; Stem Cells; Cinnamaldehyde; Collagen; Glutaraldehyde; Cinnamaldehyde; Collagen; Glutaral; Cinnamaldehyde; Collagen; Glutaraldehyde; Bacterium Adherence; Cell Survival; Dentin; Human; Metabolism; Stem Cell; Bacterial Adhesion; Cell Survival; Collagen; Dentin; Glutaral; Humans; Stem Cells"
"Piezoelectric Device and Dynamic Navigation System Integration for Bone Window-Guided Surgery","2023","Journal of Endodontics","10.1016/j.joen.2023.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174817483&doi=10.1016%2Fj.joen.2023.09.013&partnerID=40&md5=67e4c45f8b5d65e5bd44bc6d61f477f1","Introduction: This study investigates the feasibility of integrating a piezoelectric device (PIEZO) into a dynamic navigation system (DNS) for bone-window guided surgery. It compares the accuracy and efficiency of PIEZO + DNS to PIEZO + Freehand (FH) procedure for bone-window cutting and root-end resection (RER). Methods: Forty-eight mandibular molars of 3D-printed surgical jaw models were divided into two groups: PIEZO + DNS (n = 24) and PIEZO + FH (n = 24). Cone-beam computed tomography scans were taken before and after the procedure. The procedure was virtually planned on X-guide software. The bone-window cutting and RER were conducted with a PIEZO under dynamic navigation in the PIEZO + DNS group and using the dental operating microscope in the PIEZO + FH group. The 2D- and 3D-accuracy deviations and angular deflection were measured for the bone window cut. The root length resected and resection angle were calculated. The bone window cut, RER, total operating time, and number of mishaps were recorded. Results: PIEZO + DNS was more accurate than PIEZO + FH for bone-window cutting, showing fewer 2D and 3D deviations and less angular deflection (P < .05). The resection angle was lower in the PIEZO + DNS (P < .05). The bone-window cut and total operating time were significantly reduced using a DNS (P < .05). There was no difference in the number of mishaps (P > .05). Conclusions: Within the limitations of this in vitro study, the integration of a PIEZO into a DNS is feasible for bone-window guided surgery. The DNS improved the accuracy and efficiency of bone-window cutting. © 2023 Elsevier B.V., All rights reserved.","Dynamic Navigation; Endodontic Microsurgery; Piezosurgery; Apicoectomy; Computer Assisted Surgery; Cone Beam Computed Tomography; Molar Tooth; Procedures; Surgery; Tooth; Apicoectomy; Cone-beam Computed Tomography; Molar; Surgery, Computer-assisted; Tooth"
"Options for Access Cavity Designs of Mandibular Incisors: Mechanical Aspects from Finite Element Study","2023","Journal of Endodontics","10.1016/j.joen.2023.09.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174811058&doi=10.1016%2Fj.joen.2023.09.012&partnerID=40&md5=ac687dacc6d0f2c3c76a1af3f37a0009","Introduction: This study investigated different access cavity designs of mandibular anteriors in terms of their effect on the biomechanical behavior and longevity using finite element analysis (FEA). Methods: A 3-dimensional model of a mandibular incisor was created for FEA. After validating the intact tooth (IT) model, 4 experimental models were developed (traditional lingual access cavity [TLA], facial access cavity [FAC], incisal access cavity [ICA], and cervical access cavity [CVA]). Cyclic loading was simulated, and the number of cycles until failure (NCF) was compared to the IT model. Stress distribution patterns, maximum von Mises stresses (vMSs), and maximum principal stresses (MPSs) were analyzed mathematically. The safety factor was also calculated and demonstrated. Results: The maximum vMS registered on the IT model was 134.16 MPa. The FCA and the CVA provided the highest NCF (193.7% compared with the IT model) followed by ICA (58.2%) and TLA (21.4%). The vM and MPS analysis revealed that the lingual surface is a primary stress channel, and the presence of an access cavity significantly weakens the tooth structure. Although the maximum vMS registered for the IT model was 134.16 MPa, the maximum vMS was 73.97 MPa for both the FCA and the CVA, 152.27 MPa for the ICA, and 173.63 MPa for the TLA. Conclusions: The facial and cervical access cavity designs provided considerable reinforcement to the endodontically treated mandibular incisors. With advancements in esthetic restorative materials and endodontic instruments, facial access design could emerge as the new standard for access cavity preparation in mandibular incisors. © 2023 Elsevier B.V., All rights reserved.","Access Cavity; Cyclic Fatigue; Finite Element Analysis; Fracture Resistance; Mandibular Incisors; Dental Materials; Dental Material; Dental Procedure; Finite Element Analysis; Incisor; Mandible; Mechanical Stress; Dental Materials; Dental Stress Analysis; Finite Element Analysis; Incisor; Mandible; Stress, Mechanical"
"A Cone-beam Computed Tomography Evaluation of External Invasive Resorption of Unerupted Teeth. Report of Three Cases","2023","Journal of Endodontics","10.1016/j.joen.2023.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174461602&doi=10.1016%2Fj.joen.2023.09.009&partnerID=40&md5=02b0b7fb12bde37ababc13c7fbf241a1","Tooth resorption can occur either physiologically or pathologically and can be classified as internal or external. The term “external invasive resorption” (EIR) has been used to describe lesions originating from any surface defect exposing dentin. The absence of bacterial contamination, an intact pulp space, and a lesion consisting mainly of fibrovascular tissue characterize EIR. This study presents three cases of invasive resorption in unerupted teeth, emphasizing the importance of cone-beam computed tomography (CBCT). In two cases, the primary defect localized on the enamel surface, while in the third case, the focal point of the defect was not clear. CBCT provided detailed visualization of the resorption lesion's size and its relationship with surrounding structures, enhancing the diagnosis of EIR. Histological analysis of the third case confirmed the initial diagnosis. Invasive resorption can occur due to any surface defect in the case of unerupted teeth. Further research and correlation between radiographic and histological analysis are essential for the detection and classification systems in unerupted teeth. © 2023 Elsevier B.V., All rights reserved.","Cone-beam Computed Tomography; External Cervical Resorption; External Invasive Resorption; Histopathology; Unerupted Teeth; Article; Case Report; Clinical Article; Cone Beam Computed Tomography; Enamel; Histology; Histopathology; Human; Human Tissue; Surface Property; Unerupted Tooth; Diagnostic Imaging; Mandible; Pathology; Procedures; Tooth Disease; Tooth Pulp; Cone-beam Computed Tomography; Dental Pulp; Humans; Mandible; Root Resorption; Tooth Resorption; Tooth, Unerupted"
"Human Dental Pulp Stem Cells Are Subjected to Metabolic Reprogramming and Repressed Proliferation and Migration by the Sympathetic Nervous System via α1B-Adrenergic Receptor","2023","Journal of Endodontics","10.1016/j.joen.2023.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174454071&doi=10.1016%2Fj.joen.2023.09.007&partnerID=40&md5=a64866778971600d151d6578631b0931","Introduction: Human dental pulp stem cells (hDPSCs) reside in specialized microenvironments in the dental pulp, termed “niches,” which are composed of diverse cellular components including nerves. Sensory nerves can positively regulate the expansion and differentiation of pulp cells, while the biological effects of the sympathetic nervous system (SNS) on hDPSCs remain elusive. This study is devoted to investigating the effects and underlying mechanisms of the SNS on the proliferation and migration of hDPSCs. Methods: The distribution of sympathetic nerve fibers in human dental pulp was examined by immunofluorescence staining of tyrosine hydroxylase. The concentration of norepinephrine in healthy and carious human dental pulp tissues was detected using enzyme-linked immunosorbent assay. RNA-sequencing was applied to identify the dominant sympathetic neurotransmitter receptor in hDPSCs. Seahorse metabolic assay, adenosine triphosphate assay, lactate assay, and mitochondrial DNA copy number were performed to determine the level of glycometabolism. Transwell assay, wound healing assay, 5-ethynyl-2'-deoxyuridine staining assay, cell cycle assay, and Cell Counting Kit-8 assay were conducted to analyze the migratory and proliferative capacities of hDPSCs. Results: Sprouting of sympathetic nerve fibers and an increased concentration of norepinephrine were observed in inflammatory pulp tissues. Sympathetic nerve fibers were mainly distributed along blood vessels, and aldehyde dehydrogenase 1–positive hDPSCs resided in close proximity to neurovascular bundles. ADRA1B was identified as the major sympathetic neurotransmitter receptor expressed in hDPSCs, and its expression was enhanced in inflammatory pulp tissues. In addition, the SNS inhibited the proliferation and migration of hDPSCs through metabolic reprogramming via ADRA1B and its crosstalk with serine-threonine kinase and p38 mitogen-activated protein kinase signaling pathways. Conclusions: This study demonstrates that the SNS can shift the metabolism of hDPSCs from oxidative phosphorylation to anaerobic glycolysis via ADRA1B and its crosstalk with serine-threonine kinase and p38 mitogen-activated protein kinase signaling pathways, thereby inhibiting the proliferative and migratory abilities of hDPSCs. This metabolic shift may facilitate the maintenance of the quiescent state of hDPSCs. © 2023 Elsevier B.V., All rights reserved.","Adra1b; Dental Pulp Stem Cells; Metabolic Reprogramming; Migration; Proliferation; Sympathetic Nervous System; Noradrenalin; Protein Serine Threonine Kinase; Norepinephrine; P38 Mitogen-activated Protein Kinases; Protein Serine-threonine Kinases; Receptors, Adrenergic; Receptors, Neurotransmitter; Adrenergic Receptor; Mitogen Activated Protein Kinase P38; Neurotransmitter Receptor; Noradrenalin; Protein Serine Threonine Kinase; Adrenergic System; Cell Culture; Cell Differentiation; Cell Proliferation; Human; Metabolism; Physiology; Stem Cell; Tooth Pulp; Cell Differentiation; Cell Proliferation; Cells, Cultured; Dental Pulp; Humans; Norepinephrine; P38 Mitogen-activated Protein Kinases; Protein Serine-threonine Kinases; Receptors, Adrenergic; Receptors, Neurotransmitter; Stem Cells; Sympathetic Nervous System"
"Chemomechanical Properties and Biocompatibility of Various Premixed Putty-type Bioactive Ceramic Cements","2023","Journal of Endodontics","10.1016/j.joen.2023.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174153080&doi=10.1016%2Fj.joen.2023.09.005&partnerID=40&md5=71297baf9f2cf52a1ce9c6aa94dad277","Introduction: This study aimed to evaluate the chemomechanical properties and biocompatibility of recently introduced premixed putty-type bioactive ceramic cements (PPBCs). Methods: Including ProRoot MTA (PMTA) as a control, BC RRM fast-set putty (BCPT), Well-Root PT (WRPT), One-Fil PT (OFPT), and Endocem MTA premixed (ECPM) were compared to evaluate setting time, radiopacity, pH change, and microhardness. Biocompatibility on human dental pulp cells was compared using CCK-8 assay. Mineralization potential was evaluated using alkaline phosphatase activity, Alizarin Red S (ARS) staining, and quantitative real-time polymerase chain reaction with odontogenic gene marker. For data analysis, 1-way analysis of variance and Tukey's post hoc test were used at the significance level of 95%. Results: Among the PPBCs, BCPT presented the longest (552 ± 27) setting time (minutes) and others showed significantly shorter time than PMTA (334 ± 22) (P < .05). WRPT (6.20 ± 0.54) and OFPT (5.82 ± 0.50) showed significantly higher radiopacity values (mmAl) and others showed similar value compared with PMTA (P > .05). All PPBCs showed high alkaline pH from fresh materials and tended to increase according to time periods from 30 minutes to 12 hours. ECPM showed the highest value of microhardness (81.62 ± 5.90), WRPT showed similar, and others showed lower than PMTA (P < .05). All PPBCs showed biocompatibility in CCK-8 assay. All PPBCs showed similar or better value compared with PMTA in ALP and ARS staining, and ALP and DSPP marker expression (P < .05). Conclusions: The PPBCs showed clinically acceptable chemomechanical properties and favorable mineralization potential. © 2023 Elsevier B.V., All rights reserved.","Biocompatibility; Microhardness; Mineralization Potential; Premixed Putty-type Bioceramics; Radiopacity; Setting Time; Cholecystokinin Octapeptide; Oxide; Silicate; Aluminum Compounds; Calcium Compounds; Dental Cements; Drug Combinations; Oxides; Root Canal Filling Materials; Silicates; Sincalide; Aluminum Derivative; Calcium Derivative; Cholecystokinin Octapeptide; Oxide; Root Canal Filling Material; Silicate; Tooth Cement; Ceramics; Chemistry; Drug Combination; Human; Materials Testing; Tooth Development; Aluminum Compounds; Calcium Compounds; Ceramics; Dental Cements; Drug Combinations; Humans; Materials Testing; Odontogenesis; Oxides; Root Canal Filling Materials; Silicates; Sincalide"
"Osteolectin Promotes Odontoblastic Differentiation in Human Dental Pulp Cells","2023","Journal of Endodontics","10.1016/j.joen.2023.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174148814&doi=10.1016%2Fj.joen.2023.09.010&partnerID=40&md5=71d4fd8f209308ae08e443de583b98a0","Introduction: Osteolectin is a secreted glycoprotein of the C-type lectin domain superfamily, expressed in bone tissues and is reported as a novel osteogenic factor that promotes bone regeneration. However, the effect of osteolectin on human dental pulp cells (hDPCs) has not been reported. Therefore, we aimed to investigate the odontoblastic differentiation of osteolectin in hDPCs and further attempt to reveal its underlying mechanism. Methods: Cytotoxicity assays were used to detect the cytotoxicity of osteolectin. The odontoblastic differentiation of hDPCs and its underlying mechanisms were measured by the alkaline phosphatase (ALP) activity, mineralized spots formation, and the gene and protein expression of odontoblastic differentiation through ALP staining, Alizarin red S staining, quantitative real-time polymerase chain reaction, and Western blot analysis, respectively. Results: WST-1 assay showed osteolectin at concentrations below 300 ng/ml was noncytotoxic and safe for hDPCs. The following experiment demonstrated that osteolectin could increase ALP activity, accelerate the mineralization process, and up-regulate the odontogenic differentiation markers in both gene and protein levels (P < .05). Osteolectin stimulated the phosphorylation of ERK, JNK, and Protein kinase B (AKT) in hDPCs. Extracellular signal-regulated kinase (ERK), Jun N-terminal kinase (JNK), and AKT inhibitors decreased ALP activity and mineralization capacity and suppressed the expression of dentin sialophosphoprotein and dentin matrix protein-1. Conclusion: Osteolectin can promote odontoblastic differentiation of hDPCs, and the whole process may stimulate ERK, JNK, and AKT signaling pathways by increasing p-ERK, p-JNK, and p-AKT signals. © 2023 Elsevier B.V., All rights reserved.","Human Dental Pulp Cells; Odontoblastic Differentiation; Osteolectin; Alkaline Phosphatase; Protein Kinase B; Alkaline Phosphatase; Extracellular Matrix Proteins; Phosphoproteins; Proto-oncogene Proteins C-akt; Alkaline Phosphatase; Phosphoprotein; Protein Kinase B; Scleroprotein; Cell Culture; Cell Differentiation; Cell Proliferation; Human; Metabolism; Odontoblast; Signal Transduction; Tooth Pulp; Alkaline Phosphatase; Cell Differentiation; Cell Proliferation; Cells, Cultured; Dental Pulp; Extracellular Matrix Proteins; Humans; Odontoblasts; Phosphoproteins; Proto-oncogene Proteins C-akt; Signal Transduction"
