"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Climate risks and financial stability: Evidence from the European financial system","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176600222&doi=10.1016%2Fj.jfs.2023.101190&partnerID=40&md5=e956973d9b4c044508b48c8afbe69753","Climate-related risks have become a major concern for financial regulators and can pose a significant threat to financial stability. In this paper, we first propose a theoretical framework for the transmission of climate risks to financial institutions and the financial system. We then estimate the influence of physical and transition risks on the European financial system through bank-level and system-wide measures of financial stability. We find that Scope 3 greenhouse gas emissions, chronic and acute climate risks negatively affect financial stability at both the financial institution and system levels. Temperature anomalies, heat waves, wildfires and droughts are among the most significant risks. As Europe warms twice as fast as the rest of the world, our theoretical and empirical results urge regulators to mandatorily require the assessment and disclosure of corporate climate risks to allow banks to adjust their prudential capital requirements. © 2023 Elsevier B.V., All rights reserved.","Climate Change; Financial Stability; Physical Risks; Transition Risk"
"Central bank digital currencies and financial stability in a modern monetary system","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174936346&doi=10.1016%2Fj.jfs.2023.101188&partnerID=40&md5=c7b3a4cd3b2fa9d40720d9f2e2617a2a","The aim of this study is to disentangle the effects of introducing an interest-bearing central bank digital currency (CBDC) for financial stability using a Diamond and Dybvig (1983) model in which (i) both CBDC and private bank deposits can be used in exchange and (ii) liquidity is created endogenously. Agents have direct access to a CBDC, which is a claim on the central bank. They use both sight deposits and CBDC to buy goods and commercial banks borrow reserves to cover liquidity needs. The introduction of an interest-bearing CBDC has direct implications for the sight deposit rate and the loan rate of banks. Besides, if the central bank aims to have a positive net worth and the absence of bank runs, a high demand for a CBDC is a necessary condition to achieve both objectives. If this is not the case, financial stability will be endangered. © 2023 Elsevier B.V., All rights reserved.","Bank Runs; Banking Sector; Cbdc; Financial Stability"
"Financial Stability and Public Confidence in Banks","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174340073&doi=10.1016%2Fj.jfs.2023.101187&partnerID=40&md5=06aaff4ee61c87655e1652efb087bb54","We use a novel, household opinion-based measure – Public Confidence in a Bank – to explore the role of bank-level and industry-level determinants of retail customers’ trust in commercial banks. Our study tracks bank-month confidence measures during the 1/1/2010–1/1/2019 period in an unbalanced sample of 181 closely monitored large Russian banks that collectively account for the supermajority of the country's banking assets. We find that contrary to common expectations, public confidence in a bank is heavily driven by the industry-level financial stability indicators, while bank-level risk measures play only a minimal – or, at best, supplementary – role. This result reveals the important role of overall banking sector stability in determining public perception of the safety and soundness of individual banks and justifies the leading role of industry-level stability in ensuring trust in banks. © 2023 Elsevier B.V., All rights reserved.","Bank Risk, Bank Failures; Customer Opinions; Financial Stability; Online Reviews; Public Confidence"
"Gender diversity in leadership: Empirical evidence on firm credit risk","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173923878&doi=10.1016%2Fj.jfs.2023.101185&partnerID=40&md5=57325e8f9b96b80c55aebdc6466cf426","We study the relation between firm financial stability and gender diversity in leadership and highlight its dependence on the initial financial conditions of the firm and the role played by the women leaders. Consistent with the glass cliff and the upper echelon theories, we find that close-to-default firms are more likely to appoint women top executives and that under their leadership, subsequent firms’ risk of default decreases in the short to medium term. In parallel, independent women directors are not associated with firms’ past credit risk, and their presence is more likely to increase the firm's subsequent default risk, as established by the tokenism and signaling theory. Our results are robust to alternative specifications and endogeneity corrections. © 2023 Elsevier B.V., All rights reserved.","Corporate Credit Risk; Corporate Executives And Board Of Directors’ Dynamics; Gender Diversity; Glass-cliff Theory; Signaling Theory; Tokenism; Upper Echelon Theory"
"Social capital and dividend policies in US corporations","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173911629&doi=10.1016%2Fj.jfs.2023.101186&partnerID=40&md5=755c41bc0c28d38ffc5ec650068e97d5","We find that social capital, as captured by associational networks and social norms in US counties where corporate headquarters are located, is positively associated with cash dividend payouts in local firms. The positive effect is incremental to other known local factors affecting dividends, is robust to a range of sensitivity analyses, and extends to corporate decisions about whether to pay dividends or not. Social capital mitigates managerial private financial incentives to limit dividends and encourages higher dividends among firms facing greater free cash flow problems. Social capital also attenuates over-investment of free cash flow. © 2023 Elsevier B.V., All rights reserved.","Free Cash Flow Problem; Informal Institutions; Managerial Opportunism; Over-investment; Payout Policy; Social Norms"
"Global lending conditions and international coordination of financial regulation policies","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173844664&doi=10.1016%2Fj.jfs.2023.101184&partnerID=40&md5=e0a3b206fa57b06c8c88e12e073cf509","Using a model of strategic interactions between two countries, I investigate the gains to international coordination of financial regulation policies, and how these gains depend on global lending conditions. When one region – the core – sets global lending conditions, I show that coordinating regulatory policies makes the two regions better-off relative to the case of no cooperation. Global lending conditions set by the core are typically sub-optimal for the other region – the periphery –. To reduce this cost, the periphery can tighten its regulatory policy. Yet, in doing so, it fails to internalise a cross-border externality: when the periphery tightens its regulatory policy, agents in the core reduce cross-border borrowing, which tightens global lending conditions and hurts the periphery. The cooperative equilibrium can improve on this outcome. Both regions take into account the cross-border externality, leading to larger cross-border borrowing and less sub-optimal lending conditions for the periphery. © 2023 Elsevier B.V., All rights reserved.","Cooperation; Cross-border Borrowing; Global Lending Conditions; Regulatory Policy"
"Optimal capital ratios for banks in the euro area","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172401318&doi=10.1016%2Fj.jfs.2023.101164&partnerID=40&md5=726b736a6efc23d33db0980fb8a9a850","In this paper we estimate the optimal level of capital for banks in the euro area. This optimum is the result of a trade-off between the costs and benefits of more bank capital: although higher capital requirements likely lead to higher lending rates, they also reduce the likelihood of banking crises. Our baseline estimates show an optimal risk-weighted capital ratio of around 23%. By varying the assumptions underlying our analysis we obtain a range of optimal ratios from 16% to 31%. These estimates are higher than the current Basel III minimum requirements. We also estimate optimal rates for individual member states and find substantial differences between them. This is primarily due to variation across countries in the resilience of their economies. For this reason we find lower optimal bank capital ratios in countries with more stable economies. Our results show only a modest dependence on the ease with which banks in different member states are able to raise capital. © 2023 Elsevier B.V., All rights reserved.","Bank Regulation; Capital Structure; Macroprudential Policy"
"Who consumes the credit union subsidies?","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170105648&doi=10.1016%2Fj.jfs.2023.101176&partnerID=40&md5=439b3b4751a94eda709e49ff40fbcc32","Credit unions in the United States (US) are exempt (benefit from subsidies) from federal corporate income taxes, which are traditionally justified by their non-profit cooperative status and mission of meeting the financial needs of individuals of modest means. In recent years, the efficacy and fairness of these subsidies has been debated extensively as the traditional demarcation between banks and credit unions and their respective customer bases have blurred. To investigate how credit unions allocate subsidies to various stakeholders, we estimate a structural profit model for matched pairs of credit unions and commercial banks. We find that credit unions use most (approximately 90%) of their tax exemption for the benefit of their membership via above-market deposit interest rates. © 2023 Elsevier B.V., All rights reserved.","Commercial Banks; Credit Unions; Profit Inefficiency; Tax Exempt Status"
"Interest rate pass-through and bank risk-taking under negative-rate policies with tiered remuneration of central bank reserves","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168507555&doi=10.1016%2Fj.jfs.2023.101160&partnerID=40&md5=4174bebacca817371bd1073e6839c70f","We identify the effects of negative rates on bank behavior using difference-in-differences identification. First, we find that going negative can interrupt not only the pass-through from policy to deposit but also to mortgage rates. To preserve their deposit franchise, banks finance negative deposit with increased mortgage spreads, the more the bigger their market power. Second, negative rates on reserves induce banks to cut some reserves without replacement and replace others with riskier assets. Together with increased mortgage spreads, balance sheet restructuring preserves profits but risk-taking increases. Third, pass-through interruption and risk-taking can be reduced through tiered remuneration. © 2023 Elsevier B.V., All rights reserved.","Credit Risk; Interest Pass-through; Interest Rate Risk; Monetary Policy Transmission; Negative Interest Rate Policy; Tiered Remuneration"
"The impact of corruption on SMEs’ access to finance: Evidence using firm-level survey data from developing countries","2023","Journal of Financial Stability","10.1016/j.jfs.2023.101175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168119117&doi=10.1016%2Fj.jfs.2023.101175&partnerID=40&md5=afc407ca507cfeb91c14cb1743a81140","The present paper estimates the impact of bureaucratic corruption on access to finance for small and medium enterprises (SMEs) in the manufacturing sectors of 79 developing countries. Corruption can make it difficult for businesses to obtain financing by reducing profits, increasing credit demand, increasing the likelihood of bankruptcy, creating uncertainty about future profits, and exacerbating the asymmetric information problem between borrowers and lenders. Consistent with this viewpoint, our findings show that corruption significantly increases the likelihood of a manufacturing SME being financially constrained. A one standard deviation increase in the prevalence of corruption leads to a 3.5–4.9% point increase in the likelihood or probability of a manufacturing SME being financially constrained. In countries with credit bureaus and more freely functioning credit markets, the increase in the likelihood of being financially constrained due to higher corruption is much smaller. We argue and provide evidence that these heterogeneities stem from the specific ways in which corruption affects SMEs’ access to finance. Thus, the heterogeneities help to raise confidence against the omitted variable bias and reverse causality concerns with our estimation. We also find that higher corruption makes it more difficult for SMEs to access finance in more competitive product markets, as well as for small compared to medium-sized firms. The findings have important policy implications for anti-corruption initiatives, financial development, and the level of competition in product markets. © 2023 Elsevier B.V., All rights reserved.","Bribery; Corruption; Finance; Smes"
