"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Simulating irregular symmetry breaking in gut cross sections using a novel energy-optimization approach in growth-elasticity","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207306513&doi=10.1016%2Fj.jtbi.2024.111971&partnerID=40&md5=4f7000da42f355c2c787313fa79d7c87","Growth-elasticity (also known as morphoelasticity) is a powerful model framework for understanding complex shape development in soft biological tissues. At each instant, by mapping how continuum building blocks have grown geometrically and how they respond elastically to the push-and-pull from their neighbors, the shape of the growing structure is determined from a state of mechanical equilibrium. As mechanical loads continue to be added to the system through growth, many interesting shapes, such as smooth wavy wrinkles, sharp creases, and deep folds, can form on the tissue surface from a relatively flatter geometry. Previous numerical simulations of growth-elasticity have reproduced many interesting shapes resembling those observed in reality, such as the foldings on mammalian brains and guts. In the case of mammalian guts, it has been shown that wavy wrinkles, deep folds, and sharp creases on the interior organ surface can be simulated even under a simple assumption of isotropic uniform growth in the interior layer of the organ. Interestingly, the simulated patterns are all regular along the tube's circumference, with either all smooth or all sharp indentations, whereas some undulation patterns in reality exhibit irregular patterns and a mixture of sharp creases and smooth indentations along the circumference. Can we simulate irregular indentation patterns without further complicating the growth patterning? In this paper, we have discovered abundant shape solutions with irregular indentation patterns by developing a Rayleigh–Ritz finite-element method (FEM). In contrast to previous Galerkin FEMs, which solve the weak formulation of the mechanical-equilibrium equations, the new method formulates an optimization problem for the discretized energy functional, whose critical points are equivalent to solutions obtained by solving the mechanical-equilibrium equations. This new method is more robust than previous methods. Specifically, it does not require the initial guess to be near a solution to achieve convergence, and it allows control over the direction of numerical iterates across the energy landscape. This approach enables the capture of more solutions that cannot be easily reached by previous methods. In addition to the previously found regular smooth and non-smooth configurations, we have identified a new transitional irregular smooth shape, new shapes with a mixture of smooth and non-smooth surface indentations, and a variety of irregular patterns with different numbers of creases. Our numerical results demonstrate that growth-elasticity modeling can match more shape patterns observed in reality than previously thought. © 2024 Elsevier B.V., All rights reserved.","Elasticity; Growth; Irregular; Morphogenesis; Numerical Method; Symmetry Breaking; Digestive System; Elasticity; Finite Element Method; Growth; Mammal; Morphogenesis; Numerical Method; Optimization; Symmetry; Article; Controlled Study; Energy; Finite Element Analysis; Geometry; Intestine; Simulation; Wrinkle; Animal; Biological Model; Computer Simulation; Gastrointestinal Tract; Growth, Development And Aging; Human; Physiology; Animals; Computer Simulation; Elasticity; Gastrointestinal Tract; Humans; Models, Biological; Morphogenesis"
"Probabilistic analysis of tumor growth inhibition models to Support trial design","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207290371&doi=10.1016%2Fj.jtbi.2024.111969&partnerID=40&md5=d3a10c7dc3509d95660b05d09aede45f","A large enough sample size of patients is required to statistically show that one treatment is better than another. However, too large a sample size is expensive and can also result in findings that are statistically significant, but not clinically relevant. How sample sizes should be chosen is a well-studied problem in classical statistics and analytical expressions can be derived from the appropriate test statistic. However, these expressions require information regarding the efficacy of the treatment, which may not be available, particularly for newly developed drugs. Tumor growth inhibition (TGI) models are frequently used to quantify the efficacy of newly developed anticancer drugs. In these models, the tumor growth dynamics are commonly described by a set of ordinary differential equations containing parameters that must be estimated using experimental data. One widely used endpoint in clinical trials is the proportion of patients in different response categories determined using the Response Evaluation Criteria In Solid Tumors (RECIST) framework. From the TGI model, we derive analytical expressions for the probability of patient response to combination therapy. The probabilistic expressions are used together with classical statistics to derive a parametric model for the sample size required to achieve a certain significance level and test power when comparing two treatments. Furthermore, the probabilistic expressions are used to generalize the Tumor Static Exposure concept to be more suitable for predicting clinical response. The derivatives of the probabilistic expressions are used to derive two additional expressions characterizing the exposure and its sensitivity. Finally, our results are illustrated using parameters obtained from calibrating the model to preclinical data. © 2024 Elsevier B.V., All rights reserved.","Combination Therapy; Mathematical Modeling; Nonlinear Mixed Effects; Oncology; Power Analysis; Antineoplastic Agents; Cancer; Drug; Growth Response; Nonlinearity; Probability; Tumor; Article; Cancer Inhibition; Prediction; Probabilistic Analysis; Statistical Analysis; Statistical Distribution; Tumor Growth; Tumor Volume; Biological Model; Clinical Trial (topic); Drug Therapy; Human; Methodology; Neoplasm; Pathology; Sample Size; Statistical Model; Antineoplastic Agent; Antineoplastic Agents; Clinical Trials As Topic; Humans; Models, Biological; Models, Statistical; Neoplasms; Probability; Research Design; Sample Size"
"A continuous approach of modeling tumorigenesis and axons regulation for the pancreatic cancer","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207177268&doi=10.1016%2Fj.jtbi.2024.111967&partnerID=40&md5=ea8ba9cfed7391944718418a04c177b7","The pancreatic innervation undergoes dynamic remodeling during the development of pancreatic ductal adenocarcinoma (PDAC). Denervation experiments have shown that different types of axons can exert either pro- or anti-tumor effects, but conflicting results exist in the literature, leaving the overall influence of the nervous system on PDAC incompletely understood. To address this gap, we propose a continuous mathematical model of nerve-tumor interactions that allows in silico simulation of denervation at different phases of tumor development. This model takes into account the pro- or anti-tumor properties of different types of axons (sympathetic or sensory) and their distinct remodeling dynamics during PDAC development. We observe a “shift effect” where an initial pro-tumor effect of sympathetic axon denervation is later outweighed by the anti-tumor effect of sensory axon denervation, leading to a transition from an overall protective to a deleterious role of the nervous system on PDAC tumorigenesis. Our model also highlights the importance of the impact of sympathetic axon remodeling dynamics on tumor progression. These findings may guide strategies targeting the nervous system to improve PDAC treatment. © 2024 Elsevier B.V., All rights reserved.","Cancer; Dynamical System; In Silico Denervation; Parameter Calibration; Partial Differential Equations; Ceftriaxone; Calibration; Cancer; Computer Simulation; Digestive System Disorder; Experimental Study; Mathematical Analysis; Modeling; Nervous System Disorder; Numerical Model; Tumor; Article; Axon; Computer Model; Denervation; Mathematical Model; Pancreatic Ductal Carcinoma; Adrenergic System; Animal; Biological Model; Carcinogenesis; Human; Pancreas Tumor; Pathology; Ceftriaxone; Animals; Axons; Carcinogenesis; Carcinoma, Pancreatic Ductal; Computer Simulation; Humans; Models, Biological; Pancreatic Neoplasms; Sympathetic Nervous System"
"JTB Editorial for Professor Denise Kirschner","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207142553&doi=10.1016%2Fj.jtbi.2024.111976&partnerID=40&md5=01aec90c37773ef23a98d48851387542","[No abstract available]","Acquired Immune Deficiency Syndrome; Biology; Career; Editor; Editorial; Host; Host Pathogen Interaction; Human; Human Immunodeficiency Virus; Human Immunodeficiency Virus Infection; Immune Response; Immunobiology; Lung Granuloma; Medical Research; Mentor; Mycobacterium Tuberculosis; Nonhuman; Publication; Theoretical Biology; Tuberculosis; Editorial"
"Mathematical model of repressive response to collective action and protest waves","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207028512&doi=10.1016%2Fj.jtbi.2024.111970&partnerID=40&md5=9718bdba3ae5251dd51108ba1f4ac910","The intricate interplay between the state and society may foster opposition and prompt collective action as a mode of protest. When the state responds repressively to such collective action, it aims to undermine it escalating its costs. A mathematical model relating the repressive response to collective action, articulated through differential equations, facilitates a thorough analysis of their dynamic interaction. Modelling outcomes indicate that repressive regimes may exhibit sustained persistence, oscillatory patterns, or destabilization, potentially transitioning into alternative regimes. This modelling framework offers a means to discern the impact of diverse factors on the dynamics of repressive regimes and to provide modelling insight on the emergence of cycles of protest observed in different countries during certain periods of their history. © 2024 Elsevier B.V., All rights reserved.","Collective Action; Dynamics; Mathematical Model; Protest Waves; Repressive Response; Collective Action; Computer Simulation; Cost Analysis; Numerical Model; Article; Controlled Study; Human; Mathematical Model; Protest; Politics; Theoretical Model; Humans; Models, Theoretical; Politics"
"A bulk-surface mechanobiochemical modelling approach for single cell migration in two-space dimensions","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207002210&doi=10.1016%2Fj.jtbi.2024.111966&partnerID=40&md5=3cc7fe765699e17ee022de044bff7d09","In this work, we present a mechanobiochemical model for two-dimensional cell migration which couples mechanical properties of the cell cytosol with biochemical processes taking place near or on the cell plasma membrane. The modelling approach is based on a recently developed mathematical formalism of evolving bulk-surface partial differential equations of reaction–diffusion type. We solve these equations using finite element methods within a moving-mesh framework derived from the weak formulation of the evolving bulk-surface PDEs. In the present work, the cell cytosol interior (bulk) dynamics are coupled to the cell membrane (surface) dynamics through non-homogeneous Dirichlet boundary conditions. The modelling approach exhibits both directed cell migration in response to chemical cues as well as spontaneous migration in the absence of such cues. As a by-product, the approach shows fundamental characteristics associated with single cell migration such as: (i) cytosolic and membrane polarisation, (ii) actin dependent protrusions, and (iii) continuous shape deformation of the cell during migration. Cell migration is an ubiquitous process in life that is mainly triggered by the dynamics of the actin cytoskeleton and therefore is driven by both mechanical and biochemical processes. It is a multistep process essential for mammalian organisms and is closely linked to a vast diversity of processes; from embryonic development to cancer invasion. Experimental, theoretical and computational studies have been key to elucidate the mechanisms underlying cell migration. On one hand, rapid advances in experimental techniques allow for detailed experimental measurements of cell migration pathways, while, on the other, computational approaches allow for the modelling, analysis and understanding of such observations. The bulk-surface mechanobiochemical modelling approach presented in this work, set premises to study single cell migration through complex non-isotropic environments in two- and three-space dimensions. © 2024 Elsevier B.V., All rights reserved.","Ale-moving Mesh Methods; Bulk-surface Finite Element Method; Bulk-surface Moving-mesh Finite Element Method (bs-mfem); Bulk-surface Partial Differential Equations; Bulk-surface Reaction–diffusion; Cell Migration; Cell Motility; Mechanobiochemical Modelling; Moving-mesh Method; Actin; Biochemistry; Boundary Condition; Cancer; Cell Component; Cytology; Diffusion; Embryonic Development; Finite Element Method; Mechanical Property; Actin Filament; Article; Cell Membrane; Cell Migration; Cell Shape; Chemical Model; Computer Model; Cytosol; Embryo Development; Experimental Study; Finite Element Analysis; Human; Human Cell; Mammal; Mathematical Model; Mechanobiochemical Model; Membrane Polarization And Depolarization; Nonhuman; Single Cell Analysis; Theoretical Study; Tumor Invasion; Animal; Biological Model; Biomechanics; Cell Motion; Metabolism; Physiology; Actin Cytoskeleton; Animals; Biomechanical Phenomena; Cell Membrane; Cell Movement; Cytosol; Humans; Models, Biological"
"Resource budget model with Duffing oscillator for dynamics of synchronized biennial-bearing olives in the Levant","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206996496&doi=10.1016%2Fj.jtbi.2024.111973&partnerID=40&md5=450e669374f71748e1d4588873cd3b9a","We develop and analyze a temporally continuous spatially lumped resource budget model to explain the dynamics of synchronized biennial-bearing olives in the Levant, specifically focusing on Syria, the region's foremost olive-producing country. The model is a time-continuous counterpart of the celebrated resource budget model. It consists of a Duffing oscillator coupled with a dynamical model of pollination with an external force propelling olive growth by photosynthesis. The reference data are obtained from statistical databases of international organizations and our own observation systems in Jordan, a country neighboring Syria, providing a wealth of information to refine the model structure. An intensive review of Syria's modern history involving significant shifts in agricultural policy and social stability leads to a conclusion that the model should comprehend the anomaly of olive yield interacting with socio-political factors as an autonomous behavior. The conventional mathematical methodology analyzes the model's characteristics, such as solutions’ non-negativity, boundedness, and stability. The system is stable during pollination off-season but may become unstable and unbounded during pollination on-season, which is a property that the time-discrete resource budget model cannot reproduce. A significant finding is that coupling individual fruit trees by anemophily is not essential in synchronization, overturning earlier studies in the literature. The values of model parameters that best fit the historical data of olive yield in Syria result in bounded chaos. With alternative parameter values, the model could exhibit periodic oscillation, instability, or blowing up, as clearly shown in bifurcation diagrams. © 2024 Elsevier B.V., All rights reserved.","Anemophilous Pollination; Biennial Bearing; Duffing Oscillator; Levant; Masting; Olive; Agricultural Policy; Masting; Pollination; Resource Management; Seasonal Variation; Spatiotemporal Analysis; Agriculture; Article; Biennial Plant; Controlled Study; Duffing Oscillator; Jordan; Mathematical Model; Nonhuman; Olive; Oscillation; Photosynthesis; Plant Growth; Politics; Quantitative Study; Resource Budget Model; Sensitivity Analysis; Southern Europe; Syrian Arab Republic; Wind Pollination; Biological Model; Economics; Growth, Development And Aging; Olive Tree; Physiology; Procedures; Season; Levant; Mediterranean Region; Agriculture; Models, Biological; Olea; Pollination; Seasons; Syria"
"Bayesian parameter inference for epithelial mechanics","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206610456&doi=10.1016%2Fj.jtbi.2024.111960&partnerID=40&md5=c92ea2de203476aa366a450c031df3f5","Cell-based mechanical models, such as the Cell Vertex Model (CVM), have proven useful for studying the mechanical control of epithelial tissue dynamics. We recently developed a statistical method called image-based parameter inference for formulating CVM model functions and estimating their parameters from image data of epithelial tissues. In this study, we employed Bayesian statistics to improve the utility and flexibility of image-based parameter inference. Tests on synthetic data confirmed that both our non-hierarchical and hierarchical Bayesian models provide accurate estimates of model parameters. By applying this method to Drosophila wings, we demonstrated that the reliability of parameter estimation is closely linked to the mechanical anisotropies present in the tissue. Moreover, we revealed that the cortical elasticity term is dispensable for explaining force-shape correlations in vivo. We anticipate that the flexibility of the Bayesian statistical framework will facilitate the integration of various types of information, thereby contributing to the quantitative dissection of the mechanical control of tissue dynamics. © 2024 Elsevier B.V., All rights reserved.","Bayesian Inference; Mechanics; Modeling; Morphogenesis; Bayesian Analysis; Fly; Modeling; Morphogenesis; Parameter Estimation; Wing Morphology; Adult; Anisotropy; Article; Controlled Study; Drosophila; Elasticity; Epithelium; Female; Human; Human Tissue; Male; Mechanics; Nonhuman; Reliability; Statistical Analysis; Wing; Animal; Bayes Theorem; Biological Model; Biomechanics; Cytology; Drosophila Melanogaster; Epithelium Cell; Physiology; Animals; Bayes Theorem; Biomechanical Phenomena; Epithelial Cells; Epithelium; Models, Biological; Wings, Animal"
"Macroscale vertical power-law distribution of bacteria in dark oceans can emerge from microscale bacteria-particle interactions","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206477022&doi=10.1016%2Fj.jtbi.2024.111956&partnerID=40&md5=1ed56ac41f228f3751edd133315ac10d","Microbes in the dark oceans are a key determinant of remineralization of sinking carbon particles. However, most marine ecosystem models overlook how microbes aggregate on particles and the microscale interactions between particle-associated microbes, making it difficult to obtain mechanistic insights on their vertical power-law decay pattern. Here, we present a spatial population model where the attachment and detachment processes of bacterial cells depend on local density of particle-associated bacteria. We show that the power-law relationship can emerge when the non-random aggregated distribution of bacteria is considered without any depth-specific environmental parameters. Furthermore, the comparison between model behavior and empirical patterns in the Pacific and Southern Ocean indicated that temperature-dependent hydrolysis rate and nutrient-dependent sinking rate of particles are key parameters to explain the regional variations of the power-law exponent. The mechanistic approach developed here provides a pathway to link micro-scale interactions between individuals to macro-scale food chain structures and carbon cycle. © 2024 Elsevier B.V., All rights reserved.","Carbon; Carbon; Sea Water; Bacterium; Carbon Cycle; Decomposition; Environmental Conditions; Food Chain; Hydrolysis; Marine Ecosystem; Marine Environment; Microbial Activity; Microbial Ecology; Nutrient Dynamics; Particulate Matter; Particulate Organic Carbon; Power Law Distribution; Remineralization; Temperature Effect; Article; Bacterial Cell; Bacterium Adherence; Cell Adhesion; Controlled Study; Nonhuman; Nutrient; Pacific Ocean; Particle Size; Population Model; Southern Ocean; Temperature; Biological Model; Ecosystem; Metabolism; Microbiology; Sea; Bacteria; Carbon Cycle; Ecosystem; Food Chain; Models, Biological; Oceans And Seas; Seawater"
"Optimal resource allocation in micro-organisms under periodic nutrient fluctuations","2024","Journal of Theoretical Biology","10.1016/j.jtbi.2024.111953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206292182&doi=10.1016%2Fj.jtbi.2024.111953&partnerID=40&md5=9961d4cba810c32b3a7bdf5dcfd9b461","Although microorganisms often live in dynamic environments, most studies, both experimental and theoretical, are carried out under static conditions. In this work, we investigate the issue of optimal resource allocation in bacteria growing in periodic environments. We consider a dynamic model describing the microbial metabolism under varying conditions, involving a control variable quantifying the protein precursors allocation. Our objective is to determine the optimal strategies maximizing the long-term growth of cells under a piecewise-constant periodic environment. Firstly, we perform a theoretical analysis of the resulting optimal control problem (OCP), based on the application the Pontryagin's Maximum Principle (PMP). We determine that the structure of the optimal control must be bang–bang, with possibly some singular arcs corresponding to optimal equilibria of the system. If the control presents singular arcs, then these can only be reached and left through chattering arcs. We also use a direct optimization method, implemented in the BOCOP software, to solve the studied OCP. Our study reveals that the optimal solution over a large time horizon is related to the one over a single period of the varying environment with periodic constraints. Moreover, we observe that the maximal average growth rate attainable under periodic conditions can be higher than the one under a constant environment. We further extend our analysis to conduct a qualitative comparison between the predictions from our model and some recent biological experiments on E. coli. This analysis particularly highlights the mechanisms of action of the ppGpp signaling molecule, thus providing relevant explanations of the experimental observations. In conclusion, our study corroborates previous research indicating that this molecule plays a crucial role in the regulation of resource allocation of protein precursors in E. coli. © 2024 Elsevier B.V., All rights reserved.","Microbial Growth; Optimal Control; Periodic Environment; Pontryagin's Maximum Principle; Protein Precursor; Coliform Bacterium; Experimental Study; Metabolism; Microorganism; Nutrient; Protein; Resource Allocation; Theoretical Study; Article; Bacterial Growth; Cell Growth; Environmental Factor; Escherichia Coli; Growth Rate; Mathematical Model; Microbial Metabolism; Nonhuman; Nutrient Availability; Prediction; Qualitative Analysis; Quantitative Analysis; Signal Transduction; Bacterium; Biological Model; Growth, Development And Aging; Bacteria; Models, Biological; Nutrients"
