"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"To be or not to be a perfect parent? How the striving for perfect parenting harms employed parents","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177578521&doi=10.1016%2Fj.jvb.2023.103941&partnerID=40&md5=9fc87706e50587c4a7fc518eb9fa4e12","More and more employees aim to be perfect parents. However, it is largely unclear what implications this striving might have. Drawing on central theoretical principles of family-work research, we studied parenting perfectionism and its possible implications for employees' own and their intimate partners' family and work lives. In detail, we investigated how employees' parenting perfectionism relates to overprotection in their role as a parent and whether this overprotection, in turn, relates to employees' own family-work conflict (i.e., spillover) as well as to their partners' family-work conflict (i.e., crossover) via co-parenting conflicts. We also examined whether parenting perfectionism indirectly relates to employees' and partners' reduced well-being, family satisfaction, and weekly working hours over time. To test our hypotheses, we analyzed multi-wave (T1, T2 = one year later, T3 = two years later) survey data of 541 employed couples with parental obligation participating in The German Family Panel pairfam. Results from structural equation modeling showed that parenting perfectionism was indirectly related to employees' family-work conflict at T2 via overprotection at T1 and, ultimately, to their reduced well-being and family satisfaction at T3. Parenting perfectionism was also indirectly related to partners' family-work conflict at T2 via overprotection at T1 and co-parenting conflicts at T2. Our results highlight perfectionism's potential impact on oneself and others. Particularly, parenting perfectionism can permeate boundaries between family and work life and can affect both employees and their intimate partners. We discuss key theoretical insights of our findings for family-work and perfectionism research as well as implications for organizational practice. © 2023 Elsevier B.V., All rights reserved.","Family-work Conflict; Panel Data; Parenting; Perfectionism; Well-being"
"I wouldn't be working this way if I had a family - Differences in remote workers' needs for supervisor's family-supportiveness depending on the parental status","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176237253&doi=10.1016%2Fj.jvb.2023.103939&partnerID=40&md5=6cb7399fe06cec8b5d752e75fcb93477","This study investigates how working remotely blurs the boundaries between work and non-work domains by contrasting the experiences of employees with different parental status. The study further shows how leaders can mitigate this blurring via family-supportive supervisor behaviours (FSSB), and extends the concept to encompass non-work roles beyond the family. Working from home leads to an increasing intertwining of work and non-work roles, with family status playing a significant role in shaping boundary challenges and support needs. Through semi-structured interviews with 89 employees working from home in various industries, the study reveals that parents and non-parents, distinct in their challenges and requirements, exhibit varied demonstrated needs from their leaders. As parent employees require flexible boundaries to attend to their family responsibilities, non-parent employees need safeguards to maintain boundaries around their private life. The results underscore that FSSB benefit employees regardless of parental status. This study emphasizes the importance of employers tailoring their work-life programs to accommodate the diverse needs of employees, and recognizes the pivotal role of supervisors in attuning their supportive behaviours to employees' work-nonwork boundary needs and preferences. © 2023 Elsevier B.V., All rights reserved.","Family-supportive Supervisor Behaviour; Fssb; Leadership; Remote Work; Work-nonwork Boundaries"
"Your work passion travels a long way home: Testing a spillover and crossover model of work passion among dual-earner couples","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176104412&doi=10.1016%2Fj.jvb.2023.103940&partnerID=40&md5=e9bb6c7c3d4564f6996dab1c482d51eb","In this study, we investigate the spillover-crossover effects of two types of work passion (i.e., harmonious and obsessive) for dual-earner couples. Integrating the job demands-resources theory and the spillover-crossover model, we propose that one partner's harmonious work passion indirectly predicts high work engagement and low work burnout for the other partner through positive affect crossover. Similarly, the partner's obsessive work passion indirectly contributes to low work engagement and high work burnout for the other partner through negative stress crossover. We also suggest that perspective taking of the partner strengthens the proposed positive transmissions and mitigates the negative transmissions. We tested the hypotheses by sampling 129 dual-earner couples in the United States at two time points. Results confirmed that one partner's harmonious work passion and obsessive work passion both had indirect effects on the other partner's work burnout and work engagement via the positive crossover of positive affect and the negative crossover of stress, respectively. Our findings also suggested that the partner's perspective taking significantly shaped the spillover-crossover process between harmonious work passion and the partner's work engagement and burnout. We discuss implications for research and practice as well as future research directions. © 2023 Elsevier B.V., All rights reserved.","Dual-earner Couples; Spillover-crossover Effect; Work Burnout; Work Engagement; Work Passion"
"The impact of trust in AI on career sustainability: The role of employee–AI collaboration and protean career orientation","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172870080&doi=10.1016%2Fj.jvb.2023.103928&partnerID=40&md5=edf445ef9c68fd20fc696b3343ed8576","Drawing upon person–environment fit theory and the importance of employees' career sustainability in Artificial Intelligence (AI) integration within organizations, we propose a moderated mediation model to test how and when AI trust is linked to employees' career sustainability. This mechanism posits employee–AI collaboration as a mediator and employees' protean career orientation as a moderator. Two studies were conducted to test the hypothesized model. In Study 1, a 5-item measure was developed to evaluate employee–AI collaboration and tested with a sample of employees working with AI technology. In Study 2, multisource and two-wave data were collected to analyze 447 employee–supervisor dyads. The results indicated that AI trust was positively related to employee-rated well-being and supervisor-rated employee productivity via employee–AI collaboration. In addition, the relationship between AI trust and employee–AI collaboration was stronger for employees with high protean career orientation. We concluded with a discussion of the theoretical contributions and practical implications. © 2023 Elsevier B.V., All rights reserved.","Ai Trust; Career Sustainability; Employee–ai Collaboration; Productivity; Protean Career Orientation; Well-being"
"Navigating the multiple challenges of job loss: A career self-management perspective","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172023259&doi=10.1016%2Fj.jvb.2023.103927&partnerID=40&md5=be88cbf998653fc20ebbf79340e5103f","Involuntary job loss poses at least two major, simultaneous challenges: coping with the psychological fallout of the loss as well as finding new work. Research on coping with unemployment has often emphasized the job search process, equating it with “problem-focused” coping. By contrast, while the psychological toll also represents a real problem for many unemployed persons, efforts to cope with the myriad non-search aspects of job loss (e.g., changes in social, temporal, and financial conditions) have often been considered as “emotion-focused,” “symptom-focused,” or “escape-oriented”, implying that such coping is somehow ancillary to, or even at odds with, the aims of re-employment. Extending the social cognitive model of career self-management (CSM; Lent & Brown, 2013) to the study of job loss, we examined psychological and job search coping strategies in conjunction with selected person and contextual factors that can aid or hinder the coping process. The project included development of a new coping strategies measure, the Coping with Unemployment Scales (CUES). A sample of 512 early to mid-career unemployed workers in the U.S. completed an online survey including measures of coping, social support, financial strain, proactive personality, and three criterion variables: emotional well-being, psychological distress, and job search progress. A structural path analysis of the CSM model yielded good fit to the data. The coping strategies contributed uniquely to the prediction of the emotional functioning and job search progress criteria. We consider the implications of the findings for future inquiry on job loss coping. © 2023 Elsevier B.V., All rights reserved.","Adult Workers; Career Self-management; Involuntary Job Loss; Social Cognitive Career Theory; Unemployment"
"Bisexual authenticity and job attitudes: The impact of seeing similar others at work","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168817680&doi=10.1016%2Fj.jvb.2023.103918&partnerID=40&md5=5ea1e58e674a6ee2bde2eb5410e93ee7","Although great strides have been made to better understand the workplace experiences of bisexual individuals, there is much to still be learned. In the present study we build theory around the role of inauthenticity for bisexual employees and the downstream implications for job attitudes. Further, we investigate the impact of the presence of other identifiable bisexual people in the workplace on shaping these attitudes. Utilizing a sample of 304 bisexual employees, results support that those with greater self-alienation, a negative aspect of authenticity, held greater intentions to leave the organization through reduced affective commitment. However, when the participant reported a visible bisexual coworker, this negative impact was reduced; the visibility of the coworker acting as a buffer of the negative consequences of inauthenticity. Counter to expectations, this buffer was not significant for those who had a visible bisexual leader. These findings, along with theoretical and practical implications, and future research directions are discussed. © 2023 Elsevier B.V., All rights reserved.","Affective Commitment; Authenticity; Bisexuality; Intention To Quit; Self-alienation"
"Graduation is not the end, it is just the beginning: Change in perceived employability in the transition associated with graduation","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172217102&doi=10.1016%2Fj.jvb.2023.103915&partnerID=40&md5=6a9e06e5a23e3f2bcc107d0333c53c57","Graduate employability has attracted considerable attention, unsurprisingly so: The transition associated with graduation presents a series of strong events, that is likely to produce change in employability. We focus on perceived employability (i.e., the individual's appraisal of available employment opportunities). Change in perceived employability in the transition after graduation is sometimes hinted at, yet seldom tested: Positive change is expected, based on the idea that employability-enhancement in university broadens employment opportunities. While this may be true on average, there could be heterogeneity. In response, we tested heterogeneous change in perceived employability among university graduates using a longitudinal three-wave design and among three cohorts of graduates (N<inf>2016</inf> = 581; N<inf>2017</inf> = 547; N<inf>2020</inf> = 339). The pattern of results is as follows. First, perceived employability on average increased after graduation, and in the same way in the three cohorts. Second, change is heterogeneous along three change profiles: one profile perceives themselves as highly employable at the start and becomes slightly more employable (49.6 %), a second profile starts at medium levels and also becomes more employable (38.1 %), and a third profile starts at lower levels and remains stable (12.3 %), with a widening gap with the other profiles over time. Third, profiles were similar across cohorts: Our findings are not sample-specific and thus robust. Fourth, the profiles are connected to labor market outcomes (employment status, job satisfaction, education-job fit). These findings are novel to the employability field in terms of unravelling heterogeneous dynamics, and its replication attests to the robustness of the findings. © 2023 Elsevier B.V., All rights reserved.","Graduates; Latent Class Growth Analyses; Perceived Employability; School-to-work Transition"
"Stability and change in configuration patterns of various career-related parental behaviors and their associations with adolescent career adaptability: A longitudinal person-centered analysis","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168006959&doi=10.1016%2Fj.jvb.2023.103916&partnerID=40&md5=8a75dd34bfe05d79aaf6d47740e83c0f","Parents play essential roles in shaping adolescents' career development by engaging in a series of career-related parental behaviors. Based on three-wave longitudinal data collected with one-year interval between waves and using a person-centered approach, this study seeks to examine the stability and change in the configuration patterns of career-related parental behaviors, and their potential associations with adolescents' career adaptability among 1410 Chinese adolescents (M <inf>age</inf> = 15.26, SD = 0.51, 52.4 % female). Four profiles of career-related parental behaviors were consistently identified across waves: Unsupportive but not Permissive, Supportive but not Intrusive, Rejecting and Neglecting, Ambivalent and Controlling. Further, results of Latent Transition Analyses indicated that there was a coexistence of stability and changes over time in the group memberships of career-related parental behaviors configuration patterns across high school years. Last, adolescent raised by parents who consistently endorsed supportive but not intrusive practices across high school years or at least at child 12th Grade displayed higher levels of career adaptability than adolescents whose parents adopted negative parental behaviors consistently across waves. Findings of this study highlighted the importance of systematically examining the heterogeneity and dynamics inherent within the configuration profiles of career-related parental behaviors and their unique implications for adolescent career development over time. © 2023 Elsevier B.V., All rights reserved.","Career Adaptability; Career-related Parental Behaviors; Chinese Adolescents; Latent Profile Analysis; Person-centered Configural Approach"
"Predictors and outcomes of nursing students' engagement trajectories at the beginning of their program","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167995869&doi=10.1016%2Fj.jvb.2023.103917&partnerID=40&md5=1fecd0fe1e42dbcabe87ccc291a40587","This study seeks to achieve a dynamic understanding of nursing students' engagement trajectories, of the predictive role of their levels of harmonious passion, obsessive passion, exposure to challenge and hindrance demands, and perceptions of institutional support in relation to their engagement trajectories. We also consider the implications of these trajectories for a variety of outcomes related to students' attitudes (i.e., dropout intentions and program satisfaction), psychological health (i.e., negative affect and life satisfaction), and behaviors (i.e., performance and absenteeism). A sample of 2515 first-year nursing students were surveyed five times, with intervals of one month, over a four-month period during the first semester of their program. Our results revealed four profiles of students presenting High and Stable, Moderate and Decreasing, Low and Decreasing, and Moderate and Stable engagement trajectories. Harmonious and obsessive passion, challenge and hindrance demands, and institutional support were associated with these trajectories in a way that mainly supported our expectations. Trajectories characterized by lower levels of engagement were associated with higher levels of negative affect and absenteeism, and with lower levels of performance, program satisfaction, and life satisfaction. Conversely, trajectories characterized by higher levels of engagement were associated with lower levels of dropout intentions and higher levels of performance. © 2023 Elsevier B.V., All rights reserved.","Challenge And Hindrance Demands; Dropout Intentions; Engagement; Latent Curve Modeling (lcm); Passion; Performance; Trajectories; Well-being"
"Work-family habits? Exploring the persistence of traditional work-family decision making in dual-earner couples","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103914","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166547981&doi=10.1016%2Fj.jvb.2023.103914&partnerID=40&md5=061f89f9ceb3fc571676ffee16efb9ba","Decisions made within the family have long been recognised as a central obstacle to achieving gender equality, not only in the home, but also in the workplace due to the interdependent relationship between work and family domains. Here we focus particularly on how couple-level work-family decision-making processes influence (non)egalitarian work-family decisions. We draw on a qualitative diary study with 60 participants, comprising 30 heterosexual, dual-earner couples situated in the UK, to examine work-family decision-making in daily practice. Our findings suggest that egalitarian family identities, previously highlighted as important, are necessary but insufficient in enabling egalitarian work-family decisions. Instead, our findings highlight the important role played by the decision-making processes couples engage in, particularly in relation to their frequently habitual nature. Thus, we show how, while family identities held by men and women may be converging, habitual decision-making processes often continue to prevent egalitarian daily arrangements. We introduce the concept of ‘work-family habits’ and develop a novel framework depicting daily work-family decision making processes engaged in by dual-earner couples, revealing how each of these processes can contribute to either more traditional or egalitarian work-family practices. © 2023 Elsevier B.V., All rights reserved.","Dual-earner Couples; Family Identity; Gender Equality; Work-family Conflict; Work-family Decision Making"
"An examination of the link between job content plateau and knowledge hiding from a moral perspective: The mediating role of distrust and perceived exploitation","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166299548&doi=10.1016%2Fj.jvb.2023.103911&partnerID=40&md5=78dc76408d17a3ad30c04afb4ae434f1","This research aims to address the research question of how knowledge hiding occurs from an ethical lens. Drawing on an integrated ethical decision-making model, we identified job content plateau as an important personally threatening situation that predicts knowledge hiding. We also proposed that attribution of blame—a specific mechanism of moral disengagement—explains how employees experiencing a high job content plateau bypass their moral self-regulation to engage in knowledge hiding. More specifically, employees can cognitively reconstruct themselves as faultless victims who are driven to hide their knowledge because they perceive: (a) their colleagues cannot be trusted; and (b) the knowledge-exchange process in the organization is exploitative. We tested this dual-path mediation model using time-lagged data collected from 301 working adults across three time points. The results supported the mediating roles of perceived distrust in colleagues and perceived exploitation in the organization's knowledge-exchange process, opening the door for future research to better understand knowledge hiding from a moral perspective. © 2023 Elsevier B.V., All rights reserved.","Attribution Of Blame; Distrust; Job Content Plateau; Knowledge Exploitation; Knowledge Hiding; Moral Disengagement"
"Designing work for change and its unintended side effects","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166247736&doi=10.1016%2Fj.jvb.2023.103913&partnerID=40&md5=4613ae0d8be09ff687003de300aba867","Change is omnipresent in contemporary organizations. Employees' change support (i.e., the provision of time, energy, and contributions to a change process) is a crucial reaction for change to be successful, while employees' frustration (i.e., an intense negative feeling of deprivation) is a counterproductive reaction. Yet, research only recently began to consider work design as an environmental characteristic that can foster the development of new perspectives and thus be beneficial for employees' change support. We expand this research and draw from the work design growth model to argue that job autonomy and job complexity have more nuanced roles in predicting change support than accounted for in the traditional work design literature. Specifically, we propose that job complexity can be a facilitator of change support through its positive effect on employees' active exploration of new ideas (engaging pathway). However, it can also cause cognitive overload in employees, which leads to frustration (straining pathway). This ambivalent nature stands in contrast to job autonomy, which we expect to positively impact change support both via the engaging and straining pathways. Further considering the embeddedness of change in the social context, we explore the moderating role of high-quality contact with colleagues. Data from a 3-wave study with 643 employees supported the beneficial role of job autonomy and pointed to job complexity as a double-edged sword that facilitates change support but also leads to more frustration. High-quality contact strengthened the positive effect of job autonomy on active exploration, with positive downstream consequences for change support. © 2023 Elsevier B.V., All rights reserved.","Autonomy; Change Reactions; Change Support; Complexity; Contact Quality; Frustration; Introduction Of A New Technology; Organizational Change; Work Design"
"Ready? Camera rolling… action! Examining interviewee training and practice opportunities in asynchronous video interviews","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165697078&doi=10.1016%2Fj.jvb.2023.103912&partnerID=40&md5=d151fa2727e3f16bb9c447a88480feb3","Asynchronous video interviews (AVIs) are becoming exponentially more common in the hiring landscape. Despite practical benefits to organizations, research demonstrates potential challenges for applicants, including lower performance in technology-mediated interviews, and a host of negative attitudinal reactions to AVIs. Given this, AVI companies often provide tips for applicants, and applicants often access online resources to improve their performance. To date, we know little about interventions that can mitigate negative applicant reactions and increase applicant performance in AVIs, or the mechanisms involved in such a process. In Study 1, 202 participants from Prolific were randomly assigned to one of the four conditions (in a 2 × 2 experimental design) and completed a 5-question mock AVI, to explore how an AVI training video and practice impacted a host of self-report behavioral (i.e., impression management; IM) and attitudinal (i.e., anxiety, attraction, fairness, usability) outcomes, as well as response length, structure of the response, and interview performance. Results indicated that practice had negligible effects. However, training was positively associated with fairness perceptions (particularly consistency) and interview performance. Moreover, mediation analyses indicated that trained interviewees provided more structured and longer responses, which led to higher performance. Study 2 offered a replication with a sample of 156 active job seekers (senior students and Prolific users). Training was associated with more structured responses, and through this, higher performance. Pre- vs. post-training comparisons for a sub-sample also showed performance improvements. Implications, limitations, and directions for future research are discussed. © 2023 Elsevier B.V., All rights reserved.","Asynchronous Video Interviews; Impression Management; Interview Anxiety; Interview Performance; Training"
"We've come full circle: The universality of People-Things and Data-Ideas as core dimensions of vocational interests","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164742548&doi=10.1016%2Fj.jvb.2023.103897&partnerID=40&md5=47e762de9a25972599952fa0865500d8","Vocational interest research relies on interest taxonomies that partition the construct space of activity preferences into a small number of broad interest domains. To this day, the most widely used classification system is Holland's (1997) RIASEC taxonomy, which distinguishes between six overarching interest domains. A central feature of this model is that the six domains are connected via a circular similarity structure, the circumplex, which is often described with the help of two orthogonal core dimensions: People-Things and Data-Ideas. In recent years, alternative interest taxonomies have been proposed, which suggest different partitionings of the construct space that are said to better reflect today's world of work. Using the example of one such alternative, namely, the recently introduced SETPOINT model (Su et al., 2019), the current article argues that such taxonomies still strongly reflect the underlying core dimensions that define the interest circumplex. Using a mixed online sample from Germany (N = 560), it is shown that 1) the main and subdomains of the SETPOINT model reflect a circular similarity structure, 2) this circular similarity structure is conceptually identical to the ones identified in previous research, and 3) the discriminatory power of the SETPOINT scales for occupational group membership can largely be traced back to the core dimensions of the interest circumplex. © 2023 Elsevier B.V., All rights reserved.","Circumplex Model; Interest Structure; Interest Taxonomy; People-things/data-ideas; Vocational Choices; Vocational Interests"
"Bored and exhausted? Profiles of boredom and exhaustion at work and the role of job stressors","2023","Journal of Vocational Behavior","10.1016/j.jvb.2023.103898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164329078&doi=10.1016%2Fj.jvb.2023.103898&partnerID=40&md5=ffdd0df6fce6f7778846400f84c79930","Boredom at work is perceived to result from lacking job stressors as opposed to exhaustion that is a response to excessive job stressors. Employee boredom and exhaustion have thus been considered as antithetical states, and yet they are found to be positively related. It is therefore unclear how boredom and exhaustion manifest among workers. We build on research literature on boredom and challenge - hindrance stressor framework to argue that some employees may be both bored and exhausted depending on distinct job stressors. We employed latent profile analysis and Latent Transition Analysis across two studies to uncover these employee groups and examine if their experiences change over time. In Study 1, we used data from 301 employees to identify four profiles that we labelled “neither bored nor exhausted”, “somewhat bored, somewhat exhausted”, “exhausted and somewhat bored” and “bored and exhausted”. In Study 2, where we used data from 2452 employees at two measurement points across 18 months, we replicated three of the four profiles. Challenge stressors were associated with exhaustion dominant profiles whereas hindrance stressors predicted membership in profiles characterized by both boredom and exhaustion. Profile membership was highly stable over the measurement period. Increases in challenge and hindrance stressors over the measurement period increased the likelihood of transitioning across profiles. This study extends literature on employee well-being by suggesting that boredom and exhaustion can occur in tandem. Further, we show that challenge and hindrance stressors can deteriorate well-being in different ways. © 2023 Elsevier B.V., All rights reserved.","Boredom At Work; Challenge And Hindrance Stressor Framework; Exhaustion At Work; Latent Profile Analysis, Latent Transition Analysis"
