"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Photo-dynamics in 2D materials: Processes, tunability and device applications","2022","Physics Reports","10.1016/j.physrep.2022.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140808428&doi=10.1016%2Fj.physrep.2022.09.005&partnerID=40&md5=beb95ad3ad124c5bb4b3e7c4f3e5af76","The past decade has witnessed the rise of low-dimensional materials, such as graphene, transition metal dichalcogenides, black phosphorus, organic–inorganic hybrid perovskites and MXenes. They have received tremendous attention due to their peculiar properties, as compared to their bulk phase. These unique properties have ushered in a paradigm shift in many applied fields and technologies including, but not limited to optoelectronics, catalysis, biomedical research and quantum information sciences. The fundamental processes determining the performance of devices, utilizing the low-dimensional materials, are photogeneration of charge carriers and carrier transport. A detailed understanding of these processes is therefore indispensable to the design and optimization of advanced high-performance low-dimensional materials-based devices for broadband photodetection, high-speed modulation, high-efficiency solar energy harvesting, and energy storage, among others. Herein, we critically review recent advances in studies of photoinduced carrier dynamics in low-dimensional semiconductors and semimetals. Transient carrier generation, trapping and recombination dynamics can be controlled by temperature, charge transfer in hybrid structures, electrical and magnetic field, and stress. Revealing the mechanisms and strategies of their tuning should help design and optimize multifunctional materials to enable high-performance devices. In this review, we do not focus exclusively on the photoinduced species (excitons and charge carriers), but also discuss possible strategies to adjust their properties and their impact on device characteristics. To conclude, we summarize current status, describe existing challenges, and provide a subjective opinion on future opportunities to advance this exciting field. We hope that this review will be appealing to a broad materials physics audience and will be helpful in exploring new physics and discovering theory guided novel materials with robust performance. © 2022 Elsevier B.V., All rights reserved.","Carrier Dynamics; Charge Transfer; Time-resolved Spectroscopy; Two-dimensional Materials"
"Dynamical maps beyond Markovian regime","2022","Physics Reports","10.1016/j.physrep.2022.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140311406&doi=10.1016%2Fj.physrep.2022.09.003&partnerID=40&md5=704a19c86cbf092898962db707a93844","Quantum dynamical maps provide suitable mathematical representation of quantum evolutions. When representing quantum states by density operators, the evident requirements for any dynamical map are positivity and trace-preservation. However, these properties are not consistent with quantum mechanics of composite systems. It is the very notion of complete positivity which provides a proper mathematical representation of quantum evolution and gives rise to the powerful generalization of unitary evolution of closed Hamiltonian systems. A prominent example of quantum evolution of an open system is a Markovian semigroup. In what follows, we analyze both the semigroups of positive and completely positive maps. In the latter case the dynamics is governed by the celebrated Gorini–Kossakowski–Lindblad–Sudarshan (GKLS) Master Equation. Markovian semigroups, however, provide only an approximate description of general quantum evolution. The main topic of our analysis are dynamical maps beyond this regime. Non-Markovian quantum evolution attracted a lot of attention in recent years and there is a vast literature dedicated to it. In this report we analyze quantum dynamics governed by time-local generators and/or non-local memory kernels. A special attention is devoted to the concept of divisibility which is often used as a definition of Markovianity. In particular, the concept of so called CP-divisibility (in contrast to P-divisibility) is widely accepted as a proper definition of quantum Markovianity. We discuss a number of important physical implications of divisibility. We also briefly discuss the notion of Markovianity beyond the dynamical map, that is, when one has an access to the evolution of ‘system + environment’. The entire exposition is concentrated more on the general concepts and intricate connections between them than on studying particular systems. We illustrate the analyzed concepts by paradigmatic models of open quantum systems like the amplitude damping and phase damping models. © 2022 Elsevier B.V., All rights reserved.","Master Equations; Memory Kernels; Open Quantum Systems; Quantum Dynamical Maps; Quantum Markovianity"
"Selected topics in analytic conformal bootstrap: A guided journey","2022","Physics Reports","10.1016/j.physrep.2022.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140076402&doi=10.1016%2Fj.physrep.2022.09.004&partnerID=40&md5=1033ccf9097847eb498918052bd2ca62","This review aims to offer a pedagogical introduction to the analytic conformal bootstrap program via a journey through selected topics. We review analytic methods which include the large spin perturbation theory, Mellin space methods and the Lorentzian inversion formula. These techniques are applied to a variety of topics ranging from large-N theories, to the epsilon expansion and holographic superconformal correlators, and are demonstrated in a large number of explicit examples. © 2022 Elsevier B.V., All rights reserved.","Analytic Bootstrap; Conformal Bootstrap; Conformal Field Theories"
"Low-frequency noise in downscaled silicon transistors: Trends, theory and practice","2022","Physics Reports","10.1016/j.physrep.2022.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139837585&doi=10.1016%2Fj.physrep.2022.06.005&partnerID=40&md5=3e977e9ac2a777a421600b2395202b5c","By the continuing downscaling of sub-micron transistors in the range of few to one deca-nanometers, we focus on the increasing relative level of the low-frequency noise in these devices. Large amount of published data and models are reviewed and summarized, in order to capture the state-of-the-art, and to observe that the 1/area scaling of low-frequency noise holds even for carbon nanotube devices, but the noise becomes too large in order to have fully deterministic devices with area less than 10 nm ×10 nm. The low-frequency noise models are discussed from the point of view that the noise can be both intrinsic and coupled to the charge transport in the devices, which provided a coherent picture, and more interestingly, showed that the models converge each to other, despite the many issues that one can find for the physical origin of each model. Several derivations are made to explain crossovers in noise spectra, variable random telegraph amplitudes, duality between energy and distance of charge traps, behaviors and trends for figures of merit by device downscaling, practical constraints for micropower amplifiers and dependence of phase noise on the harmonics in the oscillation signal, uncertainty and techniques of averaging by noise characterization. We have also shown how the unavoidable statistical variations by fabrication is embedded in the devices as a spatial “frozen noise”, which also follows 1/area scaling law and limits the production yield, from one side, and from other side, the “frozen noise” contributes generically to temporal 1/f noise by randomly probing the embedded variations during device operation, owing to the purely statistical accumulation of variance that follows from cause-consequence principle, and irrespectively of the actual physical process. The accumulation of variance is known as statistics of “innovation variance”, which explains the nearly log-normal distributions in the values for low-frequency noise parameters gathered from different devices, bias and other conditions, thus, the origin of geometric averaging in low-frequency noise characterizations. At present, the many models generally coincide each with other, and what makes the difference, are the values, which, however, scatter prominently in nanodevices. Perhaps, one should make some changes in the approach to the low-frequency noise in electronic devices, to emphasize the “statistics behind the numbers”, because the general physical assumptions in each model always fail at some point by the device downscaling, but irrespectively of that, the statistics works, since the low-frequency noise scales consistently with the 1/area law. © 2022 Elsevier B.V., All rights reserved.","Circuit Noise; Device Noise; Downscaled Silicon Transistors; Low-frequency Noise; Noise Figures-of-merit; Noise Theory"
"Lectures on the Swampland Program in String Compactifications","2022","Physics Reports","10.1016/j.physrep.2022.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140602039&doi=10.1016%2Fj.physrep.2022.09.002&partnerID=40&md5=d8ccc8e075cba97763f4c6fb70ce75be","The Swampland program aims to determine the constraints that an effective field theory must satisfy to be consistent with a UV embedding in a quantum gravity theory. Different proposals have been formulated in the form of Swampland conjectures. In these lecture notes, we provide a pedagogical introduction to the most important Swampland conjectures, their connections and their realization in string theory compactifications. The notes are based on the series of lectures given by Irene Valenzuela at the online QFT and Geometry summer school in July 2020. © 2022 Elsevier B.V., All rights reserved.","Quantum Gravity; String Compactifications; String Phenomenology; String Theory; Swampland; Weak Gravity Conjecture"
"Current challenges in the physics of white dwarf stars","2022","Physics Reports","10.1016/j.physrep.2022.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139387156&doi=10.1016%2Fj.physrep.2022.09.001&partnerID=40&md5=45dfc7f533ead792fdb85f85135e98a0","White dwarfs are a class of stars with unique physical properties. They present many challenging problems whose solution requires advanced theories of dense matter, state-of-the-art experimental techniques, and extensive computing efforts. New ground- and space-based observatories will soon provide an increasingly detailed view of white dwarf stars and reveal new phenomena that will challenge our models. This review is an introduction to the nature of white dwarfs, the physical processes that determine their structure and evolution, and the physical conditions they span. We discuss a wide variety of currently unsolved or partially resolved problems in their constitutive physics that are broadly related to equations of state, transport processes and opacities. © 2024 Elsevier B.V., All rights reserved.","Chemical Equilibrium; Convection; Dense Plasmas; Diffusion Coefficients; Equation Of State; Opacities; Phase Diagrams; Physical Processes; Stars; Thermal Conductivity; White Dwarfs"
"Length control of long cell protrusions: Rulers, timers and transport","2022","Physics Reports","10.1016/j.physrep.2022.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138990724&doi=10.1016%2Fj.physrep.2022.08.002&partnerID=40&md5=7fb84a4d5dcbc57e6495ea4d2ac36e98","Living cells use long tubular appendages for locomotion and sensory purposes. Hence, assembling and maintaining a protrusion of correct length is crucial for survival and overall performance. Usually the protrusions lack the machinery for the synthesis of building blocks and imports them from the cell body. What are the unique features of the transport logistics which facilitate the exchange of these building blocks between the cell and the protrusion? What kind of ‘rulers’ and ‘timers’ does the cell use for constructing its appendages of correct length on time? How do the multiple appendages coordinate and communicate among themselves during different stages of their existence? How frequently do the fluctuations drive the length of these dynamic protrusions out of the acceptable bounds? These questions are addressed from a broad perspective in this review which is organized in three parts. In part-I the list of all known cell protrusions is followed by a comprehensive list of the mechanisms of length control of cell protrusions reported in the literature. We review not only the dynamics of the genesis of the protrusions, but also their resorption and regrowth as well as regeneration after amputation. As a case study in part-II, the specific cell protrusion that has been discussed in detail is eukaryotic flagellum (also known as cilium); this choice was dictated by the fact that flagellar length control mechanisms have been studied most extensively over more than half a century in cells with two or more flagella. Although limited in scope, brief discussions on a few non-flagellar cell protrusions in part-III of this review is intended to provide a glimpse of the uncharted territories and challenging frontiers of research on subcellular length control phenomena that awaits rigorous investigations. © 2022 Elsevier B.V., All rights reserved.","Cilia; Ift Trains; Intraflagellar Transport (ift); Non-flagellar Cell Protrusions; Regeneration; Resorption; Subcellular Length Control; Time Of Flight"
"The Variational Quantum Eigensolver: A review of methods and best practices","2022","Physics Reports","10.1016/j.physrep.2022.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138335876&doi=10.1016%2Fj.physrep.2022.08.003&partnerID=40&md5=4217f075bf93d76f0fae0787fea787e9","The variational quantum eigensolver (or VQE), first developed by Peruzzo et al. (2014), has received significant attention from the research community in recent years. It uses the variational principle to compute the ground state energy of a Hamiltonian, a problem that is central to quantum chemistry and condensed matter physics. Conventional computing methods are constrained in their accuracy due to the computational limits facing exact modeling of the exponentially growing electronic wavefunction for these many-electron systems. The VQE may be used to model these complex wavefunctions in polynomial time, making it one of the most promising near-term applications for quantum computing. One important advantage is that variational algorithms have been shown to present some degree of resilience to the noise in the quantum hardware. Finding a path to navigate the relevant literature has rapidly become an overwhelming task, with many methods promising to improve different parts of the algorithm, but without clear descriptions of how the diverse parts fit together. The potential practical advantages of the algorithm are also widely discussed in the literature, but with varying conclusions. Despite strong theoretical underpinnings suggesting excellent scaling of individual VQE components, studies have pointed out that their various pre-factors could be too large to reach a quantum computing advantage over conventional methods. This review aims at disentangling the relevant literature to provide a comprehensive overview of the progress that has been made on the different parts of the algorithm, and to discuss future areas of research that are fundamental for the VQE to deliver on its promises. All the different components of the algorithm are reviewed in detail. These include the representation of Hamiltonians and wavefunctions on a quantum computer, the optimization process to find ground state energies, the post processing mitigation of quantum errors, and suggested best practices. We identify four main areas of future research: (1) optimal measurement schemes for reduction of circuit repetitions required; (2) large scale parallelization across many quantum computers; (3) ways to overcome the potential appearance of vanishing gradients in the optimization process for large systems, and how the number of iterations required for the optimization scales with system size; (4) the extent to which VQE suffers for quantum noise, and whether this noise can be mitigated in a tractable manner. The answers to these open research questions will determine the routes for the VQE to achieve quantum advantage as the quantum computing hardware scales up and as the noise levels are reduced. © 2022 Elsevier B.V., All rights reserved.","Electronic Structure; Many-body Physics; Noisy Intermediate Scale Quantum Devices; Quantum Chemistry; Quantum Computing; Variational Methods"
"Wavelets behind the scenes: Practical aspects, insights, and perspectives","2022","Physics Reports","10.1016/j.physrep.2022.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136656840&doi=10.1016%2Fj.physrep.2022.08.001&partnerID=40&md5=61eec49bb08dbd8aef6ec72b68ddfe70","Over the years, wavelet-based analyses have been responsible for remarkable achievements in physics and related sciences. Nevertheless, a deep inspection on wavelet-based strategies described in recent scientific papers, dissertations, and theses reveals that a significant number of authors, i.e., students and even researchers with a modest background on signal analysis, still misunderstand the fundamentals of wavelets. One classical source of confusion, for instance, involves two different but related approaches used to perform discrete-time wavelet transformations and their inverses: algebra- and filter-based. Although the latter is usually adopted in practice, the former reveals the beauty of multiresolution analysis over Heisenberg's uncertainty principle, showing what really happens behind the scenes. Thus, based on the solid and easy-to-follow explanations provided in this smoothly written tutorial-review article, interested readers will definitively comprehend the different types of wavelet transforms and their specific applications, getting hands-on experience and insights on how to extract the most of their research by using that powerful tool. Because its mission is clarification, example wavelet-related applications are provided in this document to stimulate state-of-the-art research in a diversity of branches in physics. © 2022 Elsevier B.V., All rights reserved.","Continuous Wavelet Transform; Discrete Wavelet Transform; Discrete-time Wavelet Transform; Wavelet Transforms; Wavelets"
"The H0 Olympics: A fair ranking of proposed models","2022","Physics Reports","10.1016/j.physrep.2022.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136584900&doi=10.1016%2Fj.physrep.2022.07.001&partnerID=40&md5=7709625bd4390783d7c31979ab80bc4c","Despite the remarkable success of the Λ Cold Dark Matter (ΛCDM) cosmological model, a growing discrepancy has emerged (currently measured at the level of ∼4−6σ) between the value of the Hubble constant H<inf>0</inf> measured using the local distance ladder and the value inferred using the cosmic microwave background and galaxy surveys. While a vast array of ΛCDM extensions have been proposed to explain these discordant observations, understanding the (relative) success of these models in resolving the tension has proven difficult — this is a direct consequence of the fact that each model has been subjected to differing, and typically incomplete, compilations of cosmological data. In this review, we attempt to make a systematic comparison of seventeen different models which have been proposed to resolve the H<inf>0</inf> tension (spanning both early- and late-Universe solutions), and quantify the relative success of each using a series of metrics and a vast array of data combinations. Owing to the timely appearance of this article, we refer to this contest as the “H<inf>0</inf> Olympics”; the goal being to identify which of the proposed solutions, and more broadly which underlying mechanisms, are most likely to be responsible for explaining the observed discrepancy (should unaccounted for systematics not be the culprit). This work also establishes a foundation of tests which will allow the success of novel proposals to be meaningfully “benchmarked”. © 2022 Elsevier B.V., All rights reserved.","Dark Energy; Dark Matter Phenomenology; Dark Radiation; Early Dark Energy; Hubble Tension; Varying Fundamental Constants"
