"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Symbolic association networks: A case study of orchestral programming's effect on the reputation of composers","2024","Social Networks","10.1016/j.socnet.2024.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200778992&doi=10.1016%2Fj.socnet.2024.08.001&partnerID=40&md5=e0e4a9944e50fd410660a76989f4aa54","A type of symbolic association network for the development of reputation is described and tested. Associations between people in these networks are not based on individual interaction, but rather are created by “reputational entrepreneurs” based on perceived symbolic association between people. We argue the intent of this type of connection is to add to the reputational information about those connected and we test whether a network of such associations influence cultural recognition. To do this, we use dyadic connections between classical music composers created by conductors for orchestra performance and determine whether a composer's symbolic association network (SAN) aids recognition in publications. We find SANs to have a significant impact on the extent of reputational recognition, even when holding a composer's individual status achievements constant. Composers with a large symbolic association network and those who bridge unconnected composers tend to receive more recognition. We discuss the influence of symbolic association networks on perception of reputational significance. We suggest SANs may advance research in reputation and culture particularly when considering actors whose reputation is active beyond their work or lifetime, such as artists, writers, musicians, and historical figures. © 2024 Elsevier B.V., All rights reserved.","Classical Music Composers; Co-occurrence Networks; Culture; Reputation; Symbolic Association Networks; Symphony Orchestras"
"Exponential random graph models and pendant-triangle statistics","2024","Social Networks","10.1016/j.socnet.2024.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200573654&doi=10.1016%2Fj.socnet.2024.07.002&partnerID=40&md5=24f71084777f7a236a3e30b3089c89c9","The paper builds on the framework proposed by Pattison and Snijders (2012) for specifying exponential random graph models (ERGMs) for social networks. We briefly review the two-dimensional hierarchy of potential dependence structures for network tie variables that they outlined and provide proofs of the relationships among the model forms and of the nature of their sufficient statistics, noting that models in the hierarchy have the potential to reflect the outcome of processes of cohesion, closure, boundary and bridge formation and path creation over short or longer network distances. We then focus on the so-called partial inclusion dependence assumptions among network tie variables and the pendant-triangle, or paw, statistics to which they give rise, and illustrate their application in an empirical setting. We argue that the partial inclusion assumption leads to models that can reflect processes of boundary and bridge formation and that the model hierarchy provides a broad and useful framework for the statistical analysis of network data. We demonstrate in the chosen setting that pendant-triangle (or paw) effects, in particular, lead to a marked improvement in goodness-of-fit and hence add a potentially valuable capacity for modelling social networks. © 2024 Elsevier B.V., All rights reserved.","Bridge And Boundary Processes In Networks; Exponential Random Graph Models; Pendant-triangle Or Paw Statistics; Social Network Structure; Statistical Models For Social Networks"
"A clan detector algorithm to identify independent clans in the kinship networks of elite family dynasties","2024","Social Networks","10.1016/j.socnet.2024.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200129695&doi=10.1016%2Fj.socnet.2024.07.003&partnerID=40&md5=dafbad16e739c1109ccadc4dca23332d","The sociology of elites has long considered families as the unit of analysis in studies of power dynamics between elite dynasties and their transmission of wealth and prestige over generations. However, the assumption that families are cohesive units with common goals and agendas does not hold, especially for large and powerful family dynasties. Internal conflicts and clan rivalries throughout history suggest that independent clans, rather than families, are the more appropriate level for aggregation. The increasing availability of large-scale genealogical datasets and advances in social network analysis allow this more fine-grained perspective to be implemented even without historical documentation on observed clan structures. This paper builds on socio-anthropological conceptualizations of kinship and on hierarchical clustering techniques to present a new method for identifying independent clans within families that relies only on network-dependent terms. I use simulated data and an empirical kinship network of families of early modern Basel, Switzerland to compare a clan detector algorithm's performance with common community detection techniques. The historical accuracy of the clan structures detected is further assessed with various status indicators. The analyses show that the proposed clan detector algorithm is more suitable for identifying historically accurate clans than the traditional approaches. The application of the new method to the kinship network of Basel families sheds light on the city's stratification into high- and low-status societies in which elite families were also divided into privileged and less privileged clans. © 2024 Elsevier B.V., All rights reserved.","Community Detection; Hierarchical Clustering; Historical Network; Kinship Network; Social Status"
"Corruption dynamics in public procurement: A longitudinal network analysis of local construction contracts in Guatemala","2024","Social Networks","10.1016/j.socnet.2024.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199472655&doi=10.1016%2Fj.socnet.2024.07.001&partnerID=40&md5=df3ed6f47df40c23f565a659f0bda39b","Spending concentration, political influence, and collusion violate rules and principles of open and fair public procurement, leading to corrupt contract allocation. This study adopts stochastic actor-oriented models to test the evolution of these forms of procurement corruption risks in a longitudinal network study of 33579 construction contracts pertaining to Guatemalan local governments from 2012 to 2020. We identify a range of network configurations, based on past empirical research and theory, that capture different patterns of suspicious micro tendencies suggestive of corruption. We show how these micro tendencies shift in strength according to changes in electoral cycles and anti-corruption interventions, thus shedding light on how interventions may temporarily impact corrupt behavior, and how it may adapt and persist after a period of transition. The results indicate that collusion and spending concentration play significant roles in sustaining the risk of corrupt contract allocation, and that this behavior is able to rebound even after the introduction of anti-corruption interventions and new political regimes. The findings underscore the importance of local interventions and advocate for network approaches to enhance transparency, accountability, and long-term anti-corruption efforts. © 2024 Elsevier B.V., All rights reserved.","Collusion; Guatemala; Political Influence; Procurement Corruption; Spending Concentration; Stochastic Actor-oriented Models"
"Corrigendum to “How adolescents’ popularity perceptions change: Measuring interactions between popularity and friendship networks” [Soc. Netw. 78 (2024) 1462] (Social Networks (2024) 78 (12–24), (S0378873323000709), (10.1016/j.socnet.2023.10.004))","2024","Social Networks","10.1016/j.socnet.2024.07.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199304566&doi=10.1016%2Fj.socnet.2024.07.004&partnerID=40&md5=b4e0dc575c36c4ba2680a6120c28d8bb","The authors regret the inconvenience and would like to include the Funding statement: This study was supported by the Spanish Research Agency, Ministerio de Ciencia e Innovación (PID2020-113911RB-I00, PI: Eva M. Romera) (www.mineco.gob.es). The authors would like to apologise for any inconvenience caused. © 2024 Elsevier B.V., All rights reserved.",""
"Lifetime internal migration trajectories and social networks: Do repeat migrants fare worst?","2024","Social Networks","10.1016/j.socnet.2024.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198042947&doi=10.1016%2Fj.socnet.2024.06.006&partnerID=40&md5=a459ecf1df0aa4b133cf1c65779fd76e","While the economic benefits of internal migration are widely documented, the social costs of internal migration have received comparatively less attention. In addition, most studies focus on the impact of the last-recorded migration, ignoring the cumulative impact of successive migrations. Grounded in the life-course trajectory approach to migration and the convoy model of social networks, this paper addresses this gap by applying sequence and cluster analysis to retrospective data from the Survey of Health, Ageing and Retirement in Europe (SHARE) in 26 European countries to establish internal migration trajectories based on the timing, frequency, and direction of migration between NUTS-2 regions. The results reveal that differences in social networks between lifetime stayers, childhood migrants and one-time adult migrants are minimal. A more complex picture emerges for repeat migrants who account for half migrants and are split between return migrants, serial onward migrants, and circular migrants. Regression results show that repeat migrants – whether onward, return, or circular – display social networks less focused on family and more geographically dispersed, which results in a lower frequency of contact than lifetime stayers. However, repeat migrants report the same level of overall satisfaction with their social networks as lifetime stayers, which suggests that they start with different expectations than stayers or simply adjust their expectations in response to the social costs and benefits of migration. © 2024 Elsevier B.V., All rights reserved.","Circular Migration; Europe; Immobility; Life Course; Onward Migration; Repeat Migration; Residential Mobility; Sequence Analysis; Share"
"Evaluating disease surveillance strategies for early outbreak detection in contact networks with varying community structure","2024","Social Networks","10.1016/j.socnet.2024.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197817352&doi=10.1016%2Fj.socnet.2024.06.003&partnerID=40&md5=b3b7697542c98bf6dc09a82f4558b352","Disease surveillance systems allow public health agencies to respond to emerging diseases before they become widespread. Developing such systems requires identifying optimal ways to monitor in the context of an epidemic outbreak; this problem is known as sensor selection. Contact networks represent the dynamics of interaction in a population and are used to model how a disease spreads in a population and to explore strategies of sensor selection. We evaluated five sensor selection strategies on their ability to provide an early warning of a COVID-like outbreak in synthetic contact networks encapsulated in four network scenarios. Three of these scenarios assessed different aspects of community structure. The fourth scenario employed a contact network representing the population and interactions of 6.8 million people in New York City, constructed from an agent-based simulation using census and transportation data. This scenario exemplifies how sensor selection strategies may perform in a real-world, urban context. Our findings suggest that the choice of the optimal strategy depends heavily on the community structure of the network. Strategies that select highly connected nodes or maximize network coverage are the optimal surveillance strategy for outbreak detection in many network community structures. However, a naive implementation of these strategies may fail to provide an early warning at all—including in the New York City scenario. Moreover, these methods are impractical for real-world use as they require knowledge of the underlying contact network. Instead, a selection strategy that starts with a set of random nodes and then performs a random walk through a chain of neighbors reliably provides early warnings without requiring prior knowledge of the network. We find this method, called “random chain”, to be the most pragmatic for implementation in a real-world disease surveillance context. © 2024 Elsevier B.V., All rights reserved.","Disease Surveillance; Sensor Selection; Social Network"
"Too many options: How to identify coalitions in a policy network?","2024","Social Networks","10.1016/j.socnet.2024.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197476867&doi=10.1016%2Fj.socnet.2024.06.005&partnerID=40&md5=d0092564adf16ccec0d8f2084fd95294","For different currents in policy analysis as policy networks and the Advocacy Coalition Framework (ACF), identifying coalitions from policy beliefs and coordination between actors is crucial to a precise understanding of a policy process. Focusing particularly the relational dimension of ACF approaches linked with policy network analysis, determining policy subsystems from the actor collaborations and exchanges has recently begun offering fertile links with the network analysis. Studies in this way frequently apply Block Modeling and Community Detection (BMCD) strategies to define homogeneous political groups. However, the BMCD literature is growing quickly, using a wide variety of algorithms and interesting selection methods that are much more diverse than those used in the policy network analysis and particularly the ACF when this current focused on the collaboration networks before or after regarding the belief distance between actors. Identifying the best methodological option in a specific context can therefore be difficult and few ACF studies give an explicit justification. On the other hand, few BMCD publications offer a systematic comparison of real social networks and they are never applied to policy network datasets. This paper offers a new, relevant 5-Step selection method to reconcile advances in both the policy networks/ACF and BMCD. Using an application based on original African policy network data collected in Madagascar and Niger, we provide a useful set of practical recommendations for future ACF studies using policy network analysis: (i) the density and size of the policy network affect the identification process, (ii) the “best algorithm” can be rigorously determined by maximizing a novel indicator based on convergence and homogeneity between algorithm results, (iii) researchers need to be careful with missing data: they affect the results and imputation does not solve the problem. © 2024 Elsevier B.V., All rights reserved.","Advocacy Coalition Framework; Block Modeling; Community Detection; Normalized Mutual Information; Policy Networks; Policy Process"
"Nonresponse in name generators across countries and survey modes","2024","Social Networks","10.1016/j.socnet.2024.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197447756&doi=10.1016%2Fj.socnet.2024.06.002&partnerID=40&md5=14c8b1f58690681185dcacc5578b5d33","Past research indicates interviewer effects lead to an underestimation of network size and higher nonresponse to the “important matters” name generator. Self-administered surveys offer a potential solution, but evidence is mixed and context-specific. We employ a logistic multilevel regression, estimated using a Bayesian Markov Chain Monte Carlo approach, to analyze nonresponse to this name generator from 33 post-electoral surveys across 21 countries in the Comparative National Election Project. We find higher nonresponse in interviewer-administered surveys compared to self-administered surveys, particularly among specific demographic groups. Finally, we discuss the trade-offs in selecting survey modes for collecting ego-network data using this instrument. © 2024 Elsevier B.V., All rights reserved.","Cross-country; Ego-centered Networks; Face-to-face Survey; Mode Of Data Collection; Name Generator; Web Survey"
"Categorical closure: Transitivity and identities in longitudinal networks","2024","Social Networks","10.1016/j.socnet.2024.06.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197047748&doi=10.1016%2Fj.socnet.2024.06.004&partnerID=40&md5=79526baf4837a371f81c19f2b0aa3cd5","This research examines whether categorical closure – an increased tendency for closure in homogeneous triads – matters for tie formation and tie persistence. We utilized 2019–2020 panel data on students’ networks at three law schools and employed separable temporal exponential random graph models to examine whether closed triads with shared identities were more likely to form and to persist over time. We also investigated whether closed triads based on shared organizational assignments were associated with lower likelihoods of tie formation and tie persistence over time. Results supported the notion that law students were more likely to form homogeneous closed triads based on shared categories, particularly family background, gender, and race, while closed triads based on organizational assignments were less likely. Closed triads tended to persist over time, but there was some support for the notion that homogeneous closed triads based on family background, college rank, and sexuality were more durable. This study highlights categorical closure as an additional network mechanism giving rise to homogenous groups. © 2024 Elsevier B.V., All rights reserved.","Homophily; Legal Education; Panel Data; Social Networks; Students; Triadic Closure"
