"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"The hydrogen bond behind smarter electronic skin","2025","Trends in Chemistry","10.1016/j.trechm.2025.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010965253&doi=10.1016%2Fj.trechm.2025.06.005&partnerID=40&md5=0dec97a18a484df7bd673ecc522882e3","Electronic skin (e-skin) is a rapidly developing technology designed to mimic the sensory and mechanical properties of human skin, enabling applications in wearables, robotics, and bioelectronics. Its development depends on materials that integrate electrical conductivity, flexibility, self-healing, and bio-compatibility. Conjugated polymers have emerged as ideal candidates, but optimizing their performance requires precise molecular engineering. Hydrogen bonding has proven to be a key tool in this process, enhancing self-assembly, π–π stacking, charge transport, and mechanical resilience. This review explores recent advancements in hydrogen-bonded conjugated polymers, focusing on diketopyrrolopyrrole (DPP), naphthalene diimide (NDI), and isoindigo (IIND), and highlights promising strategies to enhance e-skin technology for next-generation wearable and bioelectronic applications. © 2025 Elsevier B.V., All rights reserved.","Conjugated Polymers; Dynamic Self-healing Materials; Electronic Skin; Hydrogen Bonding; Molecular Engineering; Non-covalent Interactions; Organic Semiconductors; Stretchable Electronics; Biomechanics; Flexible Electronics; Self Assembly; Self-healing Materials; Skin; Wearable Technology; Dynamic Self-healing Material; Electronic Skin; Mechanical; Molecular Engineering; Non-covalent Interaction; Organics; Property; Self-healing; Smart Electronics; Stretchable Electronics; Hydrogen Bonds"
"Molecular cages: emerging applications in diverse fields","2025","Trends in Chemistry","10.1016/j.trechm.2025.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010936509&doi=10.1016%2Fj.trechm.2025.06.006&partnerID=40&md5=8af250949b956cb39358a4e2accbcb23","Molecular cages are readily adaptable supramolecular structures with outstanding potential for multiple purposes. Cages have well-defined cavities that enable precise guest encapsulation, offering unique opportunities in sensing, catalysis, environmental and biological applications, among others. Recent advances in the field have demonstrated how the structural versatility of molecular cages — including all-organic and metal–organic architectures — allows the design of systems with tailored functionality. Innovative uses span from simple host–guest applications for the selective encapsulation of chemical species, to more sophisticated approaches aiming to mimic biological systems. This review gives a general overview of the field, focusing on the advances in the last 3 years, and emphasizing how the design of molecular cages to achieve specific functionalities is opening frontiers in innovative applications. © 2025 Elsevier B.V., All rights reserved.","Encapsulation; Metal–organic Cages; Molecular Cages; Organic Cages; Supramolecular Chemistry; Biological Systems; Supramolecular Chemistry; Catalyse; Diverse Fields; Emerging Applications; Metalorganics; Metal–organic Cage; Molecular Cage; Organic Cage; Organics; Sensing Applications; Supramolecular Structure; Encapsulation"
"A surface-level introduction to covalent organic framework colloids","2025","Trends in Chemistry","10.1016/j.trechm.2025.06.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010882966&doi=10.1016%2Fj.trechm.2025.06.008&partnerID=40&md5=ae2399dc5ce07d8a331f5767c792e1ce","Covalent organic frameworks (COFs) are porous, crystalline polymers. Their colloidal synthesis has uncovered important fundamental insights into their crystallization mechanisms, enabling synthetic access to single-crystalline materials. The study of colloidal COF surface facets and mechanisms of colloidal stability are an underexplored research frontier for this class of materials. © 2025 Elsevier B.V., All rights reserved.","Cof Colloids; Covalent Organic Frameworks; Crystallization; Surface Chemistry; X-ray Diffraction; Chromium Compounds; Cobalt Compounds; Colloid Chemistry; Colloids; Crystalline Materials; Fluorine Compounds; Colloidal Stability; Colloidal Synthesis; Covalent Organic Framework Colloid; Covalent Organic Frameworks; Crystalline Polymers; Crystallization Mechanisms; Research Frontiers; Single-crystalline Materials; X- Ray Diffractions; Crystallization; Surface Chemistry; X Ray Diffraction"
"Electrolyzers in focus: advances in CO2 electrolyzer designs","2025","Trends in Chemistry","10.1016/j.trechm.2025.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010316938&doi=10.1016%2Fj.trechm.2025.06.002&partnerID=40&md5=d3322d198f1eefd6190dc4c0c7dd4d7e","Electrochemical CO<inf>2</inf> reduction (ECR) remains a viable method to reintegrate anthropogenic CO<inf>2</inf> into current energy infrastructures through its conversion into commodity chemicals. To facilitate the integration of ECR, electrochemical devices called electrolyzers must be implemented to overcome the inherent limitations that exist in current ECR experiments, namely kinetics and mass transport. In this review, we outline the current and advancing designs in ECR electrolyzers, with a focus on the following five electrochemical devices: membrane electrode assemblies (MEA), flow cell (FC), rotating disk electrode (RDE), rotating ring-disk electrode (RRDE), and rotating cylinder electrode (RCE). We highlight the tunable components of each electrolyzer with a forward outlook on the optimization and relevance of electrolyzer designs in upcoming ECR applications. © 2025 Elsevier B.V., All rights reserved.","Co2 Reduction; Electrolyzers; Flow Cell; Membrane Electrode Assembly; Rotating Electrode Techinques; Electrochemical Electrodes; Electrolytic Cells; Reduction; 'current; Anthropogenic Co; Co 2 Reduction; Electrochemical Devices; Electrochemicals; Electrolyzers; Flow Cells; Membrane Electrode Assemblies; Rotating Electrode Techinques; Rotating Electrodes; Carbon Dioxide"
"Beyond halogen bonding: σ-hole interactions","2025","Trends in Chemistry","10.1016/j.trechm.2025.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009687124&doi=10.1016%2Fj.trechm.2025.06.001&partnerID=40&md5=fa6c1453b5d4416e40e9311d97aa0844","The σ-hole interaction is widely prevalent and plays a significant role in biological systems, offering an intriguing protocol for the design of supramolecular architectures. As emerging σ-hole interactions, pnictogen bonding (PnB) and chalcogen bonding (ChB) show extraordinary prospects for materials design due to their unique properties of central atoms with multiple σ-holes, high directionality, and turnability. Based on these advantages, this review highlights recent achievements of PnB/ChB in supramolecular complexation, self-assembly, and chiral and functional materials. The advantages and challenges in structural design, synthesis, and characterization are summarized. We aim to provide a broad outlook on extended σ-hole interactions beyond halogen bonding and inspire the delicate design of supramolecular motifs with interesting properties and functions. © 2025 Elsevier B.V., All rights reserved.","Aggregation; Chalcogen Bonding; Chiral Materials; Functional Materials; Pnictogen Bonding; Supramolecular Complexity; Beam Plasma Interactions; Biological Systems; Complexation; Self Assembly; Structural Design; Supramolecular Chemistry; Chalcogen Bonding; Chalcogens; Chiral Material; Functionals; Halogen Bonding; Hole Interactions; Pnictogen Bonding; Property; Supramolecular Architectures; Supramolecular Complexity; Functional Materials"
"Computations illuminate emerging reactivity of metal-free carbones","2025","Trends in Chemistry","10.1016/j.trechm.2025.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008572637&doi=10.1016%2Fj.trechm.2025.05.007&partnerID=40&md5=ea3b88ace1c952f8a5fd1ad7baf14ed1","Carbones, formal zerovalent carbon centers, exhibit reactivity that distinguishes them from other reactive carbon species. Recent computational studies have provided mechanistic insights into how carbones can facilitate ligand exchange and leverage the π-acidity of coordinating fragments to catalyze chemical transformations, highlighting their potential as unique contributors in organocatalysis. © 2025 Elsevier B.V., All rights reserved.","1,2-addition; Donor–acceptor; Frustrated Lewis Pair; Ligand-exchange; Π-acidity; Acidity; Carbon; Carbon Economy; 1,2-addition; Carbon Species; Carbones; Computational Studies; Donor/acceptor; Frustrated Lewis Pairs; Ligand Exchanges; Metal Free; Zerovalent; Π-acidity; Ligands"
"Optical control of spin states in magnetic molecules","2025","Trends in Chemistry","10.1016/j.trechm.2025.05.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007420444&doi=10.1016%2Fj.trechm.2025.05.005&partnerID=40&md5=944e36c6881886b9c70d4e593f6c7d50","Optical methods stand out as one of the most promising approaches to initialize and read-out spin states in molecules. Herein we critically review early progress in this research area and highlight potential transformative benefits that chirality and computational design could bring to push molecules at the forefront of quantum technologies. © 2025 Elsevier B.V., All rights reserved.","Computational Design; Magnetic Molecules; Molecular Chirality; Optical Spectroscopy; Quantum Information Science; Information Theory; Molecules; Quantum Electronics; Quantum Optics; Computational Design; Magnetic Molecules; Molecular Chirality; Optical Control; Optical Methods; Optical Spectroscopy; Quantum Information Science; Quantum Technologies; Research Areas; Spin State; Spin Waves"
"Ingenious design: topochemical polymerization for a mechanically interlocked network","2025","Trends in Chemistry","10.1016/j.trechm.2025.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006942295&doi=10.1016%2Fj.trechm.2025.05.004&partnerID=40&md5=359806009938b02d25f0b13467c475b8","The quest to synthesize purely organic single-crystalline two-dimensional mechanically interlocked polymers (MIPs) remains a formidable challenge for chemists. Recently, Liu and coworkers constructed a crystalline two-dimensional [c2]daisy-chain honeycomb network via topochemical polymerization. This report highlights the ingenious design in the single-crystal-to-single-crystal (SCSC) transformation. © 2025 Elsevier B.V., All rights reserved.","Crystallites; Polycondensation; Synthesis (chemical); Honeycomb Networks; Organics; Single Crystal-to-single-crystal Transformation; Single-crystal-to-single-crystal Transformations; Single-crystalline; Topochemical Polymerization; Two-dimensional; Single Crystals"
"Computational studies on human cytochrome P450: advancing insights into drug metabolism","2025","Trends in Chemistry","10.1016/j.trechm.2025.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008777562&doi=10.1016%2Fj.trechm.2025.05.002&partnerID=40&md5=36298625352ac5f37c94b03aaf4daa24","Understanding the catalytic functions of human cytochrome P450 enzymes (P450s) requires comprehensive and rigorous investigations of catalytic mechanisms using physics-based computational methods, such as the quantum mechanics/molecular mechanics (QM/MM) approach. These investigations deepen our mechanistic understanding of enzyme-catalyzed metabolic transformations, support the development of more accurate predictive models, and facilitate the rational design of safer and more effective drugs. However, existing computational studies remain limited compared with the broad chemical diversity of drug-like compounds and the structural and functional complexity of P450s, underscoring the need for further research. Moreover, elucidating the mechanisms of P450 inhibition and developing a systems-level understanding of P450 catalysis remain major challenges. This review summarizes recent advances and outlines future directions in the field. © 2025 Elsevier B.V., All rights reserved.","Catalysis; Drug Discovery; Enzymes; Quantum Theory; Catalytic Functions; Catalytic Mechanisms; Computational Studies; Cytochrome P450 Enzymes; Drug Metabolisms; Human Cytochromes P450; Mechanistics; Metabolic Transformations; Physics-based; Quantum Mechanics/molecular Mechanics; Metabolism"
"Rocksalt rare earth monoxides as electronic and magnetic materials","2025","Trends in Chemistry","10.1016/j.trechm.2025.04.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008022986&doi=10.1016%2Fj.trechm.2025.04.011&partnerID=40&md5=5200e9427326ad4518f90bd282adb5e3","Stable binary rare earth (RE) oxides are usually trivalent RE ion sesquioxides (RE<inf>2</inf>O<inf>3</inf>), that are highly insulating and either nonmagnetic or antiferromagnetic. However, rocksalt-type divalent RE ion monoxides (REOs) have been scarcely synthesized owing to their metastable nature. Accordingly, their fundamental properties have not been unveiled. Recently, thin film epitaxy was successfully applied to synthesize various REOs. In stark contrast with RE<inf>2</inf>O<inf>3</inf>, REOs are highly electrically conducting, and exhibit superconductivity, room temperature ferromagnetism, and so on. Therefore, REOs are a new and simple f-electron system, showing promise as electronic, magnetic, and spintronic materials. In this review, their fundamental properties are introduced and their significance and future prospects are discussed toward a new paradigm in f-electron systems. © 2025 Elsevier B.V., All rights reserved.","Divalent Rare Earth Ion; Electrical Conduction; Ferromagnetism; Rare Earth Monoxide; Superconductivity; Thin Film; Binary Alloys; Magnetic Materials; Metal Ions; Rhenium Compounds; Divalent Rare Earth Ion; Divalents; Electrical Conduction; F-electrons; Fundamental Properties; Rare Earth Ions; Rare Earth Monoxide; Rare-earths; Rock Salt; Thin-films; Ferromagnetism; Thin Films"
