"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Selection of antibiotic resistance in pigs after exposure to feed cross-contaminated with oxytetracycline","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179707980&doi=10.1016%2Fj.vetmic.2023.109924&partnerID=40&md5=4c5d181f1b1113851897571e3a70bad9","Due to possible cross-contamination of animal feedstuff with antibiotics, food-producing animals may be exposed to undesirable low concentrations of antimicrobials. These sub-therapeutic levels of antibiotics can lead to the selection of resistant bacteria in the animal gut. The goal of this study was to assess, through analysis of the faeces of treated and control pigs, the risk of resistant E. coli being selected after daily exposure for three weeks to feed contaminated with oxytetracycline at 1% of the therapeutic dose. Liquid Chromatography coupled to tandem Mass Spectrometry was used to determine the oxytetracycline concentrations in faecal samples. In the treated group, concentrations were in the range of 4481.9 – 8671.2 µg/kg. In the control group, these concentrations were either below the method's limit of quantification or up to 60.5 µg/kg. After a transient increase in resistance in both groups, microbiological analysis showed that the treated group had a significantly higher oxytetracycline resistance rate by the end of the study than the control group (p < 0.001). Furthermore, the treated animals were found to select co-resistances to nalidixic acid and ampicillin. Finally, at tolerated antibiotic contamination levels of feed, the treated group had a higher proportion of multidrug-resistant isolates at the end of the study than the control one (p < 0.05). The present study demonstrates that, at the tolerated contamination rates, both antimicrobial resistance and multidrug-resistant bacteria can be selected and evidenced in the gut microbiota. © 2023 Elsevier B.V., All rights reserved.","Antibiotic; Antimicrobial Resistance; Cross-contamination; Oxytetracycline; Amikacin; Ampicillin; Azithromycin; Cefotaxime; Ceftazidime; Chloramphenicol; Ciprofloxacin; Colistin; Gentamicin; Meropenem; Nalidixic Acid; Oxytetracycline; Sulfamethoxazole; Tetracycline; Tigecycline; Trimethoprim; Anti-bacterial Agents; Oxytetracycline; Amikacin; Ampicillin; Azithromycin; Cefotaxime; Ceftazidime; Chloramphenicol; Ciprofloxacin; Colistin; Gentamicin; Meropenem; Nalidixic Acid; Oxytetracycline; Sulfamethoxazole; Tetracycline; Tigecycline; Trimethoprim; Antiinfective Agent; Ampicillin Resistance; Animal Experiment; Animal Tissue; Antibiotic Resistance; Antibiotic Sensitivity; Article; Controlled Study; Dietary Exposure; Drug Feces Level; Escherichia Coli; Feces Microflora; Food Contamination; In Vivo Study; Intestine Flora; Limit Of Quantitation; Liquid Chromatography-mass Spectrometry; Minimum Inhibitory Concentration; Multidrug Resistance; Multidrug Resistant Bacterium; Nonhuman; Phylogeny; Animal; Animal Food; Bacterium; Pig; Animal Feed; Animals; Anti-bacterial Agents; Bacteria; Drug Resistance, Multiple, Bacterial; Oxytetracycline; Swine"
"Salmonella enterica serovar Choleraesuis vector outperforms alum as an adjuvant, increasing a cross-protective immune response against Glaesserella parasuis","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179696143&doi=10.1016%2Fj.vetmic.2023.109915&partnerID=40&md5=9b2c704a02bbf40cf51cb164a90bc760","The adjuvant and/or vector significantly affect a vaccine's efficacy. Although traditional adjuvants such as alum have contributed to vaccine development, deficiencies in the induction of cellular and mucosal immunity have limited their further promotion. Salmonella vectors have unique advantages for establishing cellular and mucosal immunity due to mucosal pathways of invasion and intracellular parasitism. In addition, Salmonella vectors can activate multiple innate immune pathways, thereby promoting adaptive immune responses. In this work, the attenuated Salmonella enterica serovar Choleraesuis (S. Choleraesuis) vector rSC0016 was used to deliver the conserved protective antigen HPS_06257 of Glaesserella parasuis (G. parasuis), generating a novel recombinant strain rSC0016(pS-HPS_06257). The rSC0016(pS-HPS_06257) can express and deliver the HPS_06257 protein to the lymphatic system of the host. In comparison to HPS_06257 adjuvanted with alum, rSC0016(pS-HPS_06257) significantly increased TLR4 and TLR5 activation in mice as well as the levels of proinflammatory cytokines. In addition, rSC0016 promoted a greater degree of maturation in bone marrow-derived dendritic cells (BMDCs) than alum. The specific humoral, mucosal, and cellular immune responses against HPS_06257 in mice immunized with rSC0016(pS-HPS_06257) were significantly higher than those of HPS_06257 adjuvanted with alum. HPS_06257 delivered by the S. Choleraesuis vector induces a Th1-biased Th1/Th2 mixed immune response, while HPS adjuvanted with alum can only induce a Th2-biased immune response. HPS_06257 adjuvanted with alum only causes opsonophagocytic activity (OPA) responses against a homologous strain (G. parasuis serotype 5, GPS5), whereas rSC0016(pS-HPS_06257) could generate cross-OPA responses against a homologous strain and a heterologous strain (G. parasuis serotype 12, GPS12). Ultimately, HPS_06257 adjuvanted with alum protected mice against lethal doses of GPS5 challenge by 60 % but failed to protect mice against lethal doses of GPS12. In contrast, mice immunized with rSC0016(pS-HPS_06257) had 100 % or 80 % survival when challenged with lethal doses of GPS5 or GPS12, respectively. Altogether, the S. Choleraesuis vector rSC0016 could potentially generate an improved innate immune response and an improved adaptive immunological response compared to the traditional alum adjuvant, offering a novel concept for the development of a universal G. parasuis vaccine. © 2024 Elsevier B.V., All rights reserved.","Alum; G. Parasuis; Hps_06257; S. Choleraesuis Vector; Universal Vaccine; Aluminum Potassium Sulfate; Immunoglobulin G; Toll Like Receptor 4; Aluminum Sulfate; Adjuvants, Immunologic; Aluminum Sulfate; Vaccines; Aluminum Potassium Sulfate; Immunoglobulin G; Immunoglobulin G1; Immunoglobulin G2a; Interleukin 6; Toll Like Receptor 4; Toll Like Receptor 5; Aluminum Sulfate; Immunological Adjuvant; Vaccine; Adaptive Immunity; Animal Cell; Animal Experiment; Antigen Presentation; Article; Bacterial Strain; Bone Marrow Derived Dendritic Cell; Cellular Immunity; Colony Forming Unit; Comparative Study; Controlled Study; Enzyme Linked Immunosorbent Assay; Enzyme Linked Immunospot Assay; Female; Glaesserella Parasuis; Humoral Immunity; Immune Response; Innate Immunity; Intestine Lymphatic Tissue; Lymphatic System; Mammal Cell; Mouse; Mucosal Immunity; Neutrophil; Nonhuman; Pasteurellaceae; Polyacrylamide Gel Electrophoresis; Real Time Polymerase Chain Reaction; Salmonella Enterica Serovar Choleraesuis; Sequence Homology; Serotype; Vaccine Immunogenicity; Western Blotting; Animal; Bagg Albino Mouse; Salmonella Enterica; Adjuvants, Immunologic; Animals; Immunity, Cellular; Mice; Mice, Inbred Balb C; Serogroup; Vaccines"
"Molecular structures mediating adhesion of Campylobacter jejuni to abiotic and biotic surfaces","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178413611&doi=10.1016%2Fj.vetmic.2023.109918&partnerID=40&md5=066bf3dc4d979733e9f9bbc06764c6ba","Microaerophilic, Gram-negative Campylobacter jejuni is the causative agent of campylobacteriosis, the most common bacterial gastrointestinal infection worldwide. Adhesion is the crucial first step in both infection or interaction with the host and biofilm formation, and is a critical factor for bacterial persistence. Here we describe the proteins and other surface structures that promote adhesion to various surfaces, including abiotic surfaces, microorganisms, and animal and human hosts. In addition, we provide insight into the distribution of adhesion proteins among strains from different ecological niches and highlight unexplored proteins involved in C. jejuni adhesion. Protein-protein, protein-glycan, and glycan-glycan interactions are involved in C. jejuni adhesion, with different factors contributing to adhesion to varying degrees under different circumstances. As adhesion is essential for survival and persistence, it represents an interesting target for C. jejuni control. Knowledge of the adhesion process is incomplete, as different molecular and functional aspects have been studied for different structures involved in adhesion. Therefore, it is important to strive for an integration of different approaches to obtain a clearer picture of the adhesion process on different surfaces and to consider the involvement of proteins, glycoconjugates, and polysaccharides and their cooperation. © 2024 Elsevier B.V., All rights reserved.","Adhesin; Adhesion; Campylobacter; Interaction; Fibronectin; Protein; Polysaccharides; Adhesin; Agglutinin; Chaperone; Fibronectin; Glycan; Glycoconjugate; Lectin; Lipooligosaccharide; Lipopolysaccharide; Lipoprotein A; Membrane Protein; Outer Membrane Protein; Periplasmic Binding Protein; Polysaccharide; Protein; Adhesion; Bacterium Adherence; Campylobacter Jejuni; Chemical Structure; Crystal Structure; Ecological Niche; Nonhuman; Phase Variation; Protein Analysis; Protein Expression; Protein Glycosylation; Protein Protein Interaction; Protein Structure; Review; Surface Property; Survival; Animal; Campylobacteriosis; Genetics; Human; Metabolism; Microbiology; Veterinary Medicine; Animals; Bacterial Adhesion; Campylobacter Infections; Humans; Molecular Structure; Polysaccharides"
"Mutations in HA and PA affect the transmissibility of H7N9 avian influenza virus in chickens","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178356282&doi=10.1016%2Fj.vetmic.2023.109910&partnerID=40&md5=dc527e06801daa6551f0e7bbf87dfe07","Low pathogenic (LP) H7N9 avian influenza virus (AIV) emerged in 2013 and had spread widely over several months in China, experienced a noteworthy reduction in isolation rate in poultry and human since 2017. Here, we examined the transmission of H7N9 viruses to better understand viral spread and dissemination mechanisms. Three out of four viruses (2013–2016) could transmit in chickens through direct contact, and airborne transmission was confirmed in the JT157 (2016) virus. However, we did not detect the transmission of the two 2017 viruses, WF69 and AH395, through either direct or airborne exposure. Molecular analysis of genome sequence of two viruses identified eleven mutations located in viral proteins (except for matrix protein), such as PA (K362R and S364N) and HA (D167N, H7 numbering), etc. We explored the genetic determinants that contributed to the difference in transmissibility of the viruses in chickens by generating a series of reassortants in the JT157 background. We found that the replacement of HA gene in JT157 by that of WF69 abrogated the airborne transmission in recipient chickens, whereas the combination of HA and PA replacement led to the loss of airborne and direct contact transmission. Failure with contact transmission of the viruses has been associated with the emergence of the mutations D167N in HA and K362R and S364N in PA. Furthermore, the HA D167N mutation significantly reduced viral attachment to chicken lung and trachea tissues, while mutations K362R and S364N in PA reduced the nuclear transport efficiency and the PA protein expression levels in both cytoplasm and nucleus of CEF cells. The D167N substitution in HA reduced the H7N9 viral acid stability and avian-like receptor binding, while enhanced human-like receptor binding. Further analysis revealed these mutants grew poorly in vitro and in vivo. To conclude, H7N9 AIVs that contain mutations in the HA and PA protein reduced the viral transmissibility in chicken, and may pose a reduced threat for poultry but remain a heightened public health risk. © 2024 Elsevier B.V., All rights reserved.","Chickens; Genetic Basis; H7n9; Molecular Mechanism; Transmissibility; Influenza Virus Hemagglutinin; Aerosol Transmission; Airborne Transmission; Airborne Virus; Animal Cell; Animal Experiment; Animal Tissue; Antibody Blood Level; Antibody Titer; Article; Avian Influenza; Avian Influenza Virus; Binding Affinity; Cell Nucleus; Controlled Study; Cytoplasm; Direct Contact Transmission; Female; Gene Mutation; Genetic Reassortment; Hemagglutination Inhibition; Human; Human Cell; In Vitro Study; In Vivo Study; Influenza A (h7n9); Influenza A Virus (h7n9); Lung Parenchyma; Multiplicity Of Infection; Nonhuman; Nucleocytoplasmic Transport; Nucleotide Sequence; Protein Expression Level; Receptor Binding; Reverse Genetics; Seroconversion; Syncytium; Tcid50; Trachea Tissue; Virogenesis; Virus Attachment; Virus Cell Membrane Fusion; Virus Expression; Virus Gene; Virus Genome; Virus Infectivity; Virus Isolation; Virus Load; Virus Mutation; Virus Particle; Virus Recombinant; Virus Replication; Virus Shedding; Virus Strain; Virus Titration; Virus Transmission; Animal; Gallus Gallus; Genetics; Influenza; Mutation; Poultry; Animals; Chickens; Humans; Influenza A Virus, H7n9 Subtype; Influenza In Birds; Influenza, Human; Mutation; Poultry"
"Th-1 cytotoxic cell-mediated response predominates in the tracheal mucosa following Mycoplasma synoviae infection of MS-H-vaccinated chickens","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178188277&doi=10.1016%2Fj.vetmic.2023.109921&partnerID=40&md5=c9d75071227d5ae4acd8b1fb3515021c","Mycoplasma synoviae is a pathogen of poultry that causes upper respiratory tract disease. MS-H is a live attenuated temperature-sensitive vaccine that effectively control M. synoviae infection in chickens. However, the mechanisms underpinning protection have not been described previously. In this study, specific-pathogen-free chickens were vaccinated at 3 weeks of age with MS-H vaccine and challenged with field strain M. synoviae 94011/v-18d at 6 weeks of age. Tracheal mucosal inflammation was characterised by the assessment of thickness, histopathological lesions, cellular infiltrates and cytokine transcription. Tracheal lesion scores of unvaccinated-challenged (-V+C) birds were higher than that of vaccinated-challenged (+V+C) birds. +V+C birds displayed early upregulation of IL-4, consistent with a Th-2-skewed response, followed by a later increase in IFN-γ transcription, indicating transition to a Th-1-skewed response. -V+C birds displayed a concurrent early Th-2 and Th-17 response characterised by increase expression of IL-4 and IL-17A respectively, and late T regulatory response characterised by increased IL-10 transcription. +V+C chickens had more cytotoxic T cells (CD8+ T cells) at 7- and 21 days post-challenge (dpc), while -V+C chickens had higher numbers of infiltrating CD4+CD25+ at 7 and 21 dpc. Overall, these observations suggest that the immune response in +V+C chickens had an inflammation characterised by an early Th-2 skewed response followed closely by a Th-1 response and infiltration of cytotoxic T cells, while the response in -V+C chickens was an early Th-2/Th-17-skewed response closely followed by a T regulatory response. © 2023 Elsevier B.V., All rights reserved.","Cellular-response; Cytokines; Ms-h-vaccine; Mycoplasma Synoviae; Tracheal-mucosa; Gamma Interferon; Glyceraldehyde 3 Phosphate; Interleukin 13; Interleukin 2; Bacterial Vaccines; Interleukin-4; Bovine Serum Albumin; Cd4 Antigen; Cd8 Antigen; Complementary Dna; Gamma Interferon; Genomic Dna; Glyceraldehyde 3 Phosphate; Interleukin 10; Interleukin 13; Interleukin 17; Interleukin 2; Interleukin 2 Receptor Alpha; Interleukin 4; Mycoplasma Synoviae Vaccine; Bacterial Vaccine; Animal Experiment; Animal Model; Animal Tissue; Article; Cd4+ Cd25+ T Lymphocyte; Cd8+ T Lymphocyte; Cell Infiltration; Comparative Study; Controlled Study; Cytokine Response; Cytotoxic T Lymphocyte; Dna Synthesis; Histopathology; Immune Response; Immunofluorescence Assay; Immunophenotyping; Lymphocytic Infiltration; Mycoplasma Synoviae Infection; Nonhuman; Real Time Polymerase Chain Reaction; Regulatory T Lymphocyte; Rna Extraction; Th1 Cell; Th17 Cell; Trachea Mucosa; Trachea Tissue; Vaccination; Animal; Bird Disease; Gallus Gallus; Genetics; Inflammation; Mucosa; Mycoplasma Infection; Mycoplasma Synoviae; Veterinary Medicine; Animals; Bacterial Vaccines; Cd8-positive T-lymphocytes; Chickens; Inflammation; Interleukin-4; Mucous Membrane; Mycoplasma Infections; Poultry Diseases"
"Short review: Geographical distribution of equine-associated pVAPA plasmids in Rhodococcus equi in the world","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178172396&doi=10.1016%2Fj.vetmic.2023.109919&partnerID=40&md5=f8368ed3a5d70920e3e574800e1c34a1","Virulent Rhodococcus equi strains expressing virulence-associated 15–17 kDa protein (VapA) and having a large virulence plasmid (pVAPA) of 85–90 kb containing vapA gene are pathogenic for horses. In the last two decades, following pVAPA, two host-associated virulence plasmid types of R. equi have been discovered: a circular plasmid, pVAPB, associated with porcine isolates in 1995, and a recently detected linear plasmid, pVAPN, related to bovine and caprine isolates. Molecular epidemiological studies of R. equi infection in foals on horse-breeding farms in Japan and many countries around the world have been conducted in the last three decades, and the epidemiological studies using restriction enzyme digestion patterns of plasmid DNAs from virulent isolates have shown 14 distinct pVAPA subtypes and their geographical preference. This short review summarizes previous reports regarding equine-associated pVAPA subtypes in the world and discusses their geographic distribution from the standpoint of horse movements. © 2023 Elsevier B.V., All rights reserved.","Foals; Molecular Epidemiology; Rhodococcus Equi; Virulence Plasmid; Bacterial Proteins; Virulence Factors; Plasmid Dna; Restriction Endonuclease; Virulence Plasmid; Bacterial Protein; Virulence Factor; Equus; Foal; Geographic Distribution; Goat; Host; Immunocompromised Patient; Molecular Epidemiology; Nonhuman; Restriction Fragment; Review; Rhodococcus Hoagii; Actinomycetales Infection; Animal; Bovine; Cattle Disease; Genetics; Goat Disease; Horse; Horse Disease; Pig; Plasmid; Swine Disease; Veterinary Medicine; Actinomycetales Infections; Animals; Bacterial Proteins; Cattle; Cattle Diseases; Goat Diseases; Goats; Horse Diseases; Horses; Plasmids; Rhodococcus Equi; Swine; Swine Diseases; Virulence Factors"
"Field validation of an antibiotic-free hoof spray to effectively treat ovine footrot by eliminating virulent Dichelobacter nodosus","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178016447&doi=10.1016%2Fj.vetmic.2023.109920&partnerID=40&md5=9faba22ef78744dee58a0b888362c865","Ovine footrot caused by Dichelobacter nodosus is a highly contagious hoof disease negatively impacting animal welfare and causing major economic losses to the sheep industry. Bactericidal footbaths have shown to be an efficient treatment option and will be used in the national footrot control program in Switzerland. However, the application of footbaths is laborious and economically not sound for small flock holders. We therefore tested in a field study the Intra Repiderma spray for its applicability and efficacy to treat ovine footrot. Ten independent flocks fulfilling defined parameters (e.g. clinical signs, positive for D. nodosus, flock size) could be identified and were included in the study. Farms were visited weekly to fortnightly and clinical scores and swabs for D. nodosus real-time (rt)PCR were taken. Treatment with the Intra Repiderma spray was started after initial claw trimming at the very first visit and was carried out three times within a week. Clearly visible clinical improvement was evident after one week of treatment. Virulent D. nodosus amounts on feet declined constantly during treatment which was continued until all sheep of a flock tested rtPCR-negative (1–10 weeks). Results indicate that a highly effective improvement of clinical signs and complete elimination of virulent D. nodosus can be achieved with the spray treatment. Therefore, it is a valuable alternative to cumbersome footbaths especially for small flocks. A sustainable control of footrot and its pathogen in a successfully treated flock can be maintained by strict biosecurity measures and continued treatment as far as necessary. © 2023 Elsevier B.V., All rights reserved.","Animal Welfare; Dichelobacter Nodosus; Fusobacterium Necrophorum; Intra Repiderma Spray; Ovine Footrot; Sheep; Treatment; Agricultural Land; Animal Experiment; Article; Bacterium Culture; Bacterium Identification; Dichelobacter Nodosus; Dna Extraction; Field Study; Fusobacterium Necrophorum; Hoof And Claw; Matrix Assisted Laser Desorption Ionization Time Of Flight Mass Spectrometry; Nebulization; Nonhuman; Questionnaire; Real Time Polymerase Chain Reaction; Scoring System; Sheep; Virulence; Animal; Foot Rot (animal Disease); Gram Negative Infection; Sheep Disease; Veterinary Medicine; Animals; Foot Rot; Gram-negative Bacterial Infections; Hoof And Claw; Sheep; Sheep Diseases"
"Epidemiology and pathogenicity of M. equirhinis in equine respiratory disorders","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178004518&doi=10.1016%2Fj.vetmic.2023.109926&partnerID=40&md5=bd4b07477e146076e08b645d22d84509","Mycoplasmas are pathogens involved in respiratory disorders of various animal hosts. In horses, Mycoplasma (M.) equirhinis is the species most frequently detected in clinical respiratory specimens, with a prevalence of 12–16%, but its clinical implication in equine respiratory disorders remains unclear. Here we screened 1948 clinical specimens for the presence of M. equirhinis. The samples were both tracheal washes (TW) and bronchoalveolar lavages (BAL) collected by veterinarians in France in day-to-day work between 2020 and 2022. The samples were associated with a standardized form that served to collect key general and clinical information, such as horse age, breed, and living environment. M. equirhinis was detected using a combination of culture and post-enrichment PCR. Other diagnostic data included virology and bacteriology as well as neutrophil counts, when available. Prevalence of M. equirhinis was examined as a function of a clinical score based on four significant clinical signs (nasal discharge, cough, dyspnoea, and hyperthermia). Multivariate logistic regression analysis was run to identify risk factors for the presence of M. equirhinis, and comparative prevalence analysis was used to test for association with other bacteria and viruses. TW and BAL were analysed independently, as we found that TW samples were associated with a higher prevalence of M. equirhinis. As prevalence remained steady whatever the clinical score, M. equirhinis cannot be considered a primary pathogen. M. equirhinis was more frequently isolated in thoroughbreds and trotters and in horses living exclusively stabled compared to other horses or other living environments. M. equirhinis was never detected in BAL specimens with a ‘normal’ neutrophil count, i.e. 5%, suggesting it could be associated with an inflammatory response, similar to that observed in equine asthma. Prevalence of M. equirhinis was shown to increase in the presence of other bacteria such as Streptococcus equi subsp. zooepidemicus (S. zoo) or viruses, and S. zoo load was higher in M. equirhinis-positive samples, suggesting a potential increase of clinical signs in the event of co-infection. © 2023 Elsevier B.V., All rights reserved.","Clinical Scoring; Horses; Mycoplasma; Respiratory Tract; Article; Asthma; Bacteriology; Coinfection; Controlled Study; Coughing; Dyspnea; Equus; France; Human; Hyperthermia; Lung Lavage; Mycoplasma; Neutrophil Count; Nonhuman; Pathogenicity; Respiratory Tract Disease; Veterinarian; Virology; Animal; Horse; Horse Disease; Microbiology; Polymerase Chain Reaction; Trachea; Veterinary Medicine; Virulence; Virus; Animals; Horse Diseases; Horses; Polymerase Chain Reaction; Respiratory Tract Diseases; Trachea; Virulence; Viruses"
"CD4 is an important host factor for Japanese encephalitis virus entry and replication in PK-15 cells","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177861354&doi=10.1016%2Fj.vetmic.2023.109913&partnerID=40&md5=c2eccc39e7f8a03957bebe3fc0555497","Japanese encephalitis virus (JEV) is a flavivirus that is spread through mosquito bites and is the leading cause of viral encephalitis in Asia. JEV can infect a variety of cell types; however, crucial receptor molecules remain unclear. The purpose of this study was to determine whether porcine CD4 protein is a receptor protein that impacts JEV entry into PK15 cells and subsequent viral replication. We confirmed the interaction between the JEV E protein and the CD4 protein through Co-IP, virus binding and internalization, antibody blocking, and overexpression and created a PK-15 cell line with CD4 gene knockdown by CRISPR/Cas9. The results show that CD4 interacts with JEV E and that CD4 knockdown cells altered virus adsorption and internalization, drastically reducing virus attachment. The level of viral transcription in CD4 antibody-blocked cells, vs. control cells, was decreased by 49.1%. Based on these results, we believe that CD4 is a receptor protein for JEVs. Furthermore, most viral receptors appear to be associated with lipid rafts, and colocalization studies demonstrate the presence of CD4 protein on lipid rafts. RT‒qPCR and WB results show that virus replication was suppressed in PK-15-CD4KD cells. The difference in viral titer between KD and WT PK-15 cells peaked at 24 h, and the viral titer in WT PK-15 cells was 5.6 × 106, whereas in PK-15-CD4KD cells, it was only 1.8 × 106, a 64% drop, demonstrating that CD4 deficiency has an effect on the process of viral replication. These findings suggest that JEV enters porcine kidney cells via lipid raft-colocalized CD4, and the proliferation process is positively correlated with CD4. © 2023 Elsevier B.V., All rights reserved.","Cd4; Japanese Encephalitis Virus (jev); Lipid Raft; Receptor; Receptors, Virus; Blocking Antibody; Cd4 Antibody; Cd4 Antigen; Genomic Dna; Virus Receptor; Animal Cell; Article; Cell Lysate; Cell Surface; Comparative Study; Controlled Study; Crispr-cas9 System; Dna Extraction; Embryo; Expression Vector; Frameshift Mutation; Gene Knockdown; Human; Human Cell; Immunofluorescence Assay; Internalization (cell); Japanese Encephalitis Virus; Lipid Raft; Nonhuman; Pk-15 Cell Line; Protein Expression; Protein Protein Interaction; Real Time Polymerase Chain Reaction; Virus Attachment; Virus Capsid; Virus Entry; Virus Load; Virus Replication; Virus Transcription; Western Blotting; Animal; Asia; Cell Line; Genetics; Japanese Encephalitis; Japanese Encephalitis Virus Group; Pig; Swine Disease; Veterinary Medicine; Animals; Cell Line; Encephalitis Virus, Japanese; Encephalitis, Japanese; Receptors, Virus; Swine; Swine Diseases; Virus Attachment; Virus Replication"
"Transplacental infection by bovine alphaherpesvirus type 1 induces protein expression of COX-2, iNOS and inflammatory cytokines in fetal lungs and placentas","2023","Veterinary Microbiology","10.1016/j.vetmic.2023.109912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176262366&doi=10.1016%2Fj.vetmic.2023.109912&partnerID=40&md5=cd69c62c80aae6528e677c619c5502f6","Bovine alphaherpesvirus type 1 (BoAHV-1) is associated with respiratory and reproductive syndromes. Until present the immunologic mechanisms involved in BoAHV-1 abortion are partially known. We studied key elements of the innate immune response in the placentas and fetal lungs from cattle experimentally-inoculated with BoAHV-1. These tissues were analyzed by histopathology. Furthermore, virus identification was performed by qPCR and the expression of the inflammatory cytokines such as tumor necrosis factor-alpha, interleukin 1-alpha and inflammatory mediators like inducible nitric oxide synthase and cyclooxeganse-2 was evaluated by immunohistochemistry. The viral transplacental infection was confirmed by the detection of BoAHV-1 by qPCR in the placenta and fetal organs, which revealed mild inflammatory lesions. Inducible nitric oxide synthase immunolabelling was high in the lungs of infected fetuses and placentas, as well as for tumor necrosis factor-alpha in the pulmonary parenchyma and cyclooxeganse-2 in fetal annexes. However, the expression of interleukin 1-alpha was weak in these organs. To our knowledge, this is the first study that provides strong evidence of an early immune response to BoAHV-1 infection in the conceptus. Advances in the knowledge of the complex immunological interactions at the feto-maternal unit during BoAHV-1 infection are needed to clarify the pathogenesis of abortion. © 2023 Elsevier B.V., All rights reserved.","Abortion; Alfaherpesvirus; Bovine; Fetal Lung; Histopathology; Immunohistochemistry; Innate Immunity; Placenta; Qpcr; Estradiol Benzoate; Estradiol Cipionate; Inducible Nitric Oxide Synthase; Prostaglandin F2 Alpha Trometamol; Tumor Necrosis Factor Antibody; Cyclooxygenase 2; Cytokines; Interleukin-1; Nitric Oxide Synthase Type Ii; Tumor Necrosis Factor-alpha; 160106; 210 70ibr; 610332; Ahp 852z; Cipiosyn; Lutalyse; P 420a; Eclipse E 200; Epoch Microplate Spectrophotometer; Graph Pad Prism Software Version 7; Rotor Gene Q Software Version 1.7.94.; Rotor Gene Q Thermocycler; Spss V18.0; 160106; 210 70ibr; 610332; Ahp 852z; Antibody; Bovine Alphaherpesvirus Type 1 Antibody; Cipiosyn; Cyclooxygenase 2; Cyclooxygenase 2 Antibody; Estradiol Benzoate; Estradiol Cipionate; Inducible Nitric Oxide Synthase; Inducible Nitric Oxide Synthase Antibody; Interleukin 1alpha; Interleukin 1alpha Antibody; P 420a; Prostaglandin F2 Alpha Trometamol; Tumor Necrosis Factor; Tumor Necrosis Factor Antibody; Unclassified Drug; Cytokine; Interleukin 1; Angus Cattle; Animal Experiment; Animal Model; Animal Tissue; Article; Bovine Alphaherpesvirus Type 1; Bovine Herpesvirus 1; Clinical Evaluation; Disease Severity; Disease Transmission; Experimental Infection; Female; Fetus; Fetus Lung; Fetus Tissue; Herpes Virus Infection; Histopathology; Immunohistochemistry; Inflammation; Innate Immunity; Lung Parenchyma; Maternal Fetal Transmission; Nonhuman; Placenta; Protein Expression; Quantitative Analysis; Real Time Polymerase Chain Reaction; Virus Detection; Virus Identification; Animal; Bovine; Genetics; Lung; Metabolism; Pathology; Pregnancy; Animals; Cattle; Cyclooxygenase 2; Cytokines; Female; Interleukin-1; Lung; Nitric Oxide Synthase Type Ii; Placenta; Pregnancy; Tumor Necrosis Factor-alpha"
