"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Cross-modal contrastive learning for aspect-based recommendation","2023","Information Fusion","10.1016/j.inffus.2023.101858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161989116&doi=10.1016%2fj.inffus.2023.101858&partnerID=40&md5=57ee8dbb6658e2576ea10208cec4fcf3","Knowledge-enhanced recommender systems with aspects have improved recommendation performance by better profiling user preferences. Existing models can be divided into graph-based and text-based depending on the type of external knowledge: knowledge graph and review text. Since each knowledge provides different information from the scope and detail of aspects, it is necessary to integrate them for modeling sophisticated aspect-level preferences. However, it is difficult to directly fuse the aspects defined on two types of knowledge because they are expressed in different latent spaces. To tackle this problem, we explore self-supervised learning on multi-modal data. Specifically, we propose a novel model called COntrastive learning with croSs-MOdal aSpects (COSMOS). To take the data imbalance between knowledge graph and review texts into consideration, we devise a cross-modal contrastive learning scheme, which generates multiple views of a user or an item based on inter-modal correlation. With the correlation between aspects, COSMOS captures the inherent dependency between graph and text data. The fine-grained aspect-level preference, which contains salient features (from review text) as well as general ones (from knowledge graph), leads to providing high-quality recommendation results, even if a user only has one of the two data. Experimental results on two datasets show that COSMOS outperforms state-of-the-art recommender systems. © 2023 Elsevier B.V.","Aspect-based recommendation; Graph neural networks; Knowledge graph; Self-supervised learning"
"Cross-directional consistency network with adaptive layer normalization for multi-spectral vehicle re-identification and a high-quality benchmark","2023","Information Fusion","10.1016/j.inffus.2023.101901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166474482&doi=10.1016%2fj.inffus.2023.101901&partnerID=40&md5=c49ccefd6fbf937389e29a71150e6362","To tackle the challenge of vehicle re-identification (Re-ID) in complex lighting environments and diverse scenes, multi-spectral sources like visible and infrared information are taken into consideration due to their excellent complementary advantages. However, multi-spectral vehicle Re-ID suffers cross-modality discrepancy caused by heterogeneous properties of different modalities as well as a big challenge of the diverse appearance with different views in each identity. Meanwhile, diverse environmental interference leads to heavy sample distributional discrepancy in each modality. In this work, we propose a novel cross-directional consistency network (CCNet) to simultaneously overcome the discrepancies from both modality and sample aspects. In particular, we design a new cross-directional center loss (Lcdc) to pull the modality centers of each identity close to mitigate cross-modality discrepancy, while the sample centers of each identity close to alleviate the sample discrepancy. Such a strategy can generate discriminative multi-spectral feature representations for vehicle Re-ID. In addition, we design an adaptive layer normalization unit (ALNU) to dynamically adjust individual feature distribution to handle distributional discrepancy of intra-modality features for robust learning. To provide a comprehensive evaluation platform, we create a high-quality RGB-NIR-TIR multi-spectral vehicle Re-ID benchmark (MSVR310), including 310 different vehicles from a broad range of viewpoints, time spans and environmental complexities. Comprehensive experiments on both created and public datasets demonstrate the effectiveness of the proposed approach comparing to the state-of-the-art methods. The dataset and code will be released for free academic usage at https://github.com/superlollipop123/Cross-directional-Center-Network-and-MSVR310. © 2023 Elsevier B.V.","Benchmark dataset; Cross-directional center consistency; Layer normalization; Multi-spectral representation; Vehicle Re-ID"
"Enhancing social network hate detection using back translation and GPT-3 augmentations during training and test-time","2023","Information Fusion","10.1016/j.inffus.2023.101887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162149978&doi=10.1016%2fj.inffus.2023.101887&partnerID=40&md5=5115749deef0b9b084598acd41f2e050","Social media platforms have become an essential means of communication, but they also serve as a breeding ground for hateful content. Detecting hate speech accurately is challenging due to factors such as slang and implicit hate speech. In response to these challenges, this paper presents a novel ensemble approach utilizing DeBERTa models, integrating back-translation and GPT-3 augmentation techniques during both training and test time. This method aims to address the complexities associated with detecting hate speech, resulting in more robust and accurate results. Our findings indicate that the proposed approach significantly enhances hate speech detection performance across various metrics and models in both the Parler and GAB datasets. For reproducibility and further exploration, our code is publicly available at https://github.com/OrKatz7/parler-hate-speech. © 2023 Elsevier B.V.","Back-translation; GPT; Hate-detection; TTA"
"Parker: Data fusion through consistent repairs using edit rules under partial keys","2023","Information Fusion","10.1016/j.inffus.2023.101942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167791498&doi=10.1016%2fj.inffus.2023.101942&partnerID=40&md5=7de74fa449c47d8c685697f3a544777c","Data integration is the problem of consolidating information provided by multiple sources. After schema mapping and duplicate detection have been dealt with, the problem consists in fusing disparate data that comes from the sources. In this work, we treat this problem as a data cleaning problem where consistency within and between sources is modelled by respectively edit rules and a partial key. The combination of these constraints leads to the definition of edit rules under a partial key (EPKs). We show that we can adapt the well-known set cover method for edit rules to the setting of EPKs and this yields an efficient algorithm to find minimal-cost repairs. These repairs then provide solutions for the initial data fusion problem. The methodology is implemented in a repair engine called Parker. Empirical results show that Parker is several orders of magnitude faster than state-of-the-art repair tools. At the same time, the quality of the repairs in terms of F1-score ranges from comparable to better compared to these tools. © 2023 Elsevier B.V.","Data fusion; Data quality; Edit rules; Functional dependencies; Key constraints"
"Deep adversarial autoencoder recommendation algorithm based on group influence","2023","Information Fusion","10.1016/j.inffus.2023.101903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164667262&doi=10.1016%2fj.inffus.2023.101903&partnerID=40&md5=77c5ae11b3097bace0f0a310612444a9","Recommender systems are crucial in the big data era, effectively mitigating information overload. Existing recommendation methods are limited on highly sparse data and have mediocre recall performance. Group influence aggregates knowledge from different users or organizations to generate decisions, improving information fusion efficiency and group decision-making quality. In this paper, a group influence-based deep adversarial autoencoder (GI-AAE), is proposed for top-N recommendation. It leverages group influence to strengthen autoencoder latent features and address sparse data and uses adversarial learning from GANs to enhance reconstruction. The group influence based deep autoencoder (GI-AE) is the generative model for the GI-AAE. Experimental results show that the proposed algorithm is competitive and gets higher recall values. © 2023 Elsevier B.V.","Autoencoder; Deep learning; Group decision-making; Group influence; Recommender system"
"Generalizing max pooling via (a,b)-grouping functions for Convolutional Neural Networks","2023","Information Fusion","10.1016/j.inffus.2023.101893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162972847&doi=10.1016%2fj.inffus.2023.101893&partnerID=40&md5=ee046759e0034bb78c085262796c13f5","Due to their high adaptability to varied settings and effective optimization algorithm, Convolutional Neural Networks (CNNs) have set the state-of-the-art on image processing jobs for the previous decade. CNNs work in a sequential fashion, alternating between extracting significant features from an input image and aggregating these features locally through “pooling” functions, in order to produce a more compact representation. Functions like the arithmetic mean or, more typically, the maximum are commonly used to perform this downsampling operation. Despite the fact that many studies have been devoted to the development of alternative pooling algorithms, in practice, “max-pooling” still equals or exceeds most of these possibilities, and has become the standard for CNN construction. In this paper we focus on the properties that make the maximum such an efficient solution in the context of CNN feature downsampling and propose its replacement by grouping functions, a family of functions that share those desirable properties. In order to adapt these functions to the context of CNNs, we present (a,b)-grouping functions, an extension of grouping functions to work with real valued data. We present different construction methods for (a,b)-grouping functions, and demonstrate their empirical applicability for replacing max-pooling by using them to replace the pooling function of many well-known CNN architectures, finding promising results. © 2023 The Author(s)","Convolutional neural networks; Grouping functions; Image classification; Pooling functions"
"Integrating the traffic science with representation learning for city-wide network congestion prediction","2023","Information Fusion","10.1016/j.inffus.2023.101837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161694368&doi=10.1016%2fj.inffus.2023.101837&partnerID=40&md5=5d7b1e9f514cf5baecd9fa40b0abac83","Recent studies on traffic congestion prediction have paved a promising path towards the reduction of potential economic and environmental loss. However, at the city-wide scale, current approaches face substantial hurdles, such as being unable to support the multiple sensors modalities, insufficient congestion fluctuation and propagation modeling, and weak generalization to heterogeneous traffic network structures. To address these pitfalls, this paper investigates how to integrate the missing urban science domain priors into a general sequential prediction model, and proposes the customized Traffic-informed Transformer (TinT). To prevent receptive field bias, a novel mixture of long and short range information routing mechanism is proposed with the traffic-informed tokenization. To capture the unbalanced traffic flow propagation, an original anisotropic graph aggregation is developed to differentiate the traffic fluctuation based on orientations. Extensive results demonstrated TinT's outstanding performance over other twelve state-of-the-art models and its broad applicability to multiple data modalities in six well-known cities throughout the world. We released our implementations at: https://github.com/VITA-Group/TinT. © 2023 Elsevier B.V.","Cyber–physcial system; Representation learning; Traffic prediction; Transformer"
"Heterogeneous and clustering-enhanced personalized preference transfer for cross-domain recommendation","2023","Information Fusion","10.1016/j.inffus.2023.101892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164026192&doi=10.1016%2fj.inffus.2023.101892&partnerID=40&md5=701da2ae137f0e798bff029615f85baa","As a promising solution to alleviate the critical cold-start problem in recommendation systems, Cross-Domain Recommendation (CDR) aims to transfer users’ preferences from the source domain to the target domain. However, the negligence of semantic differences of heterogeneous relations when modeling user preferences and the non-consideration of a user's common characteristics inferred from similar users when transferring the user's preferences make recent CDR works cannot well handle the two core issues of CDR—‘what to transfer’ and ‘how to transfer’. To this end, we propose a novel heterogeneous and clustering-enhanced user preference transfer model for CDR (named HCCDR). To well address the first issue, the heterogeneous latent factor modeling component is firstly built to compute high-quality representations of users and items to be transferred based on the heterogeneous relations among users and items. Note that the heterogeneous relations with different semantics are processed with different models. Then, the clustering-enhanced preference transfer component well addresses the second issue by learning an effective personalized preference transfer function between two domains for a user, where the individual and common characteristics of the user are concurrently considered. Finally, the personalized recommendation component achieves the personalized recommendation in the target domain based on the transferred user embeddings calculated via the learned personalized preference transfer functions. Experimental results performed on large public datasets demonstrate that the proposed HCCDR markedly outperforms all baselines. In particular, HCCDR gains a maximum performance improvement of 12.69% (or 8.99%) for RMSE (or MAE) compared with the best baseline. © 2023 Elsevier B.V.","Cross-domain recommendation; Graph representation learning; Heterogeneous information networks; Soft clustering; User cold-start problem"
"ENCODE - Ensemble neural combination for optimal dimensionality encoding in time-series forecasting","2023","Information Fusion","10.1016/j.inffus.2023.101918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165390632&doi=10.1016%2fj.inffus.2023.101918&partnerID=40&md5=7b14d141ded3b8261d109e2545f8380a","Nowadays, predictive models based on a time series are widely used in many fields, from geology to healthcare and from traffic management to industrial production. One of the most important tasks in machine and deep learning is designing predictive algorithms that provide increasingly reliable and accurate forecasts from a time series. This work proposes a novel ensemble approach to producing predictions in a multivariate framework. Its main idea is to reduce data dimensionality through an encoding technique, with the aim to extract useful information via single predictive procedures and then to gather all the processed data through a combiner to give the final forecast. In our framework, the combiner is composed of a hybrid neural architecture: a Convolutional Neural Network to extract local patterns from the predictions and a Recurrent Neural Network to infer information about the temporal patterns of the time series. Furthermore, a fully connected network is adopted to merge these two components and to provide the prediction. Extensive experiments on different datasets, both public and private, related to different applications have been carried out. Comparisons of the errors with conventional methods and state-of-the-art strategies confirm both accuracy and robustness of the proposed ensemble. Finally, we also show a comparison in terms of computational time, both in the hyperparameter optimization and forecasting tasks. © 2023","Deep learning; Ensemble learning; Machine learning; Multivariate prediction; Time-series forecasting"
"The robust maximum expert consensus model with risk aversion","2023","Information Fusion","10.1016/j.inffus.2023.101866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161268724&doi=10.1016%2fj.inffus.2023.101866&partnerID=40&md5=2cf37e0c667e2e2fd23a7e09410263e1","The maximum expert consensus model (MECM) is an effective model for achieving consensus during the consensus reaching process (CRP) in group decision making (GDM). However, previous literature on MECM has focused only on the resources in CRP and ignored the uncertainty and the risks resulting from the unpredictable decision environment. To address these issues, this paper constructs novel MECMs that can handle both the uncertainty and risks emerging in the CRP. First, the risk maximum expert consensus model (RMECM) is proposed based on the mean-variance (MV) theory. Then, the novel robust risk maximum expert consensus model (R-RMECM) is developed to address the uncertainty caused by the estimation error of the mean and covariance matrix of unit adjustment cost. Additionally, the R-RMECMs are developed under three uncertain scenarios to comprehensively make the models closer to the real decision environment. Finally, the proposed models are verified by applying them to a specific example of the new energy vehicle subsidy policy negotiation and the sensitivity analysis is also conducted. © 2023 Elsevier B.V.","Group decision making; Maximum expert consensus; Mean-variance; Robust optimization; Uncertainty set"
