"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"PAGroup: Privacy-aware grouping framework for high-performance federated learning","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2022.12.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146431077&doi=10.1016%2fj.jpdc.2022.12.011&partnerID=40&md5=d729e6cbda135a68e8722ef1494302d6","Federated Learning is designed for multiple mobile devices to collaboratively train an artificial intelligence model while preserving data privacy. Instead of collecting the raw training data from mobile devices to the cloud, Federated Learning coordinates a group of devices to train a shared model in a distributed manner with the training data located on the devices. However, unbalanced data distribution and heterogeneous hardware configurations across different devices badly hurts the performance of collaborative model and severely impacts the overall training progress. Thus, a framework that can well balance the model accuracy and the training progress is urgently required. In this paper, we propose PAGroup, a privacy-aware grouping framework for high-performance Federated Learning. PAGroup intelligently divides the participating clients into different groups through carefully analyzing the privacy requirement of the training data and the solid social relationship of the participating clients. After that, PAGroup conducts data shaping and capability-ware training in order to improve the model performance while accelerating the overall training process. We evaluate the performance of PAGroup with both simulation and hardware testbed. The evaluation results show that PAGroup improves model accuracy up to 21%. Meanwhile, it decreases 81% communication overhead, 29% computation cost and 84% wall-clock time at best comparing with the baselines. © 2023 Elsevier Inc.","Client grouping; Federated learning; Social relationship"
"A parallel algorithm for approximating the silhouette using a ball tree","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2022.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142807629&doi=10.1016%2fj.jpdc.2022.11.001&partnerID=40&md5=c4bd0f490f6fe16d94e40a15bf58af05","Clustering is widely used in many scientific fields. The contribution of enumerating the value of the silhouette is twofold: firstly it can help choosing a suitable cluster count and secondly it can be used to evaluate the quality of a clustering. Enumerating the silhouette exactly is an extremely time-consuming task, especially in big data applications; it is therefore common to approximate its value. This article presents an efficient shared-memory parallel algorithm for approximating the silhouette, which uses a ball tree. The process of initialising the ball tree and enumerating the silhouette are fully parallelised using the OpenMP API. The results of our experiments show that the proposed parallel algorithm substantially increases the speed of computing the silhouette whilst retaining necessary precision for real-world applications. © 2022 Elsevier Inc.","Ball tree; Data mining; High-performance computing; k-means clustering; Silhouette"
"TurBO: A cost-efficient configuration-based auto-tuning approach for cluster-based big data frameworks","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2023.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150353543&doi=10.1016%2fj.jpdc.2023.03.002&partnerID=40&md5=e2985af21f5d0b21ccad543848ed6916","Big data processing frameworks such as Spark usually provide a large number of performance-related configuration parameters, how to auto-tune these parameters for a better performance has been a hot issue in academia as well as industry for years. Through delicately tradeoff between exploration and exploitation, Bayesian Optimization (BO) is currently the most appealing algorithm to achieve configuration auto-tuning. However, considering the tuning cost constraint in practice, there are three critical limitations preventing conventional BO-based approaches from being directly applied into auto-tuning cluster-based big data frameworks. In this paper, we propose a cost-efficient configuration auto-tuning approach named TurBO for big data frameworks based on two enhancements of vanilla BO:1) To reduce the essential iteration times, TurBO integrates a well-designed adaptive pseudo point mechanism with BO; 2) To avoid the time-consuming practical evaluation of sub-optimal configurations as possible, TurBO leverages the proposed CASampling method to intelligently tackle with these sub-optimal configurations based on ensemble learning with historical tuning experiences. To evaluate the performance of TurBO, we conducted a series of experiments on a local Spark cluster with 9 different HiBench benchmark applications. Overall, compared with 3 representative BO-based baseline approaches OpenTuner, Bliss and ResTune, TurBO is able to speedup the tuning procedures respectively by 2.24×, 2.29× and 1.97× on average. Besides, TurBO can always achieve a positive cumulative performance gain under the simulated dynamic workload scenario, which means TurBO is indeed appropriate for workload changes of big data applications. © 2023 Elsevier Inc.","Bayesian optimization; Big data framework; Configuration parameter; Pseudo point; Tuning cost"
"A multi-objective cloud energy optimizer algorithm for federated environments","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2022.12.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145646090&doi=10.1016%2fj.jpdc.2022.12.007&partnerID=40&md5=f7e78e2792c8b1ff9527c4b890561b3e","Energy is a considerable portion of the cost of a cloud data center. In addition to energy, carbon emission tax imposes another cost on data centers, which have different policies in different cities around the world. Most of the cloud data centers are geographically distributed, which can have a huge advantage in reducing such costs. In addition, in recent years, cloud federation, in which multiple cloud providers share their IT infrastructures voluntarily, could play a crucial role in minimizing the energy consumption of cloud data centers. On the other hand, improper VM placement results frequent VM migration, constant turning off/on physical machines, service quality degradation and energy consumption increase. To tackle these weaknesses, we propose a multi-objective algorithm, Called OUR-ACS, to minimize data centers' energy consumption, carbon emission, and the total expenses (energy cost + carbon tax) in a federated environment considering both initial VM placement and VM consolidation approaches. We evaluate the efficiency of our proposed algorithm by using the ClousSim Plus simulator toolkit using real-world datasets. Compared to the competing algorithms, our simulation results indicate that our proposed algorithm could reduce the total energy consumption, carbon emission, and the total costs of multiple cloud data centers by an average of 37.6%, 41%, and 25%, respectively, in a federated environment. © 2022 Elsevier Inc.","Ant colony system (ACS); Cloud computing; Cloud federation; Energy consumption; Virtual machine placement (VMP)"
"Energy allocation and task scheduling in edge devices based on forecast solar energy with meteorological information","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2023.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151301636&doi=10.1016%2fj.jpdc.2023.03.005&partnerID=40&md5=8899654eb6572d9ab647bdcaece9fe68","Offloading tasks from edge devices to the cloud is an important method to enhance the performance of the edge device. With the help of EH (Energy Harvesting) technology, the edge device can use the collected green energy to support its operations. Most offloading scheduling methods use as much green energy as the edge device collected. Unlike prior research, we consider the long-term benefits of energy. In this paper, we forecast the solar energy supply with meteorological methods which are based on the weather forecast data. Then, we use quadratic programming to allocate energy based on the forecast energy to maximize energy efficiency. Finally, we use NSGA (Non-dominated Sorting Genetic Algorithms) to offload tasks in the edge device. Simulations show that our proposed method not only minimizes the execution time and the energy consumption of clouds, but also enhances the QoE of users. © 2023 Elsevier Inc.","Edge device; NGSA; Offloading task; Weather forecast"
"On the impact of mode transition on phased transactional memory performance","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2022.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145558234&doi=10.1016%2fj.jpdc.2022.11.009&partnerID=40&md5=da387efdbfdf55edeca4588e68e96879","Several transactional memory implementations that employ state-of-the-art software and hardware techniques to deliver performance have been investigated in the last decade. Phased-based Transactional Memory (PhTM) systems run transactions in phases, such that all transactions in a phase execute in the same (hardware/software) mode. In PhTM, a runtime monitors the execution and decides when to change all transactions to another execution mode. Identifying the right moment to perform a mode transition is a central problem to achieve performance in PhTM systems. This article analyzes PhTM and provides a characterization of mode transitions and their impact on performance. We consider three PhTM implementations: (i) PhTM*, the first phased-based TM designed; (ii) Commit Throughput Measurement (CTM), a general-purpose runtime; and (iii) GoTM, a Graph-oriented runtime. We conduct a performance analysis to identify the drawbacks and benefits of each PhTM implementation with respect to their associated parameters. Results with speedups of up to 10× over the sequential baseline for CTM show that this mechanism generally shows better performance for a diverse set of applications. © 2022 Elsevier Inc.","Hardware transactional memory; Software transactional memory"
"Improving concurrency and memory usage in distributed operating systems for lightweight manycores via cooperative time-sharing lightweight tasks","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2022.12.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144020121&doi=10.1016%2fj.jpdc.2022.12.006&partnerID=40&md5=e140e293732cbb5523df54be1d8d5b1d","Lightweight manycore processors arise to reconcile performance, energy efficiency, and scalability requirements on a single chip. Operating Systems (OSes) for these processors feature a distributed design, where isolated OS instances cooperate to mitigate programmability and portability issues coming from their architectural intricacies. Currently, OS services often resort to traditional execution flow abstractions (processes or threads) to implement small, periodic, or asynchronous functionalities. Although these abstractions considerably simplify the system design, they have a non-negotiable impact on the limited on-chip memories. Due to the memory restrictions, we argue that OS-level abstractions can be reshaped to reduce the OS memory footprint without introducing considerable overhead. In this context, we propose a complementary OS-level execution engine that supports cooperative time-sharing lightweight tasks that share a unique execution stack and features task synchronization via control flow and dependency graphs. This solution is orthogonal to the underlying execution support and provides numerous OS-level execution flows with reduced memory consumption. We implemented our engine in a distributed OS and executed experiments on a lightweight manycore. Our results show that it has the following advantages when compared to the classical thread abstraction: (i) it provides 63.2× more execution flows per MB of memory; (ii) it features less overhead to manage execution flows and system calls; (iii) it improves core utilization; and (iv) it exhibits competitive results on real-world applications. © 2022 Elsevier Inc.","Asymmetric microkernel; Distributed operating systems; Lightweight manycores; Memory constraints"
"SECDA-TFLite: A toolkit for efficient development of FPGA-based DNN accelerators for edge inference","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2022.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143630317&doi=10.1016%2fj.jpdc.2022.11.005&partnerID=40&md5=a035f68ce5976eead29ebba802ce5cf2","In this paper we propose SECDA-TFLite, a new open source toolkit for developing DNN hardware accelerators integrated within the TFLite framework. The toolkit leverages the principles of SECDA, a hardware/software co-design methodology, to reduce the design time of optimized DNN inference accelerators on edge devices with FPGAs. With SECDA-TFLite, we reduce the initial setup costs associated with integrating a new accelerator design within a target DNN framework, allowing developers to focus on the design. SECDA-TFLite also includes modules for cost-effective SystemC simulation, profiling, and AXI-based data communication. As a case study, we use SECDA-TFLite to develop and evaluate three accelerator designs across seven common CNN models and two BERT-based models against an ARM A9 CPU-only baseline, achieving an average performance speedup across models of up to 3.4× for the CNN models and of up to 2.5× for the BERT-based models. Our code is available at https://github.com/gicLAB/SECDA-TFLite. © 2022 The Authors","Design methodology; DNN accelerator design; Hardware-software co-design; HLS; Simulation; SystemC"
"Distributed approximate minimal Steiner trees with millions of seed vertices on billion-edge graphs","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2023.104717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164241756&doi=10.1016%2fj.jpdc.2023.104717&partnerID=40&md5=104c690d618a64c05f45a73b484fa25f","In this paper, we present a parallel 2-approximation Steiner minimal tree algorithm and its MPI-based distributed implementation. In place of expensive distance computations between all pairs of seed vertices, the solution we employ exploits a cheaper Voronoi cell computation. Our design leverages asynchronous processing and message prioritization to accelerate convergence of distance computations, and harnesses vertex and edge centric processing to offer fast time-to-solution. We demonstrate scalability and performance using real-world graphs with up to 128 billion edges and 512 compute nodes, and show the ability to find Steiner trees with up to one million seed vertices. Using 12 data instances, we present comparison with the state-of-the-art exact solver, SCIP-Jack, and two sequential 2-approximate algorithms. We empirically show that, on average, the total distance of the Steiner tree identified by our solution is 1.1290 times greater than the Steiner minimal tree – well within the theoretical approximation bound of 2. © 2023 Elsevier Inc.","Asynchronous processing; Distributed computing; Graph algorithm; hpc; Steiner tree"
"Effective switchless inter-FPGA memory networks","2023","Journal of Parallel and Distributed Computing","10.1016/j.jpdc.2023.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160320978&doi=10.1016%2fj.jpdc.2023.05.002&partnerID=40&md5=4d445ad7946b2055416b16848a888bfd","FPGA network bandwidth increases to 400 Gbps or higher by high-density optical integration, e.g., Co-Packaged Optics (CPO) and onboard Si-photonics transceivers. This study presents its lightweight switchless network architecture by exploiting an indirect path, consisting of up to k one-hop paths for a diameter-k network topology. It integrates interconnection network and memory channels into a lightweight memory-to-memory inter-FPGA network. It has a uni-directional network topology for connecting the largest number of FPGAs. A newly introduced indirect flow control enables lossless uni-directional networks. We present multi-path point-to-point communications, multi-port message-combine collective communications, and efficient WDM (Wavelength Division Multiplexing) cabling method for the uni-directional networks. We implement and evaluate the uni-directional switchless network on an FPGA cluster consisting of six custom Stratix10 MX2100 FPGA cards connected with a 16-wavelength Arrayed Waveguide Grating (AWG) router. Simulation results show that the multi-port message-combine collective communication achieves 7× faster than conventional communication with 272 FPGAs. Effective WDM cabling using 16 wavelengths decreases the number of cables by 88% compared with parallel optical cabling for 272 FPGAs. © 2023 Elsevier Inc.","Collective communication; Field-programmable gate array (FPGA); Interconnection network; Uni-directional network topology; Wavelength division multiplexing (WDM)"
