"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Empirical analysis of security-related code reviews in npm packages","2023","Journal of Systems and Software","10.1016/j.jss.2023.111752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163308334&doi=10.1016%2fj.jss.2023.111752&partnerID=40&md5=56348d189f61596194c48ce2e0465768","Security issues are a major concern in software packages and their impact can be detrimental if exploited. Modern code review is a widely-used practice that project maintainers adopt to improve the quality of contributed code. Prior work has shown that code review has an important role in improving software quality, however, in-depth analyses on code review in relation to security issues are limited. Therefore, in this paper, we aim to explore the role of code review in finding and mitigating security issues. In particular, we investigate active and popular npm packages to understand what types of security issues are raised during code review, and what kind of mitigation strategies are employed by package maintainers to address them. With pull requests (PRs) being the medium of code review under study, we analyze 171 PRs with raised security issues. We find that such issues are discussed at length by package maintainers. Moreover, we find that code review is effective at identifying certain types of security concerns, e.g., Race Condition, Access Control, and ReDOS, as dealing with such issues requires in-depth knowledge of the project domain and implementation specifics. Interestingly, we also observe that some projects have automated tools integrated in the project development cycle, which enhances the identification of frequent cases of certain security issues. When analyzing how maintainers respond to the raised security issues, we find that most of the issues (55%) are frequently addressed and mitigated. In other cases, security concerns ended up not being fixed or are ignored by project maintainers. Leveraging our findings, we offer several implications for project maintainers to support the role of reviewing code in finding and fixing security concerns. © 2023 Elsevier Inc.","Code review; Open source software; Security; Third-party package"
"Study the correlation between the readme file of GitHub projects and their popularity","2023","Journal of Systems and Software","10.1016/j.jss.2023.111806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165923275&doi=10.1016%2fj.jss.2023.111806&partnerID=40&md5=7010b3d76320dd41af8a4a987a53c9d7","A readme file plays an important role in a GitHub repository to provide a starting point for developers to reuse and make contributions. A good readme could provide sufficient information for users to learn and start a GitHub repository and might be correlated to the popularity of a repository. Given the importance of the role that a readme file plays, we aim to study to understand the correlation between the readme file of GitHub repositories and their popularity. We analyze readme files of 5,000 GitHub repositories across more than 20 languages. We study the relationship between readme file related factors and the popularity of GitHub repositories. We observe that: (1) Most of the studied readme file related factors (e.g., the number of lists, the number and frequency of updates on the readme file) are statistically significantly different between popular and non-popular repositories with non-negligible effect size. (2) After controlling repository-specific factors (e.g., repository topics and license information), the number of lists and the frequency of updates are the most significantly important factors that discriminate between popular and non-popular repositories. (3) The most of updates were made to update references in popular repositories, while in non-popular repositories most updates are for the content of how to use the repository. Editor's note: Open Science material was validated by the Journal of Systems and Software Open Science Board. © 2023 Elsevier Inc.","Documentation; Github; Random forest; Readme file"
"A comprehensive evaluation of SZZ Variants through a developer-informed oracle","2023","Journal of Systems and Software","10.1016/j.jss.2023.111729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159063717&doi=10.1016%2fj.jss.2023.111729&partnerID=40&md5=2b6be7305a35ff2e53197a50dabb2ed2","Automatically linking bug-fixing changes to bug-inducing ones (BICs) is one of the key data-extraction steps behind several empirical studies in software engineering. The SZZ algorithm is the de facto standard to achieve this goal, with several improvements proposed over time. Evaluating the performance of SZZ implementations is, however, far from trivial. In previous works, researchers (i) manually assessed whether the BICs identified by the SZZ implementation were correct or not, or (ii) defined oracles in which they manually determined BICs from bug-fixing commits. However, ideally, the original developers should be involved in defining a labeled dataset to evaluate SZZ implementations. We propose a methodology to define a “developer-informed” oracle for evaluating SZZ implementations, without requiring a manual inspection from the original developers. We use Natural Language Processing (NLP) to identify bug-fixing commits in which developers explicitly reference the commit(s) that introduced the fixed bug. We use the built oracle to extensively evaluate existing SZZ variants defined in the literature. We also introduce and evaluate two new variants aimed at addressing two weaknesses we observed in state-of-the-art implementations (i.e., processing added lines and handling of revert commits). © 2023 Elsevier Inc.","Defect prediction; Empirical study; SZZ"
"A hybrid grey wolf optimizer using opposition-based learning, sine cosine algorithm and reinforcement learning for reliable scheduling and resource allocation","2023","Journal of Systems and Software","10.1016/j.jss.2023.111801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166227482&doi=10.1016%2fj.jss.2023.111801&partnerID=40&md5=e01f0109c9bb77785ae5b4973761aecc","As the number of space debris in geosynchronous Earth orbits continues to grow, the threat posed by space debris to satellites surveillance is increasing, and the available orbital resources are also decreasing. Thus, reasonably scheduling and allocating the resources for space object tracking has become vital. This paper establishes an optimization model for the resource allocation and scheduling problem for space debris tracking. A fusion algorithm that combines the grey wolf optimizer, opposition-based learning, sine cosine search strategy, and reinforcement learning was proposed and used to solve the problem. Six groups of realistic data were selected based on the relevant background information of space debris tracking to test the validity and effectiveness of the proposed algorithm. The performance of the state-of-the-art optimization algorithms was compared with that of the proposed algorithms. The result of the experiment indicates that the proposed algorithm effectively solves the resource allocation and scheduling problem for space debris tracking. © 2023 Elsevier Inc.","Grey wolf optimizer; Optimized scheduling; Reinforcement learning; Resource allocation; Space debris tracking"
"On the relation of method popularity to breaking changes in the Maven ecosystem","2023","Journal of Systems and Software","10.1016/j.jss.2023.111738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160015773&doi=10.1016%2fj.jss.2023.111738&partnerID=40&md5=6ff3fe1e0ec1cd4e68435cf2fb7f6ca1","Software reuse is a common practice in modern software engineering to save time and energy while accelerating software delivery. Dependency managers like MAVEN offer a large ecosystem of reusable libraries that build the backbone of software reuse. Breaking changes, i.e., when an update to a library introduces incompatible changes that break existing client programs, are troublesome barriers to this library reuse. Semantic Versioning has been proposed as a practice to make it easier for the users to find safe updates by encoding the change impact in the version number. While this practice is widely studied from the framework perspective, no detailed insights exist yet into the ecosystem perspective. In this work, we study violations of semantic versioning in the MAVEN ecosystem for 13,876 versions of 384 artifacts to better understand the impact these violations have on the 7,190 dependent versioned packages. We found that 67% of the artifacts introduce at least one type of semantic versioning violation, either a breaking change or an illegal API extension in their history. An impact analysis on breaking methods that (direct or transitive) dependents reference, revealed strong centralization: 87% of publicly accessible methods are never used by dependents and among methods with at least one usage, half of the unique calls from dependents concentrate on only 35% of the defined methods. We also studied method popularity and could not find an indication that popularity affects stability: even popular methods break frequently. Overall, we confirm the previous result that Semantic Versioning is violated repeatedly in practice. Our results suggest that the frequency of breaking changes might be a sign of insufficient change-impact awareness on the ecosystem and we believe that developers require more adequate information, like method popularity, to improve their update strategies. © 2023 The Author(s)","API evolution; Breaking changes; Compatibility; Maven Central; Method popularity; Semantic versioning"
"Studying the association between Gitcoin's issues and resolving outcomes","2023","Journal of Systems and Software","10.1016/j.jss.2023.111835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171843513&doi=10.1016%2fj.jss.2023.111835&partnerID=40&md5=e6f3f62f381539f11100a4af04c543f0","The development of open-source software (OSS) projects usually have been driven through collaborations among contributors and strongly relies on volunteering. Thus, allocating software practitioners (e.g., contributors) to a particular task is non-trivial and draws attention away from the development. Therefore, a number of bug bounty platforms have emerged to address this problem through bounty rewards. Especially, Gitcoin, a new bounty platform, introduces a bounty reward mechanism that allows individual issue owners (backers) to define a reward value using cryptocurrencies rather than using crowdfunding mechanisms. Although a number of studies have investigated the phenomenon on bounty platforms, those rely on different bounty reward systems. Our study thus investigates the association between the Gitcoin bounties and their outcomes (i.e., success and non-success). We empirically study over 4,000 issues with Gitcoin bounties using statistical analysis and machine learning techniques. We also conducted a comparative study with the Bountysource platform to gain insights into the usage of both platforms. Our study highlights the importance of factors such as the length of the project, issue description, type of bounty issue, and the bounty value, which are found to be highly correlated with the outcome of bounty issues. These findings can provide useful guidance to practitioners. Editor's note: Open Science material was validated by the Journal of Systems and Software Open Science Board. © 2023 Elsevier Inc.","Bounty platform; Issue-addressing outcome; Open source software development"
"How do microservices evolve? An empirical analysis of changes in open-source microservice repositories","2023","Journal of Systems and Software","10.1016/j.jss.2023.111788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163866409&doi=10.1016%2fj.jss.2023.111788&partnerID=40&md5=ebfcf31cec6013cc0427f7f2024da945","Context.: Microservice architectures are an emergent service-oriented paradigm widely used in industry to develop and deploy scalable software systems. The underlying idea is to design highly independent services that implement small units of functionality and can interact with each other through lightweight interfaces. Objective.: Even though microservices are often used with success, their design and maintenance pose novel challenges to software engineers. In particular, it is questionable whether the intended independence of microservices can actually be achieved in practice. Method.: So, it is important to understand how and why microservices evolve during a system's life-cycle, for instance, to scope refactorings and improvements of a system's architecture or to develop supporting tools. To provide insights into how microservices evolve, we report a large-scale empirical study on the (co-)evolution of microservices in 11 open-source systems, involving quantitative and qualitative analyses of 7,319 commits. Findings.: Our quantitative results show that there are recurring patterns of (co-)evolution across all systems, for instance, “shotgun surgery” commits and microservices that are largely independent, evolve in tuples, or are evolved in almost all changes. We refine our results by analyzing service-evolving commits qualitatively to explore the (in-)dependence of microservices and the causes for their specific evolution. Conclusion.: The contributions in this article provide an understanding for practitioners and researchers on how microservices evolve in what way, and how microservice-based systems may be improved. © 2023 The Author(s)","Microservices; Mining software repositories; Service-oriented architecture; Software architecture; Software evolution"
"Sentiment overflow in the testing stack: Analyzing software testing posts on Stack Overflow","2023","Journal of Systems and Software","10.1016/j.jss.2023.111804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166229419&doi=10.1016%2fj.jss.2023.111804&partnerID=40&md5=e8285035de9eb4eadb3627db61abc8f3","Software testing is an integral part of modern software engineering practice. Past research has not only underlined its significance, but also revealed its multi-faceted nature. The practice of software testing and its adoption is influenced by many factors that go beyond tools or technology. This paper sets out to investigate the context of software testing from the practitioners’ point of view by mining and analyzing sentimental posts on the widely used question and answer website Stack Overflow. By qualitatively analyzing sentimental expressions of practitioners, which we extract from the Stack Overflow dataset using sentiment analysis tools, we discern factors that help us to better understand the lived experience of software engineers with regards to software testing. Grounded in the data that we have analyzed, we argue that sentiments like insecurity, despair and aspiration, have an impact on practitioners’ attitude towards testing. We suggest that they are connected to concrete factors like the level of complexity of projects in which software testing is practiced. Editor's note: Open Science material was validated by the Journal of Systems and Software Open Science Board. © 2023 The Author(s)","Grounded theory; Sentiment analysis; Software testing; Stack Overflow"
"Deep learning with class-level abstract syntax tree and code histories for detecting code modification requirements","2023","Journal of Systems and Software","10.1016/j.jss.2023.111851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172183926&doi=10.1016%2fj.jss.2023.111851&partnerID=40&md5=f1f52cdab48b52afce74996ab966039c","Improving code quality is one of the most significant issues in the software industry. Deep learning is an emerging area of research for detecting code smells and addressing refactoring requirements. The aim of this study is to develop a deep learning-based system for code modification analysis to predict the locations and types of code modifications, while significantly reducing the need for manual labeling. We created an experimental dataset by collecting historical code data from open-source project repositories on the Internet. We introduce a novel class-level abstract syntax tree-based code embedding method for code analysis. A recurrent neural network was employed to effectively identify code modification requirements. Our system achieves an average accuracy of approximately 83% across different repositories and 86% for the entire dataset. These findings indicate that our system provides higher performance than the method-based and text-based code embedding approaches. In addition, we performed a comparative analysis with a static code analysis tool to justify the readiness of the proposed model for deployment. The correlation coefficient between the outputs demonstrates a significant correlation of 67%. Consequently, this research highlights that the deep learning-based analysis of code histories empowers software teams in identifying potential code modification requirements. © 2023 Elsevier Inc.","Abstract syntax tree; Code embedding; Code smell; Recurrent neural network; Refactoring"
"BPEL process defects prediction using multi-objective evolutionary search","2023","Journal of Systems and Software","10.1016/j.jss.2023.111767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163204896&doi=10.1016%2fj.jss.2023.111767&partnerID=40&md5=0443ce816de90f6a5a548b35cc0cdbc1","Web services are becoming increasingly popular technologies for modern organizations to improve their cooperation and collaboration through building new software systems by composing pre-built services. Such services are typically composed and executed through BPEL (Business Process Execution Language) processes. Like any other software artifact, such processes are frequently changed to add new or modify existing functionalities or adapt to environmental changes. However, poorly planned changes may introduce BPEL process design defects known as anti-patterns or defects. The presence of defects often leads to a regression in software quality. In this paper, we introduce an automated approach to predict the presence of defects in BPEL code using Multi-Objective Genetic Programming (MOGP). Our approach consists of learning from real-world instances of each service-based business process defect (i.e., anti-pattern) type to infer prediction rules based on the combinations of process metrics and their associated threshold values. We evaluate our approach based on a dataset of 178 real-world business processes that belong to various application domains, and a variety of BPEL process defect types such as data flow and portability defects. The statistical analysis of the achieved results shows the effectiveness of our approach in identifying defects compared with state-of-the-art techniques with a median accuracy of 91%. © 2023 Elsevier Inc.","Anti-patterns; BPEL process; Genetic programming; Multi-objective algorithms"
"On the roles of software testers: An exploratory study","2023","Journal of Systems and Software","10.1016/j.jss.2023.111742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161533534&doi=10.1016%2fj.jss.2023.111742&partnerID=40&md5=32cf17b739a0182f4848a93fb7b61ebb","Context: Software development organizations need testers with high skill levels in a broad range of technical areas and application domains. Accordingly, we need a better understanding of how testers meet such skill demands in the practice of their role. Objective: This work aims to deepen the understanding of the typical tester role. Method: We performed a thematic analysis of 19 in-depth, semi-structured interviews with software testers working in various industries. To investigate employers’ views on such roles, we conducted a thematic analysis of 400 job ads. Results: From the interviews, we identified five subroles of software testers: domain-specific tester, test automation specialist, test infrastructure specialist, user experience tester, and test manager. Most of the practitioners preferred to develop skills and act in one subrole. In contrast, most of the job ads requested that testers act in multiple subroles. Conclusion: Our findings provide a deeper understanding of the tester role, which may guide testers in their acquisition of skills and employers in the recruiting of testers. © 2023 The Author(s)","Agile testing; Empirical software engineering; Software testing career; Software testing job advertisements; Software testing skills"
"Enhancing Web Applications Observability through Instrumented Automated Browsers","2023","Journal of Systems and Software","10.1016/j.jss.2023.111723","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159086424&doi=10.1016%2fj.jss.2023.111723&partnerID=40&md5=7fba76052e9251436c0504ce8e8c3afc","In software engineering, observability is the ability to determine the current state of a software system based on its external outputs or signals such as metrics, logs, or traces. Web engineers rely on the web browser console as the primary tool to monitor the client-side of web applications during end-to-end tests. However, this is a manual and time-consuming task due to the different browsers available. This paper presents BrowserWatcher, an open-source browser extension providing cross-browser capabilities to observe web applications and automatically gather browser console logs in different browsers (e.g., Chrome, Firefox, or Edge). We have leveraged this extension to conduct an empirical study analyzing the browser console of the top-50 public websites manually and automatically. The results show that BrowserWatcher gathers all the well-known log categories such as console or error traces. It also reveals that each web browser additionally includes other types of logs, which differ among browsers, thus providing distinct pieces of information for the same website. © 2023 The Author(s)","Browser automation; Empirical study; Log gathering"
"Learning a holistic and comprehensive code representation for code summarization","2023","Journal of Systems and Software","10.1016/j.jss.2023.111746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160673325&doi=10.1016%2fj.jss.2023.111746&partnerID=40&md5=3a33399e9c4c8121d2b2cd98656886c7","Code summarization is the task of describing the function of code snippets in natural language, which benefits program comprehension and boosts software productivity. Despite lots of effort made by previous studies, existing models are not comprehensive enough to represent code, and yet the literature does not consider to model source code with API usage from a holistic perspective. To this end, this paper proposes a novel multi-modal code summarization approach called HCCS (Learning a Holistic and Comprehensive code representation for Code Summarization). We first design a neural network based on the graph attention mechanism to encode API Context Graph (ACG), which highlights holistic information of source code. Then, a multi-modal framework with a tree encoder for Abstract Syntax Tree (AST) and a code encoder for code tokens is incorporated to learn a more comprehensive code representation. Afterwards, we propose a fusing layer to integrate the encodings, which are then passed to a joint-decoder to generate summaries. The experimental results show that HCCS achieves better performance than the state of the arts (i.e., HCCS scores 9.5% higher in terms of BLEU metric and 11.46% in terms of BERTScore). As a result, HCCS is an effective approach to generate high-quality summaries. © 2023 Elsevier Inc.","API; Code summarization; Deep learning; Program comprehension"
