"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"How “What you think you know about cybersecurity” can help users make more secure decisions","2023","Information and Management","10.1016/j.im.2023.103860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170563527&doi=10.1016%2fj.im.2023.103860&partnerID=40&md5=34853ef891e730d2bfa29289684e0334","The increasing use of information technology artifacts in daily life makes security a shared responsibility of both users and companies. In recent years, increasing a user's objective (i.e., actual) security knowledge and providing applications with more secure default settings appear among the most ubiquitous tools companies use to broaden their efforts to help users make more secure decisions. Examining both solutions matters because they are widely used, cost effective, and understood by many security practitioners. Additionally, default settings and users’ objective knowledge provide anchors for decision-making. However, human errors and insecure default settings are increasing and raising further questions about the efficacy of such efforts. Using the theory of bounded rationality, we investigated the role of objective, subjective (i.e., self-assessed) security knowledge, and default settings security level on the overall decision security. We found that objective security knowledge can lead to secure decisions when paired with high subjective security knowledge. In the absence of the latter, objective security knowledge is unable to lead to better security decisions. Furthermore, subjective security knowledge reduces the extent to which users fully accept default security settings, thereby mitigating bias toward insecure default settings. © 2023 Elsevier B.V.","Default settings; Information security; Objective security knowledge; Subjective security knowledge; Theory of bounded rationality"
"Patient privacy protection: Generating available medical treatment plans based on federated learning and CBR","2023","Information and Management","10.1016/j.im.2023.103908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180578064&doi=10.1016%2fj.im.2023.103908&partnerID=40&md5=f53585f779d6c4c5eeb65c09ce022e88","Although the favorable impact of sharing electronic medical records (EMRs) with other hospitals on improving clinical decision-making efficiency is widely acknowledged, the actual implementation of EMR sharing has been limited to some extent because of patient privacy protections. This study proposes a three-stage framework to retrieve medical treatment plans from multiple hospitals based on federated learning and case-based reasoning (CBR). We demonstrate that the proposed framework compensates for the privacy protection weaknesses of CBR and solves the problem of data islands among hospitals. © 2023 Elsevier B.V.","Available medical treatment plan generation; Case-based reasoning; Federated learning; Patient privacy protection"
"Unveiling the underlying cognitive processes of creative idea generation using mobile collaboration platforms","2023","Information and Management","10.1016/j.im.2023.103874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174799541&doi=10.1016%2fj.im.2023.103874&partnerID=40&md5=9e8af89e819ea177e5763c53aaa2b356","This study examines how an individual cognitively generates creative ideas using mobile collaboration platforms (MCPs). Applying the cognitive creativity perspective and the knowledge of the idiosyncratic capabilities of MCPs, the study proposes a research model that explains MCP-driven creative idea generation mechanisms. The model is validated using a field study where individuals were involved in a group collaboration setting for a cognitively challenging task. The results indicate that the use of an MCP positively supports an individual's creative idea generation process through cognitive warming-up processes (spontaneity effect) and behavioral autonomy (freedom effect). © 2023","Creative idea generation; Freedom effect; Mobile collaboration; Mobility; Spontaneity effect"
"The bright side of emotional extremity: Evidence from tipping in live streaming platform","2023","Information and Management","10.1016/j.im.2022.103726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142125925&doi=10.1016%2fj.im.2022.103726&partnerID=40&md5=fb4e59ef422fb16af58a6e420d3a4a3f","Live streaming has enabled viewers to interact with broadcasters and peer viewers, as well as tip the broadcaster based on their emotional state. While most tips are small, a minority of viewers tip extremely large. To uncover such unique tipping patterns, we draw on the emotion literature and competitive arousal theory to examine how viewers’ emotional extremity affects tipping behavior and how broadcaster's emotional response moderates the baseline effect. This study contributes to the emerging live streaming literature by revealing the differential effects of emotional extremity on tipping amount and frequency and provides practical implications for broadcasters and platforms to steer tipping behavior. © 2022 Elsevier B.V.","Broadcaster emotion; Competitive arousal; Emotional extremity; Tipping"
"Beyond a bunch of reviews: The quality and quantity of electronic word-of-mouth","2023","Information and Management","10.1016/j.im.2023.103777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148538333&doi=10.1016%2fj.im.2023.103777&partnerID=40&md5=fbb127b89e60d8539b118ff17ef0fbcf","This work proposed an integrated model incorporating review quality and quantity to explore the extent to which consumers adopt electronic word-of-mouth (e-WOM) information. A linear structural equation model was employed to analyze 435 valid responses and test it against the hypotheses. The empirical results suggest that in terms of e-WOM the influence of review quantity outweighs that of the review quality. Review consistency negatively correlates with informational influence. Consumers are alert to highly consistent reviews and may easily doubt ones that contain similar content. Furthermore, the relationship between perceived persuasiveness and social influence will not be inhibited by confirmation bias. © 2023 Elsevier B.V.","Electronic word-of-mouth; Online consumer reviews; Quality; Quantity"
"How do live-streaming platforms facilitate persuasion in political campaigns? Theory and empirical evidence from the perspective of affordance actualization","2023","Information and Management","10.1016/j.im.2023.103775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149059858&doi=10.1016%2fj.im.2023.103775&partnerID=40&md5=b61869c207253f14dbd4f935af00dc90","Prior research is limited in how live-streaming platforms (LSPs) enable technological features facilitating political persuasion and engagement. Through the theoretical lens of affordance and theory of persuasion and mindfulness, this study (1) identifies persuasion-related affordances on LSPs that afford users with sufficient ability and motivation to process persuasive messages in live streaming, and (2) discovers how the actualization of such affordances fosters political mindfulness and promotes political engagement. We validate the research model using survey data collected from 16 live-streaming campaign rallies for the 2020 presidential election. This study makes significant theoretical contributions to live streaming and e-politics. © 2023 Elsevier B.V.","Live streaming; Live-streaming platforms; Persuasion-related affordances; Political engagement; Political mindfulness; Theory of affordance; Theory of persuasion and mindfulness"
"Employees’ proactiveness on enterprise social media and social consequences: An integrated perspective of social network and social exchange theories","2023","Information and Management","10.1016/j.im.2023.103843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169888030&doi=10.1016%2fj.im.2023.103843&partnerID=40&md5=e333787b68cea347265d6dae3f5ae5e1","This study delves into how employee proactiveness on enterprise social media can influence social outcomes at work, both positively and negatively. Drawing on social network and social exchange theories, we develop a model to understand how virtual proactiveness is perceived by leaders and coworkers. Using a round-robin design, we collected data from 281 respondents in 56 teams across three waves. The results show that affiliative and challenging proactiveness positively relate to leader-member and team-member exchanges. However, challenging proactiveness negatively affects team-member exchange, potentially leading to coworker envy. These findings shed light on the intricate social dynamics in remote working environments. © 2023 Elsevier B.V.","Coworker envy; Enterprise social media; Leader-member exchange (LMX); Leadership emergence; Proactiveness; Team-member exchange (TMX)"
"Incumbent business ecosystems in the face of new entry: An event study of Google's autonomous car announcement","2023","Information and Management","10.1016/j.im.2023.103760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148085496&doi=10.1016%2fj.im.2023.103760&partnerID=40&md5=35d8c8f4de1d5f6b1374cd876e5e7003","This study investigates the value implications for an incumbent business ecosystem when an innovation is newly introduced. We theorize the different entrance modes and pathways through which the innovation can join the value co-creation structure of an incumbent ecosystem. We further theorize how the innovation entrance can affect the value appropriation arrangements among innovators and various incumbent ecosystem actors. The automobile ecosystems and Google's initial announcement of its autonomous cars serve as our empirical context. Applying our theories, we first qualitatively prescribe Google's potential actions and predict their value implications on the incumbent automobile ecosystem. Then, through an event study, we empirically validate the predictions. We observe that, on average, the incumbent actors of the automobile ecosystem benefited from Google's announcement. Moreover, car manufacturers particularly benefited from Google's attempted entry, arguably because they held critical gatekeeping positions along Google's entrance pathway. Car component manufacturers, but not other incumbent actors, were also able to benefit because of their tight integration with the gatekeepers. Our theoretical development and empirical exploration contribute to the emerging literature on ecosystem strategies by highlighting the dynamics and value implications when innovations are introduced into incumbent business ecosystems. © 2023 Elsevier B.V.","Autonomous car; Business ecosystem; Event study; Innovation; Value appropriation"
"Unveiling the paradox of technostress: Impacts of technology-driven stressors on the elderly's avoidance behaviors","2023","Information and Management","10.1016/j.im.2023.103875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174535542&doi=10.1016%2fj.im.2023.103875&partnerID=40&md5=763e6a7560a46bbd296037a6ec8ba9e2","This study reveals the paradox of technostress on the elderly due to the large-scale COVID testing during the post-COVID-19 period. Drawing upon the stressor-strain-outcomes framework, we examined how technology-driven stressors affect the elderly's avoidance behaviors. Results indicate that two types of technology-driven stressors exert opposite influences on the elderly's avoidance behaviors through the mediating effect of technology anxiety. Specifically, the elderly's technology-driven challenge stressors exert a positive influence on their avoidance behaviors, while the elderly's technology-driven hindrance stressors exert a negative influence. Moreover, stigma consciousness plays a moderating role in the relationship between the elderly's technology-driven hindrance stressors and technology anxiety by strengthening the positive influence of the elderly's technology-driven hindrance stressors on technology anxiety. Our findings deepen the understanding of the good and bad of technostress and provide implications for older adults, technology developers, and the government. © 2023 Elsevier B.V.","Avoidance behaviors; Stigma consciousness; Stressor-strain-outcomes (S-S-O) framework; Technology anxiety; Technology-driven stressors; The elderly"
"Feedback types and users’ behavior in online innovation contests: Evidence of two underlying mechanisms","2023","Information and Management","10.1016/j.im.2023.103755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149785787&doi=10.1016%2fj.im.2023.103755&partnerID=40&md5=51c09790a7c1aeeed965d68d66e571d5","Online innovation contests (OIC) provide companies, via a dedicated community, an important means to access remote knowledge and ideas of users and thereby a creative playground for fueling innovation. Our literature review shows that our understanding of the impact of diverse types of feedback on user participation, especially continued participation, and success in OIC is at a nascent stage. The present study therefore seeks to examine why and how different types of feedback influence users’ behavior in OIC, and the detailed mechanisms underlying such influences. While our results do not show a significant relationship between receiving peer dynamic feedback and user success, we find that receiving sponsor static feedback in users’ first submission is positively associated with their continued participation in OIC. Also, when compared to peer dynamic feedback, sponsor static feedback has a stronger effect on users’ continued participation. Our goal is to confer a holistic picture of how the timing, source, and form of feedback shape user continuous participation and success in OIC. © 2023 Elsevier B.V.","Online innovation contests (OIC); Peer dynamic feedback; Sponsor static feedback; Uncertainty reduction; User success"
"A temporal graph framework for intelligence extraction in social media networks","2023","Information and Management","10.1016/j.im.2023.103773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151018329&doi=10.1016%2fj.im.2023.103773&partnerID=40&md5=5ab643d47c17eccc01f536e4e25115a8","Social media networks (SMNs) are increasingly used in professional management of knowledge workers and related assets. However, the factors affecting behavioral trends and activity levels in these networks are not well understood. Although social and cognitive theories can help to explain human behavior in traditional social networks, their application to SMNs has not been validated. Traditional social network modeling techniques may not accurately predict real-world SMN activities. This research developed a temporal graph framework for intelligence extraction in SMNs. Theory-based, data-driven models (Conformity Model (COM), Recency-Primacy Model (REM), Trend Interaction Model (TIM), Periodic Interaction Model (PIM)) were developed based on the framework to capture various aspects of user behavior: conformity effect, recency, primacy, periodicity, and dynamic trend. The models capture the activity history and dynamically combine pricing information to enhance predictive accuracy. Using data of 83,536 GitHub software repositories on cryptocurrency, this article reports the results of experiments that compare the models’ performance in predicting SMN activities over time. Experimental results show that the model (REM) that captures recency/primacy effects of human cognitive processing outperformed other models in 9 (out of 18) measures pertaining to engagement, contribution, influence, and popularity. Primacy plays a dominant role in predicting engagement, contribution, and popularity, whereas recency plays a key role in predicting influence. Short-term trend (modeled with TIM) was found to yield significantly better performance on predicting user contribution. The models also outperformed an integrated machine learning (IML) model by most measures. Overall, the effects modeled by REM and TIM were found to be more significant than the effects modeled by COM, PIM, and IML. The research contributes to enhancing understanding of SMN behavior, developing new models to simulate and predict SMN activities, and designing new artifacts for information systems practitioners to manage knowledge assets and to extract SMN intelligence. © 2023","GitHub; Modeling; Primacy; Psychological theory; Recency; Social media analytics; Social media networks; Social theory"
"Product involvement and routine use of a niche product from a well-known company: The moderating effect of gender","2023","Information and Management","10.1016/j.im.2023.103758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147254386&doi=10.1016%2fj.im.2023.103758&partnerID=40&md5=84a13e4590bd255758fabf10a8a2963f","Contemporary well-known companies are making cross-disciplinary efforts to promote niche products outside the scope of their core businesses. However, little is known about the routine use of these niche products. Based on the theory of involvement, we proposed a research model and conducted an online survey regarding Apple Pay to validate the hypotheses. Several insights were obtained through empirical analysis. Specifically, (1) routine use can be affected by product involvement, which in turn is positively influenced by ideal self-congruence and social influence, and (2) the effects of ideal self-congruence and social influence on product involvement are moderated by gender. © 2023 Elsevier B.V.","Niche product; Product involvement; Routine use; Well-known companies"
"The platform's store-brand supplier selection and quality information provision decisions","2023","Information and Management","10.1016/j.im.2023.103885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177985534&doi=10.1016%2fj.im.2023.103885&partnerID=40&md5=c347b5738d20418dbd67ef3798e089e0","We investigate the strategies of an e-commerce platform (EP), selecting a supplier for its store brand and determining whether to provide information that can reduce consumers’ uncertainty about their quality preferences. The EP can choose either a non-competing outside supplier or a competing inside supplier that sells a high-quality brand product through the EP. Consumers have complete knowledge about the qualities of the two products, although they remain uncertain about which product best meets their need. We find that the EP has an incentive to disclose information when the ratio of the cost per unit quality of the inside supplier's product relative to that of the EP's own-brand product is high, and it prefers the inside supplier when this ratio is low. We identify the EP's optimal strategy profile. Specifically, when this ratio is low, the EP selects the inside supplier and refrains from disclosing information when the ratio is sufficiently low. However, when the ratio is high, the EP selects the outside supplier and discloses information only if the ratio is sufficiently high. We also find that market competition softens both when the EP selects the inside supplier and when it discloses information. © 2023","Game theory; Quality information provision; Supplier selection; Supply chain management"
"“What I've received doesn't match what I saw online”: Effects of purchase-risk notices on reducing online returns","2022","Information and Management","10.1016/j.im.2022.103720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141496004&doi=10.1016%2fj.im.2022.103720&partnerID=40&md5=439ad7d528f50be0a4ece9135140c22c","Many online returns are caused by mismatches between what consumers see online and what they actually receive. This paper discusses e-sellers’ use of purchase-risk notices (PRNs) for possible mismatches as a preemptive action to avoid returns. Two one-factor (purchase-risk notice: presence vs. absence) scenario experiments were conducted via two studies (Study 1 and Study 2). The pre-purchase effects and post-purchase effects of PRNs were examined in Study 1 and Study 2, respectively. One-way ANOVAs were used to test the hypotheses. It was found that returns can be avoided by using PRNs without negatively affecting consumers’ purchase intentions. Additionally, using PRNs can make consumers more tolerant of minor mismatches, attract more repurchases, and reduce consumers’ dissatisfaction and regret about purchase decisions. © 2022","Electronic commerce; Experimental design; Return avoidance; Risk communication"
"Building capabilities for software development firm competitiveness: The role of intellectual capital and intra-firm relational capital","2023","Information and Management","10.1016/j.im.2022.103744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146051566&doi=10.1016%2fj.im.2022.103744&partnerID=40&md5=8aa33312730b1f91553a9bd0b978a770","Software is critical to nearly every organization's performance and can create value for all organizational functions. Given that software development firms that create solutions for client organizations are by necessity constantly seeking competitive advantage, the central objective of this research was to investigate the impact of capability building on software development firm competitiveness. Developing software is a knowledge-intensive and often complex process that requires internal exchanges among knowledgeable and capable employees within the firm. Accordingly, for software development firms, capability building is critical for competitive advantage. This research draws from capability, intellectual capital, and relational capital research streams and develops an intra-firm relational capital to intellectual capital model of capability building for software development. Analyses of data from key informants of 200 software development firms provide strong support for our model. We discuss the implications of our research for the competitiveness of software development firms for capability, intellectual capital, and relational capital theories and for firm practices. © 2022","Capabilities; Innovative capability; Intellectual capital; Intra-firm relational capital; Software development capability; Software development firm competitiveness; Theory of capability building"
"When carrots and sticks meet: A mixed-methods study on internet taxi drivers’ job engagement in the IT-driven sharing economy","2023","Information and Management","10.1016/j.im.2023.103788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151795211&doi=10.1016%2fj.im.2023.103788&partnerID=40&md5=faf84de9f71ac4c4d8b24e7a16df6878","Information technology (IT)-enabled taxi services facilitate people's lives. However, little is known about how Internet taxi employees are motivated and how motivation relates to their job engagement. Using a mixed-methods design, this research explores intrinsic motivators and the effects of external regulations on intrinsic motivation and job engagement. The qualitative study identified three context-specific intrinsic motivators: stress reduction, self-efficacy, and job autonomy. A follow-up quantitative research revealed the significance of external regulations in determining intrinsic motivation and job engagement. The study contributes to knowledge by emphasizing the role of intrinsic motivators and the significance of both monetary incentives and punishment. © 2023","Extrinsic motivation; Internet taxi; Intrinsic motivation; Self-determination theory; Stimulus-organism-response theory"
"The effects of social media posts’ characteristics on customer engagement: Evidence from WeChat","2023","Information and Management","10.1016/j.im.2023.103854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168802333&doi=10.1016%2fj.im.2023.103854&partnerID=40&md5=8c41393fd3f784d76b5a9924c83b891e","Many companies are using social media as emerging marketing channels in hopes of encouraging engagement by customers. This study explored the effect of multiple social media post cues on customer engagement. By distinguishing WeChat posts’ characteristics into outer- and inner-layer features, the findings suggest that outer-layer features (title linguistic vividness and top position) have positive effects on reads, and inner-layer features (post vividness and containing user-generated content) encouraged more likes, shares, and comments. In addition, by assigning post contents into sales and non-sales-related categories, we found the former attracts more comments and the latter is more helpful in promoting likes and shares. Further, within sales-related posts, storytelling category will receive more likes, whereas functional category boosts the number of shares. © 2023 Elsevier B.V.","Customer engagement; Post characteristics; Social media; WeChat"
