"Title","Year","Source title","DOI","Link","Abstract","Author Keywords"
"Analysis of book circulation data and a book recommendation system in academic libraries using data mining techniques","2022","Library and Information Science Research","10.1016/j.lisr.2022.101191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139334052&doi=10.1016%2fj.lisr.2022.101191&partnerID=40&md5=2a1ec17e29efa6d65c45e39bdfe29f08","The use of data mining modern technology in library management systems and information centers is of great importance. With the increasing availability of a large quantity of information, traditional tools and practices without wasting time and cost cannot respond to users accurately and quickly. The present study aims to analyze book circulation transactions and discover the user's book loan patterns to develop a recommender system. The data included 109,639 transactions and information from 8636 user records. Microsoft SQL Server and Matlab software were applied to analyze the data. Item-based collaborative filtering algorithms and decision tree methods were also applied. The results led to the extraction of rules for suggesting books to users. Analysis of the circulation data could be applied to address many issues like evaluation, collection acquisition policies, allocating funding for materials, and suggesting approaches to deselecting and allocating physical space for materials. © 2022 Elsevier Inc.","Academic library; Association rule; Collaborative filtering algorithm; Data mining; Information resource circulation; Recommendation system; User access pattern"
"Are public libraries efficient? Evaluating scale economies of public libraries in the U.S. with a cost function approach","2023","Library and Information Science Research","10.1016/j.lisr.2023.101271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176783815&doi=10.1016%2fj.lisr.2023.101271&partnerID=40&md5=4992ce4166aeae5db4548e6348976ba6","Public libraries are important informational, cultural, social, and educational institutions. Although the research has shown their significant presence, value, and effectiveness in providing services for their communities, there is the persistent questioning of value and efficiency of public libraries by some, which leads to continuous and severe funding cuts for public libraries. This study addresses the efficiency issue of public libraries. The previous research on this issue is inconclusive because of deficiencies in methodologies, such as the use of circulation as the single measure for library outputs while ignoring all other library services. This study applies a well-established cost function with multiple output measures to over 1600 public libraries in the United States. This study concludes that public libraries as a whole operate efficiently and argues for sustained and continuous funding for public libraries. © 2023 Elsevier Inc.","Budget; Cost function; Efficiency; Funding; Information services; Library costs; Public libraries; Scale economies; United States; Value"
"Science, technology, engineering, and mathematics (STEM) liaison librarians: Perspectives on functions and frequencies for serving academic researchers","2023","Library and Information Science Research","10.1016/j.lisr.2023.101265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174905518&doi=10.1016%2fj.lisr.2023.101265&partnerID=40&md5=3c56f9ea017b9c8ae7eadf015139863f","STEM liaison librarians' roles have broadened with new policies, data, and services stemming from the increase of data-driven research across sciences. The problem this study addresses is the lack of understanding of what tasks STEM liaison librarians do and how often. STEM liaison librarians from a sampling frame of 135 at 16 similarly Association of Research Libraries were surveyed with demographic and job analysis questions. A total of 41 participants completed the entirety of the survey. Findings indicate the majority of respondents serve 4 or more departments and continue to spend a majority of their time on traditional liaison tasks, but data-related duties are in greater demand. In these continually uncertain times with dwindling resources in academic libraries, a clearer picture of STEM liaison librarian tasks and the duration expended on each helps inform staffing of services. A better understanding of these duties and their frequency will add value to more accurate job descriptions, relevant curriculum, and training, as well as advance the understanding of what these information professionals do with their work time as well as tell us what they no longer do as much. © 2023","Academic libraries; Collection development; Engagement; Instruction services; Job analyses; Liaison librarian; Outreach; Research data; Research support; Science librarian; Survey"
"Motivation for downloading academic publications","2023","Library and Information Science Research","10.1016/j.lisr.2023.101239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150837376&doi=10.1016%2fj.lisr.2023.101239&partnerID=40&md5=3d5731eccd84688aa6ebffdcd2638ccf","Downloads have been considered as supplemental to citations in reflecting the impact of scientific research activities and scientific output, yet the motivations to download a specific publication has not been fully explored. In scientific evaluation practice, unclear motivations could lead to difficulties for evaluating the impact of academic literature without providing a cogent interpretation of downloads as an alternative metric. To fill this gap, an expanded Technology Acceptance Model (TAM) to investigate motivations for downloading academic literature was proposed and the effectiveness verified using questionnaire data containing 480 respondents. The results show that the degree of usefulness of literature to users and the degree of relevance of literature to users were the primary factors that drive users to download specific literature. Due to the consistency between downloading and citing in reflecting the usefulness, downloads is an effective metric to supplement citation metrics in evaluating the impact of academic literature. © 2023 Elsevier Inc.","Download; Motivation; Technology acceptance model; Usage"
"“A bit hard for us to explain”: Barriers to creating new information in scientific collaboration","2022","Library and Information Science Research","10.1016/j.lisr.2022.101173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132752029&doi=10.1016%2fj.lisr.2022.101173&partnerID=40&md5=aefd8a614c00910115a412df1c56bc24","Scientific collaboration is a distinct iteration of information creation as a process. It aims to form willful relationships between scientists to achieve the shared objective of new information creation with the end goal of knowledge production. Findings of an exploratory study investigating barriers that hinder effective scientific collaboration and strategies to cope with these obstacles are reported. A qualitative and interpretive methodology is leveraged to analyze data collected from 14 in-depth interviews with researchers who work in a cross-disciplinary scientific research center. The results indicate that domain disparity and motivation and engagement are the strongest hindrances to effective collaboration. Researchers adopt active and constant learning as an approach to mitigate barriers, lower affective distress, and improve collaboration processes. Malleable boundary objects can facilitate collaboration by adjusting to research aims but may also contort projects, manifesting as a barrier to new information creation. © 2022","Barriers and mitigations in collaboration; Boundary objects; Information creation; Scientific collaboration"
"Evaluating e-book vendors in the era of smart libraries","2023","Library and Information Science Research","10.1016/j.lisr.2023.101254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161021740&doi=10.1016%2fj.lisr.2023.101254&partnerID=40&md5=7431f90dab5b84236c0819d8913531db","In recent years, people's reading habits have undergone a digital transformation, and library funds are insufficient to meet this growing digital demand. A good way of optimizing resource allocation is the regular evaluation of suppliers to select resources. E-book resources were used as the starting point to examine the method of supplier evaluation within the concept of “smart library” using an analytic hierarchical process to integrate and weight perspectives from e-vendors, academics, and professional librarians. Findings demonstrate that both traditional and “smart” factors impact the final evaluation of e-book suppliers. In addition, the influence of smart service factors on the efficacy of library innovation can be evaluated by the linear regression method. Two systematic methods in the assessment of e-book suppliers were outlined and the concept of “smart factors” based on traditional indicators for application in constructing digital book resources was introduced. © 2023 Elsevier Inc.","AHP analysis; E-book platform; OLS analysis; Smart library; Vendor evaluation"
"Cognitive mapping and its implication for understanding cultural behaviors and experiences in libraries","2022","Library and Information Science Research","10.1016/j.lisr.2022.101181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133623504&doi=10.1016%2fj.lisr.2022.101181&partnerID=40&md5=ca136f58ecf5b7952e20cc94a3c7ebfb","Cognitive mapping is a method typically adopted in ethnographical research to learn about library user behavior and experience in a cross-cultural context. Through reporting practical findings from a case study, where it served as a key method, the usefulness of cognitive mapping in revealing cognitive style and perceptions of the library and in understanding cultural users' behaviors and experiences is explored. Cognitive mapping offers an open exploratory way to help self-reflection of personal contexts regardless of language constraints. As such, it provides for the study of multiple cultural communities. In addition, its potential of usage in a virtual environment is presented. One limitation of this method is the extent to which it can reveal the holistic picture of library experience in isolation. As such, it works well when applied with other data collection techniques to form a flexible yet robust methodological framework to learning about library cultural groups. © 2022 Elsevier Inc.","Cognitive mapping; Cultural groups; International students; Library user studies; LIS research method; Mapping techniques"
"Development and validation of the library ethics scale","2023","Library and Information Science Research","10.1016/j.lisr.2022.101220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145682185&doi=10.1016%2fj.lisr.2022.101220&partnerID=40&md5=cbbc1ddf7b80b30f3623c23d663a7d02","Most studies on library ethics are theoretical. No scale has been developed with a valid and reliable psychometric property to measure library staff and users' ethical perceptions or behaviors. This paper describes the development of a brief measure of the Library Ethics Scale (LES) conducted in two consecutive studies. In the first study, based on the literature review and opinions of expert groups, 47 items were developed for the item pool. These items were administered to 521 university library users in Turkey. An explanatory factor analysis indicated a strong two-factor solution. In the second study conducted on 259 participants, these two-factor structures showed good psychometric properties, with 18 items explaining the total variance of 59.074. The Cronbach alpha reliability coefficient was 0.903, and the two sub-dimensions were found to be 0.91, and 0.888, respectively. The LES shows good validity and reliability properties and has potential application in library ethics settings, including library professionals' perceptions and users' perceptions and behaviors. © 2022 Elsevier Inc.","Copyrights; Library ethics; Library rules; Reliability; Scale; Validity"
"Tattoo information creation: Towards a holistic understanding of tattoo information experience","2022","Library and Information Science Research","10.1016/j.lisr.2022.101161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132383817&doi=10.1016%2fj.lisr.2022.101161&partnerID=40&md5=7786426b087e629cb9a6eedd36f55e4d","The tattoo information experience reveals possibilities to explore how tattoo images are created as things, what actions lead to the creation of a tattoo image, who is considered a creator of a tattoo image, and how different personal, social and cultural contexts influence creation of information through the tattoo acquisition experience. Based on the findings from nine interviews, the process of tattoo information creation was conceptualized encompassing all stages of the tattoo experience: from the moment the first idea of getting a tattoo emerges to sharing of information about a tattoo. Participants' stories about their tattoo experiences were used to develop a framework of four key phases of tattoo information creation: conceptualizing, verbalizing, visualizing, and pluralizing. These phases occur between four anchors identified in the participants' stories: anticipation, identification, ideation, and creation. This framework can be used to assist future empirical and theoretical research on tattoo information experience. © 2022 Elsevier Inc.","Information behavior; Information creation; Information experience; Tattoo"
"The relationships between university students' information-seeking strategies, social-media specific epistemological beliefs, information literacy, and personality traits","2022","Library and Information Science Research","10.1016/j.lisr.2022.101155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130041932&doi=10.1016%2fj.lisr.2022.101155&partnerID=40&md5=40b4ffa557a87f35813b8a963ecb4df2","Due to doubts about the reliability of information in social media environments, and the epistemological beliefs of individuals who use these media, questioning the source of information and the perception of knowledge structure, is an important research topic. A structural model was constructed to explore structures associated with epistemological beliefs (justification for knowing) and online information-seeking strategies. The model included personality traits and information literacy. Data were collected from 190 university students. PLS-SEM was implemented in the analysis of the data. Analysis revealed that there was a significant relationship between epistemological beliefs specific to social media and information-seeking strategies, and information literacy structure has a direct effect on information-seeking strategies. Agreeableness and neuroticism were related with several dimensions of social media-specific beliefs. It was found that the personality trait which has the greatest effect on online information-seeking strategies is conscientiousness. © 2022","Information literacy; Online information searching strategy; Personality; Psychometric properties; Social media-specific epistemological beliefs"
