"Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","PubMed ID"
"Examining the antecedents and outcomes of smart government usage: An integrated model","2023","Government Information Quarterly","22","10.1016/j.giq.2022.101783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143868390&doi=10.1016%2fj.giq.2022.101783&partnerID=40&md5=e953b8326e0b6904f990f2504e036a0f","Smart government is viewed as the highest modernization stage of public agencies. Governments seek to employ disruptive technologies to substantially transform government-citizen relationships, enhance citizens’ experiences, transform public decision making, emphasize citizen engagement in the democratic decision-making process, provide more agile and resilient government structures, create substantial public value and generally improve quality of life. Despite its numerous potential advantages, smart government is still in its early phases of development. Examining issues related to the usage behavior of smart government services has received little attention. Outcomes of the usage of online technologies in general, and electronic public services in particular, have been largely overlooked. Accordingly, this study aims at developing and empirically validating an integrated model of smart government usage by extending the Unified Theory of Acceptance and Use of Technology (UTAUT) through the incorporation of a set of determinants and outcomes of smart government usage following an extensive review of extant literature. The data were obtained from 414 smart government clients in the United Arab Emirates through an online questionnaire and analyzed using structural equation modeling (SEM). The results of this study indicated that, among all significant antecedents of smart government usage, performance expectancy has the strongest impact, whilst facilitating conditions has the weakest influence. It has been also reported that personalization has no significant effect on smart government usage. The results further revealed that the strongest impact of smart government usage is on information transparency. Implications for theory and practice are also offered. © 2022 Elsevier Inc.","Digital government; Digital transformation; Disruptive technology; E-government; Electronic government; Innovation; Smart government",""
"Realizing quantum-safe information sharing: Implementation and adoption challenges and policy recommendations for quantum-safe transitions","2024","Government Information Quarterly","2","10.1016/j.giq.2023.101884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177874880&doi=10.1016%2fj.giq.2023.101884&partnerID=40&md5=b95bde7eb3f8a1c32d50dcff62e38844","By utilizing the properties of quantum mechanics, quantum computers have the potential to factor a key pair of a large prime number and break some of the core cryptographic primitives that most information infrastructures depend on. This means that today's widely used cryptographic algorithms can soon become unsafe and need to be modified with quantum-safe (QS) cryptography. While much work is still needed in developing QS cryptographic algorithms, the institutional, organizational, and policy aspects of transitioning the current infrastructures have received less attention. This paper provides an empirical analysis of QS transition challenges and policy recommendations for moving to a QS situation. We analyzed the data collected through interviews with experts and practitioners from the Dutch government. The results reveal that institutional, organizational and policy aspects of QS transitions are interconnected, and solutions for QS transitions are scattered. Consequently, organizations may face a Catch-22 loop without further actionable approaches and planning for QS transitions. © 2023 The Authors","Adoption; Digital government; Implementation; Information infrastructures; Information sharing; Policy recommendations; Post-quantum cryptography; Quantum-safe transition",""
"Do citizens trust trustworthy artificial intelligence? Experimental evidence on the limits of ethical AI measures in government","2023","Government Information Quarterly","2","10.1016/j.giq.2023.101834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161014650&doi=10.1016%2fj.giq.2023.101834&partnerID=40&md5=cd2cd5583506f11e3bee51729269d784","This study examines the impact of ethical AI information on citizens' trust in and policy support for governmental AI projects. Unlike previous work on direct users of AI, this study focuses on the general public. Two online survey experiments presented participants with information on six types of ethical AI measures: legal compliance, ethics-by-design measures, data-gathering limitations, human-in-the-loop, non-discrimination, and technical robustness. Results reveal that general ethical AI information has little to no effect on trust, perceived trustworthiness or policy support among citizens. Prior attitudes and experiences, including privacy concerns, trust in government, and trust in AI, instead form good predictors. These findings suggest that short-term communication efforts on ethical AI practices have minimal impact. The findings suggest that a more long-term, comprehensive approach is necessary to building trust in governmental AI projects, addressing citizens' underlying concerns and experiences. As governments' use of AI becomes more ubiquitous, understanding citizen responses is crucial for fostering trust, perceived trustworthiness and policy support for AI-based policies and initiatives. © 2023 Elsevier Inc.","Ethical AI; Policy support; Transparency; Trust in AI; Trust in government citizen trust",""
"Managing the manosphere: The limits of responsibility for government social media adoption","2024","Government Information Quarterly","0","10.1016/j.giq.2024.101909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182212976&doi=10.1016%2fj.giq.2024.101909&partnerID=40&md5=a965f2b9846b24d973bf99df4d10cb26","The prevalence of hate, threats, gender trolling, and other problematic communication patterns in social media prompts concerns about the responsibility associated with government social media adoption. In addressing this issue, this paper adopts a feminist perspective to enrich our understanding of how governments assume responsibility for their adoption of social media. The study contains a sentiment and thematic analysis of responses to a government video campaign on Facebook, which seeks to heighten public awareness about men's violence against women by highlighting problems surrounding sexist jokes. The video targets two audiences in terms of gender, resulting in various outcomes in sentiments, trolling, and trolling management. Results show disparities in sentiments between males and females, the diverse strategies employed in trolling, and how both users and the local government manage trolling. The local government deploys different strategies for trolling management, encompassing both engaging and non-engaging approaches. Notably, engagement is constrained to the targeted male audience and male trollers. The primary responsibility for trolling management is delegated to users, predominantly women, who become proxies for the local government. This dual practice of ignoring women as relevant stakeholders and utilizing them as proxies is considered a failure of responsibility. The study contributes to the advancement of citizen engagement research by delving into the intricate dynamics of trolling and trolling management within the specific context of government social media. Moreover, it sheds light on issues of responsibility inherent in the adoption of social media by governmental entities. © 2024 The Author","Citizen engagement; Facebook; Local government; Responsibility; Social media; Trolling; Trolling management",""
"Exploring services in a smart city through socio-technical design principles: Revealing five tensions in a smart living context","2024","Government Information Quarterly","1","10.1016/j.giq.2024.101915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186077050&doi=10.1016%2fj.giq.2024.101915&partnerID=40&md5=f963edd0cb9b83eb76f69283c5a28677","Smart cities have been studied for many years, but smart homes and the citizens' actual living in these smart homes are less researched. We argue that for digital government research, and for governments to be successful in smart city development in practice, it is necessary not only to understand living on a societal level, but also living aspects in the narrow context of homes. Citizens populate the smart city and are the ones who are supposed to use the services provided by the government. In this article we explore and analyze digital and analogue services in smart homes developed in a new city district. We have conducted observational studies in 53 apartments during an urban living expo which we analyze by applying a set of socio-technical design principles. The research question that guides the analysis is: “What tensions between values in digital and analogue services for a smart living can be revealed by a socio-technical perspective?”. We identify five tensions between: 1) being in control and being controlled, 2) intended and undesirable use of personal data, 3) digital and analogue smartness, 4) smart home visions and practices, and 5) environmental and social sustainability. By revealing these tensions, we contribute to an understanding of the complexity of smart living. We also contribute by highlighting the importance of applying a perspective that captures both technology and citizen and user issues (i.e., social aspects) when developing services in the smart home context. © 2024 The Authors","Services; Smart city; Smart home; Smart living; Socio-technical design principles; Tensions",""
"Citizens' acceptance of artificial intelligence in public services: Evidence from a conjoint experiment about processing permit applications","2023","Government Information Quarterly","0","10.1016/j.giq.2023.101876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175463381&doi=10.1016%2fj.giq.2023.101876&partnerID=40&md5=caa55f2dc5967f2bcc6cd293a106e54a","Citizens' acceptance of artificial intelligence (AI) in public service delivery is important for its legitimate and effective use by government. Human involvement in AI systems has been suggested as a way to boost citizens' acceptance and perceptions of these systems' fairness. However, there is little empirical evidence to assess these claims. To address this gap, we conducted a pre-registered conjoint experiment in the UK regarding acceptance of AI in processing public permits: for immigration visas and parking permits. We hypothesise that greater human involvement boosts acceptance of AI in decision-making and associated perceptions of its fairness. We further hypothesise that greater human involvement mitigates the negative impact of certain AI features, such as inaccuracy, high cost, or data sharing. From our study, we find that more human involvement tends to increase acceptance, and that perceptions of fairness were less influenced. Yet, when substantial human discretion was introduced in parking permit scenarios, respondents preferred more limited human input. We found little evidence that human involvement moderates the impact of AI's unfavourable attributes. System-level factors such as high accuracy, the presence of an appeals system, increased transparency, reduced cost, non-sharing of data, and the absence of private company involvement all boost both acceptance and perceived procedural fairness. We find limited evidence that individual characteristics affect these results. The findings show how the design of AI systems can increase its acceptability to citizens for use in public services. © 2023 The Author(s)","Artificial intelligence; Conjoint experiment; Human involvement; Public service",""
"Characterizing technology affordances, constraints, and coping strategies for information dissemination to the public: Insights from emergency messaging in US local governments","2024","Government Information Quarterly","1","10.1016/j.giq.2024.101910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184501499&doi=10.1016%2fj.giq.2024.101910&partnerID=40&md5=11a4255f2eda761c475fa75e72c0bfd0","Disseminating information to the public is critical in emergency management. Thanks to technological advances in recent decades, governments can instantly reach citizens through multiple channels. Existing research on emergency messaging indicates that the effectiveness of messaging depends on multiple factors, including receivers' characteristics, message content and style, as well as the social and political contexts. However, what is still missing in the literature is a better understanding of the role of technology use for emergency messaging, particularly in local governments. Based on the Technology Affordances and Constraints Theory (TACT) and a practice perspective, we analyzed interview data from eighteen local emergency management agencies in the United States to investigate four questions: (1) what digital artifacts are used for writing and sending messages? (2) how do the artifacts afford emergency managers in writing and sending messages? (3) what are the constraints that impede effective messaging? and (4) how do governments cope with those difficulties? We find four types of artifacts involved in emergency messaging, their affordances, and constraints, as well as some strategies for mitigating negative impacts. The findings extend current knowledge about emergency messaging from the point of view of front-line staff and add insights into the TACT. © 2024 Elsevier Inc.","Alert; Emergency communication; Information dissemination; Practice theory; Technology affordance; Technology constraint; Warning",""
"Digital government transformation as an organizational response to the COVID-19 pandemic","2023","Government Information Quarterly","11","10.1016/j.giq.2023.101815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150767588&doi=10.1016%2fj.giq.2023.101815&partnerID=40&md5=866854092ffdf709e0f7c77410ccaaaf","Many public organizations struggle to adapt to digital transformation. Whereas previous research has identified internal drivers of change, an unpredictable factor from the external environment such as the COVID-19 pandemic can trigger public innovation. In this study, we aim to investigate if and how the COVID-19 pandemic has influenced the digital government transformation. In more detail, we explore how the COVID-19 pandemic has affected different organizational aspects that are expected to be affected by a digital transformation. Findings from case studies of ten organizations from the Austrian federal administration indicate that the pandemic has not only led to an increased use of technological means but also influenced various organizational aspects such as employees' attitudes toward technology and organizational culture toward innovation. In particular, organizations heavily affected by the pandemic have benefited from a greater degree of digital transformation. Consequently, the pandemic has influenced a spirit of innovation and accelerated the speed of digital transformation. © 2023 The Authors","Crisis; Digital technology; Digital transformation; Federal Administration; Public innovation",""
"How emerging technologies can solve critical issues in organizational operations: An analysis of blockchain-driven projects in the public sector","2024","Government Information Quarterly","1","10.1016/j.giq.2024.101912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184820597&doi=10.1016%2fj.giq.2024.101912&partnerID=40&md5=43f008ae318d41ad87002f2921d98568","Blockchain technology emerged as a concrete and disruptive application in all sectors. Even if the public sector witnessed this technology's first applications and implementations, it took a while to spread even in that environment. Previous studies have shown that blockchain technologies are a powerful, essential, and effective lever for transforming government processes and procedures and improving the management of public benefits and policies. Following an analysis of a sample of 167 blockchain-oriented projects in the public sector, we explore in this article the extent of the effects of blockchain on fundamental public governance functions, and we further explore the information technology and strategic management literature in this regard. As a result, our study shows concrete evidence of how blockchain improves several government core functions: (1) public service governance, administrative efficiency, and open government capabilities; (2) process innovation in public services; and operational and administrative performance improvement. Via a fsQCA analysis, we explored how indicators characterizing blockchain-based transformation projects in the public sector led to radical transformations in public services. Our findings move forward the blockchain perspective on the public sector by enriching the literature, bringing insights to policymakers, and opening new research directions to scholars and practitioners. © 2024 Elsevier Inc.","Administrative performance; Blockchain; Cases studies; Operational performance; Process innovation; Public sector",""
"Experimenting with collaboration in the Smart City: Legal and governance structures of Urban Living Labs","2023","Government Information Quarterly","0","10.1016/j.giq.2023.101875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176344894&doi=10.1016%2fj.giq.2023.101875&partnerID=40&md5=7dea70934840e2b0f767c2732dcbf3f2","Urban Living Labs (ULLs) have been implemented in many cities, but their organizational and legal structure has not often been analyzed. ULLs aim to provide a space for different parties to research, develop, and test solutions to urban problems whilst engaging with local communities. Their experimental approach to urban innovation and to public-private collaboration makes flexibility, openness, and informality important. However, ULLs are also confronted with existing legal frameworks, responsibilities, and liabilities. Whilst they aim at shared decision-making and horizontality, they must navigate public and private interests, and interact with local government as well. To understand these dynamics, this article examines the legal and organizational structures of ULLs, the factors and trade-offs that influence it, and the role municipal government plays in in these structures. This article analyzes the different forms and trajectories of ULLs in practice, through semi-structured interviews held in four labs in Amsterdam. Through qualitative research, we found that 1) ULLs are partnerships that exist on a spectrum of formalization, from informal to highly formal; 2) the degree of formalization is influenced by financial, legal, and organizational factors that change over time; 3) each degree of formalization is associated to trade-offs, even if these trade-offs are not explicitly formulated by the people involved; 4) tensions arise from the municipality's double role as public authority and as partner. We conclude that ULLs could gain from clearly identifying the legal frameworks that condition their structure, actions, and future. © 2023 The Authors","Accountability; Collaboration; Innovation; Living lab; Local government; Municipality; Public-private partnerships; Smart city; Urban living lab",""
