"Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","PubMed ID"
"Are public libraries efficient? Evaluating scale economies of public libraries in the U.S. with a cost function approach","2023","Library and Information Science Research","0","10.1016/j.lisr.2023.101271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176783815&doi=10.1016%2fj.lisr.2023.101271&partnerID=40&md5=4992ce4166aeae5db4548e6348976ba6","Public libraries are important informational, cultural, social, and educational institutions. Although the research has shown their significant presence, value, and effectiveness in providing services for their communities, there is the persistent questioning of value and efficiency of public libraries by some, which leads to continuous and severe funding cuts for public libraries. This study addresses the efficiency issue of public libraries. The previous research on this issue is inconclusive because of deficiencies in methodologies, such as the use of circulation as the single measure for library outputs while ignoring all other library services. This study applies a well-established cost function with multiple output measures to over 1600 public libraries in the United States. This study concludes that public libraries as a whole operate efficiently and argues for sustained and continuous funding for public libraries. © 2023 Elsevier Inc.","Budget; Cost function; Efficiency; Funding; Information services; Library costs; Public libraries; Scale economies; United States; Value",""
"Science, technology, engineering, and mathematics (STEM) liaison librarians: Perspectives on functions and frequencies for serving academic researchers","2023","Library and Information Science Research","0","10.1016/j.lisr.2023.101265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174905518&doi=10.1016%2fj.lisr.2023.101265&partnerID=40&md5=3c56f9ea017b9c8ae7eadf015139863f","STEM liaison librarians' roles have broadened with new policies, data, and services stemming from the increase of data-driven research across sciences. The problem this study addresses is the lack of understanding of what tasks STEM liaison librarians do and how often. STEM liaison librarians from a sampling frame of 135 at 16 similarly Association of Research Libraries were surveyed with demographic and job analysis questions. A total of 41 participants completed the entirety of the survey. Findings indicate the majority of respondents serve 4 or more departments and continue to spend a majority of their time on traditional liaison tasks, but data-related duties are in greater demand. In these continually uncertain times with dwindling resources in academic libraries, a clearer picture of STEM liaison librarian tasks and the duration expended on each helps inform staffing of services. A better understanding of these duties and their frequency will add value to more accurate job descriptions, relevant curriculum, and training, as well as advance the understanding of what these information professionals do with their work time as well as tell us what they no longer do as much. © 2023","Academic libraries; Collection development; Engagement; Instruction services; Job analyses; Liaison librarian; Outreach; Research data; Research support; Science librarian; Survey",""
"Toward an integrated framework for developing European 6G innovation","2023","Telecommunications Policy","2","10.1016/j.telpol.2023.102641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171283049&doi=10.1016%2fj.telpol.2023.102641&partnerID=40&md5=459bc329ac841445391b32eddf8bb0a4","This article contributes to the discussion on 6G and European policy development, outlining an integrated framework for Europe to benefit from 6G innovation in the future, both as a developer and user of 6G technologies. As 6G is envisioned as a general-purpose technology that can transform the whole of society, there is a need to adopt a broader perspective to innovation compared to earlier technology generations. This proposed framework comprises five elements: national and European sovereignty, triple bottom line sustainability, a competitive transformational innovation policy, European values-based anticipatory regulation, and trustworthy networks that addresses the privacy, security, and safety of users and resilience of 6G at the systems level. It is argued that Europe needs both ex ante and ex post actions to competitively develop and deploy future 6G technologies. © 2023 The Authors","6G; Anticipatory regulation; European union; Innovation; Sovereignty; Sustainability; Transformative innovation policy; Trustworthy networks",""
"Coopetition, standardization and general purpose technologies: A framework and an application","2023","Telecommunications Policy","6","10.1016/j.telpol.2022.102488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146435797&doi=10.1016%2fj.telpol.2022.102488&partnerID=40&md5=975dd5761506017416c3acb3f50d40b1","We argue that coopetition and standardization are important dimensions in the analysis of general-purpose technologies (GPT). We synthesize ideas from GPT, standardization, and coopetition literatures and introduce a framework for empirical analysis of GPTs that are enabled by standards development and related coopetition. We apply this framework and analyze the role of coopetition in standardization of wireless cellular technology, which has been recently discussed as a GPT. We document that coopetition and standardization have been associated with increasing improvement, innovation spawning, and pervasiveness—the characteristics of GPTs—in the context of wireless cellular technology. The perspective of standardization and coopetition could shed further light on the technological progress and evolution related to emerging GPT candidates, such as artificial intelligence and blockchain. © 2023 The Authors","Cellular technology; Coopetition; General purpose technology; Standardization",""
"Motivation for downloading academic publications","2023","Library and Information Science Research","1","10.1016/j.lisr.2023.101239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150837376&doi=10.1016%2fj.lisr.2023.101239&partnerID=40&md5=3d5731eccd84688aa6ebffdcd2638ccf","Downloads have been considered as supplemental to citations in reflecting the impact of scientific research activities and scientific output, yet the motivations to download a specific publication has not been fully explored. In scientific evaluation practice, unclear motivations could lead to difficulties for evaluating the impact of academic literature without providing a cogent interpretation of downloads as an alternative metric. To fill this gap, an expanded Technology Acceptance Model (TAM) to investigate motivations for downloading academic literature was proposed and the effectiveness verified using questionnaire data containing 480 respondents. The results show that the degree of usefulness of literature to users and the degree of relevance of literature to users were the primary factors that drive users to download specific literature. Due to the consistency between downloading and citing in reflecting the usefulness, downloads is an effective metric to supplement citation metrics in evaluating the impact of academic literature. © 2023 Elsevier Inc.","Download; Motivation; Technology acceptance model; Usage",""
"The 5G spectrum auction in Chile","2023","Telecommunications Policy","0","10.1016/j.telpol.2023.102580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161284530&doi=10.1016%2fj.telpol.2023.102580&partnerID=40&md5=ff1d86993ec7d4c8cd9131ded8246e93","In 2021, the Chilean government implemented a first-price package auction to allocate electromagnetic spectrum for 5G mobile services. The auction was run sequentially for different spectrum bands, allowing firms to exploit band complementarities. It was a combinatorial auction, so firms could bid for any combination of blocks within a band. It contemplated spectrum caps – upper limits on the spectrum for each firm – to ensure competitiveness. The beauty contests used in previous processes became obsolete, as there was a need to promote competitiveness and transparency in the telecommunication sector. Four incumbents and one potential entrant participated in the auction. The auction raised more than USD $450 million, which was six times more than the sum of the revenues of all previous contests in the country. We discuss this experience and show how different aspects of the context justified our design choices. © 2023 Elsevier Ltd","5G; Spectrum auctions",""
"Evaluating e-book vendors in the era of smart libraries","2023","Library and Information Science Research","1","10.1016/j.lisr.2023.101254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161021740&doi=10.1016%2fj.lisr.2023.101254&partnerID=40&md5=7431f90dab5b84236c0819d8913531db","In recent years, people's reading habits have undergone a digital transformation, and library funds are insufficient to meet this growing digital demand. A good way of optimizing resource allocation is the regular evaluation of suppliers to select resources. E-book resources were used as the starting point to examine the method of supplier evaluation within the concept of “smart library” using an analytic hierarchical process to integrate and weight perspectives from e-vendors, academics, and professional librarians. Findings demonstrate that both traditional and “smart” factors impact the final evaluation of e-book suppliers. In addition, the influence of smart service factors on the efficacy of library innovation can be evaluated by the linear regression method. Two systematic methods in the assessment of e-book suppliers were outlined and the concept of “smart factors” based on traditional indicators for application in constructing digital book resources was introduced. © 2023 Elsevier Inc.","AHP analysis; E-book platform; OLS analysis; Smart library; Vendor evaluation",""
"ICT interaction with trade, FDI and financial inclusion on inclusive growth in top African nations ranked by ICT development","2023","Telecommunications Policy","10","10.1016/j.telpol.2023.102490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146052264&doi=10.1016%2fj.telpol.2023.102490&partnerID=40&md5=04aef276fbdd194e7728636b22cd1a6a","The significance of ICT (information and communication technology) framework in efforts to attract foreign investment (FDI), sustain commerce, and boost financial inclusion for enhanced inclusive growth has revolutionized the global system recently. Furthermore, earlier researches on the connection between ICT and growth concentrated more on general expansion than on the kind of growth that is evenly distributed and has broader societal implications than merely growing the size of the overall economic pie. This study critically analyzes the connection between ICT diffusion and inclusive growth, considering the interactive impacts of trade openness, FDI, and financial inclusion on inclusive growth in top African nations ranked in terms of ICT development, so as to close the existing literature gap. An improved-GMM (generalized method of moments) technique, founded on panel data-set spanning the years 2000–2020, is used in the study. By employing PCA (principal component analysis) to measure inclusive growth, ICT diffusion, and financial inclusion indices, the study contributes to the body of prior research. The model also accounts for the heterogeneous impact of the interactive term between ICT diffusions and trade openness, FDI, and financial inclusion on inclusive growth. Overall, results indicate that while ICT diffusion, trade openness, FDI, and financial inclusion significantly and positively enhance inclusive growth at both the individual and interaction levels, inflation hinders it. The study suggests that policymakers should establish measures to advance ICT development, encourage trade openness, attract foreign direct investment, and improve financial inclusion because these measures have tendencies to support inclusive growth by opening up a number of opportunities. © 2023 Elsevier Ltd","FDI; Financial inclusion; ICT development; Inclusive growth; Trade",""
"Mobile money, child labour and school enrolment","2023","Telecommunications Policy","2","10.1016/j.telpol.2023.102648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171373011&doi=10.1016%2fj.telpol.2023.102648&partnerID=40&md5=5b5cb015af0b0406c56b40f30a93570d","This paper analyses the impact of household adoption of mobile money services on child labour and schooling in Tanzania. The paper uses data drawn from the Tanzania National Panel Surveys (TNPS), for the survey periods as follows: 2008/09, 2010/11, 2012/13, and 2014/15. The TNPS are national representative surveys conducted by the National Bureau of Statistics of Tanzania in collaboration with the World Bank Living Standards Measurement Study-Integrated Surveys on Agriculture (LMSA-ISA). The surveys collect detailed information on individual, household, and community-level characteristics. The panel nature of the TNPS allows for the same households to be interviewed over time. The study uses a difference-in-differences approach, and instrumental variables strategy to investigate the nexus between mobile money adoption and child labour and school enrolment in Tanzania. The findings of this study reveal a positive and significant effect of mobile money adoption on school enrolment, but a negative effect on children's labour market activities. Moreover, the study identifies heterogenous impacts across child's gender and age; and remittances receipt and education expenditure are the potential pathways through which mobile money adoption affects child labour and school enrolment. Overall, the results suggest that policies that enhance financial inclusion such as the introduction of mobile money can be effective in improving child's school enrolment and a decline in the incidence of child labour. © 2023","Child; Enrolment; Labour; Mobile money; Schooling; Tanzania",""
"Impact of information and communication technologies on agricultural households’ welfare in Benin","2023","Telecommunications Policy","2","10.1016/j.telpol.2023.102570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153892657&doi=10.1016%2fj.telpol.2023.102570&partnerID=40&md5=488d8cf272b553f9b68a0a7ff29fe41b","Information technologies are very important to transform the agricultural sector and improve economic performance. Nevertheless, does the use of information and communication technologies (ICT) improve agricultural households' welfare? To answer this, the study used a nationally representative household survey, the Comprehensive Food Security and Vulnerability Analysis (CFSVA) carried out in 2017 in Benin. The survey covered a sample of 15 000 households, however, the analysis focused on the 6502 agricultural households. An endogenous switching regression model was employed to control for selection bias and endogeneity issues. Results indicated that the use of ICT increases households' consumption expenditure by 89.6%. This implies that the use of ICT improves agricultural households' welfare. Other variables that affect agricultural households’ welfare include age, marital status, farm size, access to credit, ownership of livestock, membership in a farmer-based organization, and region of residence. Furthermore, the decision to use ICT in agricultural households depends on the level of education, age, sex, marital status, farm size, access to credit, ownership of livestock, membership in a farmer based organization, and location. These findings suggest that policies that promote the use of ICT are key to improving welfare of agricultural households in Benin. These policies must consider demographic, socio-economic, and institutional characteristics of households. © 2023 Elsevier Ltd","Agricultural households; Benin; Endogenous switching regression model; Information and communication technologies; Welfare",""
